s,kg/s,kW
Time,"mdot","hdot"
 0.0000000E+000,-1.6153555E-010, 0.0000000E+000
 1.0127034E+000,-8.1489842E-005, 4.2714543E-004
 2.0254068E+000, 1.8007815E-003, 2.5585121E-002
 3.0114601E+000, 8.3160831E-003, 1.6853715E-001
 4.0241635E+000, 1.6209200E-002, 3.9435605E-001
 5.0102168E+000, 2.4254011E-002, 7.0596657E-001
 6.0229202E+000, 3.0680992E-002, 9.6859833E-001
 7.0089736E+000, 3.4939625E-002, 1.0519648E+000
 8.0057193E+000, 3.8448468E-002, 1.0703767E+000
 9.0086700E+000, 4.0930129E-002, 1.0470988E+000
 1.0011621E+001, 4.2848779E-002, 1.0264228E+000
 1.1014571E+001, 4.5205209E-002, 1.0308178E+000
 1.2017522E+001, 4.8068728E-002, 1.0373243E+000
 1.3020473E+001, 5.1618947E-002, 1.0067636E+000
 1.4023423E+001, 5.6289107E-002, 9.6915850E-001
 1.5002494E+001, 6.1175852E-002, 9.5875627E-001
 1.6014746E+001, 6.5782921E-002, 9.0794399E-001
 1.7022336E+001, 6.9695789E-002, 8.8973846E-001
 1.8007026E+001, 7.2492609E-002, 9.0578415E-001
 1.9009053E+001, 7.4615525E-002, 8.6923492E-001
 2.0016436E+001, 7.6081200E-002, 9.2224764E-001
 2.1003627E+001, 7.8046807E-002, 9.5204201E-001
 2.2019830E+001, 7.9030457E-002, 9.9696345E-001
 2.3008155E+001, 8.0260013E-002, 9.9047646E-001
 2.4010763E+001, 8.1063944E-002, 9.3931417E-001
 2.5019625E+001, 8.2641739E-002, 9.4751554E-001
 2.6005559E+001, 8.5308197E-002, 9.5219143E-001
 2.7014421E+001, 8.6664784E-002, 9.4329764E-001
 2.8000354E+001, 8.6504992E-002, 9.4854909E-001
 2.9009216E+001, 8.8300598E-002, 9.7240769E-001
 3.0018078E+001, 8.8625255E-002, 9.8739045E-001
 3.1004012E+001, 9.0419642E-002, 9.7737162E-001
 3.2012874E+001, 9.3096997E-002, 1.0146878E+000
 3.3021736E+001, 9.4600475E-002, 9.9654068E-001
 3.4000496E+001, 9.5941582E-002, 9.6901077E-001
 3.5011213E+001, 9.7155997E-002, 1.0158195E+000
 3.6001303E+001, 9.8891799E-002, 1.0433717E+000
 3.7012021E+001, 1.0020945E-001, 1.0631529E+000
 3.8002111E+001, 9.9496135E-002, 1.0267369E+000
 3.9012828E+001, 9.8781464E-002, 1.0801912E+000
 4.0002919E+001, 1.0022788E-001, 1.0895380E+000
 4.1013636E+001, 9.9959904E-002, 1.0771356E+000
 4.2003726E+001, 9.9673654E-002, 1.0550032E+000
 4.3014443E+001, 1.0025408E-001, 1.0784674E+000
 4.4004534E+001, 1.0078205E-001, 1.0938960E+000
 4.5015251E+001, 1.0205314E-001, 1.1053234E+000
 4.6016441E+001, 1.0479187E-001, 1.1852399E+000
 4.7016879E+001, 1.0451388E-001, 1.1825760E+000
 4.8007959E+001, 1.0542506E-001, 1.2116368E+000
 4.9008234E+001, 1.0415625E-001, 1.1743050E+000
 5.0015179E+001, 1.0422437E-001, 1.1304213E+000
 5.1005452E+001, 1.0448517E-001, 1.1554972E+000
 5.2014063E+001, 1.0572832E-001, 1.1802137E+000
 5.3004336E+001, 1.0598523E-001, 1.1435158E+000
 5.4012947E+001, 1.0558059E-001, 1.1810394E+000
 5.5003220E+001, 1.0652809E-001, 1.2143589E+000
 5.6011831E+001, 1.0623929E-001, 1.1872897E+000
 5.7002104E+001, 1.0537828E-001, 1.1968347E+000
 5.8010716E+001, 1.0346875E-001, 1.1770884E+000
 5.9000989E+001, 1.0457877E-001, 1.1347218E+000
 6.0009600E+001, 1.0655298E-001, 1.1878677E+000
 6.1018211E+001, 1.0660390E-001, 1.1035825E+000
 6.2008484E+001, 1.0668287E-001, 1.1167211E+000
 6.3017096E+001, 1.0811167E-001, 1.1649628E+000
 6.4007369E+001, 1.0889195E-001, 1.1543423E+000
 6.5015980E+001, 1.0958435E-001, 1.2111650E+000
 6.6006253E+001, 1.1017765E-001, 1.1726912E+000
 6.7014864E+001, 1.0950976E-001, 1.1366878E+000
 6.8005137E+001, 1.0886754E-001, 1.1693270E+000
 6.9013748E+001, 1.0887769E-001, 1.1381653E+000
 7.0004021E+001, 1.0719661E-001, 1.1492649E+000
 7.1012633E+001, 1.0582181E-001, 1.1088017E+000
 7.2002906E+001, 1.0641004E-001, 1.1644059E+000
 7.3011517E+001, 1.0590141E-001, 1.1768811E+000
 7.4001790E+001, 1.0536805E-001, 1.2174960E+000
 7.5010401E+001, 1.0621697E-001, 1.1968248E+000
 7.6000674E+001, 1.0780993E-001, 1.2036822E+000
 7.7009286E+001, 1.0913255E-001, 1.2098841E+000
 7.8017897E+001, 1.0772219E-001, 1.2173698E+000
 7.9008170E+001, 1.0567887E-001, 1.1829305E+000
 8.0016781E+001, 1.0490202E-001, 1.1977232E+000
 8.1007054E+001, 1.0369320E-001, 1.1831223E+000
 8.2015665E+001, 1.0472030E-001, 1.1975130E+000
 8.3002832E+001, 1.0907583E-001, 1.2680920E+000
 8.4006452E+001, 1.0974615E-001, 1.2045762E+000
 8.5003491E+001, 1.0891020E-001, 1.2290564E+000
 8.6016982E+001, 1.1109467E-001, 1.2239039E+000
 8.7012375E+001, 1.1146619E-001, 1.2480211E+000
 8.8007769E+001, 1.1154196E-001, 1.2040791E+000
 8.9003162E+001, 1.1214227E-001, 1.1910492E+000
 9.0016653E+001, 1.1159800E-001, 1.2628064E+000
 9.1012047E+001, 1.1130993E-001, 1.2105851E+000
 9.2007440E+001, 1.0926026E-001, 1.1837502E+000
 9.3002833E+001, 1.0883254E-001, 1.2338822E+000
 9.4007276E+001, 1.0878724E-001, 1.2144844E+000
 9.5002669E+001, 1.0822039E-001, 1.2220131E+000
 9.6017970E+001, 1.0885086E-001, 1.2008002E+000
 9.7013364E+001, 1.0807664E-001, 1.1590951E+000
 9.8008757E+001, 1.0830146E-001, 1.2061332E+000
 9.9004150E+001, 1.0619000E-001, 1.2393613E+000
 1.0001945E+002, 1.0638313E-001, 1.1928142E+000
 1.0101484E+002, 1.0644686E-001, 1.1792104E+000
 1.0201024E+002, 1.0639628E-001, 1.1533787E+000
 1.0300563E+002, 1.0776752E-001, 1.1496481E+000
 1.0400102E+002, 1.0900225E-001, 1.1827899E+000
 1.0500781E+002, 1.0952273E-001, 1.1563964E+000
 1.0601046E+002, 1.0962691E-001, 1.1346040E+000
 1.0701311E+002, 1.1033160E-001, 1.2033956E+000
 1.0801576E+002, 1.0951187E-001, 1.1908077E+000
 1.0900050E+002, 1.0992509E-001, 1.1778619E+000
 1.1000315E+002, 1.0936346E-001, 1.1759261E+000
 1.1100580E+002, 1.0861828E-001, 1.1984299E+000
 1.1200845E+002, 1.0772962E-001, 1.1666460E+000
 1.1301110E+002, 1.0844621E-001, 1.1814723E+000
 1.1401375E+002, 1.0861869E-001, 1.2081997E+000
 1.1501640E+002, 1.0889000E-001, 1.2416895E+000
 1.1600115E+002, 1.0941689E-001, 1.2795096E+000
 1.1700380E+002, 1.0905054E-001, 1.2995782E+000
 1.1800645E+002, 1.0782135E-001, 1.2182639E+000
 1.1900910E+002, 1.0825954E-001, 1.1977252E+000
 1.2001175E+002, 1.0874610E-001, 1.2248141E+000
 1.2101440E+002, 1.0708998E-001, 1.2572718E+000
 1.2201705E+002, 1.0485709E-001, 1.1801822E+000
 1.2300179E+002, 1.0601139E-001, 1.2245892E+000
 1.2400444E+002, 1.0704104E-001, 1.1949323E+000
 1.2500709E+002, 1.0729097E-001, 1.1904224E+000
 1.2600974E+002, 1.0985199E-001, 1.2695311E+000
 1.2701239E+002, 1.1122493E-001, 1.2813821E+000
 1.2801504E+002, 1.0949286E-001, 1.2175086E+000
 1.2901769E+002, 1.0770659E-001, 1.1891812E+000
 1.3000244E+002, 1.0612441E-001, 1.2428106E+000
 1.3100509E+002, 1.0782093E-001, 1.2487365E+000
 1.3200774E+002, 1.0764464E-001, 1.1973250E+000
 1.3301039E+002, 1.0648134E-001, 1.1445852E+000
 1.3401304E+002, 1.0540804E-001, 1.2136087E+000
 1.3501569E+002, 1.0488052E-001, 1.1844554E+000
 1.3600043E+002, 1.0663217E-001, 1.2212001E+000
 1.3700308E+002, 1.0655198E-001, 1.2030526E+000
 1.3800573E+002, 1.0617259E-001, 1.1990186E+000
 1.3900838E+002, 1.0751119E-001, 1.2514111E+000
 1.4001103E+002, 1.0743048E-001, 1.2250203E+000
 1.4101368E+002, 1.0708523E-001, 1.1900222E+000
 1.4201454E+002, 1.0658856E-001, 1.2111477E+000
 1.4301898E+002, 1.0705264E-001, 1.1692858E+000
 1.4400373E+002, 1.0899585E-001, 1.1156300E+000
 1.4500801E+002, 1.0961513E-001, 1.1576456E+000
 1.4600045E+002, 1.0851822E-001, 1.2133691E+000
 1.4701062E+002, 1.0777682E-001, 1.1844453E+000
 1.4800306E+002, 1.0864009E-001, 1.1176007E+000
 1.4901323E+002, 1.0748408E-001, 1.1649330E+000
 1.5000567E+002, 1.0694012E-001, 1.2058823E+000
 1.5101583E+002, 1.0606854E-001, 1.2490952E+000
 1.5200828E+002, 1.0538559E-001, 1.1622267E+000
 1.5300072E+002, 1.0848840E-001, 1.1552139E+000
 1.5401089E+002, 1.1014973E-001, 1.2203686E+000
 1.5500333E+002, 1.1050381E-001, 1.1620790E+000
 1.5601350E+002, 1.1065080E-001, 1.1629569E+000
 1.5700594E+002, 1.1170889E-001, 1.1951394E+000
 1.5801610E+002, 1.1178863E-001, 1.2448578E+000
 1.5900855E+002, 1.0801787E-001, 1.2213610E+000
 1.6000099E+002, 1.0579608E-001, 1.1782415E+000
 1.6101116E+002, 1.0662947E-001, 1.2319929E+000
 1.6200360E+002, 1.0651936E-001, 1.1567115E+000
 1.6301377E+002, 1.0805443E-001, 1.1632837E+000
 1.6400621E+002, 1.0850554E-001, 1.1867579E+000
 1.6501637E+002, 1.0811348E-001, 1.1528300E+000
 1.6600882E+002, 1.0798078E-001, 1.1522091E+000
 1.6700126E+002, 1.0830148E-001, 1.1789693E+000
 1.6800611E+002, 1.0879374E-001, 1.1905583E+000
 1.6900033E+002, 1.0963571E-001, 1.2234423E+000
 1.7001404E+002, 1.0908643E-001, 1.2687654E+000
 1.7100825E+002, 1.0739025E-001, 1.1934082E+000
 1.7200247E+002, 1.1014398E-001, 1.1859478E+000
 1.7301618E+002, 1.1184501E-001, 1.2263854E+000
 1.7401039E+002, 1.1155223E-001, 1.2527638E+000
 1.7500461E+002, 1.1210287E-001, 1.1849415E+000
 1.7601832E+002, 1.1152297E-001, 1.2108646E+000
 1.7701253E+002, 1.1048740E-001, 1.2828125E+000
 1.7800675E+002, 1.0984308E-001, 1.2666363E+000
 1.7900096E+002, 1.0820848E-001, 1.2128337E+000
 1.8001467E+002, 1.0894993E-001, 1.1755289E+000
 1.8100889E+002, 1.0970170E-001, 1.1444107E+000
 1.8200311E+002, 1.0932605E-001, 1.1478917E+000
 1.8301682E+002, 1.0878600E-001, 1.1351408E+000
 1.8401103E+002, 1.1050724E-001, 1.1845639E+000
 1.8500525E+002, 1.1173897E-001, 1.1835462E+000
 1.8601896E+002, 1.1229768E-001, 1.1634795E+000
 1.8701317E+002, 1.1110968E-001, 1.2093939E+000
 1.8800739E+002, 1.1046574E-001, 1.2191995E+000
 1.8900160E+002, 1.0885754E-001, 1.1858746E+000
 1.9001531E+002, 1.0931300E-001, 1.2179759E+000
 1.9100953E+002, 1.0875266E-001, 1.1925525E+000
 1.9200375E+002, 1.0915340E-001, 1.2255698E+000
 1.9301746E+002, 1.0780254E-001, 1.2439696E+000
 1.9401167E+002, 1.0850023E-001, 1.1755686E+000
 1.9500589E+002, 1.0936929E-001, 1.2206058E+000
 1.9600010E+002, 1.1072040E-001, 1.1815123E+000
 1.9701381E+002, 1.1091281E-001, 1.1775913E+000
 1.9800803E+002, 1.1221060E-001, 1.2055021E+000
 1.9900224E+002, 1.0956908E-001, 1.1862903E+000
 2.0001595E+002, 1.0859830E-001, 1.2441511E+000
 2.0101017E+002, 1.0854250E-001, 1.2596941E+000
 2.0200438E+002, 1.0803033E-001, 1.2410886E+000
 2.0301809E+002, 1.0708475E-001, 1.2484443E+000
 2.0401231E+002, 1.0738138E-001, 1.2401842E+000
 2.0500653E+002, 1.0775152E-001, 1.2308243E+000
 2.0600074E+002, 1.0826218E-001, 1.1998685E+000
 2.0701445E+002, 1.0810388E-001, 1.2042182E+000
 2.0800867E+002, 1.0730546E-001, 1.1744554E+000
 2.0900288E+002, 1.0712925E-001, 1.1884098E+000
 2.1001659E+002, 1.0698826E-001, 1.2211657E+000
 2.1101081E+002, 1.0572327E-001, 1.2023777E+000
 2.1200502E+002, 1.0622269E-001, 1.2590418E+000
 2.1301873E+002, 1.0545472E-001, 1.1976375E+000
 2.1401295E+002, 1.0771992E-001, 1.2091296E+000
 2.1500716E+002, 1.0796714E-001, 1.2044646E+000
 2.1600138E+002, 1.0807498E-001, 1.1791345E+000
 2.1701509E+002, 1.0686436E-001, 1.1631430E+000
 2.1800931E+002, 1.0755989E-001, 1.1200660E+000
 2.1900352E+002, 1.0795459E-001, 1.1470985E+000
 2.2001723E+002, 1.0796804E-001, 1.1215319E+000
 2.2101145E+002, 1.0802094E-001, 1.1621094E+000
 2.2200566E+002, 1.0802362E-001, 1.2486091E+000
 2.2301937E+002, 1.0713112E-001, 1.2281185E+000
 2.2401359E+002, 1.0807183E-001, 1.2289856E+000
 2.2500780E+002, 1.1018789E-001, 1.1464866E+000
 2.2600202E+002, 1.1068357E-001, 1.2115805E+000
 2.2701573E+002, 1.1074169E-001, 1.2626516E+000
 2.2800994E+002, 1.1094253E-001, 1.2390297E+000
 2.2900416E+002, 1.1008344E-001, 1.2241403E+000
 2.3001787E+002, 1.0867256E-001, 1.2105292E+000
 2.3101209E+002, 1.0839775E-001, 1.1386285E+000
 2.3200630E+002, 1.0934998E-001, 1.1698853E+000
 2.3300052E+002, 1.1078254E-001, 1.1589956E+000
 2.3401423E+002, 1.0921151E-001, 1.1611426E+000
 2.3500844E+002, 1.0742052E-001, 1.1573484E+000
 2.3600266E+002, 1.0534304E-001, 1.2267488E+000
 2.3701637E+002, 1.0778148E-001, 1.1799010E+000
 2.3801058E+002, 1.0935388E-001, 1.2361496E+000
 2.3900480E+002, 1.1057371E-001, 1.2859436E+000
 2.4001851E+002, 1.1065930E-001, 1.2714971E+000
 2.4101273E+002, 1.1003915E-001, 1.2304628E+000
 2.4200694E+002, 1.0856957E-001, 1.2021001E+000
 2.4300116E+002, 1.0680326E-001, 1.1920993E+000
 2.4401487E+002, 1.0552530E-001, 1.1339986E+000
 2.4500908E+002, 1.0560783E-001, 1.1525007E+000
 2.4600330E+002, 1.0419646E-001, 1.1604859E+000
 2.4701701E+002, 1.0537339E-001, 1.1772263E+000
 2.4801122E+002, 1.0678894E-001, 1.1778162E+000
 2.4900544E+002, 1.0785970E-001, 1.1855427E+000
 2.5001915E+002, 1.0885260E-001, 1.2316639E+000
 2.5101336E+002, 1.0869927E-001, 1.3122635E+000
 2.5200758E+002, 1.0949898E-001, 1.2737091E+000
 2.5300180E+002, 1.1024379E-001, 1.2520081E+000
 2.5401551E+002, 1.0930288E-001, 1.2538865E+000
 2.5500972E+002, 1.0797796E-001, 1.2539549E+000
 2.5600394E+002, 1.0686263E-001, 1.2441865E+000
 2.5701765E+002, 1.0712827E-001, 1.2150573E+000
 2.5801186E+002, 1.0763469E-001, 1.2539109E+000
 2.5900608E+002, 1.0716246E-001, 1.2258678E+000
 2.6000029E+002, 1.0591790E-001, 1.2185565E+000
 2.6101400E+002, 1.0668091E-001, 1.2291963E+000
 2.6200822E+002, 1.0736597E-001, 1.2435534E+000
 2.6300243E+002, 1.0702831E-001, 1.2337636E+000
 2.6401614E+002, 1.0780779E-001, 1.2234745E+000
 2.6501036E+002, 1.0834543E-001, 1.1658352E+000
 2.6600458E+002, 1.0899269E-001, 1.1683583E+000
 2.6701829E+002, 1.0976691E-001, 1.1536587E+000
 2.6801250E+002, 1.0810036E-001, 1.1673939E+000
 2.6900672E+002, 1.0677520E-001, 1.1569939E+000
 2.7000093E+002, 1.0832939E-001, 1.1847984E+000
 2.7101464E+002, 1.0822296E-001, 1.2299659E+000
 2.7200886E+002, 1.0662684E-001, 1.2498831E+000
 2.7300307E+002, 1.0665536E-001, 1.1939845E+000
 2.7401678E+002, 1.0468117E-001, 1.2536058E+000
 2.7501100E+002, 1.0396687E-001, 1.1731052E+000
 2.7600521E+002, 1.0621526E-001, 1.2046885E+000
 2.7701892E+002, 1.0529036E-001, 1.1953152E+000
 2.7801314E+002, 1.0471619E-001, 1.1469421E+000
 2.7900736E+002, 1.0489898E-001, 1.1582974E+000
 2.8000157E+002, 1.0597332E-001, 1.1918326E+000
 2.8101528E+002, 1.0746781E-001, 1.2172899E+000
 2.8200950E+002, 1.0877169E-001, 1.2293773E+000
 2.8300371E+002, 1.0916636E-001, 1.1840747E+000
 2.8401742E+002, 1.0867592E-001, 1.2365951E+000
 2.8501164E+002, 1.0617229E-001, 1.2234664E+000
 2.8600585E+002, 1.0702628E-001, 1.2840455E+000
 2.8700007E+002, 1.0747351E-001, 1.2514419E+000
 2.8801378E+002, 1.0748411E-001, 1.2231993E+000
 2.8900800E+002, 1.0695551E-001, 1.2025307E+000
 2.9000221E+002, 1.0632984E-001, 1.2182859E+000
 2.9101592E+002, 1.0723195E-001, 1.1791429E+000
 2.9201014E+002, 1.0747553E-001, 1.2210585E+000
 2.9300435E+002, 1.0593999E-001, 1.2247022E+000
 2.9401806E+002, 1.0534442E-001, 1.1267162E+000
 2.9501228E+002, 1.0719998E-001, 1.1826191E+000
 2.9600649E+002, 1.0831026E-001, 1.2057355E+000
 2.9700071E+002, 1.0774982E-001, 1.1476284E+000
 2.9801442E+002, 1.0819736E-001, 1.2488992E+000
 2.9900218E+002, 1.0849453E-001, 1.1921750E+000
 3.0000000E+002, 1.0855884E-001, 1.1634907E+000
