s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS,MLR_NITROGEN
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.4919333E-004, 2.9056618E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.4919333E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0008969E+000, 1.7470431E+001, 0.0000000E+000,-2.9211923E+000, 2.3310504E-001,-8.9803623E-002,-1.5302282E-003, 0.0000000E+000, 0.0000000E+000, 1.4458826E+001, 1.4691010E+001, 6.9825000E-002, 4.3898404E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0002921E+000, 4.0984675E+001, 0.0000000E+000,-7.1089816E+000,-2.1919451E+001,-8.9602297E-002,-1.8950119E-003, 0.0000000E+000, 0.0000000E+000, 1.1955827E+001, 1.1864745E+001, 6.9825000E-002, 8.9726457E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0008636E+000, 4.6990323E+001, 0.0000000E+000,-8.0787332E+000,-3.5720053E+001,-7.2168379E-002,-1.7326950E-003, 0.0000000E+000, 0.0000000E+000, 3.1246801E+000, 3.1176352E+000, 6.9825000E-002, 9.9075491E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.0003834E+000, 4.8464264E+001, 0.0000000E+000,-8.5660689E+000,-3.9027584E+001,-8.3042603E-002,-1.7151820E-003, 0.0000000E+000, 0.0000000E+000, 8.3261921E-001, 7.8585384E-001, 6.9825000E-002, 1.0043510E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0006089E+000, 4.9411009E+001, 0.0000000E+000,-8.6298579E+000,-4.2996495E+001,-7.3136686E-002,-1.7048603E-003, 0.0000000E+000, 0.0000000E+000,-2.2956684E+000,-2.2901851E+000, 6.9825000E-002, 1.0062087E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.0008240E+000, 4.8554656E+001, 0.0000000E+000,-8.3914033E+000,-4.0883501E+001,-5.7906400E-002,-1.7044847E-003, 0.0000000E+000, 0.0000000E+000,-7.6868779E-001,-7.7985932E-001, 6.9825000E-002, 1.0064606E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.0008211E+000, 4.9528958E+001, 0.0000000E+000,-8.8956091E+000,-3.9158576E+001,-5.6088694E-002,-1.7191326E-003, 0.0000000E+000, 0.0000000E+000, 1.4430016E+000, 1.4169655E+000, 6.9825000E-002, 1.0064947E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.0007496E+000, 4.9103433E+001, 0.0000000E+000,-8.5677033E+000,-4.0290645E+001,-4.1306904E-002,-1.7331914E-003, 0.0000000E+000, 0.0000000E+000, 1.6261152E-001, 2.0204478E-001, 6.9825000E-002, 1.0064993E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.0007000E+000, 4.8831357E+001, 0.0000000E+000,-8.7192831E+000,-4.0185862E+001,-3.8934889E-002,-1.7458338E-003, 0.0000000E+000, 0.0000000E+000,-4.0113152E-002,-1.1446819E-001, 6.9825000E-002, 1.0064999E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000104E+001, 4.8896417E+001, 0.0000000E+000,-8.6959724E+000,-3.9401493E+001,-3.2793369E-002,-1.7548280E-003, 0.0000000E+000, 0.0000000E+000, 7.1464518E-001, 7.6440295E-001, 6.9825000E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1000602E+001, 4.8628019E+001, 0.0000000E+000,-8.5165367E+000,-3.7922796E+001,-3.6986610E-002,-1.6521179E-003, 0.0000000E+000, 0.0000000E+000, 2.1940942E+000, 2.1500480E+000, 6.9825000E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 6.1008198E-004
 1.2000687E+001, 4.9024900E+001, 0.0000000E+000,-8.6417035E+000,-4.3246855E+001,-4.0480553E-002,-1.6739976E-003, 0.0000000E+000, 0.0000000E+000,-2.9192633E+000,-2.9058135E+000, 6.9825000E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 1.8285813E-003
 1.3000273E+001, 4.9110878E+001, 0.0000000E+000,-8.2691362E+000,-3.8271101E+001,-1.0901922E-002,-1.6562571E-003, 0.0000000E+000, 0.0000000E+000, 2.5798218E+000, 2.5580826E+000, 6.9825000E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 3.0464491E-003
 1.4000471E+001, 4.8438011E+001, 0.0000000E+000,-7.8585039E+000,-4.3019506E+001,-1.6746211E-002,-1.6229239E-003, 0.0000000E+000, 0.0000000E+000,-2.4532731E+000,-2.4583672E+000, 6.9825000E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 4.2644116E-003
 1.5000710E+001, 4.8463709E+001, 0.0000000E+000,-7.3678119E+000,-4.2415367E+001,-2.3198108E-002,-1.5935701E-003, 0.0000000E+000, 0.0000000E+000,-1.4435786E+000,-1.3442616E+000, 6.9825000E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 5.4827540E-003
 1.6000998E+001, 4.8288086E+001, 0.0000000E+000,-7.4296055E+000,-3.9546039E+001,-1.1561549E-002,-1.5250216E-003, 0.0000000E+000, 0.0000000E+000, 1.4028332E+000, 1.2993548E+000, 6.9825000E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 6.7012733E-003
 1.7000513E+001, 4.8405939E+001, 0.0000000E+000,-7.2564006E+000,-4.2725922E+001,-1.1331652E-002,-1.5461148E-003, 0.0000000E+000, 0.0000000E+000,-1.6544563E+000,-1.5892609E+000, 6.9825000E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 7.9191240E-003
 1.8000265E+001, 4.9125889E+001, 0.0000000E+000,-6.9909334E+000,-3.9133001E+001,-4.0579831E-003,-1.5166812E-003, 0.0000000E+000, 0.0000000E+000, 2.9828806E+000, 2.9963804E+000, 6.9825000E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 9.1367867E-003
 1.9000885E+001, 4.7906486E+001, 0.0000000E+000,-6.6799092E+000,-4.1571119E+001,-5.0633199E-002,-1.4756761E-003, 0.0000000E+000, 0.0000000E+000,-4.4223265E-001,-3.9665139E-001, 6.9825000E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 1.0355130E-002
 2.0000372E+001, 4.8301788E+001, 0.0000000E+000,-6.2759550E+000,-4.0884687E+001,-4.0763536E-002,-1.4566616E-003, 0.0000000E+000, 0.0000000E+000, 1.0889578E+000, 1.0989257E+000, 6.9825000E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 1.1184827E-002
