s,mol/mol,kW/m2,kW/m2,m
Time,"XO2","qrad1","qrad2","L_F"
 0.0000000E+000, 2.0755882E-001,-1.4327831E-004,-1.4798458E-004, 0.0000000E+000
 1.0003510E+000, 2.0755882E-001, 1.5776816E-001, 1.6331369E-001, 3.5118827E-001
 2.0007976E+000, 2.0755882E-001, 7.3453051E-001, 7.6667040E-001, 3.7799250E-001
 3.0007878E+000, 2.0755882E-001, 9.0657338E-001, 9.2735025E-001, 3.1565948E-001
 4.0010010E+000, 2.0755882E-001, 9.3982822E-001, 9.6728347E-001, 4.4655145E-001
 5.0009251E+000, 2.0755882E-001, 9.3661590E-001, 9.9552545E-001, 3.9848418E-001
 6.0002386E+000, 2.0755882E-001, 9.8155247E-001, 1.0170746E+000, 3.7732908E-001
 7.0003513E+000, 2.0755882E-001, 9.3710155E-001, 9.9822666E-001, 4.9310484E-001
 8.0008897E+000, 2.0755882E-001, 9.4891481E-001, 9.9131062E-001, 4.9112951E-001
 9.0005715E+000, 2.0755882E-001, 9.3523536E-001, 9.8148958E-001, 3.9689594E-001
 1.0000183E+001, 2.0755882E-001, 9.5013594E-001, 9.6742916E-001, 5.3505011E-001
 1.1000513E+001, 2.0412440E-001, 9.4852362E-001, 9.9121579E-001, 3.7348756E-001
 1.2000155E+001, 2.0058870E-001, 8.9122196E-001, 9.2004112E-001, 5.4497036E-001
 1.3000601E+001, 1.9717370E-001, 9.2561109E-001, 9.5371075E-001, 3.8348648E-001
 1.4000149E+001, 1.9387237E-001, 8.7702472E-001, 9.0819469E-001, 4.7847699E-001
 1.5000650E+001, 1.9068026E-001, 8.6241427E-001, 8.7569388E-001, 3.5999557E-001
 1.6000394E+001, 1.8759131E-001, 8.1767765E-001, 8.3166932E-001, 4.6953121E-001
 1.7000264E+001, 1.8460289E-001, 8.0991258E-001, 8.5738203E-001, 3.8260953E-001
 1.8000613E+001, 1.8170384E-001, 7.4997316E-001, 7.7161955E-001, 4.3988785E-001
 1.9000462E+001, 1.7889928E-001, 7.3796653E-001, 7.5191569E-001, 5.3130230E-001
 2.0000575E+001, 1.7819177E-001, 7.4146425E-001, 7.5639097E-001, 4.5206310E-001
 2.1000985E+001, 1.7817530E-001, 7.1049296E-001, 7.3235795E-001, 4.0289580E-001
 2.2000942E+001, 1.7815883E-001, 7.1219033E-001, 7.4507920E-001, 5.4325912E-001
 2.3000232E+001, 1.7814239E-001, 7.2008946E-001, 7.5056521E-001, 5.7262886E-001
 2.4000336E+001, 1.7812591E-001, 7.3314886E-001, 7.7575023E-001, 5.0662267E-001
 2.5000168E+001, 1.7810947E-001, 7.1776807E-001, 7.2610184E-001, 4.0710946E-001
 2.6000494E+001, 1.7809300E-001, 7.1568794E-001, 7.4647110E-001, 4.5961561E-001
 2.7000301E+001, 1.7807656E-001, 6.8949455E-001, 7.1700596E-001, 5.1814565E-001
 2.8000238E+001, 1.7806011E-001, 7.1652158E-001, 7.3241402E-001, 3.6974108E-001
 2.9000048E+001, 1.7804367E-001, 6.8953603E-001, 7.0254007E-001, 7.5001790E-001
 3.0000312E+001, 1.7601375E-001, 6.8406986E-001, 7.2061240E-001, 4.6239688E-001
 3.1000857E+001, 1.7337588E-001, 6.8925001E-001, 7.0632259E-001, 4.1994559E-001
 3.2000050E+001, 1.7081541E-001, 6.7614875E-001, 6.8722567E-001, 5.9894790E-001
 3.3000395E+001, 1.6833071E-001, 6.6072924E-001, 6.6585035E-001, 4.5741162E-001
 3.4000983E+001, 1.6591366E-001, 6.3554845E-001, 6.2551368E-001, 6.1827773E-001
 3.5000032E+001, 1.6357106E-001, 6.0329323E-001, 6.1464404E-001, 5.3251019E-001
 3.6001015E+001, 1.6128682E-001, 5.4450907E-001, 5.6173101E-001, 4.7992537E-001
 3.7000703E+001, 1.5907130E-001, 5.3756221E-001, 5.5206159E-001, 4.7745580E-001
 3.8000054E+001, 1.5691432E-001, 4.9380648E-001, 5.0574912E-001, 6.3577505E-001
 3.9000088E+001, 1.5481445E-001, 4.9306953E-001, 5.2884042E-001, 4.9284039E-001
 4.0000398E+001, 1.5276953E-001, 4.4273959E-001, 4.4930580E-001, 6.0255550E-001
 4.1000456E+001, 1.5077881E-001, 4.2572417E-001, 4.3508890E-001, 7.7961039E-001
 4.2000888E+001, 1.4883748E-001, 4.3145616E-001, 4.4829801E-001, 6.5285624E-001
 4.3000399E+001, 1.4694904E-001, 3.8899830E-001, 4.0614096E-001, 5.6453832E-001
 4.4000792E+001, 1.4510429E-001, 3.4936346E-001, 3.6980875E-001, 5.0395408E-001
 4.5000774E+001, 1.4330830E-001, 3.3737505E-001, 3.5183103E-001, 5.1180806E-001
 4.6000020E+001, 1.4155451E-001, 3.1962152E-001, 3.2602866E-001, 6.3811526E-001
 4.7000796E+001, 1.3984391E-001, 3.0765941E-001, 3.2269252E-001, 6.6027701E-001
 4.8000554E+001, 1.3817321E-001, 2.8333634E-001, 2.8895816E-001, 7.2375902E-001
 4.9000078E+001, 1.3654434E-001, 2.6319811E-001, 2.6984510E-001, 8.7727827E-001
 5.0000369E+001, 1.3495043E-001, 2.3647991E-001, 2.4705209E-001, 7.4330642E-001
 5.1000415E+001, 1.3339562E-001, 2.2873612E-001, 2.3272278E-001, 7.2981081E-001
 5.2000589E+001, 1.3187380E-001, 2.0933636E-001, 2.2083093E-001, 6.3766924E-001
 5.3000369E+001, 1.3038909E-001, 2.0173389E-001, 2.0340992E-001, 6.5447730E-001
 5.4000430E+001, 1.2893528E-001, 1.8297396E-001, 1.8815505E-001, 9.1605098E-001
 5.5000471E+001, 1.2751526E-001, 1.5833699E-001, 1.6396229E-001, 8.3859820E-001
