m,C,C,mol/mol,C,C,mol/mol
-9.3751899E-003, 9.0581957E+002, 8.6275706E+002, 5.8091230E-002, 9.0505095E+002, 8.7404134E+002, 7.2911793E-002
-3.1250633E-003, 9.6410877E+002, 8.8682838E+002, 4.4501423E-002, 8.9059487E+002, 8.6546716E+002, 7.3334318E-002
 3.1250633E-003, 9.8189708E+002, 8.9738668E+002, 4.1957282E-002, 8.5750618E+002, 8.4833003E+002, 7.7271988E-002
 9.3751899E-003, 9.5395069E+002, 8.9508227E+002, 5.3085166E-002, 8.3404134E+002, 8.3822685E+002, 8.0196607E-002
 1.5625316E-002, 8.1193701E+002, 8.2504994E+002, 7.8420932E-002, 7.9795741E+002, 8.2069545E+002, 8.5081900E-002
 2.1875443E-002, 6.4370374E+002, 7.3387366E+002, 1.0395899E-001, 7.4158160E+002, 7.9226452E+002, 9.2731414E-002
 2.8125570E-002, 4.9731922E+002, 6.4069600E+002, 1.2388312E-001, 6.6642433E+002, 7.4434620E+002, 1.0224786E-001
 3.4375696E-002, 3.9011022E+002, 5.4716149E+002, 1.3819503E-001, 5.9596209E+002, 7.0221209E+002, 1.1154500E-001
 4.0625823E-002, 2.7463472E+002, 4.2733275E+002, 1.5165280E-001, 5.2952398E+002, 6.5722328E+002, 1.2039655E-001
 4.6875949E-002, 1.6702631E+002, 2.9719934E+002, 1.6326870E-001, 4.5999344E+002, 6.0333354E+002, 1.2900480E-001
 5.3126076E-002, 8.6680577E+001, 1.9067629E+002, 1.7146497E-001, 3.9126807E+002, 5.4532912E+002, 1.3735437E-001
 5.9376203E-002, 4.6639988E+001, 1.2161397E+002, 1.7552005E-001, 3.2626790E+002, 4.8003945E+002, 1.4521252E-001
 6.5626329E-002, 2.9436741E+001, 8.0466053E+001, 1.7736649E-001, 2.6243677E+002, 4.1448125E+002, 1.5294976E-001
 7.1876456E-002, 2.1763264E+001, 6.5262269E+001, 1.7814024E-001, 2.1463439E+002, 3.6350404E+002, 1.5949033E-001
 7.8126582E-002, 2.1058021E+001, 6.1914156E+001, 1.7819566E-001, 1.6379011E+002, 2.9453023E+002, 1.6665709E-001
 8.4376709E-002, 2.0982875E+001, 5.9273573E+001, 1.7819363E-001, 1.1240404E+002, 2.1306213E+002, 1.7369696E-001
 9.0626835E-002, 2.0922877E+001, 5.6845599E+001, 1.7819114E-001, 7.5746911E+001, 1.5175653E+002, 1.7892143E-001
 9.6876962E-002, 2.0867447E+001, 5.4648365E+001, 1.7818849E-001, 4.9537880E+001, 9.9880303E+001, 1.8324794E-001
 1.0312709E-001, 2.0880578E+001, 5.3037472E+001, 1.7819247E-001, 3.7463467E+001, 7.4790735E+001, 1.8510650E-001
 1.0937722E-001, 2.0816997E+001, 5.1133169E+001, 1.7818981E-001, 2.8553769E+001, 6.0992851E+001, 1.8767653E-001
 1.1562734E-001, 2.0780102E+001, 4.9488058E+001, 1.7818842E-001, 2.4194092E+001, 5.4829124E+001, 1.8931607E-001
 1.2187747E-001, 2.0739783E+001, 4.7899682E+001, 1.7818676E-001, 2.2195067E+001, 5.1444007E+001, 1.9091895E-001
 1.2812759E-001, 2.0705834E+001, 4.6516160E+001, 1.7818534E-001, 2.1924400E+001, 4.9917224E+001, 1.9233734E-001
 1.3437772E-001, 2.0671785E+001, 4.5114495E+001, 1.7818379E-001, 2.1929759E+001, 4.8831165E+001, 1.9393187E-001
 1.4062785E-001, 2.0640906E+001, 4.3916175E+001, 1.7818340E-001, 2.1946384E+001, 4.7706846E+001, 1.9563878E-001
 1.4687797E-001, 2.0610562E+001, 4.2734463E+001, 1.7818551E-001, 2.1960174E+001, 4.6673230E+001, 1.9765154E-001
 1.5312810E-001, 2.0581956E+001, 4.1690378E+001, 1.7819566E-001, 2.1967746E+001, 4.5671495E+001, 1.9981515E-001
 1.5937823E-001, 2.0556175E+001, 4.0630952E+001, 1.7823186E-001, 2.1963459E+001, 4.4696943E+001, 2.0196086E-001
 1.6562835E-001, 2.0540642E+001, 3.9736408E+001, 1.7835311E-001, 2.1940348E+001, 4.3770700E+001, 2.0383552E-001
 1.7187848E-001, 2.0539738E+001, 3.8843208E+001, 1.7870169E-001, 2.1897894E+001, 4.2821964E+001, 2.0515985E-001
 1.7812861E-001, 2.0568511E+001, 3.8109241E+001, 1.7953987E-001, 2.1849229E+001, 4.1974135E+001, 2.0612272E-001
 1.8437873E-001, 2.0650175E+001, 3.7521924E+001, 1.8117913E-001, 2.1797735E+001, 4.1115132E+001, 2.0678099E-001
 1.9062886E-001, 2.0792603E+001, 3.7174879E+001, 1.8376119E-001, 2.1743500E+001, 4.0356665E+001, 2.0720611E-001
 1.9687899E-001, 2.0950909E+001, 3.7030267E+001, 1.8685427E-001, 2.1690468E+001, 3.9604785E+001, 2.0742979E-001
 2.0312911E-001, 2.1081097E+001, 3.6985568E+001, 1.8985167E-001, 2.1645152E+001, 3.8928002E+001, 2.0752465E-001
 2.0937924E-001, 2.1173633E+001, 3.6919759E+001, 1.9242684E-001, 2.1606966E+001, 3.8251265E+001, 2.0755126E-001
 2.1562937E-001, 2.1238965E+001, 3.6748393E+001, 1.9493666E-001, 2.1574247E+001, 3.7638421E+001, 2.0755740E-001
 2.2187949E-001, 2.1293968E+001, 3.6435712E+001, 1.9794441E-001, 2.1543053E+001, 3.7030576E+001, 2.0755858E-001
 2.2812962E-001, 2.1337314E+001, 3.6014399E+001, 2.0111139E-001, 2.1512878E+001, 3.6483570E+001, 2.0755882E-001
 2.3437975E-001, 2.1339406E+001, 3.5491390E+001, 2.0377080E-001, 2.1481995E+001, 3.5933161E+001, 2.0755887E-001
 2.4062987E-001, 2.1270897E+001, 3.4855455E+001, 2.0565792E-001, 2.1451501E+001, 3.5434979E+001, 2.0755889E-001
 2.4688000E-001, 2.1129051E+001, 3.4196911E+001, 2.0670786E-001, 2.1421046E+001, 3.4924990E+001, 2.0755890E-001
