s,mol/mol,kW/m2,kW/m2,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,m
Time,"XO2","qrad1","qrad2","Lf-1","Lf-2","Lf-3","Lf-4","Lf-5","Lf-6","Lf-7","Lf-8","Lf-9","Lf-10","Lf-11","Lf-12","Lf-13","Lf-14","Lf-15","Lf-16","Lf-17","Lf-18","Lf-19","Lf-20","Lf-21","Lf-22","Lf-23","Lf-24","Lf-25","Lf-26","Lf-27","Lf-28","Lf-29","Lf-30","Lf-31","Lf-32","Lf-33","Lf-34","Lf-35","Lf-36","Lf-37","Lf-38","Lf-39","Lf-40","Lf-41","Lf-42","Lf-43","Lf-44","Lf-45","Lf-46","Lf-47","Lf-48","Lf-49","Lf-50","L_F"
 0.0000000E+000, 2.0755882E-001,-1.1444211E-004,-1.1937968E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0001021E+000, 2.0755882E-001, 1.8540491E-001, 1.9917193E-001, 2.3790180E+001, 1.0962286E+001, 7.3656853E+000, 5.7648085E+000, 5.0451573E+000, 4.2662720E+000, 3.7993430E+000, 3.1372703E+000, 2.6370260E+000, 2.1233100E+000, 1.9094700E+000, 1.5949115E+000, 1.2966270E+000, 9.5277513E-001, 6.5160613E-001, 5.0131118E-001, 3.5824530E-001, 2.8027472E-001, 2.1349321E-001, 1.9229890E-001, 1.7987233E-001, 8.8683506E-002, 3.2141242E-002, 1.3004256E-002, 8.2821611E-003, 3.6713640E-003, 8.0824854E-004, 3.3887071E-005, 1.6295526E-005, 6.0463562E-006, 1.1017317E-006, 1.2314997E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.0701833E-001
 2.0002174E+000, 2.0755882E-001, 7.8581589E-001, 8.2693071E-001, 1.4268241E+001, 1.9741984E+001, 1.4727694E+001, 1.5236748E+001, 1.5137149E+001, 1.5853202E+001, 1.6283425E+001, 1.5487858E+001, 1.4193406E+001, 1.3548208E+001, 1.2860862E+001, 1.2282382E+001, 1.1573659E+001, 1.0958862E+001, 1.0093364E+001, 8.8702428E+000, 6.9654594E+000, 5.5146553E+000, 4.2239508E+000, 3.4008553E+000, 2.8507528E+000, 2.1034649E+000, 1.5892606E+000, 1.2626506E+000, 1.0417158E+000, 9.4696167E-001, 8.2482401E-001, 6.2014235E-001, 5.1912303E-001, 4.5388932E-001, 3.1834304E-001, 2.4151600E-001, 2.5319604E-001, 3.2896895E-001, 3.4190425E-001, 3.2055946E-001, 2.8679958E-001, 2.4192667E-001, 1.1657335E-001, 4.2680669E-002, 1.8789779E-002, 3.4425707E-003, 8.7832146E-004, 3.6382846E-004, 2.0783605E-004, 1.2548095E-004, 9.2604609E-005, 7.0076980E-005, 4.7382483E-005, 3.0120736E-005, 5.2484758E-001
 3.0001836E+000, 2.0755882E-001, 1.0184011E+000, 1.0748439E+000, 1.4277779E+001, 2.1179974E+001, 1.5281319E+001, 1.5186660E+001, 1.6713286E+001, 1.8017252E+001, 1.8644009E+001, 1.7870873E+001, 1.6994338E+001, 1.5988081E+001, 1.5781622E+001, 1.5564118E+001, 1.4598437E+001, 1.3532425E+001, 1.2327329E+001, 1.1879545E+001, 1.1045223E+001, 1.0132014E+001, 9.2301885E+000, 8.0039365E+000, 6.7011574E+000, 5.2731926E+000, 4.3954639E+000, 3.4733789E+000, 2.9224312E+000, 2.0482406E+000, 1.6335428E+000, 1.1906953E+000, 9.0589191E-001, 6.6969998E-001, 4.7776007E-001, 2.9056577E-001, 1.5899582E-001, 1.0862842E-001, 7.2822244E-002, 4.3733052E-002, 2.2711203E-002, 1.5805102E-002, 1.2393375E-002, 1.0058307E-002, 8.0218654E-003, 4.4914801E-003, 1.3379945E-003, 4.7652353E-004, 2.9671553E-004, 1.7300864E-004, 1.0376550E-004, 5.8868301E-005, 3.1158221E-005, 1.4307542E-005, 2.7508222E-001
 4.0001388E+000, 2.0755882E-001, 1.1080572E+000, 1.1529975E+000, 1.4959607E+001, 2.1067216E+001, 1.6088751E+001, 1.5847584E+001, 1.6316334E+001, 1.6624116E+001, 1.6675238E+001, 1.7291737E+001, 1.6789815E+001, 1.6762427E+001, 1.6015834E+001, 1.5022508E+001, 1.4375997E+001, 1.3987144E+001, 1.3037956E+001, 1.2256393E+001, 1.1113658E+001, 1.0486116E+001, 9.5676329E+000, 8.5239585E+000, 7.3845890E+000, 5.8794055E+000, 4.6819591E+000, 3.7272192E+000, 2.6245215E+000, 1.7211175E+000, 1.2236025E+000, 9.7310606E-001, 8.2770369E-001, 6.3054231E-001, 5.5746718E-001, 5.3667480E-001, 4.7968346E-001, 3.3333904E-001, 2.3442281E-001, 1.6741083E-001, 7.6494512E-002, 3.9132247E-002, 1.9504485E-002, 1.0340124E-002, 6.9202745E-003, 2.7094906E-003, 1.1600434E-003, 7.1586876E-004, 5.7307645E-004, 4.6291409E-004, 3.8978319E-004, 3.2209994E-004, 2.5824485E-004, 2.0658984E-004, 3.2130851E-001
 5.0002332E+000, 2.0755882E-001, 1.0760356E+000, 1.1154986E+000, 1.6180547E+001, 2.0446322E+001, 1.6228117E+001, 1.5626106E+001, 1.5841200E+001, 1.5643150E+001, 1.5629170E+001, 1.5682229E+001, 1.5632993E+001, 1.5549817E+001, 1.5112865E+001, 1.4902699E+001, 1.4592060E+001, 1.4302179E+001, 1.2830197E+001, 1.1781182E+001, 1.1401023E+001, 1.0932273E+001, 9.8972364E+000, 8.3576219E+000, 6.5022399E+000, 5.4847310E+000, 4.7078118E+000, 4.2592845E+000, 3.7825834E+000, 3.0124775E+000, 2.3940019E+000, 1.8863686E+000, 1.4351406E+000, 9.6661881E-001, 7.3966957E-001, 6.5947447E-001, 5.4252565E-001, 3.8129905E-001, 2.7021714E-001, 2.1862968E-001, 1.9182414E-001, 1.8128887E-001, 1.4634650E-001, 9.5903027E-002, 3.7658432E-002, 1.5338805E-002, 5.8648146E-003, 1.6910202E-003, 9.9695556E-004, 6.7880400E-004, 5.1935289E-004, 3.9556392E-004, 2.9703297E-004, 2.2496015E-004, 4.2795986E-001
 6.0001352E+000, 2.0755882E-001, 1.0940722E+000, 1.1463707E+000, 1.6534802E+001, 2.1546488E+001, 1.6303088E+001, 1.6579535E+001, 1.6443697E+001, 1.6438245E+001, 1.5921798E+001, 1.5629047E+001, 1.5561382E+001, 1.5635440E+001, 1.5767154E+001, 1.5845661E+001, 1.5360922E+001, 1.4812536E+001, 1.3386651E+001, 1.2212231E+001, 1.1409618E+001, 1.0975784E+001, 1.0629650E+001, 8.9956784E+000, 7.8540786E+000, 6.6822465E+000, 5.6704302E+000, 4.8362358E+000, 4.1884713E+000, 3.4304857E+000, 2.8479349E+000, 2.2529393E+000, 1.9019680E+000, 1.5528442E+000, 1.1265001E+000, 8.9834120E-001, 6.2545479E-001, 4.3726764E-001, 3.3759795E-001, 2.7424062E-001, 1.6493678E-001, 1.0442304E-001, 5.4806369E-002, 2.6910399E-002, 1.6678586E-002, 9.9301992E-003, 2.0705435E-003, 6.0684941E-004, 3.2709747E-004, 2.1635217E-004, 1.5875839E-004, 1.1660019E-004, 8.1468765E-005, 6.0896426E-005, 5.5005563E-001
 7.0000567E+000, 2.0755882E-001, 1.1116160E+000, 1.1629441E+000, 1.6081761E+001, 2.1413104E+001, 1.5857350E+001, 1.5784077E+001, 1.6357241E+001, 1.6607821E+001, 1.7346660E+001, 1.8361825E+001, 1.8278944E+001, 1.8546162E+001, 1.8198414E+001, 1.7619888E+001, 1.6536930E+001, 1.5725268E+001, 1.4237861E+001, 1.2166067E+001, 9.7078138E+000, 8.2852205E+000, 7.3266326E+000, 6.5359711E+000, 6.1605926E+000, 5.5702189E+000, 5.0162301E+000, 4.1780183E+000, 3.3233666E+000, 2.3913975E+000, 2.0403344E+000, 1.7354110E+000, 1.5992338E+000, 1.4620915E+000, 1.3400005E+000, 1.2432019E+000, 1.1588566E+000, 1.1257943E+000, 1.0674848E+000, 9.1668064E-001, 6.9994962E-001, 5.3045758E-001, 4.3438058E-001, 3.5848061E-001, 3.0607188E-001, 2.1861697E-001, 1.3595227E-001, 7.1030495E-002, 4.5854734E-002, 3.2167971E-002, 1.7665400E-002, 1.0634216E-002, 5.1009014E-003, 2.2425148E-003, 5.3020848E-001
 8.0001339E+000, 2.0755882E-001, 1.1171237E+000, 1.1731860E+000, 1.5849081E+001, 2.1409155E+001, 1.5649932E+001, 1.5555907E+001, 1.6644639E+001, 1.7804378E+001, 1.8696133E+001, 1.9287507E+001, 1.8645529E+001, 1.6690449E+001, 1.5445132E+001, 1.4625246E+001, 1.4235637E+001, 1.3948623E+001, 1.3459081E+001, 1.2823410E+001, 1.1957105E+001, 1.0870093E+001, 9.8032431E+000, 8.5817043E+000, 7.6184821E+000, 6.4576945E+000, 5.4709300E+000, 4.6052346E+000, 3.9032332E+000, 3.0561144E+000, 2.4745472E+000, 2.0439312E+000, 1.5939136E+000, 1.2931825E+000, 1.0673418E+000, 8.4481741E-001, 6.4681998E-001, 5.2922225E-001, 4.2637754E-001, 3.6745496E-001, 3.1469594E-001, 2.8842835E-001, 1.3547054E-001, 1.2854769E-002, 4.7713636E-003, 2.2267273E-003, 1.6882105E-003, 1.2192969E-003, 7.8562341E-004, 4.7684940E-004, 3.2676248E-004, 2.3385447E-004, 1.6179006E-004, 1.3155156E-004, 5.8439646E-001
