s,mol/mol,kW/m2,kW/m2,m
Time,"XO2","qrad1","qrad2","L_F"
 0.0000000E+000, 2.0755882E-001,-1.0595652E-004,-1.1268787E-004, 0.0000000E+000
 1.0003631E+000, 2.0755882E-001, 1.4555828E-001, 1.5012609E-001, 4.9639291E-001
 2.0001047E+000, 2.0755882E-001, 6.6036828E-001, 6.6933406E-001, 3.6172862E-001
 3.0005083E+000, 2.0755882E-001, 7.7834733E-001, 7.9898811E-001, 5.3222703E-001
 4.0000954E+000, 2.0755882E-001, 7.9787012E-001, 8.3252555E-001, 3.3622652E-001
 5.0002756E+000, 2.0755882E-001, 7.8787050E-001, 8.1211053E-001, 5.1170563E-001
 6.0005234E+000, 2.0755882E-001, 8.1928695E-001, 8.2338617E-001, 4.9615060E-001
 7.0000536E+000, 2.0755882E-001, 8.2594369E-001, 8.4480477E-001, 6.5706309E-001
 8.0000905E+000, 2.0755882E-001, 8.2443998E-001, 8.4562985E-001, 4.3896981E-001
 9.0002741E+000, 2.0755882E-001, 8.0444323E-001, 8.3176777E-001, 4.8923673E-001
 1.0000355E+001, 2.0755882E-001, 8.2368463E-001, 8.5395032E-001, 3.0404165E-001
 1.1000086E+001, 2.0401849E-001, 8.1392338E-001, 8.3323477E-001, 4.8654924E-001
 1.2000570E+001, 2.0048310E-001, 7.8549442E-001, 8.1759991E-001, 4.9112064E-001
 1.3000232E+001, 1.9707740E-001, 7.7792123E-001, 8.1022766E-001, 4.6440648E-001
 1.4000448E+001, 1.9377755E-001, 7.4594303E-001, 7.6777624E-001, 4.3194792E-001
 1.5000237E+001, 1.9059412E-001, 7.3288254E-001, 7.5386980E-001, 5.5391730E-001
 1.6000266E+001, 1.8750679E-001, 6.9834288E-001, 7.3777517E-001, 5.2458981E-001
 1.7000424E+001, 1.8452302E-001, 6.8213778E-001, 7.0147756E-001, 4.2512363E-001
 1.8000047E+001, 1.8162851E-001, 6.6254299E-001, 6.9496546E-001, 4.3458447E-001
 1.9000409E+001, 1.7882784E-001, 6.4064133E-001, 6.6366003E-001, 5.1898067E-001
 2.0000320E+001, 1.7819134E-001, 6.1357690E-001, 6.2177861E-001, 4.4997617E-001
 2.1000441E+001, 1.7817488E-001, 5.9751704E-001, 6.0624283E-001, 5.5256080E-001
 2.2000195E+001, 1.7815840E-001, 5.9733199E-001, 6.2134879E-001, 6.1161269E-001
 2.3000188E+001, 1.7814196E-001, 5.9994503E-001, 6.1450348E-001, 3.6723852E-001
 2.4000440E+001, 1.7812548E-001, 6.1765351E-001, 6.1871548E-001, 5.9006293E-001
 2.5000019E+001, 1.7810904E-001, 6.0556796E-001, 6.2572577E-001, 3.7614138E-001
 2.6000210E+001, 1.7809257E-001, 6.0770720E-001, 6.1257320E-001, 5.4412406E-001
 2.7000029E+001, 1.7807614E-001, 5.9830757E-001, 6.1833585E-001, 5.9830284E-001
 2.8000167E+001, 1.7805967E-001, 5.9647636E-001, 6.1366150E-001, 4.3501519E-001
 2.9000271E+001, 1.7804325E-001, 5.9989183E-001, 6.1100539E-001, 4.1995351E-001
 3.0000118E+001, 1.7594390E-001, 5.8212699E-001, 6.0031583E-001, 5.0910637E-001
 3.1000038E+001, 1.7331168E-001, 5.9578202E-001, 6.1103240E-001, 4.8185439E-001
 3.2000197E+001, 1.7075093E-001, 5.4877250E-001, 5.7453332E-001, 5.4048182E-001
 3.3000019E+001, 1.6827169E-001, 5.3486182E-001, 5.5151182E-001, 5.8203948E-001
 3.4000381E+001, 1.6585608E-001, 5.2690816E-001, 5.3750904E-001, 4.4923097E-001
 3.5000543E+001, 1.6351537E-001, 4.7675552E-001, 4.8761268E-001, 3.3555066E-001
 3.6000267E+001, 1.6123475E-001, 4.6127723E-001, 4.6380574E-001, 5.4331923E-001
 3.7000367E+001, 1.5902165E-001, 4.1808031E-001, 4.3080185E-001, 6.1777736E-001
 3.8000236E+001, 1.5686347E-001, 4.1425527E-001, 4.2845173E-001, 4.1804978E-001
 3.9000426E+001, 1.5476812E-001, 3.6669727E-001, 3.6949203E-001, 6.4184046E-001
 4.0000467E+001, 1.5272316E-001, 3.4929197E-001, 3.6212541E-001, 7.1221670E-001
 4.1000430E+001, 1.5073631E-001, 3.1299752E-001, 3.2284571E-001, 6.1234899E-001
 4.2000343E+001, 1.4879592E-001, 3.0888055E-001, 3.1465022E-001, 6.8807318E-001
 4.3000464E+001, 1.4690946E-001, 2.7368306E-001, 2.8248067E-001, 5.5729305E-001
 4.4000412E+001, 1.4506532E-001, 2.5810268E-001, 2.6422837E-001, 4.6309111E-001
 4.5000255E+001, 1.4327237E-001, 2.5110006E-001, 2.5926647E-001, 7.2401277E-001
 4.6000153E+001, 1.4151828E-001, 2.2310077E-001, 2.3414811E-001, 8.4880080E-001
 4.7000522E+001, 1.3981031E-001, 1.9722132E-001, 2.0450625E-001, 5.6982034E-001
 4.8000375E+001, 1.3813931E-001, 1.6812179E-001, 1.7314054E-001, 6.0539334E-001
 4.9000326E+001, 1.3651241E-001, 1.3481161E-001, 1.3797974E-001, 8.2132701E-001
 5.0000248E+001, 1.3491861E-001, 1.0116158E-001, 1.0371430E-001, 8.8726740E-001
 5.1000288E+001, 1.3336620E-001, 5.1463513E-002, 5.2605169E-002, 4.4699457E-001
 5.2000192E+001, 1.3184520E-001, 2.8483773E-002, 2.9472750E-002, 2.0604454E-001
 5.3000592E+001, 1.3036154E-001, 1.6918801E-002, 1.7171113E-002, 1.5958669E-001
 5.4000656E+001, 1.2890716E-001, 1.1985496E-002, 1.2141441E-002, 1.4667476E-001
 5.5000608E+001, 1.2748947E-001, 8.5427757E-003, 8.7761578E-003, 1.4653579E-001
 5.6000317E+001, 1.2609858E-001, 6.5483656E-003, 6.6994612E-003, 1.4588536E-001
 5.7001096E+001, 1.2474076E-001, 4.8939776E-003, 4.9978570E-003, 1.4673098E-001
 5.8001044E+001, 1.2340921E-001, 3.6560046E-003, 3.7388343E-003, 1.4653030E-001
 5.9001624E+001, 1.2210817E-001, 2.6718309E-003, 2.7456637E-003, 1.4539806E-001
 6.0000050E+001, 1.2083280E-001, 1.9468876E-003, 1.9931304E-003, 1.4591498E-001
 6.1000548E+001, 1.1958513E-001, 1.4361708E-003, 1.4779339E-003, 5.3598012E-002
 6.2000582E+001, 1.1836022E-001, 1.0920693E-003, 1.1226656E-003, 0.0000000E+000
 6.3002403E+001, 1.1716256E-001, 9.0776768E-004, 9.2851925E-004, 0.0000000E+000
 6.4001911E+001, 1.1598702E-001, 8.2595482E-004, 8.4809068E-004, 0.0000000E+000
 6.5000359E+001, 1.1483822E-001, 7.8028546E-004, 8.0022541E-004, 0.0000000E+000
 6.6000245E+001, 1.1371061E-001, 7.5132849E-004, 7.7002254E-004, 0.0000000E+000
 6.7001303E+001, 1.1260357E-001, 7.2694507E-004, 7.4462750E-004, 0.0000000E+000
 6.8001053E+001, 1.1151850E-001, 7.0382861E-004, 7.2073417E-004, 0.0000000E+000
 6.9001086E+001, 1.1045481E-001, 6.8409056E-004, 7.0064016E-004, 0.0000000E+000
 7.0002583E+001, 1.0940844E-001, 6.6520941E-004, 6.8095298E-004, 0.0000000E+000
 7.1001582E+001, 1.0838611E-001, 6.4775608E-004, 6.6200074E-004, 0.0000000E+000
 7.2000580E+001, 1.0738092E-001, 6.3102318E-004, 6.4514315E-004, 0.0000000E+000
 7.3002662E+001, 1.0639223E-001, 6.1660955E-004, 6.2963577E-004, 0.0000000E+000
 7.4001075E+001, 1.0542304E-001, 6.0113041E-004, 6.1330673E-004, 0.0000000E+000
 7.5002784E+001, 1.0447207E-001, 5.8682394E-004, 5.9831726E-004, 0.0000000E+000
 7.6000957E+001, 1.0353702E-001, 5.7424956E-004, 5.8529918E-004, 0.0000000E+000
 7.7002382E+001, 1.0262005E-001, 5.6007141E-004, 5.7068462E-004, 0.0000000E+000
 7.8000320E+001, 1.0171864E-001, 5.4764602E-004, 5.5810759E-004, 0.0000000E+000
 7.9002158E+001, 1.0083171E-001, 5.3611065E-004, 5.4560368E-004, 0.0000000E+000
 8.0000000E+001, 9.9961273E-002, 5.2434823E-004, 5.3337662E-004, 0.0000000E+000
