s,mol/mol,kW/m2,kW/m2,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m,kW/m
Time,"XO2","qrad1","qrad2","Lf-01","Lf-02","Lf-03","Lf-04","Lf-05","Lf-06","Lf-07","Lf-08","Lf-09","Lf-10","Lf-11","Lf-12","Lf-13","Lf-14","Lf-15","Lf-16","Lf-17","Lf-18","Lf-19","Lf-20","Lf-21","Lf-22","Lf-23","Lf-24","Lf-25","Lf-26","Lf-27","Lf-28","Lf-29","Lf-30","Lf-31","Lf-32","Lf-33","Lf-34","Lf-35","Lf-36","Lf-37","Lf-38","Lf-39","Lf-40","Lf-41","Lf-42","Lf-43","Lf-44","Lf-45","Lf-46","Lf-47","Lf-48","Lf-49","Lf-50"
 0.0000000E+000, 2.0782285E-001,-9.4190510E-005,-1.0201282E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0002987E+000, 2.0782285E-001, 1.6727182E-001, 1.8053799E-001, 1.7363438E+001, 1.0373040E+001, 7.9717959E+000, 5.9202440E+000, 4.2889416E+000, 3.2003066E+000, 2.8578609E+000, 2.4446925E+000, 1.8882903E+000, 1.4389638E+000, 1.3212572E+000, 1.2357891E+000, 1.1369350E+000, 1.0432322E+000, 8.0193137E-001, 6.3920464E-001, 5.4567217E-001, 5.4528316E-001, 4.8743342E-001, 4.3256967E-001, 4.1898055E-001, 5.2172581E-001, 3.4201560E-001, 6.5463159E-002, 1.6104475E-002, 3.2181821E-003, 4.9634918E-004, 2.9557330E-004, 7.3182513E-005, 1.6430940E-005, 1.0025231E-005, 4.5225263E-006, 1.4715057E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0004099E+000, 2.0782285E-001, 8.4419355E-001, 8.8133806E-001, 1.3850702E+001, 1.6707728E+001, 1.3534616E+001, 1.2835609E+001, 1.2638764E+001, 1.2158957E+001, 1.1850942E+001, 1.2360005E+001, 1.2903188E+001, 1.3058318E+001, 1.2223266E+001, 1.2148435E+001, 1.1008430E+001, 9.3245394E+000, 8.3498444E+000, 7.8071675E+000, 6.9725807E+000, 6.3457864E+000, 5.8440774E+000, 5.3683391E+000, 4.7474257E+000, 3.8365079E+000, 3.1820485E+000, 2.5260856E+000, 2.1968606E+000, 1.6673566E+000, 1.0855391E+000, 6.3080507E-001, 3.9862521E-001, 2.2139455E-001, 1.4412153E-001, 1.6155180E-001, 1.6303882E-001, 1.4256251E-001, 5.8695760E-002, 4.4463312E-002, 3.7414552E-002, 1.5863646E-002, 2.6950118E-003, 8.8390704E-004, 5.5079404E-004, 3.4796406E-004, 2.2914390E-004, 1.3198021E-004, 8.2965558E-005, 5.6161329E-005, 3.2164373E-005, 1.3452433E-005, 3.6505064E-006, 6.8391661E-007
 3.0003134E+000, 2.0782285E-001, 1.0514574E+000, 1.0921970E+000, 1.5017362E+001, 1.5636018E+001, 1.4760550E+001, 1.4638443E+001, 1.4086629E+001, 1.3939666E+001, 1.3375648E+001, 1.3069204E+001, 1.3228123E+001, 1.3476941E+001, 1.3217270E+001, 1.3462878E+001, 1.2770353E+001, 1.1598292E+001, 1.0331956E+001, 9.5946956E+000, 8.9019586E+000, 7.7455364E+000, 6.8963781E+000, 6.5550226E+000, 6.2622090E+000, 5.6778458E+000, 4.8518265E+000, 3.9439469E+000, 3.3753510E+000, 2.8603342E+000, 2.3237368E+000, 1.6884681E+000, 1.1919114E+000, 8.6935904E-001, 5.9673849E-001, 5.1770411E-001, 4.3853266E-001, 3.6609329E-001, 2.8536521E-001, 2.2892970E-001, 1.6231214E-001, 9.5826104E-002, 5.3062698E-002, 2.9218710E-002, 1.4303136E-002, 4.1730649E-003, 1.7861548E-003, 7.8993711E-004, 5.2715952E-004, 4.0036866E-004, 3.4136883E-004, 2.8360504E-004, 2.2911869E-004, 1.7770418E-004
 4.0002667E+000, 2.0782285E-001, 1.1003820E+000, 1.1345132E+000, 1.5722816E+001, 1.6413040E+001, 1.5149410E+001, 1.4749885E+001, 1.4493433E+001, 1.4569544E+001, 1.4411937E+001, 1.3676804E+001, 1.3190075E+001, 1.3009185E+001, 1.2543186E+001, 1.2015946E+001, 1.1398404E+001, 1.0992246E+001, 9.9195109E+000, 9.1747637E+000, 9.2887703E+000, 9.2806104E+000, 8.8340213E+000, 8.4355959E+000, 7.8209487E+000, 7.1996335E+000, 6.9101949E+000, 5.9495586E+000, 5.4337867E+000, 4.3368407E+000, 3.5400869E+000, 2.9029685E+000, 2.3204066E+000, 1.9306061E+000, 1.3723462E+000, 1.0842858E+000, 7.6937643E-001, 4.7480775E-001, 3.2818921E-001, 2.5298232E-001, 1.2239735E-001, 3.7454310E-002, 2.1004922E-002, 1.7423150E-002, 1.7889536E-002, 1.4260481E-002, 1.1604072E-002, 7.0741716E-003, 3.7119731E-003, 1.4332719E-003, 3.9985915E-004, 1.5155272E-004, 8.4603374E-005, 5.9360216E-005
 5.0002614E+000, 2.0782285E-001, 1.0990898E+000, 1.1354629E+000, 1.5789485E+001, 1.6313595E+001, 1.4865203E+001, 1.4769718E+001, 1.4391284E+001, 1.4901426E+001, 1.5527458E+001, 1.5860131E+001, 1.5988159E+001, 1.5436815E+001, 1.4112396E+001, 1.2665505E+001, 1.1180854E+001, 1.0323754E+001, 9.5914520E+000, 9.1000745E+000, 8.6936051E+000, 8.0070439E+000, 7.7617278E+000, 7.3569620E+000, 6.9406304E+000, 6.3284427E+000, 5.9885551E+000, 5.5572505E+000, 5.5567714E+000, 5.3748271E+000, 5.1833503E+000, 4.4313053E+000, 4.1734207E+000, 3.5807279E+000, 2.6603637E+000, 1.9265600E+000, 1.2646309E+000, 7.1745508E-001, 4.7760627E-001, 3.7972544E-001, 2.4416083E-001, 1.6656055E-001, 1.1842607E-001, 6.0471623E-002, 2.4388515E-002, 1.2621800E-002, 6.5797623E-003, 2.9154236E-003, 1.3695546E-003, 5.9938650E-004, 2.2702942E-004, 1.2420167E-004, 8.2313943E-005, 7.2317842E-005
 6.0003799E+000, 2.0782285E-001, 1.0940013E+000, 1.1401643E+000, 1.8196187E+001, 1.6978422E+001, 1.5166756E+001, 1.4888490E+001, 1.5369931E+001, 1.5845308E+001, 1.6265474E+001, 1.6276910E+001, 1.6159437E+001, 1.6123751E+001, 1.5616018E+001, 1.3907112E+001, 1.3055638E+001, 1.2992754E+001, 1.2883572E+001, 1.2215931E+001, 1.1542823E+001, 1.0421903E+001, 9.1714229E+000, 8.1648665E+000, 7.0991839E+000, 6.2882819E+000, 5.7188792E+000, 4.9077559E+000, 4.0069463E+000, 2.9943147E+000, 2.6538378E+000, 2.3368346E+000, 1.9541224E+000, 1.4171873E+000, 1.1684391E+000, 9.6118276E-001, 6.6962982E-001, 5.0562548E-001, 3.9032978E-001, 2.6515985E-001, 1.1617822E-001, 3.8321206E-002, 8.6040245E-003, 1.4558810E-003, 7.7758743E-004, 4.8823986E-004, 3.7432693E-004, 2.5428571E-004, 1.8788928E-004, 1.3196995E-004, 1.0751871E-004, 8.6862897E-005, 7.1412758E-005, 5.3383325E-005
 7.0003092E+000, 2.0782285E-001, 1.1115728E+000, 1.1531250E+000, 1.6640716E+001, 1.6566230E+001, 1.5846658E+001, 1.5861761E+001, 1.5687028E+001, 1.4999569E+001, 1.4170539E+001, 1.4253526E+001, 1.4522252E+001, 1.4965481E+001, 1.5271543E+001, 1.5842043E+001, 1.5279931E+001, 1.4245993E+001, 1.3295428E+001, 1.2735981E+001, 1.1355440E+001, 1.0032022E+001, 9.0999896E+000, 8.2269192E+000, 6.8484374E+000, 5.4584277E+000, 4.6989543E+000, 3.7883208E+000, 3.3067064E+000, 2.8952134E+000, 2.5734267E+000, 2.2149227E+000, 1.9018766E+000, 1.5681694E+000, 1.2471910E+000, 9.6608566E-001, 6.8979697E-001, 5.1329713E-001, 4.0193410E-001, 3.1819178E-001, 1.0413440E-001, 2.9299801E-002, 1.1677343E-002, 4.1279682E-003, 2.2773287E-003, 1.4566755E-003, 1.0176509E-003, 6.6447923E-004, 4.2864706E-004, 2.5099472E-004, 1.5363978E-004, 9.0494557E-005, 5.8650215E-005, 4.5078607E-005
 8.0003804E+000, 2.0782285E-001, 1.1011901E+000, 1.1702684E+000, 1.7085163E+001, 1.6858134E+001, 1.5599936E+001, 1.5435425E+001, 1.5441664E+001, 1.5617211E+001, 1.5839451E+001, 1.6275121E+001, 1.6418797E+001, 1.7157164E+001, 1.7443987E+001, 1.7048160E+001, 1.5710331E+001, 1.4701084E+001, 1.3665217E+001, 1.2378430E+001, 1.1070616E+001, 9.8410166E+000, 8.5640102E+000, 7.6313381E+000, 6.4370805E+000, 5.2790951E+000, 4.4680158E+000, 3.3068216E+000, 2.6239507E+000, 2.1334897E+000, 1.7263330E+000, 1.1992181E+000, 9.2621578E-001, 7.4393420E-001, 5.9481634E-001, 4.4630750E-001, 2.8055169E-001, 1.2656883E-001, 6.3627386E-002, 3.3591079E-002, 2.3653225E-002, 2.1429575E-002, 9.6231907E-003, 1.5804760E-003, 8.1797289E-004, 5.3695634E-004, 3.8768723E-004, 1.8657035E-004, 1.0442603E-004, 6.1808575E-005, 3.2539418E-005, 1.6231101E-005, 5.1532258E-006, 1.1501763E-006
