s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS,MLR_NITROGEN
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.4919333E-004, 2.9056618E-020, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.4919333E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0003510E+000, 1.7096579E+001, 0.0000000E+000,-3.6319627E+000, 2.1393715E-001,-9.5369534E-002,-8.3121587E-004, 0.0000000E+000, 0.0000000E+000, 1.3324033E+001, 1.3582353E+001, 6.9825000E-002, 4.7049343E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0007975E+000, 4.0743306E+001, 0.0000000E+000,-8.7195213E+000,-2.0287283E+001,-1.0474635E-001,-1.3116836E-003, 0.0000000E+000, 0.0000000E+000, 1.1602561E+001, 1.1630444E+001, 6.9825000E-002, 9.6186390E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0007877E+000, 4.7328286E+001, 0.0000000E+000,-1.0413101E+001,-3.3306683E+001,-1.0449120E-001,-1.2941469E-003, 0.0000000E+000, 0.0000000E+000, 3.4471587E+000, 3.5027174E+000, 6.9825000E-002, 1.0621322E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.0010009E+000, 4.7785525E+001, 0.0000000E+000,-1.0831965E+001,-3.8075417E+001,-8.4861964E-002,-1.3034183E-003, 0.0000000E+000, 0.0000000E+000,-1.3205350E+000,-1.2080216E+000, 6.9825000E-002, 1.0766970E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0009251E+000, 4.8780505E+001, 0.0000000E+000,-1.0785853E+001,-3.7359353E+001,-7.2372032E-002,-1.2905960E-003, 0.0000000E+000, 0.0000000E+000, 5.8555004E-001, 5.6163597E-001, 6.9825000E-002, 1.0786880E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.0002384E+000, 4.8849895E+001, 0.0000000E+000,-1.1313618E+001,-3.7309759E+001,-6.5234971E-002,-1.3126396E-003, 0.0000000E+000, 0.0000000E+000, 1.0011786E-001, 1.5997023E-001, 6.9825000E-002, 1.0789577E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.0003514E+000, 4.8600649E+001, 0.0000000E+000,-1.1043703E+001,-3.8080020E+001,-7.9107642E-002,-1.3075477E-003, 0.0000000E+000, 0.0000000E+000,-5.7661063E-001,-6.0348814E-001, 6.9825000E-002, 1.0789943E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.0008898E+000, 4.8318790E+001, 0.0000000E+000,-1.0713837E+001,-3.6582223E+001,-4.3518160E-002,-1.2897091E-003, 0.0000000E+000, 0.0000000E+000, 9.4922361E-001, 9.7792176E-001, 6.9825000E-002, 1.0789992E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 9.0005713E+000, 4.8621751E+001, 0.0000000E+000,-1.0742692E+001,-3.8040794E+001,-4.9624301E-002,-1.2758428E-003, 0.0000000E+000, 0.0000000E+000,-3.6082944E-001,-2.1263606E-001, 6.9825000E-002, 1.0789999E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000183E+001, 4.8532228E+001, 0.0000000E+000,-1.0915435E+001,-3.6115651E+001,-4.3631383E-002,-1.2924144E-003, 0.0000000E+000, 0.0000000E+000, 1.3256806E+000, 1.4562179E+000, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.1000512E+001, 4.7964991E+001, 0.0000000E+000,-1.0525078E+001,-3.9002483E+001,-5.5468403E-002,-1.3144421E-003, 0.0000000E+000, 0.0000000E+000,-1.6485744E+000,-1.6193525E+000, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 6.1010105E-004
 1.2000154E+001, 4.8627992E+001, 0.0000000E+000,-1.0363267E+001,-3.6325894E+001,-4.0266858E-002,-1.2909663E-003, 0.0000000E+000, 0.0000000E+000, 1.9062935E+000, 1.8972732E+000, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 1.8281981E-003
 1.3000601E+001, 4.7995912E+001, 0.0000000E+000,-1.0491601E+001,-3.9530321E+001,-2.3906019E-002,-1.2487450E-003, 0.0000000E+000, 0.0000000E+000,-2.1839370E+000,-2.0511651E+000, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 3.0462397E-003
 1.4000149E+001, 4.8405696E+001, 0.0000000E+000,-1.0000329E+001,-3.7437791E+001,-3.4278092E-002,-1.2614046E-003, 0.0000000E+000, 0.0000000E+000, 8.8831313E-001, 9.3203599E-001, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 4.2644984E-003
 1.5000649E+001, 4.8296802E+001, 0.0000000E+000,-9.7039836E+000,-3.9320736E+001,-1.9707726E-002,-1.2422467E-003, 0.0000000E+000, 0.0000000E+000,-7.5743274E-001,-7.4886799E-001, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 5.4826224E-003
 1.6000395E+001, 4.7219975E+001, 0.0000000E+000,-9.3166009E+000,-3.8884811E+001,-2.6992527E-002,-1.2062341E-003, 0.0000000E+000, 0.0000000E+000,-9.6072190E-001,-1.0096356E+000, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 6.7008893E-003
 1.7000263E+001, 4.8514958E+001, 0.0000000E+000,-9.3122676E+000,-3.7379503E+001,-1.7789325E-002,-1.2034859E-003, 0.0000000E+000, 0.0000000E+000, 1.5132981E+000, 1.8041950E+000, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 7.9186162E-003
 1.8000612E+001, 4.7043216E+001, 0.0000000E+000,-8.6350326E+000,-3.8859764E+001,-2.2452925E-003,-1.1645237E-003, 0.0000000E+000, 0.0000000E+000,-5.8000514E-001,-4.5499069E-001, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 9.1370020E-003
 1.9000462E+001, 4.8846409E+001, 0.0000000E+000,-8.7485491E+000,-3.7289953E+001,-1.4448689E-002,-1.1436814E-003, 0.0000000E+000, 0.0000000E+000, 2.8038976E+000, 2.7923146E+000, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 1.0355186E-002
 2.0000576E+001, 4.8216942E+001, 0.0000000E+000,-8.5597827E+000,-4.1362248E+001,-3.2567354E-002,-1.1409808E-003, 0.0000000E+000, 0.0000000E+000,-1.9271499E+000,-1.7387973E+000, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 1.1184744E-002
 2.1000986E+001, 4.7416841E+001, 0.0000000E+000,-8.2784980E+000,-3.9025622E+001, 2.6455304E-003,-1.1091039E-003, 0.0000000E+000, 0.0000000E+000,-1.5387412E-002, 1.1425774E-001, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 1.1216016E-002
 2.2000942E+001, 4.8499972E+001, 0.0000000E+000,-8.6382238E+000,-3.8021685E+001,-1.4152829E-002,-1.0742709E-003, 0.0000000E+000, 0.0000000E+000, 1.6670869E+000, 1.8248358E+000, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 1.1223343E-002
 2.3000231E+001, 4.8669470E+001, 0.0000000E+000,-8.5748626E+000,-4.1650745E+001, 3.9441297E-003,-1.0846548E-003, 0.0000000E+000, 0.0000000E+000,-1.6642318E+000,-1.5532785E+000, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 1.1230664E-002
 2.4000336E+001, 4.8083685E+001, 0.0000000E+000,-8.5482253E+000,-3.8856513E+001, 4.1227076E-003,-1.0968954E-003, 0.0000000E+000, 0.0000000E+000, 5.7567370E-001, 6.8197264E-001, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 1.1237986E-002
 2.5000168E+001, 4.7980141E+001, 0.0000000E+000,-8.4942683E+000,-3.9442022E+001,-2.8335079E-003,-1.0616532E-003, 0.0000000E+000, 0.0000000E+000,-9.4196213E-002, 3.9955727E-002, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 1.1245310E-002
 2.6000494E+001, 4.9895207E+001, 0.0000000E+000,-8.7083068E+000,-3.9890630E+001,-3.7729871E-002,-1.1139374E-003, 0.0000000E+000, 0.0000000E+000, 1.0000489E+000, 1.2574258E+000, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 1.1252636E-002
 2.7000301E+001, 4.6738674E+001, 0.0000000E+000,-7.8551290E+000,-4.0740367E+001,-2.9456866E-002,-1.0966542E-003, 0.0000000E+000, 0.0000000E+000,-1.9894154E+000,-1.8873752E+000, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 1.1259960E-002
 2.8000238E+001, 4.9157729E+001, 0.0000000E+000,-8.3601008E+000,-4.0320279E+001,-4.5840368E-003,-1.1049137E-003, 0.0000000E+000, 0.0000000E+000, 4.1260301E-001, 4.7166006E-001, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 1.1267285E-002
 2.9000048E+001, 4.7757028E+001, 0.0000000E+000,-8.2114624E+000,-3.9410860E+001, 4.9784377E-003,-1.0763107E-003, 0.0000000E+000, 0.0000000E+000,-1.9509922E-002, 1.3860789E-001, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 1.1274609E-002
 3.0000313E+001, 4.6916662E+001, 0.0000000E+000,-8.0032479E+000,-3.9398536E+001, 4.2447728E-003,-1.0164472E-003, 0.0000000E+000, 0.0000000E+000,-5.4288985E-001,-4.8189351E-001, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 1.1670594E-002
 3.1000856E+001, 4.9023436E+001, 0.0000000E+000,-8.2427542E+000,-3.9935818E+001,-8.2078179E-003,-1.0372600E-003, 0.0000000E+000, 0.0000000E+000, 7.9411672E-001, 8.3561866E-001, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 1.2866783E-002
 3.2000050E+001, 4.7964915E+001, 0.0000000E+000,-8.0053961E+000,-4.0520864E+001,-9.6621357E-003,-9.9201972E-004, 0.0000000E+000, 0.0000000E+000,-5.7009644E-001,-5.7199915E-001, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 1.4086475E-002
 3.3000397E+001, 4.7189425E+001, 0.0000000E+000,-7.4280021E+000,-4.0134780E+001,-1.1274827E-002,-1.0076702E-003, 0.0000000E+000, 0.0000000E+000,-5.2680908E-001,-3.8563973E-001, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 1.5305897E-002
 3.4000984E+001, 4.8343977E+001, 0.0000000E+000,-7.6972105E+000,-3.9134282E+001,-7.8704853E-003,-9.4921154E-004, 0.0000000E+000, 0.0000000E+000, 1.5043824E+000, 1.5036648E+000, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 1.6526326E-002
 3.5000031E+001, 4.7665818E+001, 0.0000000E+000,-7.0910005E+000,-4.0500680E+001, 3.8089916E-003,-9.1390841E-004, 0.0000000E+000, 0.0000000E+000, 1.4337898E-002, 7.7032718E-002, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 1.7745861E-002
 3.6001015E+001, 4.6270976E+001, 0.0000000E+000,-6.4791640E+000,-4.0981656E+001,-3.5549587E-002,-8.6035776E-004, 0.0000000E+000, 0.0000000E+000,-1.2665388E+000,-1.2262537E+000, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 1.8965698E-002
 3.7000702E+001, 4.9755499E+001, 0.0000000E+000,-6.7186590E+000,-4.3331974E+001,-1.2529423E-002,-8.7578865E-004, 0.0000000E+000, 0.0000000E+000,-3.5166262E-001,-3.0853939E-001, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 2.0185883E-002
 3.8000053E+001, 4.6604570E+001, 0.0000000E+000,-6.0022004E+000,-4.0286637E+001,-1.2865714E-002,-8.7537215E-004, 0.0000000E+000, 0.0000000E+000, 1.9972357E-001, 3.0199104E-001, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 2.1405049E-002
 3.9000088E+001, 4.8343423E+001, 0.0000000E+000,-6.2682217E+000,-4.2560940E+001,-1.4622046E-002,-8.7822255E-004, 0.0000000E+000, 0.0000000E+000,-5.5252701E-001,-5.0123861E-001, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 2.2624514E-002
 4.0000397E+001, 4.7296010E+001, 0.0000000E+000,-5.5451946E+000,-4.0537478E+001,-2.9638326E-002,-8.3884227E-004, 0.0000000E+000, 0.0000000E+000, 1.1484833E+000, 1.1828595E+000, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 2.3844554E-002
 4.1000458E+001, 4.9145140E+001, 0.0000000E+000,-5.5864897E+000,-4.4341409E+001,-2.1133075E-002,-8.5677278E-004, 0.0000000E+000, 0.0000000E+000,-8.7035436E-001,-8.0474873E-001, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 2.5064397E-002
 4.2000889E+001, 4.7061621E+001, 0.0000000E+000,-5.4469971E+000,-3.9674671E+001,-1.1028709E-002,-8.6526722E-004, 0.0000000E+000, 0.0000000E+000, 1.7576042E+000, 1.9280589E+000, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 2.6284667E-002
 4.3000401E+001, 4.8550337E+001, 0.0000000E+000,-5.1368217E+000,-4.5238946E+001,-5.4561855E-002,-8.5382943E-004, 0.0000000E+000, 0.0000000E+000,-2.0217723E+000,-1.8808470E+000, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 2.7504317E-002
 4.4000793E+001, 4.7148509E+001, 0.0000000E+000,-4.5946711E+000,-4.3267956E+001,-3.9852929E-002,-8.1206116E-004, 0.0000000E+000, 0.0000000E+000,-8.2471889E-001,-7.5478301E-001, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 2.8724035E-002
 4.5000774E+001, 4.8698237E+001, 0.0000000E+000,-4.6166462E+000,-4.1521607E+001,-2.4037623E-002,-8.3178608E-004, 0.0000000E+000, 0.0000000E+000, 2.5032540E+000, 2.5351139E+000, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 2.9944090E-002
 4.6000019E+001, 4.7360575E+001, 0.0000000E+000,-4.3780783E+000,-4.3449391E+001,-5.5696870E-002,-8.3415618E-004, 0.0000000E+000, 0.0000000E+000,-4.8733510E-001,-5.2342504E-001, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 3.1163487E-002
 4.7000797E+001, 4.7807929E+001, 0.0000000E+000,-4.3009483E+000,-4.2715786E+001,-5.0446913E-002,-8.2548888E-004, 0.0000000E+000, 0.0000000E+000, 6.9941466E-001, 7.3992270E-001, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 3.2383157E-002
 4.8000553E+001, 4.7492886E+001, 0.0000000E+000,-3.8890224E+000,-4.6376576E+001,-3.9862781E-002,-8.1074221E-004, 0.0000000E+000, 0.0000000E+000,-2.7911434E+000,-2.8133864E+000, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 3.3603377E-002
 4.9000080E+001, 4.6856465E+001, 0.0000000E+000,-3.6344157E+000,-4.1322942E+001,-2.5830803E-002,-7.9355617E-004, 0.0000000E+000, 0.0000000E+000, 1.9345840E+000, 1.8724820E+000, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 3.4822678E-002
 5.0000370E+001, 4.7327782E+001, 0.0000000E+000,-3.5760924E+000,-4.3642522E+001,-4.3420265E-002,-7.8800271E-004, 0.0000000E+000, 0.0000000E+000,-5.9400570E-002, 6.4958957E-002, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 3.6042420E-002
 5.1000416E+001, 4.6671071E+001, 0.0000000E+000,-3.1131181E+000,-4.2479891E+001,-3.9129615E-002,-7.6929121E-004, 0.0000000E+000, 0.0000000E+000, 7.4907999E-001, 1.0381627E+000, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 3.7262332E-002
 5.2000587E+001, 4.7093507E+001, 0.0000000E+000,-3.1509398E+000,-4.7078912E+001,-5.0846577E-002,-7.9109549E-004, 0.0000000E+000, 0.0000000E+000,-3.2265447E+000,-3.1879820E+000, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 3.8482312E-002
 5.3000370E+001, 4.7080474E+001, 0.0000000E+000,-3.0905803E+000,-4.3931062E+001,-4.6489257E-002,-7.6406103E-004, 0.0000000E+000, 0.0000000E+000,-1.0571958E-001, 1.1578574E-002, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 3.9702050E-002
 5.4000431E+001, 4.7130982E+001, 0.0000000E+000,-2.8970129E+000,-4.2668796E+001,-3.4825733E-002,-7.7382405E-004, 0.0000000E+000, 0.0000000E+000, 1.4333588E+000, 1.5295737E+000, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 4.0921831E-002
 5.5000473E+001, 4.5466029E+001, 0.0000000E+000,-2.4448108E+000,-4.2710075E+001,-5.0551025E-002,-7.7267160E-004, 0.0000000E+000, 0.0000000E+000, 1.1007653E-001, 2.5981950E-001, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 4.2141596E-002
 5.6000698E+001, 4.0383694E+001, 0.0000000E+000,-1.9618809E+000,-4.0882996E+001,-3.3185064E-002,-7.2286032E-004, 0.0000000E+000, 0.0000000E+000,-2.5264556E+000,-2.4950906E+000, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 4.3361617E-002
 5.7000023E+001, 3.7864794E+001, 0.0000000E+000,-1.5543602E+000,-3.7516264E+001,-6.3580604E-002,-6.9962469E-004, 0.0000000E+000, 0.0000000E+000,-1.4220137E+000,-1.2701100E+000, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 4.4581166E-002
 5.8000256E+001, 2.6276730E+001, 0.0000000E+000,-9.4261455E-001,-3.2773043E+001,-5.8497573E-002,-7.0413115E-004, 0.0000000E+000, 0.0000000E+000,-7.6038943E+000,-7.4981289E+000, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 4.5800699E-002
 5.9000328E+001, 1.3058578E+001, 0.0000000E+000,-2.8106019E-001,-1.6609221E+001,-3.1076677E-002,-6.5535945E-004, 0.0000000E+000, 0.0000000E+000,-3.9368198E+000,-3.8634347E+000, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 4.7020826E-002
 6.0000584E+001, 7.9013507E+000, 0.0000000E+000,-1.3475936E-001,-9.5636119E+000,-1.5300238E-002,-6.0773410E-004, 0.0000000E+000, 0.0000000E+000,-1.8441599E+000,-1.8129285E+000, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 4.8241246E-002
 6.1002060E+001, 5.6797003E+000, 0.0000000E+000,-8.0794943E-002,-7.4954693E+000,-7.4550459E-003,-5.7778333E-004, 0.0000000E+000, 0.0000000E+000,-1.9322497E+000,-1.9045968E+000, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 4.9462101E-002
 6.2000092E+001, 4.4840893E+000, 0.0000000E+000,-5.1572413E-002,-5.4577167E+000, 1.8737039E-003,-5.0688318E-004, 0.0000000E+000, 0.0000000E+000,-1.0585789E+000,-1.0238330E+000, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 5.0681963E-002
 6.3000366E+001, 2.9432734E+000, 0.0000000E+000,-2.6770219E-002,-4.1510085E+000, 1.2494001E-002,-4.3350011E-004, 0.0000000E+000, 0.0000000E+000,-1.2371009E+000,-1.2224448E+000, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 5.1900837E-002
 6.4001556E+001, 1.4462049E+000, 0.0000000E+000,-1.1289682E-002,-3.5401201E+000, 1.6444884E-002,-2.6543727E-004, 0.0000000E+000, 0.0000000E+000,-2.1061396E+000,-2.0890254E+000, 6.9825000E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 5.3121629E-002
