s,mol/mol,kW/m2,kW/m2,m
Time,"XO2","qrad1","qrad2","L_F"
 0.0000000E+000, 2.0755882E-001,-1.0595652E-004,-1.1268787E-004, 0.0000000E+000
 1.0004670E+000, 2.0755882E-001, 1.5686435E-001, 1.6093973E-001, 4.5811197E-001
 2.0003967E+000, 2.0755882E-001, 7.6835258E-001, 8.0453957E-001, 4.2026640E-001
 3.0004872E+000, 2.0755882E-001, 9.4373364E-001, 9.8204867E-001, 4.8119324E-001
 4.0004605E+000, 2.0755882E-001, 1.0093741E+000, 1.0357722E+000, 6.6686244E-001
 5.0004689E+000, 2.0755882E-001, 1.0079254E+000, 1.0688769E+000, 4.4857744E-001
 6.0002918E+000, 2.0755882E-001, 1.0269129E+000, 1.0608168E+000, 4.9417705E-001
 7.0001352E+000, 2.0755882E-001, 1.0077890E+000, 1.0490509E+000, 5.2790943E-001
 8.0002856E+000, 2.0755882E-001, 1.0386697E+000, 1.0527645E+000, 4.4267134E-001
 9.0000208E+000, 2.0755882E-001, 1.0206585E+000, 1.0464679E+000, 4.4949275E-001
 1.0000270E+001, 2.0755882E-001, 1.0087675E+000, 1.0415973E+000, 5.8690631E-001
 1.1000068E+001, 2.0401844E-001, 1.0504589E+000, 1.0585621E+000, 4.7365731E-001
 1.2000050E+001, 2.0048483E-001, 1.0112373E+000, 1.0283906E+000, 5.0558586E-001
 1.3000454E+001, 1.9707716E-001, 9.4923112E-001, 9.8360921E-001, 4.2635786E-001
 1.4000031E+001, 1.9377860E-001, 9.5513135E-001, 1.0168506E+000, 3.8583916E-001
 1.5000484E+001, 1.9059363E-001, 8.9479987E-001, 9.4377458E-001, 4.5705363E-001
 1.6000507E+001, 1.8750523E-001, 9.1604480E-001, 9.4732623E-001, 4.8671050E-001
 1.7000006E+001, 1.8452395E-001, 8.7355092E-001, 9.0324940E-001, 5.1043959E-001
 1.8000074E+001, 1.8162799E-001, 8.7407309E-001, 9.0046357E-001, 4.6926741E-001
 1.9000299E+001, 1.7882819E-001, 8.3286526E-001, 8.7431716E-001, 6.0149482E-001
 2.0000401E+001, 1.7819134E-001, 8.3317552E-001, 8.7370003E-001, 4.2929261E-001
 2.1000425E+001, 1.7817488E-001, 7.8923640E-001, 8.1606364E-001, 6.0573875E-001
 2.2000167E+001, 1.7815840E-001, 7.9405637E-001, 8.2426928E-001, 3.7354656E-001
 2.3000289E+001, 1.7814196E-001, 8.1811831E-001, 8.3233673E-001, 4.9511608E-001
 2.4000461E+001, 1.7812548E-001, 8.1556500E-001, 8.3961247E-001, 5.0951138E-001
 2.5000279E+001, 1.7810904E-001, 8.1887010E-001, 8.3119048E-001, 3.9278416E-001
 2.6000040E+001, 1.7809257E-001, 8.0901682E-001, 8.1330172E-001, 5.3652876E-001
 2.7000326E+001, 1.7807614E-001, 8.0076657E-001, 8.3276228E-001, 4.8386119E-001
 2.8000222E+001, 1.7805967E-001, 8.0039970E-001, 8.2262761E-001, 4.4862252E-001
 2.9000200E+001, 1.7804325E-001, 8.2663672E-001, 8.3981224E-001, 4.4030678E-001
 3.0000515E+001, 1.7594250E-001, 8.0560548E-001, 8.3548252E-001, 3.8001334E-001
 3.1000128E+001, 1.7331162E-001, 7.7609315E-001, 7.8625638E-001, 5.2951166E-001
 3.2000142E+001, 1.7075153E-001, 7.5210382E-001, 7.8042427E-001, 4.2233953E-001
 3.3000209E+001, 1.6827106E-001, 7.4031349E-001, 7.5667359E-001, 6.8003353E-001
 3.4000360E+001, 1.6585642E-001, 7.2191226E-001, 7.3637488E-001, 4.3009668E-001
 3.5000562E+001, 1.6351533E-001, 6.8351569E-001, 6.9452196E-001, 5.0948954E-001
 3.6000327E+001, 1.6123449E-001, 6.7999858E-001, 7.0952609E-001, 4.2893557E-001
 3.7000107E+001, 1.5902210E-001, 6.3705466E-001, 6.5168071E-001, 4.2520032E-001
 3.8000488E+001, 1.5686294E-001, 6.1608972E-001, 6.3870003E-001, 4.7501603E-001
 3.9000275E+001, 1.5476835E-001, 5.7854716E-001, 5.9905678E-001, 7.1664303E-001
 4.0000227E+001, 1.5272341E-001, 5.5536933E-001, 5.6417192E-001, 6.5049566E-001
 4.1000074E+001, 1.5073702E-001, 5.5605162E-001, 5.5903905E-001, 5.7232114E-001
 4.2000103E+001, 1.4879629E-001, 5.0484324E-001, 5.2173408E-001, 5.4333495E-001
 4.3000062E+001, 1.4691001E-001, 4.7281978E-001, 4.8882487E-001, 6.6304952E-001
 4.4000304E+001, 1.4506578E-001, 4.5416800E-001, 4.6816883E-001, 6.5921673E-001
 4.5000084E+001, 1.4327274E-001, 4.4050510E-001, 4.5817197E-001, 5.9631213E-001
 4.6000197E+001, 1.4151815E-001, 4.0920862E-001, 4.2496098E-001, 6.4455553E-001
 4.7000346E+001, 1.3981060E-001, 3.7519351E-001, 3.9481316E-001, 5.8114724E-001
 4.8000088E+001, 1.3813964E-001, 3.6191588E-001, 3.7599066E-001, 6.5234117E-001
 4.9000424E+001, 1.3651242E-001, 3.4599718E-001, 3.5525031E-001, 6.3787871E-001
 5.0000459E+001, 1.3491825E-001, 3.2583870E-001, 3.3306110E-001, 6.5012274E-001
 5.1000307E+001, 1.3336630E-001, 2.9347905E-001, 2.9962325E-001, 8.3119928E-001
 5.2000071E+001, 1.3184492E-001, 2.9207725E-001, 2.9630306E-001, 6.5955426E-001
 5.3000271E+001, 1.3036194E-001, 2.6121107E-001, 2.7087331E-001, 6.1949339E-001
 5.4000008E+001, 1.2890812E-001, 2.2910532E-001, 2.3928072E-001, 9.1507591E-001
 5.5000490E+001, 1.2748969E-001, 2.2583122E-001, 2.3262804E-001, 9.2571381E-001
 5.6000328E+001, 1.2609850E-001, 1.9224653E-001, 1.9760912E-001, 8.2433808E-001
 5.7000382E+001, 1.2474192E-001, 1.6984479E-001, 1.7805816E-001, 9.1150179E-001
 5.8000454E+001, 1.2340969E-001, 1.4444020E-001, 1.4613473E-001, 7.6931509E-001
 5.9000233E+001, 1.2210968E-001, 1.0351279E-001, 1.0529022E-001, 9.1884238E-001
 6.0000607E+001, 1.2083239E-001, 5.4287409E-002, 5.5230567E-002, 7.3385187E-001
 6.1000568E+001, 1.1958571E-001, 1.9751884E-002, 1.9824144E-002, 1.6338565E-001
 6.2000075E+001, 1.1836163E-001, 8.4768105E-003, 8.7035121E-003, 1.4664965E-001
 6.3001348E+001, 1.1716408E-001, 5.2159254E-003, 5.3286303E-003, 1.4520904E-001
 6.4000077E+001, 1.1598984E-001, 3.1264736E-003, 3.1883617E-003, 1.4696933E-001
 6.5000179E+001, 1.1483908E-001, 1.9413317E-003, 1.9913895E-003, 1.4791986E-001
 6.6000711E+001, 1.1370936E-001, 1.4582061E-003, 1.5052484E-003, 1.4931579E-001
 6.7002003E+001, 1.1260372E-001, 1.2910456E-003, 1.3361652E-003, 0.0000000E+000
 6.8001464E+001, 1.1151690E-001, 1.2042758E-003, 1.2457660E-003, 0.0000000E+000
 6.9004516E+001, 1.1045217E-001, 1.1475410E-003, 1.1874082E-003, 0.0000000E+000
 7.0001743E+001, 1.0940865E-001, 1.0977028E-003, 1.1356741E-003, 0.0000000E+000
 7.1001934E+001, 1.0838481E-001, 1.0546579E-003, 1.0916936E-003, 0.0000000E+000
 7.2001157E+001, 1.0737912E-001, 1.0177187E-003, 1.0524917E-003, 0.0000000E+000
 7.3000588E+001, 1.0639335E-001, 9.8221976E-004, 1.0159159E-003, 0.0000000E+000
 7.4000090E+001, 1.0542599E-001, 9.4898272E-004, 9.8202250E-004, 0.0000000E+000
 7.5002074E+001, 1.0447177E-001, 9.1932118E-004, 9.5097009E-004, 0.0000000E+000
 7.6002846E+001, 1.0353659E-001, 8.9184034E-004, 9.2205338E-004, 0.0000000E+000
 7.7001825E+001, 1.0262022E-001, 8.6564735E-004, 8.9440242E-004, 0.0000000E+000
 7.8003263E+001, 1.0171715E-001, 8.4070280E-004, 8.6767328E-004, 0.0000000E+000
 7.9002116E+001, 1.0083129E-001, 8.1792361E-004, 8.4320076E-004, 0.0000000E+000
 8.0000000E+001, 9.9961959E-002, 7.9584303E-004, 8.1986959E-004, 0.0000000E+000
