m,C,C,C,mol/mol,C,C,C,mol/mol,C,C,C,mol/mol,C,C,C,mol/mol,m,C,C
y,T_125,TC_125,TC_rms_125,XO2_125,T_250,TC_250,TC_rms_250,XO2_250,T_500,TC_500,TC_rms_500,XO2_500,T_1000,TC_1000,TC_rms_1000,XO2_1000,z,TCz,TCz_rms
-2.4688000E-001, 2.0713470E+001, 2.8296438E+001, 3.8662183E-001, 2.0524125E-001, 2.0888894E+001, 2.9200229E+001, 3.3479766E-001, 2.0755153E-001, 2.1235163E+001, 2.6830461E+001, 1.7426698E-001, 2.0754904E-001, 5.8208177E+001, 6.9721975E+001, 1.5325026E+001, 2.0185277E-001, 3.0000000E-002, 2.7929491E+002, 2.1808830E+001
-2.3421949E-001, 2.0749913E+001, 2.9025592E+001, 4.3933862E-001, 2.0399288E-001, 2.0924381E+001, 2.9940754E+001, 3.4243040E-001, 2.0753799E-001, 2.1880417E+001, 2.8265909E+001, 9.1519471E-001, 2.0744876E-001, 6.3303233E+001, 7.4551343E+001, 1.4343966E+001, 2.0104503E-001, 7.2173913E-002, 4.9097035E+002, 3.8525327E+001
-2.2155897E-001, 2.0747590E+001, 2.9346407E+001, 4.4284159E-001, 2.0045236E-001, 2.0951827E+001, 3.0485281E+001, 3.8593850E-001, 2.0750986E-001, 2.4051817E+001, 3.1867693E+001, 2.4417406E+000, 2.0709338E-001, 6.9803375E+001, 8.0036349E+001, 1.3486195E+001, 2.0003642E-001, 1.1434783E-001, 6.9253525E+002, 5.3271894E+001
-2.0889846E-001, 2.0696575E+001, 2.9470947E+001, 4.6021249E-001, 1.9420257E-001, 2.0989382E+001, 3.1283689E+001, 4.0009193E-001, 2.0745288E-001, 2.7313062E+001, 3.6673719E+001, 4.2694909E+000, 2.0653825E-001, 7.7182867E+001, 8.6931614E+001, 1.2549466E+001, 1.9886887E-001, 1.5652174E-001, 7.7369496E+002, 4.0768894E+001
-1.9623795E-001, 2.0568504E+001, 2.9643996E+001, 4.9702964E-001, 1.8713300E-001, 2.1033436E+001, 3.2057238E+001, 4.3611168E-001, 2.0732048E-001, 3.0660130E+001, 4.1231662E+001, 5.6115140E+000, 2.0599307E-001, 8.4402196E+001, 9.4240300E+001, 1.1411529E+001, 1.9773722E-001, 1.9869565E-001, 8.0227712E+002, 3.8470053E+001
-1.8357744E-001, 2.0413192E+001, 2.9967467E+001, 5.2628681E-001, 1.8193947E-001, 2.1084612E+001, 3.2998474E+001, 4.4951338E-001, 2.0710215E-001, 3.4557586E+001, 4.6533636E+001, 7.2561555E+000, 2.0536741E-001, 9.1979972E+001, 1.0178680E+002, 1.0322553E+001, 1.9655370E-001, 2.4086957E-001, 7.9098466E+002, 4.0565971E+001
-1.7091692E-001, 2.0335289E+001, 3.0632576E+001, 5.4868539E-001, 1.7951946E-001, 2.1132819E+001, 3.3972914E+001, 4.6586778E-001, 2.0677653E-001, 4.1293631E+001, 5.3768129E+001, 1.0695428E+001, 2.0436142E-001, 1.0056505E+002, 1.0977573E+002, 9.2828798E+000, 1.9526911E-001, 2.8304348E-001, 7.8015010E+002, 5.2194059E+001
-1.5825641E-001, 2.0316912E+001, 3.1469386E+001, 6.0121661E-001, 1.7859754E-001, 2.1188918E+001, 3.5168757E+001, 4.9799660E-001, 2.0611650E-001, 5.1253533E+001, 6.5731916E+001, 1.3566194E+001, 2.0291794E-001, 1.1079628E+002, 1.1915305E+002, 9.5575323E+000, 1.9378237E-001, 3.2521739E-001, 7.4131813E+002, 7.3326230E+001
-1.4559590E-001, 2.0323375E+001, 3.2405262E+001, 6.3869930E-001, 1.7830835E-001, 2.1291363E+001, 3.6369228E+001, 5.3174945E-001, 2.0467936E-001, 6.7418532E+001, 8.6576120E+001, 1.5601182E+001, 2.0058592E-001, 1.2195774E+002, 1.2956114E+002, 9.9099116E+000, 1.9218636E-001, 3.6739130E-001, 7.0680756E+002, 8.0036706E+001
