m,C,C,C,mol/mol,C,C,C,mol/mol,C,C,C,mol/mol,m,C,C
y,T_125,TC_125,TC_rms_125,XO2_125,T_250,TC_250,TC_rms_250,XO2_250,T_500,TC_500,TC_rms_500,XO2_500,z,TCz,TCz_rms
-2.4688000E-001, 2.0976327E+001, 3.1630730E+001, 4.2909112E-001, 2.0670824E-001, 2.1158417E+001, 3.2311424E+001, 3.2223863E-001, 2.0755879E-001, 2.1562013E+001, 2.9184549E+001, 1.9708249E-001, 2.0755882E-001, 3.0000000E-002, 4.6787512E+002, 5.5461423E+001
-2.4062987E-001, 2.1033053E+001, 3.2068869E+001, 4.8169595E-001, 2.0626499E-001, 2.1180928E+001, 3.2715389E+001, 3.2964108E-001, 2.0755856E-001, 2.1583440E+001, 2.9382202E+001, 2.0853851E-001, 2.0755882E-001, 7.2173913E-002, 7.8442152E+002, 3.4960024E+001
-2.3437975E-001, 2.1089470E+001, 3.2564194E+001, 4.8315809E-001, 2.0532086E-001, 2.1204333E+001, 3.3114119E+001, 3.3377750E-001, 2.0755666E-001, 2.1605576E+001, 2.9620969E+001, 2.1337675E-001, 2.0755882E-001, 1.1434783E-001, 8.6809556E+002, 3.5646987E+001
-2.2812962E-001, 2.1122000E+001, 3.3047714E+001, 4.3724601E-001, 2.0346356E-001, 2.1231586E+001, 3.3559948E+001, 3.4254449E-001, 2.0754538E-001, 2.1628314E+001, 2.9838819E+001, 2.2667165E-001, 2.0755882E-001, 1.5652174E-001, 8.7694744E+002, 3.3019677E+001
-2.2187949E-001, 2.1119028E+001, 3.3390713E+001, 4.1742277E-001, 2.0046060E-001, 2.1266612E+001, 3.4001786E+001, 3.5488920E-001, 2.0750631E-001, 2.1651856E+001, 3.0084015E+001, 2.4534220E-001, 2.0755880E-001, 1.9869565E-001, 8.6800698E+002, 3.6973356E+001
-2.1562937E-001, 2.1077040E+001, 3.3511376E+001, 4.3701303E-001, 1.9651327E-001, 2.1310020E+001, 3.4497619E+001, 3.6876285E-001, 2.0744168E-001, 2.1681801E+001, 3.0333551E+001, 2.6374382E-001, 2.0755795E-001, 2.4086957E-001, 8.3500956E+002, 4.0972733E+001
-2.0937924E-001, 2.0987730E+001, 3.3483455E+001, 4.5290413E-001, 1.9210896E-001, 2.1356515E+001, 3.4995498E+001, 3.7757365E-001, 2.0736989E-001, 2.1808950E+001, 3.0672308E+001, 2.7433331E-001, 2.0754200E-001, 2.8304348E-001, 8.1881092E+002, 3.3698078E+001
-2.0312911E-001, 2.0848358E+001, 3.3445411E+001, 4.4957281E-001, 1.8770135E-001, 2.1402479E+001, 3.5543741E+001, 3.9180722E-001, 2.0729360E-001, 2.2528673E+001, 3.1757597E+001, 1.2240926E+000, 2.0743017E-001, 3.2521739E-001, 7.9753167E+002, 3.3214150E+001
-1.9687899E-001, 2.0686587E+001, 3.3500914E+001, 4.3859181E-001, 1.8387389E-001, 2.1442391E+001, 3.6084696E+001, 4.1468509E-001, 2.0721116E-001, 2.3508423E+001, 3.3430858E+001, 3.1081569E+000, 2.0727567E-001, 3.6739130E-001, 7.6279029E+002, 3.9619521E+001
-1.9062886E-001, 2.0551819E+001, 3.3713431E+001, 4.3161648E-001, 1.8111446E-001, 2.1476516E+001, 3.6682130E+001, 4.2973657E-001, 2.0711464E-001, 2.4717516E+001, 3.5166339E+001, 4.7026964E+000, 2.0708863E-001, 4.0956522E-001, 7.1516568E+002, 4.0089343E+001
-1.8437873E-001, 2.0469947E+001, 3.4085996E+001, 4.3698389E-001, 1.7944216E-001, 2.1508835E+001, 3.7290241E+001, 4.3451769E-001, 2.0693659E-001, 2.7833105E+001, 3.9304880E+001, 7.3014033E+000, 2.0663015E-001, 4.5173913E-001, 6.7381366E+002, 4.0277138E+001
-1.7812861E-001, 2.0436604E+001, 3.4589914E+001, 4.5034442E-001, 1.7863450E-001, 2.1544027E+001, 3.7954047E+001, 4.3568878E-001, 2.0662067E-001, 3.2197194E+001, 4.5658951E+001, 9.2970691E+000, 2.0596218E-001, 4.9391304E-001, 6.1842343E+002, 3.9841278E+001
-1.7187848E-001, 2.0430724E+001, 3.5164537E+001, 4.6543584E-001, 1.7832591E-001, 2.1581348E+001, 3.8621590E+001, 4.5463291E-001, 2.0610766E-001, 3.6502240E+001, 5.1905795E+001, 1.1219330E+001, 2.0526498E-001, 5.3608696E-001, 5.7122554E+002, 3.5907941E+001
-1.6562835E-001, 2.0437717E+001, 3.5829254E+001, 4.8622222E-001, 1.7822563E-001, 2.1619362E+001, 3.9351190E+001, 4.8048858E-001, 2.0538601E-001, 4.2628660E+001, 5.9266315E+001, 1.3069367E+001, 2.0429111E-001, 5.7826087E-001, 5.2008216E+002, 2.9536488E+001
-1.5937823E-001, 2.0451799E+001, 3.6489482E+001, 5.0468344E-001, 1.7819544E-001, 2.1654472E+001, 4.0102450E+001, 5.2184143E-001, 2.0439252E-001, 5.0289692E+001, 6.9482177E+001, 1.4512850E+001, 2.0307756E-001, 6.2043478E-001, 4.6623203E+002, 2.6294363E+001
-1.5312810E-001, 2.0471167E+001, 3.7278505E+001, 5.2970273E-001, 1.7818722E-001, 2.1680084E+001, 4.0898537E+001, 5.5088473E-001, 2.0315118E-001, 5.8693127E+001, 8.1941351E+001, 1.5434780E+001, 2.0174019E-001, 6.6260870E-001, 4.2575323E+002, 2.8479554E+001
-1.4687797E-001, 2.0491297E+001, 3.8036652E+001, 5.5340380E-001, 1.7818511E-001, 2.1692428E+001, 4.1695335E+001, 6.0418877E-001, 2.0166248E-001, 6.7872155E+001, 9.5015017E+001, 1.7196479E+001, 2.0028457E-001, 7.0478261E-001, 3.9318251E+002, 2.0227377E+001
-1.4062785E-001, 2.0512734E+001, 3.8914116E+001, 5.7954785E-001, 1.7818518E-001, 2.1697282E+001, 4.2536053E+001, 6.3151995E-001, 1.9997883E-001, 7.7225886E+001, 1.0757632E+002, 1.9690224E+001, 1.9881636E-001, 7.4695652E-001, 3.5423130E+002, 1.9410342E+001
-1.3437772E-001, 2.0534865E+001, 3.9805050E+001, 6.0485739E-001, 1.7818603E-001, 2.1694455E+001, 4.3373873E+001, 6.8244919E-001, 1.9814751E-001, 8.7237348E+001, 1.2147797E+002, 2.2604797E+001, 1.9726305E-001, 7.8913043E-001, 3.3181530E+002, 1.7957272E+001
-1.2812759E-001, 2.0559487E+001, 4.0827772E+001, 6.3817695E-001, 1.7818731E-001, 2.1682324E+001, 4.4240042E+001, 6.8822765E-001, 1.9614927E-001, 9.7893885E+001, 1.3503749E+002, 2.5423653E+001, 1.9564724E-001, 8.3130435E-001, 3.0601622E+002, 1.6312066E+001
-1.2187747E-001, 2.0584164E+001, 4.1835508E+001, 6.6759995E-001, 1.7818832E-001, 2.1669475E+001, 4.5124572E+001, 7.1101917E-001, 1.9414648E-001, 1.1079593E+002, 1.4997748E+002, 2.5858312E+001, 1.9373120E-001, 8.7347826E-001, 2.8494108E+002, 1.5851115E+001
-1.1562734E-001, 2.0613784E+001, 4.3014852E+001, 7.0021457E-001, 1.7818965E-001, 2.1816946E+001, 4.6201363E+001, 7.2648350E-001, 1.9187669E-001, 1.2842711E+002, 1.6767606E+002, 2.5096859E+001, 1.9105662E-001, 9.1565217E-001, 2.6757444E+002, 1.4848587E+001
-1.0937722E-001, 2.0640797E+001, 4.4220097E+001, 7.3495897E-001, 1.7819086E-001, 2.3607909E+001, 5.0273254E+001, 2.8252236E+000, 1.8969205E-001, 1.4847364E+002, 1.9023536E+002, 2.5461854E+001, 1.8806092E-001, 9.5782609E-001, 2.5103866E+002, 1.4727214E+001
-1.0312709E-001, 2.0687224E+001, 4.5604738E+001, 7.7548040E-001, 1.7819319E-001, 2.9811902E+001, 6.4174928E+001, 1.2252675E+001, 1.8593024E-001, 1.7027581E+002, 2.1672647E+002, 2.7392591E+001, 1.8478052E-001,NaN,NaN,NaN
-9.6876962E-002, 2.0675032E+001, 4.6729158E+001, 8.1259807E-001, 1.7818898E-001, 3.8197980E+001, 8.4025832E+001, 1.7647291E+001, 1.8407262E-001, 1.8842820E+002, 2.4281272E+002, 3.0677224E+001, 1.8230436E-001,NaN,NaN,NaN
-9.0626835E-002, 2.0715685E+001, 4.8319694E+001, 8.6090669E-001, 1.7819140E-001, 5.7884684E+001, 1.2817533E+002, 2.4549019E+001, 1.7968991E-001, 2.1438737E+002, 2.8029737E+002, 3.4100323E+001, 1.7832448E-001,NaN,NaN,NaN
-8.4376709E-002, 2.0759447E+001, 5.0075140E+001, 9.1060128E-001, 1.7819365E-001, 8.6866470E+001, 1.7917473E+002, 3.1766456E+001, 1.7466324E-001, 2.4274998E+002, 3.0979494E+002, 3.6840615E+001, 1.7422960E-001,NaN,NaN,NaN
