s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS,MLR_NITROGEN
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7684947E-004,-1.7642614E-011, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7684949E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000168E+000, 1.2286668E+001, 0.0000000E+000,-3.0619851E+000, 1.4041222E-001,-2.2704377E-001,-8.8972679E-005, 0.0000000E+000, 0.0000000E+000, 9.0094895E+000, 9.1379624E+000, 6.9911133E-002, 4.6853362E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0002651E+000, 3.6345005E+001, 0.0000000E+000,-9.6335231E+000,-1.9816466E+001,-6.2375451E-002,-1.3313867E-004, 0.0000000E+000, 0.0000000E+000, 6.3676109E+000, 6.8325075E+000, 6.9911133E-002, 9.6168445E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.0000494E+000, 4.6526315E+001, 0.0000000E+000,-1.2293353E+001,-3.2588707E+001,-2.1767252E-002,-1.1128923E-004, 0.0000000E+000, 0.0000000E+000, 1.0726991E+000, 1.6223764E+000, 6.9911133E-002, 1.0620983E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 4.0002069E+000, 4.8936724E+001, 0.0000000E+000,-1.3192078E+001,-3.4681816E+001, 6.0958877E-004,-1.0702118E-004, 0.0000000E+000, 0.0000000E+000, 4.7363836E-001, 1.0633321E+000, 6.9911133E-002, 1.0766917E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0000691E+000, 4.8377697E+001, 0.0000000E+000,-1.2900601E+001,-3.4725610E+001, 5.2066974E-003,-1.0370804E-004, 0.0000000E+000, 0.0000000E+000, 1.7484596E-001, 7.5658882E-001, 6.9911133E-002, 1.0786873E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.0001607E+000, 4.8341232E+001, 0.0000000E+000,-1.2798044E+001,-3.5140432E+001, 1.4724510E-002,-1.0752058E-004, 0.0000000E+000, 0.0000000E+000,-1.6674741E-001, 4.1737405E-001, 6.9911133E-002, 1.0789577E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 7.0001707E+000, 4.9252291E+001, 0.0000000E+000,-1.3032122E+001,-3.6541264E+001, 2.6434288E-002,-1.0446865E-004, 0.0000000E+000, 0.0000000E+000,-8.8549886E-001,-2.9476512E-001, 6.9911133E-002, 1.0789943E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 8.0000343E+000, 4.7860741E+001, 0.0000000E+000,-1.2769728E+001,-3.3541302E+001, 3.4566463E-002,-1.0741788E-004, 0.0000000E+000, 0.0000000E+000, 1.0076964E+000, 1.5841695E+000, 6.9911133E-002, 1.0789992E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
