m,C,C,mol/mol,C,C,mol/mol
y,T_125,TC_125,XO2_125,T_250,TC_250,XO2_250
-2.4688000E-001, 2.0800726E+001, 3.3433584E+001, 2.0672582E-001, 2.1154144E+001, 3.4164148E+001, 2.0755823E-001
-2.4062987E-001, 2.0869842E+001, 3.3958617E+001, 2.0604158E-001, 2.1170594E+001, 3.4608544E+001, 2.0755807E-001
-2.3437975E-001, 2.0948399E+001, 3.4530421E+001, 2.0410023E-001, 2.1190475E+001, 3.5111307E+001, 2.0755787E-001
-2.2812962E-001, 2.0989433E+001, 3.5061320E+001, 2.0086406E-001, 2.1210988E+001, 3.5613799E+001, 2.0755759E-001
-2.2187949E-001, 2.0992114E+001, 3.5514558E+001, 1.9753793E-001, 2.1231795E+001, 3.6169070E+001, 2.0755722E-001
-2.1562937E-001, 2.0974401E+001, 3.5833934E+001, 1.9486387E-001, 2.1250193E+001, 3.6729171E+001, 2.0755638E-001
-2.0937924E-001, 2.0934970E+001, 3.6043993E+001, 1.9254532E-001, 2.1265479E+001, 3.7331979E+001, 2.0755300E-001
-2.0312911E-001, 2.0877381E+001, 3.6242391E+001, 1.9037941E-001, 2.1281031E+001, 3.7952836E+001, 2.0753471E-001
-1.9687899E-001, 2.0796852E+001, 3.6398825E+001, 1.8814681E-001, 2.1305219E+001, 3.8623372E+001, 2.0747105E-001
-1.9062886E-001, 2.0699611E+001, 3.6656751E+001, 1.8580955E-001, 2.1337019E+001, 3.9331716E+001, 2.0732445E-001
-1.8437873E-001, 2.0599195E+001, 3.7039915E+001, 1.8352322E-001, 2.1367390E+001, 4.0090989E+001, 2.0712394E-001
-1.7812861E-001, 2.0516660E+001, 3.7553721E+001, 1.8153506E-001, 2.1392835E+001, 4.0860112E+001, 2.0676246E-001
-1.7187848E-001, 2.0461638E+001, 3.8238723E+001, 1.8001035E-001, 2.1411776E+001, 4.1688565E+001, 2.0615689E-001
-1.6562835E-001, 2.0432218E+001, 3.8976065E+001, 1.7900635E-001, 2.1422944E+001, 4.2542364E+001, 2.0524304E-001
-1.5937823E-001, 2.0427051E+001, 3.9926214E+001, 1.7850501E-001, 2.1428970E+001, 4.3443164E+001, 2.0406260E-001
-1.5312810E-001, 2.0434912E+001, 4.0770299E+001, 1.7828701E-001, 2.1436759E+001, 4.4388116E+001, 2.0262719E-001
-1.4687797E-001, 2.0452969E+001, 4.1921811E+001, 1.7821491E-001, 2.1452252E+001, 4.5408672E+001, 2.0112898E-001
-1.4062785E-001, 2.0473322E+001, 4.2971097E+001, 1.7819257E-001, 2.1494133E+001, 4.6498394E+001, 1.9950327E-001
-1.3437772E-001, 2.0495417E+001, 4.4147908E+001, 1.7818671E-001, 2.1692647E+001, 4.7589472E+001, 1.9773880E-001
-1.2812759E-001, 2.0518871E+001, 4.5405116E+001, 1.7818594E-001, 2.2765808E+001, 4.8788476E+001, 1.9590239E-001
-1.2187747E-001, 2.0544905E+001, 4.6832761E+001, 1.7818729E-001, 2.5383669E+001, 5.0383494E+001, 1.9396842E-001
-1.1562734E-001, 2.0571972E+001, 4.8256513E+001, 1.7818887E-001, 2.9387895E+001, 5.5012616E+001, 1.9209841E-001
-1.0937722E-001, 2.0602658E+001, 4.9914305E+001, 1.7819042E-001, 3.7669787E+001, 6.9452418E+001, 1.8964754E-001
-1.0312709E-001, 2.0636295E+001, 5.1652472E+001, 1.7819223E-001, 5.2132489E+001, 9.7846848E+001, 1.8668044E-001
-9.6876962E-002, 2.0673123E+001, 5.3601170E+001, 1.7819471E-001, 7.2301566E+001, 1.3444623E+002, 1.8296960E-001
-9.0626835E-002, 2.0713035E+001, 5.5659403E+001, 1.7819673E-001, 9.7907341E+001, 1.7702051E+002, 1.7880900E-001
-8.4376709E-002, 2.0783611E+001, 5.8039877E+001, 1.7819612E-001, 1.3312188E+002, 2.3102751E+002, 1.7360578E-001
-7.8126582E-002, 2.1279008E+001, 6.1661320E+001, 1.7815288E-001, 1.7277730E+002, 2.8803282E+002, 1.6780211E-001
-7.1876456E-002, 2.5160623E+001, 6.9900043E+001, 1.7777060E-001, 2.1987325E+002, 3.4268720E+002, 1.6154882E-001
-6.5626329E-002, 3.9882850E+001, 9.3885857E+001, 1.7628328E-001, 2.7255409E+002, 4.0026331E+002, 1.5480920E-001
-5.9376203E-002, 6.9181624E+001, 1.4512747E+002, 1.7333266E-001, 3.3948264E+002, 4.6673394E+002, 1.4637138E-001
-5.3126076E-002, 1.2082657E+002, 2.3026430E+002, 1.6815353E-001, 4.0937892E+002, 5.3340147E+002, 1.3757346E-001
-4.6875949E-002, 1.9578341E+002, 3.3045146E+002, 1.6052852E-001, 4.7272486E+002, 5.8699495E+002, 1.2943940E-001
-4.0625823E-002, 2.9125589E+002, 4.3578649E+002, 1.5065660E-001, 5.3838328E+002, 6.3855791E+002, 1.2116656E-001
-3.4375696E-002, 4.0156121E+002, 5.3364627E+002, 1.3827191E-001, 6.0455204E+002, 6.8301669E+002, 1.1254113E-001
-2.8125570E-002, 5.3569649E+002, 6.4051812E+002, 1.2205590E-001, 6.6428248E+002, 7.1315935E+002, 1.0454634E-001
-2.1875443E-002, 6.8691330E+002, 7.4119417E+002, 1.0154283E-001, 7.3391935E+002, 7.5374906E+002, 9.5441487E-002
-1.5625316E-002, 7.8157894E+002, 7.8731301E+002, 8.3861245E-002, 7.9603361E+002, 7.9149453E+002, 8.7102224E-002
-9.3751899E-003, 8.2859133E+002, 7.9393080E+002, 7.1618683E-002, 8.4672354E+002, 8.2371020E+002, 8.0618308E-002
-3.1250633E-003, 8.5990249E+002, 8.0455104E+002, 6.4063138E-002, 8.6109638E+002, 8.3332367E+002, 7.8509967E-002
 3.1250633E-003, 8.6189538E+002, 8.0957378E+002, 6.4174080E-002, 8.4472234E+002, 8.2401915E+002, 7.9926150E-002
 9.3751899E-003, 8.1264452E+002, 7.8993010E+002, 7.2970774E-002, 8.1787498E+002, 8.0816336E+002, 8.3019021E-002
 1.5625316E-002, 7.5181380E+002, 7.6693327E+002, 8.4995912E-002, 8.0389763E+002, 8.0498048E+002, 8.5299969E-002
 2.1875443E-002, 6.8585442E+002, 7.4329091E+002, 9.8815239E-002, 7.6887488E+002, 7.8465896E+002, 9.0379149E-002
 2.8125570E-002, 5.7395838E+002, 6.7315676E+002, 1.1608252E-001, 7.2226584E+002, 7.5931096E+002, 9.7059380E-002
 3.4375696E-002, 4.5596563E+002, 5.9024526E+002, 1.3178917E-001, 6.5236464E+002, 7.1625602E+002, 1.0651546E-001
 4.0625823E-002, 3.3072512E+002, 4.7757352E+002, 1.4658638E-001, 5.6936275E+002, 6.5992791E+002, 1.1708012E-001
 4.6875949E-002, 2.0655520E+002, 3.4041071E+002, 1.5987006E-001, 4.9453447E+002, 6.0485446E+002, 1.2655823E-001
 5.3126076E-002, 1.0591258E+002, 2.1208588E+002, 1.6997274E-001, 4.2768470E+002, 5.4940910E+002, 1.3507018E-001
 5.9376203E-002, 5.5489314E+001, 1.4290773E+002, 1.7487102E-001, 3.5810043E+002, 4.8537400E+002, 1.4382609E-001
 6.5626329E-002, 3.4138803E+001, 1.0589257E+002, 1.7693658E-001, 2.8152024E+002, 4.0751337E+002, 1.5333637E-001
 7.1876456E-002, 2.4636943E+001, 8.6526515E+001, 1.7783684E-001, 2.1961630E+002, 3.4613318E+002, 1.6114406E-001
 7.8126582E-002, 2.1304860E+001, 7.4855360E+001, 1.7814798E-001, 1.7275442E+002, 2.9218704E+002, 1.6732765E-001
 8.4376709E-002, 2.0791323E+001, 6.4070104E+001, 1.7819185E-001, 1.3775792E+002, 2.4701881E+002, 1.7246891E-001
 9.0626835E-002, 2.0716003E+001, 5.6912154E+001, 1.7819307E-001, 1.0644827E+002, 2.0220535E+002, 1.7745932E-001
 9.6876962E-002, 2.0676485E+001, 5.4180227E+001, 1.7819162E-001, 8.1925053E+001, 1.6241194E+002, 1.8167718E-001
 1.0312709E-001, 2.0639854E+001, 5.2150474E+001, 1.7818985E-001, 5.9984328E+001, 1.2477035E+002, 1.8564960E-001
 1.0937722E-001, 2.0605342E+001, 5.0326067E+001, 1.7818818E-001, 4.5170198E+001, 9.9361203E+001, 1.8882153E-001
 1.1562734E-001, 2.0574921E+001, 4.8745046E+001, 1.7818668E-001, 3.4960320E+001, 8.2779665E+001, 1.9168790E-001
 1.2187747E-001, 2.0547275E+001, 4.7191354E+001, 1.7818531E-001, 2.8032184E+001, 6.9346396E+001, 1.9456386E-001
 1.2812759E-001, 2.0521990E+001, 4.5822057E+001, 1.7818478E-001, 2.2911667E+001, 5.7819251E+001, 1.9732286E-001
 1.3437772E-001, 2.0497766E+001, 4.4488243E+001, 1.7818642E-001, 2.1602274E+001, 4.9883877E+001, 1.9969358E-001
 1.4062785E-001, 2.0475597E+001, 4.3313383E+001, 1.7819410E-001, 2.1481694E+001, 4.7186547E+001, 2.0187803E-001
 1.4687797E-001, 2.0455228E+001, 4.2223098E+001, 1.7822191E-001, 2.1463554E+001, 4.5936272E+001, 2.0372996E-001
 1.5312810E-001, 2.0437910E+001, 4.1056294E+001, 1.7829789E-001, 2.1445861E+001, 4.4910514E+001, 2.0521558E-001
 1.5937823E-001, 2.0431904E+001, 4.0221791E+001, 1.7850756E-001, 2.1423013E+001, 4.3920515E+001, 2.0633916E-001
 1.6562835E-001, 2.0437894E+001, 3.9229595E+001, 1.7894449E-001, 2.1398992E+001, 4.2965050E+001, 2.0704292E-001
 1.7187848E-001, 2.0470112E+001, 3.8504503E+001, 1.7984834E-001, 2.1374242E+001, 4.2097775E+001, 2.0735245E-001
 1.7812861E-001, 2.0540473E+001, 3.7844791E+001, 1.8150058E-001, 2.1352205E+001, 4.1232220E+001, 2.0747581E-001
 1.8437873E-001, 2.0649982E+001, 3.7402582E+001, 1.8407974E-001, 2.1329998E+001, 4.0441681E+001, 2.0752336E-001
 1.9062886E-001, 2.0767709E+001, 3.7058588E+001, 1.8703224E-001, 2.1309767E+001, 3.9679214E+001, 2.0754719E-001
 1.9687899E-001, 2.0868328E+001, 3.6801045E+001, 1.8985091E-001, 2.1291375E+001, 3.8978598E+001, 2.0755456E-001
 2.0312911E-001, 2.0935419E+001, 3.6600745E+001, 1.9230874E-001, 2.1274696E+001, 3.8308163E+001, 2.0755631E-001
