s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS,MLR_NITROGEN
 1.8000244E+001, 4.9678781E+001, 0.0000000E+000,-8.0152871E+000,-3.8115745E+001, 2.8967123E-003,-8.1407224E-004, 0.0000000E+000, 0.0000000E+000, 3.3661984E+000, 3.5498325E+000, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 9.1313089E-003
 1.9000137E+001, 4.8703682E+001, 0.0000000E+000,-7.6118684E+000,-4.1034778E+001, 4.1361531E-003,-8.0911521E-004, 0.0000000E+000, 0.0000000E+000,-2.1405684E-001, 6.0362451E-002, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 1.0348604E-002
 2.0000231E+001, 4.9524940E+001, 0.0000000E+000,-7.6337163E+000,-4.2086673E+001,-9.0752529E-003,-7.8354038E-004, 0.0000000E+000, 0.0000000E+000,-3.8194432E-001,-2.0530828E-001, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 1.1178485E-002
 2.1000248E+001, 4.9203530E+001, 0.0000000E+000,-7.3983783E+000,-4.2929259E+001,-1.5713322E-004,-7.9807369E-004, 0.0000000E+000, 0.0000000E+000,-1.4464357E+000,-1.1250624E+000, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 1.1209861E-002
 2.2000206E+001, 4.9869295E+001, 0.0000000E+000,-7.3869392E+000,-4.0890000E+001, 1.6006848E-002,-7.9119666E-004, 0.0000000E+000, 0.0000000E+000, 1.3051296E+000, 1.6075718E+000, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 1.1217182E-002
 2.3000225E+001, 4.9037967E+001, 0.0000000E+000,-7.2361728E+000,-4.2556482E+001, 1.4511135E-002,-7.8977094E-004, 0.0000000E+000, 0.0000000E+000,-9.7869966E-001,-7.4096637E-001, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 1.1224502E-002
 2.4000050E+001, 4.9686113E+001, 0.0000000E+000,-7.5236734E+000,-4.0128222E+001, 5.5279001E-003,-8.2069802E-004, 0.0000000E+000, 0.0000000E+000, 1.8690139E+000, 2.0389251E+000, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 1.1231822E-002
 2.5000273E+001, 4.9388509E+001, 0.0000000E+000,-7.4043273E+000,-4.2485167E+001, 1.2228273E-002,-7.9069816E-004, 0.0000000E+000, 0.0000000E+000,-6.9564777E-001,-4.8954769E-001, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 1.1239143E-002
 2.6000359E+001, 4.9415172E+001, 0.0000000E+000,-7.3227320E+000,-4.4421377E+001, 1.7439784E-003,-8.0165885E-004, 0.0000000E+000, 0.0000000E+000,-2.5724018E+000,-2.3279951E+000, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 1.1246465E-002
 2.7000443E+001, 4.9502110E+001, 0.0000000E+000,-7.1435234E+000,-4.1876468E+001, 7.6344828E-003,-7.7443863E-004, 0.0000000E+000, 0.0000000E+000, 2.9385071E-001, 4.8897870E-001, 6.9786719E-002, 1.0065000E-003, 0.0000000E+000, 0.0000000E+000, 1.1253785E-002
