m,C,C,C,mol/mol,C,C,C,mol/mol,C,C,C,mol/mol,C,C,C,mol/mol,m,C,C
y,T_125,TC_125,TC_rms_125,XO2_125,T_250,TC_250,TC_rms_250,XO2_250,T_500,TC_500,TC_rms_500,XO2_500,T_1000,TC_1000,TC_rms_1000,XO2_1000,z,TCz,TCz_rms
-2.4688000E-001, 2.0936768E+001, 3.0075425E+001, 5.6395737E-001, 2.0614071E-001, 2.1083956E+001, 3.0472874E+001, 3.0220739E-001, 2.0755848E-001, 2.1393819E+001, 2.7873541E+001, 1.1458205E-001, 2.0755873E-001, 5.5828678E+001, 6.3257967E+001, 8.9644307E+000, 2.0201145E-001, 3.0000000E-002, 3.3406629E+002, 3.0497410E+001
-2.4062987E-001, 2.1153180E+001, 3.0582966E+001, 5.5569238E-001, 2.0495355E-001, 2.1099097E+001, 3.0798052E+001, 3.1280610E-001, 2.0755840E-001, 2.1411864E+001, 2.8061141E+001, 1.1874949E-001, 2.0755872E-001, 5.8704984E+001, 6.5956742E+001, 9.2595142E+000, 2.0156444E-001, 7.2173913E-002, 6.5534618E+002, 3.6529895E+001
-2.3437975E-001, 2.1235957E+001, 3.0952064E+001, 5.1827296E-001, 2.0390904E-001, 2.1116014E+001, 3.1133693E+001, 3.2148783E-001, 2.0755829E-001, 2.1430773E+001, 2.8223135E+001, 1.2474512E-001, 2.0755866E-001, 6.1759405E+001, 6.9418422E+001, 9.5167953E+000, 2.0109609E-001, 1.1434783E-001, 7.7151834E+002, 3.7736051E+001
-2.2812962E-001, 2.1227090E+001, 3.1253064E+001, 4.9006836E-001, 2.0254097E-001, 2.1133163E+001, 3.1489901E+001, 3.3134037E-001, 2.0755816E-001, 2.1455268E+001, 2.8417380E+001, 1.2773808E-001, 2.0755803E-001, 6.5678852E+001, 7.4291094E+001, 9.9775536E+000, 2.0047882E-001, 1.5652174E-001, 8.2043652E+002, 3.9525418E+001
-2.2187949E-001, 2.1188476E+001, 3.1549737E+001, 4.9265572E-001, 2.0049876E-001, 2.1149750E+001, 3.1861357E+001, 3.4021709E-001, 2.0755798E-001, 2.1519322E+001, 2.8634745E+001, 1.2059104E-001, 2.0755214E-001, 7.0243160E+001, 7.9113583E+001, 1.0159636E+001, 1.9975385E-001, 1.9869565E-001, 8.2689202E+002, 4.0715810E+001
-2.1562937E-001, 2.1147398E+001, 3.1801751E+001, 5.5910917E-001, 1.9753170E-001, 2.1164524E+001, 3.2255532E+001, 3.5549173E-001, 2.0755770E-001, 2.1908643E+001, 2.9149201E+001, 3.4741202E-001, 2.0750178E-001, 7.5353223E+001, 8.4181136E+001, 1.0501099E+001, 1.9894340E-001, 2.4086957E-001, 8.0909043E+002, 3.6743646E+001
-2.0937924E-001, 2.1087513E+001, 3.1907773E+001, 6.2798776E-001, 1.9384091E-001, 2.1177591E+001, 3.2668741E+001, 3.6739453E-001, 2.0755714E-001, 2.4379804E+001, 3.2002612E+001, 2.8430082E+000, 2.0715097E-001, 7.9757312E+001, 8.8623547E+001, 1.0728990E+001, 1.9825529E-001, 2.8304348E-001, 7.8346758E+002, 5.4568121E+001
-2.0312911E-001, 2.0969459E+001, 3.1855064E+001, 6.4100766E-001, 1.8993608E-001, 2.1190172E+001, 3.3107125E+001, 3.8708808E-001, 2.0755536E-001, 2.9315364E+001, 3.9035413E+001, 8.8487306E+000, 2.0641266E-001, 8.3473515E+001, 9.2383591E+001, 1.0722866E+001, 1.9768848E-001, 3.2521739E-001, 7.4913045E+002, 6.8570913E+001
-1.9687899E-001, 2.0789512E+001, 3.1726108E+001, 6.0752725E-001, 1.8603235E-001, 2.1204277E+001, 3.3558972E+001, 3.9800335E-001, 2.0754877E-001, 3.4578874E+001, 4.6751878E+001, 1.3460103E+001, 2.0560491E-001, 8.7873891E+001, 9.6674933E+001, 1.0511658E+001, 1.9701217E-001, 3.6739130E-001, 7.1716349E+002, 6.1937750E+001
-1.9062886E-001, 2.0604957E+001, 3.1717367E+001, 5.6398267E-001, 1.8275310E-001, 2.1224853E+001, 3.4047123E+001, 4.1952193E-001, 2.0752048E-001, 4.1719999E+001, 5.6637003E+001, 1.6299768E+001, 2.0453090E-001, 9.2274330E+001, 1.0075083E+002, 1.0365505E+001, 1.9632880E-001, 4.0956522E-001, 6.8258609E+002, 5.6046594E+001
-1.8437873E-001, 2.0470786E+001, 3.1877258E+001, 5.3051402E-001, 1.8048356E-001, 2.1259120E+001, 3.4580428E+001, 4.5029679E-001, 2.0741675E-001, 5.0634177E+001, 6.9847268E+001, 1.8719434E+001, 2.0321145E-001, 9.7824906E+001, 1.0559641E+002, 1.0922460E+001, 1.9545800E-001, 4.5173913E-001, 6.4841412E+002, 5.8864503E+001
-1.7812861E-001, 2.0397783E+001, 3.2202150E+001, 5.2306068E-001, 1.7915821E-001, 2.1300668E+001, 3.5170023E+001, 4.9529357E-001, 2.0715944E-001, 5.7859090E+001, 8.1366335E+001, 2.0805871E+001, 2.0213027E-001, 1.0299938E+002, 1.1053823E+002, 1.1351098E+001, 1.9463816E-001, 4.9391304E-001, 5.9818560E+002, 6.3722823E+001
-1.7187848E-001, 2.0368445E+001, 3.2661397E+001, 5.3854567E-001, 1.7853451E-001, 2.1345095E+001, 3.5786345E+001, 5.4956640E-001, 2.0676790E-001, 6.2649144E+001, 8.9876939E+001, 2.3230402E+001, 2.0137247E-001, 1.0731254E+002, 1.1464634E+002, 1.1087572E+001, 1.9397946E-001, 5.3608696E-001, 5.6297196E+002, 6.2976474E+001
-1.6562835E-001, 2.0362394E+001, 3.3159057E+001, 5.6253590E-001, 1.7829546E-001, 2.1393008E+001, 3.6454547E+001, 5.9576048E-001, 2.0626989E-001, 6.7897356E+001, 9.8123568E+001, 2.4796856E+001, 2.0055273E-001, 1.1106112E+002, 1.1895111E+002, 1.1190764E+001, 1.9342464E-001, 5.7826087E-001, 5.1556778E+002, 5.0130201E+001
-1.5937823E-001, 2.0368560E+001, 3.3749635E+001, 5.9220967E-001, 1.7821734E-001, 2.1445706E+001, 3.7120445E+001, 6.2992318E-001, 2.0548107E-001, 7.5821222E+001, 1.0882952E+002, 2.6700223E+001, 1.9936713E-001, 1.1525701E+002, 1.2377781E+002, 1.1780816E+001, 1.9281723E-001, 6.2043478E-001, 4.5854464E+002, 4.4584877E+001
-1.5312810E-001, 2.0380514E+001, 3.4310398E+001, 6.2359462E-001, 1.7819322E-001, 2.1495058E+001, 3.7833588E+001, 6.4278358E-001, 2.0442850E-001, 8.6573217E+001, 1.2340104E+002, 3.1770563E+001, 1.9773914E-001, 1.2036040E+002, 1.2912646E+002, 1.2932117E+001, 1.9203234E-001, 6.6260870E-001, 4.1194625E+002, 4.1119628E+001
