s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS,MLR_NITROGEN
 2.0000122E+001, 4.7283003E+001,-9.4165399E+000,-3.9157511E+001, 2.7332690E-002,-4.8030356E-004, 0.0000000E+000, 0.0000000E+000,-1.4488589E+000,-1.2641958E+000, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 1.1178469E-002
 2.1000021E+001, 4.8694169E+001,-9.4272189E+000,-3.7521449E+001, 1.8890029E-002,-4.7750610E-004, 0.0000000E+000, 0.0000000E+000, 1.6053493E+000, 1.7639144E+000, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 1.1209860E-002
 2.2000278E+001, 4.8225125E+001,-9.9295583E+000,-3.8153996E+001, 2.8869130E-002,-4.7211874E-004, 0.0000000E+000, 0.0000000E+000,-4.2418808E-002, 1.6996718E-001, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 1.1217181E-002
 2.3000422E+001, 4.8909956E+001,-9.7586908E+000,-3.6980403E+001, 2.1611456E-002,-4.8112298E-004, 0.0000000E+000, 0.0000000E+000, 1.9914606E+000, 2.1919927E+000, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 1.1224503E-002
 2.4000067E+001, 4.8684638E+001,-9.4942330E+000,-4.1633863E+001, 1.9671875E-002,-4.7877048E-004, 0.0000000E+000, 0.0000000E+000,-2.7016530E+000,-2.4242646E+000, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 1.1231823E-002
 2.5000471E+001, 4.9495687E+001,-9.5969764E+000,-3.9260422E+001, 2.9439814E-002,-4.8503297E-004, 0.0000000E+000, 0.0000000E+000, 6.0659556E-001, 6.6724288E-001, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 1.1239143E-002
 2.6000231E+001, 4.7963357E+001,-9.3861208E+000,-3.8026022E+001, 2.5973623E-002,-4.8643572E-004, 0.0000000E+000, 0.0000000E+000, 3.0034751E-001, 5.7670225E-001, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 1.1246465E-002
 2.7000355E+001, 4.8362654E+001,-9.3834932E+000,-3.7816105E+001, 2.8979436E-002,-4.6696052E-004, 0.0000000E+000, 0.0000000E+000, 8.7204622E-001, 1.1915683E+000, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 1.1253784E-002
 2.8000496E+001, 4.9231069E+001,-9.6112794E+000,-4.1289982E+001, 3.3251167E-002,-4.7526345E-004, 0.0000000E+000, 0.0000000E+000,-1.8342911E+000,-1.6374168E+000, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 1.1261107E-002
 2.9000278E+001, 4.8345591E+001,-9.6166813E+000,-3.7857260E+001, 3.6294748E-002,-4.7429599E-004, 0.0000000E+000, 0.0000000E+000, 6.6165978E-001, 9.0746975E-001, 6.9786719E-002, 1.0790000E-003, 0.0000000E+000, 0.0000000E+000, 1.1268426E-002
