s,mol/mol,kW/m2,kW/m2,m
Time,"XO2","qrad1","qrad2","L_F"
 0.0000000E+000, 2.0755882E-001,-1.4327831E-004,-1.4798458E-004, 0.0000000E+000
 1.0010700E+000, 2.0755882E-001, 1.2964570E-001, 1.3426869E-001, 3.4813032E-001
 2.0010364E+000, 2.0755882E-001, 5.8397069E-001, 5.9248412E-001, 4.0495883E-001
 3.0003020E+000, 2.0755882E-001, 6.9634465E-001, 7.1933412E-001, 3.7960363E-001
 4.0000400E+000, 2.0755882E-001, 7.5931531E-001, 7.8742058E-001, 3.5421743E-001
 5.0002448E+000, 2.0755882E-001, 7.3348862E-001, 7.4472564E-001, 4.2554652E-001
 6.0001798E+000, 2.0755882E-001, 7.4588536E-001, 7.5439615E-001, 3.1179672E-001
 7.0004360E+000, 2.0755882E-001, 7.3412565E-001, 7.5138684E-001, 5.7264944E-001
 8.0000879E+000, 2.0755882E-001, 7.4625079E-001, 7.7596047E-001, 4.3784567E-001
 9.0004805E+000, 2.0755882E-001, 7.4340852E-001, 7.7832779E-001, 4.4018684E-001
 1.0000829E+001, 2.0755882E-001, 7.4351609E-001, 7.5571051E-001, 6.2569755E-001
 1.1000409E+001, 2.0412474E-001, 7.5518124E-001, 7.6504434E-001, 3.5829435E-001
 1.2000042E+001, 2.0059007E-001, 7.2980489E-001, 7.4484017E-001, 4.4669420E-001
 1.3001007E+001, 1.9717237E-001, 6.9256745E-001, 7.1177426E-001, 4.3558646E-001
 1.4000019E+001, 1.9387245E-001, 6.5195155E-001, 6.8124293E-001, 4.3433858E-001
 1.5000649E+001, 1.9068091E-001, 6.2626449E-001, 6.5204978E-001, 5.0406054E-001
 1.6000150E+001, 1.8759160E-001, 6.3270801E-001, 6.5867616E-001, 3.7963651E-001
 1.7000195E+001, 1.8460296E-001, 6.0958745E-001, 6.1998948E-001, 4.3012701E-001
 1.8000365E+001, 1.8170547E-001, 5.6992319E-001, 5.7259649E-001, 4.3666125E-001
 1.9000287E+001, 1.7890056E-001, 5.4016633E-001, 5.6987524E-001, 3.9098421E-001
 2.0000994E+001, 1.7819176E-001, 5.1281281E-001, 5.1674597E-001, 4.1119973E-001
 2.1000078E+001, 1.7817532E-001, 5.0674054E-001, 5.2423270E-001, 5.3452117E-001
 2.2000042E+001, 1.7815884E-001, 5.1715218E-001, 5.1953855E-001, 3.8382269E-001
 2.3000457E+001, 1.7814238E-001, 4.9186478E-001, 5.1020809E-001, 3.8566704E-001
 2.4000424E+001, 1.7812592E-001, 4.9892560E-001, 5.1877382E-001, 4.6792901E-001
 2.5000719E+001, 1.7810946E-001, 5.0674574E-001, 5.0395905E-001, 3.6718045E-001
 2.6000171E+001, 1.7809301E-001, 5.0634950E-001, 5.1976124E-001, 4.1268480E-001
 2.7001045E+001, 1.7807655E-001, 4.9725276E-001, 5.0958962E-001, 4.5786275E-001
 2.8000180E+001, 1.7806011E-001, 4.9354781E-001, 5.1214632E-001, 4.1232650E-001
 2.9000535E+001, 1.7804367E-001, 5.1302086E-001, 5.1944959E-001, 5.5117348E-001
 3.0000385E+001, 1.7601347E-001, 4.8870538E-001, 5.1284926E-001, 5.5882435E-001
 3.1000721E+001, 1.7337564E-001, 4.8278073E-001, 4.9822953E-001, 6.8175668E-001
 3.2000011E+001, 1.7081585E-001, 4.6648858E-001, 4.7629596E-001, 5.4929559E-001
 3.3000551E+001, 1.6833009E-001, 4.3186668E-001, 4.5119426E-001, 4.1184450E-001
 3.4000898E+001, 1.6591396E-001, 4.0873371E-001, 4.1157331E-001, 4.9301482E-001
 3.5000496E+001, 1.6357054E-001, 3.8219405E-001, 4.0251492E-001, 4.4173406E-001
 3.6000333E+001, 1.6128841E-001, 3.3945716E-001, 3.5849762E-001, 5.5116794E-001
 3.7000587E+001, 1.5907169E-001, 3.1954745E-001, 3.2320999E-001, 6.9706919E-001
 3.8000806E+001, 1.5691257E-001, 3.0094212E-001, 3.0673216E-001, 5.8554271E-001
 3.9000555E+001, 1.5481469E-001, 2.6381790E-001, 2.7397570E-001, 5.4587810E-001
 4.0000338E+001, 1.5276925E-001, 2.4093810E-001, 2.5167928E-001, 5.1942648E-001
 4.1000157E+001, 1.5077943E-001, 2.0990093E-001, 2.1899196E-001, 6.4021870E-001
 4.2000260E+001, 1.4883887E-001, 2.0255080E-001, 2.0625273E-001, 6.6307847E-001
 4.3000616E+001, 1.4694862E-001, 1.8051335E-001, 1.9143958E-001, 5.6120798E-001
 4.4000209E+001, 1.4510521E-001, 1.5222675E-001, 1.4944311E-001, 4.5959074E-001
 4.5001282E+001, 1.4330716E-001, 1.2462020E-001, 1.2817127E-001, 4.7486199E-001
 4.6000030E+001, 1.4155510E-001, 8.7594740E-002, 9.0904009E-002, 6.0120050E-001
 4.7000042E+001, 1.3984478E-001, 7.1469267E-002, 7.6147995E-002, 6.2931889E-001
 4.8001410E+001, 1.3817198E-001, 4.8067958E-002, 4.9237312E-002, 7.3765299E-001
 4.9000639E+001, 1.3654327E-001, 3.5694586E-002, 3.6972337E-002, 2.7377690E-001
 5.0000994E+001, 1.3495007E-001, 1.9859983E-002, 2.0366290E-002, 3.2002997E-001
 5.1001271E+001, 1.3339405E-001, 1.5545037E-002, 1.5932942E-002, 1.4855080E-001
 5.2001309E+001, 1.3187341E-001, 1.1294590E-002, 1.1479563E-002, 1.4662709E-001
 5.3001134E+001, 1.3038751E-001, 8.7996358E-003, 9.0271521E-003, 1.4634039E-001
 5.4002038E+001, 1.2893325E-001, 6.9586227E-003, 7.1898964E-003, 1.4614264E-001
 5.5001160E+001, 1.2751360E-001, 5.1460125E-003, 5.1611675E-003, 1.4544413E-001
