s,,,,C,C,C,C,C,C,C,C,C
Time,"C02_ave","C06_ave","C10_ave","C2-1","C2-2","C2-3","C6-1","C6-2","C6-3","C10-1","C10-2","C10-3"
 0.0000000E+000, 1.9979935E+001, 1.9979921E+001, 1.9979950E+001, 1.9999942E+001, 1.9999933E+001, 1.9999931E+001, 1.9999929E+001, 1.9999914E+001, 1.9999919E+001, 1.9999954E+001, 1.9999943E+001, 1.9999951E+001
 1.0023701E+001, 1.9985819E+001, 1.9962073E+001, 1.9959909E+001, 2.0002045E+001, 2.0003521E+001, 2.0004225E+001, 1.9997720E+001, 1.9997330E+001, 1.9998028E+001, 1.9997801E+001, 1.9997425E+001, 1.9997638E+001
 2.0008911E+001, 2.1018595E+001, 1.9878462E+001, 1.9875972E+001, 2.0041566E+001, 2.0089420E+001, 2.0629828E+001, 1.9939895E+001, 1.9937543E+001, 1.9938575E+001, 1.9937829E+001, 1.9941530E+001, 1.9937305E+001
 3.0004116E+001, 2.7891482E+001, 1.9840003E+001, 1.9833468E+001, 2.2260644E+001, 2.2973334E+001, 2.5120014E+001, 1.9892997E+001, 1.9879305E+001, 1.9875212E+001, 1.9880459E+001, 1.9858531E+001, 1.9887756E+001
 4.0014031E+001, 3.8402779E+001, 2.4910772E+001, 1.9795445E+001, 3.4984772E+001, 3.6041507E+001, 3.3344115E+001, 2.1613704E+001, 2.0138251E+001, 1.9934002E+001, 1.9836559E+001, 1.9790968E+001, 1.9852428E+001
 5.0000348E+001, 4.4803888E+001, 3.8799803E+001, 1.9807611E+001, 4.0493529E+001, 4.3832491E+001, 3.9635542E+001, 3.6200644E+001, 3.3842569E+001, 3.1184644E+001, 1.9810361E+001, 1.9804252E+001, 1.9845309E+001
 6.0018179E+001, 4.9071813E+001, 4.3920601E+001, 3.3857397E+001, 4.6928286E+001, 4.7764277E+001, 4.6236691E+001, 4.2458193E+001, 4.1811012E+001, 3.9824809E+001, 2.7738937E+001, 2.7003956E+001, 2.4511122E+001
 7.0003078E+001, 5.3483557E+001, 4.9075891E+001, 4.2622769E+001, 5.1264335E+001, 5.3664864E+001, 5.0834582E+001, 4.7210359E+001, 4.7187390E+001, 4.5501167E+001, 3.9675096E+001, 3.9255111E+001, 3.7294057E+001
 8.0004092E+001, 5.6229042E+001, 5.1941253E+001, 4.7730135E+001, 5.4248775E+001, 5.7362093E+001, 5.1334607E+001, 5.0763876E+001, 5.1808990E+001, 5.0038447E+001, 4.5365526E+001, 4.5952796E+001, 4.4887083E+001
 9.0015492E+001, 5.5746370E+001, 5.4817207E+001, 5.0084523E+001, 5.5849890E+001, 5.8004909E+001, 5.6466033E+001, 5.3708214E+001, 5.4324845E+001, 5.1622092E+001, 4.9241085E+001, 4.9330056E+001, 4.8644160E+001
 1.0000947E+002, 5.6900770E+001, 5.6329744E+001, 5.2599918E+001, 5.6721291E+001, 5.9766627E+001, 5.4680303E+001, 5.5528112E+001, 5.7302601E+001, 5.4265749E+001, 5.2548592E+001, 5.2413504E+001, 5.0126469E+001
 1.1000802E+002, 6.0435346E+001, 5.6650331E+001, 5.3191900E+001, 5.9672719E+001, 5.8789569E+001, 5.9498816E+001, 5.6438228E+001, 5.7045259E+001, 5.4985952E+001, 5.4025547E+001, 5.3805665E+001, 5.1762031E+001
 1.2000253E+002, 6.3154044E+001, 5.9111835E+001, 5.4774426E+001, 6.0449864E+001, 6.1851120E+001, 6.3233682E+001, 5.7437150E+001, 5.8429674E+001, 5.8666012E+001, 5.4508244E+001, 5.4687307E+001, 5.3187993E+001
 1.3001552E+002, 6.5350319E+001, 6.1029240E+001, 5.7217462E+001, 6.2927216E+001, 6.3894212E+001, 6.4366376E+001, 5.8992033E+001, 6.0895244E+001, 6.0844357E+001, 5.5532239E+001, 5.6474329E+001, 5.6030088E+001
 1.4000321E+002, 6.9548478E+001, 6.5010676E+001, 5.9126709E+001, 6.4680022E+001, 6.9736574E+001, 7.0167318E+001, 6.2111700E+001, 6.3460326E+001, 6.2514960E+001, 5.7922067E+001, 5.8611779E+001, 5.8646651E+001
 1.5000062E+002, 7.1032308E+001, 6.6402707E+001, 6.3081546E+001, 6.7033515E+001, 6.8447839E+001, 7.3518850E+001, 6.5031408E+001, 6.6572512E+001, 6.6061990E+001, 6.0553439E+001, 6.1725798E+001, 6.0983624E+001
 1.6000424E+002, 7.3100005E+001, 6.8402920E+001, 6.2871199E+001, 7.1099531E+001, 7.4149419E+001, 6.8984367E+001, 6.7032417E+001, 6.7232301E+001, 6.5972015E+001, 6.2607942E+001, 6.3691869E+001, 6.3181072E+001
 1.7000751E+002, 7.4577971E+001, 7.1594509E+001, 6.6983370E+001, 7.4939368E+001, 7.6484290E+001, 7.1209864E+001, 7.1659330E+001, 7.0925102E+001, 6.8573994E+001, 6.5792085E+001, 6.5790235E+001, 6.3642866E+001
 1.8000296E+002, 8.1020306E+001, 7.6314055E+001, 7.0280092E+001, 7.8525353E+001, 7.9881132E+001, 7.7421584E+001, 7.5110845E+001, 7.4297173E+001, 7.3333473E+001, 6.9221546E+001, 6.8587323E+001, 6.7312997E+001
 1.9001437E+002, 8.5173582E+001, 7.9636575E+001, 7.4638372E+001, 8.2469636E+001, 8.4286937E+001, 8.0473996E+001, 7.9395414E+001, 7.9272350E+001, 7.7520533E+001, 7.2500676E+001, 7.2688040E+001, 7.1851481E+001
 2.0000795E+002, 8.8022898E+001, 8.4619072E+001, 7.9553270E+001, 8.4214824E+001, 8.9258999E+001, 8.3519079E+001, 8.4388573E+001, 8.4458903E+001, 8.0807930E+001, 7.7496997E+001, 7.7177240E+001, 7.4767783E+001
 2.1000289E+002, 9.4333310E+001, 8.9257996E+001, 8.2340682E+001, 8.9894912E+001, 9.8147521E+001, 8.7741218E+001, 8.6988886E+001, 8.8678969E+001, 8.5072056E+001, 8.0925762E+001, 8.1485564E+001, 8.0372263E+001
 2.2000962E+002, 9.6367401E+001, 9.3665622E+001, 8.5990829E+001, 9.1199916E+001, 9.8504254E+001, 9.4730037E+001, 9.0420966E+001, 9.2786103E+001, 8.9583563E+001, 8.4792976E+001, 8.5183137E+001, 8.3244296E+001
 2.3000788E+002, 1.0009329E+002, 9.4957531E+001, 8.8065878E+001, 9.8487942E+001, 1.0407221E+002, 9.4406711E+001, 9.3849411E+001, 9.4524440E+001, 9.1762597E+001, 8.6973697E+001, 8.7881995E+001, 8.7522706E+001
 2.4000633E+002, 1.0477222E+002, 9.7231112E+001, 9.2042344E+001, 1.0209702E+002, 1.0333909E+002, 1.0074347E+002, 9.5114515E+001, 9.8100994E+001, 9.5090716E+001, 9.0376660E+001, 9.1009852E+001, 8.8579705E+001
 2.5000674E+002, 1.0733696E+002, 1.0031759E+002, 9.4827258E+001, 1.0580868E+002, 1.0977879E+002, 1.0099257E+002, 1.0184569E+002, 9.8636252E+001, 9.6985735E+001, 9.3134001E+001, 9.3753675E+001, 9.2641442E+001
 2.6000420E+002, 1.0959300E+002, 1.0476998E+002, 9.9020137E+001, 1.0555587E+002, 1.1494239E+002, 1.0651316E+002, 1.0499891E+002, 1.0490084E+002, 1.0044264E+002, 9.7086800E+001, 9.7687450E+001, 9.3893450E+001
 2.7000209E+002, 1.1150751E+002, 1.0785252E+002, 1.0089013E+002, 1.0693671E+002, 1.1519823E+002, 1.1139571E+002, 1.0513292E+002, 1.0599385E+002, 1.0674804E+002, 9.9600355E+001, 1.0007709E+002, 9.9259510E+001
 2.8001323E+002, 1.1891299E+002, 1.0941292E+002, 1.0344240E+002, 1.1164106E+002, 1.1700835E+002, 1.1579872E+002, 1.0836782E+002, 1.0836315E+002, 1.0976750E+002, 1.0214443E+002, 1.0201158E+002, 1.0330472E+002
 2.9000291E+002, 1.1870941E+002, 1.1145686E+002, 1.0648106E+002, 1.1205997E+002, 1.2037274E+002, 1.1959559E+002, 1.1036035E+002, 1.0986619E+002, 1.1264170E+002, 1.0439783E+002, 1.0455693E+002, 1.0613785E+002
 3.0000078E+002, 1.2208825E+002, 1.1780969E+002, 1.0993482E+002, 1.1720852E+002, 1.2773815E+002, 1.1632959E+002, 1.1513197E+002, 1.1579600E+002, 1.1661352E+002, 1.0571578E+002, 1.0723412E+002, 1.0790216E+002
 3.1000263E+002, 1.2831794E+002, 1.2262851E+002, 1.1350566E+002, 1.2292547E+002, 1.3321937E+002, 1.1629697E+002, 1.1956480E+002, 1.2212990E+002, 1.1679611E+002, 1.1209367E+002, 1.1202397E+002, 1.1093493E+002
 3.2000739E+002, 1.3584558E+002, 1.2765574E+002, 1.1971131E+002, 1.3324934E+002, 1.3728878E+002, 1.2672928E+002, 1.2643545E+002, 1.2597023E+002, 1.2314211E+002, 1.1548908E+002, 1.1598543E+002, 1.1630242E+002
 3.3000840E+002, 1.4056149E+002, 1.2857222E+002, 1.2340017E+002, 1.3671864E+002, 1.3868279E+002, 1.3191025E+002, 1.3078128E+002, 1.2990925E+002, 1.2676350E+002, 1.2179579E+002, 1.2255477E+002, 1.2069749E+002
 3.4000445E+002, 1.4792407E+002, 1.3527634E+002, 1.2719903E+002, 1.4551128E+002, 1.5133821E+002, 1.3740117E+002, 1.3316632E+002, 1.3491812E+002, 1.3109458E+002, 1.2297671E+002, 1.2494667E+002, 1.2448971E+002
 3.5000956E+002, 1.5339713E+002, 1.4222122E+002, 1.3252165E+002, 1.5724841E+002, 1.5544943E+002, 1.4484007E+002, 1.3878561E+002, 1.3999785E+002, 1.3703469E+002, 1.2737239E+002, 1.2855252E+002, 1.3107300E+002
 3.6000024E+002, 1.5505696E+002, 1.4382978E+002, 1.3601704E+002, 1.4923054E+002, 1.5969641E+002, 1.5128901E+002, 1.4576472E+002, 1.4379635E+002, 1.4282763E+002, 1.3515018E+002, 1.3598001E+002, 1.3649858E+002
 3.7000134E+002, 1.6147930E+002, 1.4826511E+002, 1.3850058E+002, 1.5152076E+002, 1.6278350E+002, 1.5580026E+002, 1.4379686E+002, 1.4352506E+002, 1.4910584E+002, 1.3604850E+002, 1.3553007E+002, 1.3922706E+002
 3.8000821E+002, 1.6557930E+002, 1.5267128E+002, 1.4456245E+002, 1.5684853E+002, 1.6711245E+002, 1.6510116E+002, 1.5050007E+002, 1.5177490E+002, 1.5456916E+002, 1.3951092E+002, 1.4123070E+002, 1.4539186E+002
 3.9000027E+002, 1.7334507E+002, 1.6087138E+002, 1.5013477E+002, 1.6018418E+002, 1.7394416E+002, 1.7733458E+002, 1.5287190E+002, 1.5517597E+002, 1.6460924E+002, 1.4336475E+002, 1.4638680E+002, 1.5060197E+002
 4.0001006E+002, 1.7982216E+002, 1.6949347E+002, 1.5680048E+002, 1.7771416E+002, 1.8738789E+002, 1.6659434E+002, 1.6408821E+002, 1.6605730E+002, 1.6459681E+002, 1.5010154E+002, 1.5244989E+002, 1.5652592E+002
