s,,,,C,C,C,C,C,C,C,C,C
Time,"C02_ave","C06_ave","C10_ave","C2-1","C2-2","C2-3","C6-1","C6-2","C6-3","C10-1","C10-2","C10-3"
 0.0000000E+000, 1.9979935E+001, 1.9979921E+001, 1.9979897E+001, 1.9999942E+001, 1.9999933E+001, 1.9999931E+001, 1.9999929E+001, 1.9999914E+001, 1.9999919E+001, 1.9999897E+001, 1.9999881E+001, 1.9999914E+001
 1.0023670E+001, 1.9985845E+001, 1.9962143E+001, 1.9960081E+001, 2.0002049E+001, 2.0003527E+001, 2.0004229E+001, 1.9997716E+001, 1.9997308E+001, 1.9998015E+001, 1.9997784E+001, 1.9997383E+001, 1.9997599E+001
 2.0009199E+001, 2.1082900E+001, 1.9877533E+001, 1.9876240E+001, 2.0042030E+001, 2.0094267E+001, 2.0646394E+001, 1.9939798E+001, 1.9937354E+001, 1.9937736E+001, 1.9936802E+001, 1.9941524E+001, 1.9937039E+001
 3.0023139E+001, 2.9351083E+001, 1.9835873E+001, 1.9826613E+001, 2.2867592E+001, 2.2853943E+001, 2.6047053E+001, 1.9889130E+001, 1.9872223E+001, 1.9874098E+001, 1.9879353E+001, 1.9858452E+001, 1.9884352E+001
 4.0012547E+001, 3.8240587E+001, 2.6173514E+001, 1.9802125E+001, 3.4772250E+001, 3.7440829E+001, 3.4205891E+001, 2.1560102E+001, 2.0407380E+001, 2.0287428E+001, 1.9834919E+001, 1.9798713E+001, 1.9847612E+001
 5.0016422E+001, 4.5396000E+001, 3.8774990E+001, 1.9806903E+001, 4.1123503E+001, 4.5462407E+001, 3.9988481E+001, 3.5077420E+001, 3.4359912E+001, 3.2285704E+001, 1.9807147E+001, 1.9790948E+001, 1.9851922E+001
 6.0007644E+001, 4.8740579E+001, 4.4130088E+001, 3.4835400E+001, 4.7972459E+001, 4.9638144E+001, 4.3772759E+001, 4.3054596E+001, 4.2180807E+001, 4.0132747E+001, 2.7678312E+001, 2.6826110E+001, 2.4121005E+001
 7.0010091E+001, 5.4075476E+001, 4.9294230E+001, 4.2369929E+001, 5.0946873E+001, 5.5403367E+001, 4.8233741E+001, 4.8462349E+001, 4.7636204E+001, 4.3676346E+001, 4.0894781E+001, 3.9565232E+001, 3.7448839E+001
 8.0012012E+001, 5.5156852E+001, 5.2382827E+001, 4.8380844E+001, 5.3358204E+001, 5.8276493E+001, 5.1890910E+001, 5.1768863E+001, 5.2491480E+001, 4.8790479E+001, 4.6388740E+001, 4.6078797E+001, 4.4169603E+001
 9.0008682E+001, 5.6033966E+001, 5.3768291E+001, 5.0334572E+001, 5.4847085E+001, 5.8410671E+001, 5.5067586E+001, 5.2882414E+001, 5.3997625E+001, 5.1794989E+001, 4.9554050E+001, 4.9738690E+001, 4.8192612E+001
 1.0000315E+002, 5.8328724E+001, 5.5788353E+001, 5.1308025E+001, 5.5663030E+001, 5.9510821E+001, 5.6646943E+001, 5.4778215E+001, 5.6137296E+001, 5.3601893E+001, 5.0969664E+001, 5.1154299E+001, 4.9857916E+001
 1.1000574E+002, 6.3432215E+001, 5.7461224E+001, 5.3158865E+001, 6.0959460E+001, 6.1233416E+001, 6.1135985E+001, 5.6314216E+001, 5.7928732E+001, 5.5547530E+001, 5.2751046E+001, 5.3028419E+001, 5.1475250E+001
 1.2001412E+002, 7.2736402E+001, 6.3769098E+001, 5.4548142E+001, 6.9940023E+001, 7.1178951E+001, 6.3907046E+001, 6.0868579E+001, 6.1070034E+001, 5.8241004E+001, 5.3724477E+001, 5.4508582E+001, 5.2977487E+001
 1.3000553E+002, 8.2453314E+001, 7.3972830E+001, 6.2162712E+001, 7.8579833E+001, 8.0877557E+001, 7.3213991E+001, 7.1855818E+001, 7.0043312E+001, 6.6151401E+001, 5.8342223E+001, 5.8273689E+001, 5.6981221E+001
 1.4000867E+002, 8.5782999E+001, 7.9765963E+001, 7.1607303E+001, 8.1954058E+001, 8.5313483E+001, 8.0682104E+001, 7.9402150E+001, 7.8541825E+001, 7.3739589E+001, 6.8496819E+001, 6.7471380E+001, 6.5901027E+001
 1.5000939E+002, 9.1088303E+001, 8.4936360E+001, 7.6009271E+001, 8.9173784E+001, 8.9549330E+001, 8.8399229E+001, 8.2855995E+001, 8.3526961E+001, 8.0816846E+001, 7.5349668E+001, 7.4459847E+001, 7.2172510E+001
 1.6001067E+002, 9.5418784E+001, 8.9127136E+001, 8.1482584E+001, 9.2659818E+001, 9.5087780E+001, 9.3260005E+001, 8.7123530E+001, 8.8051899E+001, 8.6744982E+001, 7.8961847E+001, 7.9629496E+001, 7.8149868E+001
 1.7001098E+002, 1.0344458E+002, 9.3825691E+001, 8.5488740E+001, 9.8771877E+001, 1.0369804E+002, 9.8821947E+001, 9.2859321E+001, 9.4168197E+001, 9.0165021E+001, 8.3222568E+001, 8.3513288E+001, 8.2634524E+001
 1.8000783E+002, 1.1106142E+002, 1.0196495E+002, 9.0444362E+001, 1.0487900E+002, 1.0787302E+002, 1.1121493E+002, 9.8422686E+001, 9.8338067E+001, 9.5942289E+001, 8.8672160E+001, 8.8679700E+001, 8.6633596E+001
 1.9000901E+002, 1.2064047E+002, 1.0830155E+002, 9.6430366E+001, 1.1505508E+002, 1.1531942E+002, 1.1740506E+002, 1.0458947E+002, 1.0588744E+002, 1.0268159E+002, 9.3574577E+001, 9.4302376E+001, 9.3509751E+001
 2.0000068E+002, 1.2975536E+002, 1.1597310E+002, 1.0489811E+002, 1.2106549E+002, 1.2884373E+002, 1.2949179E+002, 1.1145677E+002, 1.1377269E+002, 1.1155826E+002, 1.0069551E+002, 1.0165286E+002, 1.0029146E+002
 2.1000796E+002, 1.4038542E+002, 1.2575466E+002, 1.1236495E+002, 1.3377884E+002, 1.3561414E+002, 1.3718112E+002, 1.1934555E+002, 1.2183300E+002, 1.2268721E+002, 1.0816737E+002, 1.1031198E+002, 1.0845663E+002
