s,,,,C,C,C,C,C,C,C,C,C
Time,"C02_ave","C06_ave","C10_ave","C2-1","C2-2","C2-3","C6-1","C6-2","C6-3","C10-1","C10-2","C10-3"
 0.0000000E+000, 1.9980000E+001, 1.9980000E+001, 1.9980000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 1.0014146E+001, 1.9984311E+001, 1.9957856E+001, 1.9955480E+001, 2.0002746E+001, 2.0004515E+001, 2.0005430E+001, 1.9997412E+001, 1.9997099E+001, 1.9997845E+001, 1.9997197E+001, 1.9996745E+001, 1.9997073E+001
 2.0015609E+001, 2.1078570E+001, 1.9859368E+001, 1.9867268E+001, 2.0053118E+001, 2.0055685E+001, 2.0913281E+001, 1.9925812E+001, 1.9926143E+001, 1.9924609E+001, 1.9931346E+001, 1.9936438E+001, 1.9925787E+001
 3.0007815E+001, 2.7930612E+001, 1.9796887E+001, 1.9788364E+001, 2.2953258E+001, 2.2923539E+001, 2.4559388E+001, 1.9870962E+001, 1.9841074E+001, 1.9833817E+001, 1.9861082E+001, 1.9840268E+001, 1.9848157E+001
 4.0013589E+001, 3.8524600E+001, 2.4638899E+001, 1.9744050E+001, 3.3650167E+001, 3.4855583E+001, 3.4078993E+001, 2.0766499E+001, 2.0008630E+001, 2.0219710E+001, 1.9771426E+001, 1.9770255E+001, 1.9805685E+001
 5.0015067E+001, 4.4563954E+001, 3.8876181E+001, 1.9694539E+001, 4.0343445E+001, 4.3201947E+001, 4.1222483E+001, 3.4522000E+001, 3.3392969E+001, 3.2061379E+001, 1.9675583E+001, 1.9748049E+001, 1.9751799E+001
 6.0003902E+001, 4.7537484E+001, 4.4236747E+001, 3.3673191E+001, 4.5423984E+001, 4.7036534E+001, 4.5224677E+001, 4.2253269E+001, 4.2153725E+001, 4.0599625E+001, 2.6707143E+001, 2.4485841E+001, 2.3164235E+001
 7.0013731E+001, 5.3744477E+001, 4.8073401E+001, 4.2265119E+001, 5.0273300E+001, 5.4189738E+001, 4.8689534E+001, 4.7056340E+001, 4.6602277E+001, 4.4002578E+001, 4.0193341E+001, 3.8924043E+001, 3.7243646E+001
 8.0004594E+001, 5.3438875E+001, 5.1271088E+001, 4.6486671E+001, 5.2156528E+001, 5.6168151E+001, 5.1603424E+001, 5.0374227E+001, 5.1223144E+001, 4.9185213E+001, 4.5539492E+001, 4.4884441E+001, 4.3304799E+001
