s,,,,C,C,C,C,C,C,C,C,C
Time,"C02_ave","C06_ave","C10_ave","C2-1","C2-2","C2-3","C6-1","C6-2","C6-3","C10-1","C10-2","C10-3"
 0.0000000E+000, 1.9980000E+001, 1.9980000E+001, 1.9980000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 1.0004183E+001, 1.9982245E+001, 1.9959034E+001, 1.9956458E+001, 2.0001707E+001, 2.0003118E+001, 2.0003882E+001, 1.9997526E+001, 1.9997062E+001, 1.9997879E+001, 1.9997544E+001, 1.9997139E+001, 1.9997391E+001
 2.0007116E+001, 2.0728157E+001, 1.9857464E+001, 1.9854238E+001, 2.0033796E+001, 2.0049978E+001, 2.0468695E+001, 1.9928114E+001, 1.9925171E+001, 1.9926211E+001, 1.9925305E+001, 1.9930277E+001, 1.9924844E+001
 3.0001916E+001, 2.9545963E+001, 1.9811701E+001, 1.9801891E+001, 2.2577257E+001, 2.2893318E+001, 2.5258964E+001, 1.9871233E+001, 1.9852407E+001, 1.9850630E+001, 1.9856015E+001, 1.9828104E+001, 1.9863183E+001
 4.0017975E+001, 3.9298167E+001, 2.4132571E+001, 1.9760908E+001, 3.3805528E+001, 3.8287912E+001, 3.5148072E+001, 2.0654713E+001, 2.0156952E+001, 1.9883266E+001, 1.9791561E+001, 1.9749954E+001, 1.9828006E+001
 5.0013238E+001, 4.5482307E+001, 3.8251725E+001, 1.9779078E+001, 4.1210634E+001, 4.6010587E+001, 3.9906456E+001, 3.4744829E+001, 3.2687422E+001, 3.1063262E+001, 1.9778751E+001, 1.9763204E+001, 1.9823811E+001
 6.0012645E+001, 4.8354278E+001, 4.3671761E+001, 3.3730450E+001, 4.8308065E+001, 4.9502518E+001, 4.2304180E+001, 4.2563513E+001, 4.1568672E+001, 3.9417058E+001, 2.6401525E+001, 2.5312163E+001, 2.3107169E+001
 7.0010504E+001, 5.2072742E+001, 4.7670003E+001, 4.1603295E+001, 5.1479433E+001, 5.2528691E+001, 4.5679649E+001, 4.7435949E+001, 4.5761485E+001, 4.2634151E+001, 4.0511002E+001, 3.8495750E+001, 3.6722736E+001
 8.0001660E+001, 5.3680165E+001, 5.0666748E+001, 4.6694998E+001, 5.1917672E+001, 5.6265438E+001, 5.0940967E+001, 4.9904632E+001, 5.0412207E+001, 4.7505826E+001, 4.5598342E+001, 4.4681165E+001, 4.2712717E+001
