s,,,,C,C,C,C,C,C,C,C,C
Time,"C02_ave","C06_ave","C10_ave","C2-1","C2-2","C2-3","C6-1","C6-2","C6-3","C10-1","C10-2","C10-3"
 0.0000000E+000, 1.9979941E+001, 1.9979928E+001, 1.9979943E+001, 1.9999946E+001, 1.9999939E+001, 1.9999937E+001, 1.9999935E+001, 1.9999923E+001, 1.9999927E+001, 1.9999946E+001, 1.9999935E+001, 1.9999946E+001
 1.0033175E+001, 1.9948193E+001, 1.9938775E+001, 1.9940206E+001, 1.9994342E+001, 1.9994521E+001, 1.9996600E+001, 1.9992457E+001, 1.9992104E+001, 1.9993567E+001, 1.9992832E+001, 1.9992252E+001, 1.9993768E+001
 2.0009263E+001, 2.0541154E+001, 1.9830300E+001, 1.9852154E+001, 1.9943118E+001, 1.9957882E+001, 2.0574447E+001, 1.9892319E+001, 1.9897743E+001, 1.9897045E+001, 1.9899267E+001, 1.9907366E+001, 1.9920450E+001
 3.0004058E+001, 2.6230533E+001, 1.9738068E+001, 1.9754012E+001, 2.2576355E+001, 2.2217941E+001, 2.4507915E+001, 1.9852397E+001, 1.9787981E+001, 1.9826827E+001, 1.9861105E+001, 1.9789169E+001, 1.9848290E+001
 4.0015031E+001, 3.6427944E+001, 1.9711543E+001, 1.9711887E+001, 2.9482243E+001, 3.0252743E+001, 3.1767739E+001, 1.9728876E+001, 1.9693220E+001, 1.9695023E+001, 1.9714946E+001, 1.9766600E+001, 1.9736539E+001
 5.0014485E+001, 4.3853033E+001, 3.4704100E+001, 1.9669375E+001, 3.9123787E+001, 4.3212477E+001, 4.1861435E+001, 2.7787811E+001, 2.6962412E+001, 2.4239582E+001, 1.9663947E+001, 1.9740017E+001, 1.9734440E+001
 6.0001828E+001, 4.9750317E+001, 4.6155369E+001, 2.8011132E+001, 4.5578438E+001, 4.8591995E+001, 4.7749765E+001, 4.2323809E+001, 4.2298968E+001, 4.0400857E+001, 2.1074982E+001, 2.1324559E+001, 2.0141336E+001
 7.0020475E+001, 5.3832838E+001, 5.0063830E+001, 4.3151052E+001, 5.1151727E+001, 5.4693604E+001, 4.9980602E+001, 4.9113683E+001, 4.9676138E+001, 4.6662462E+001, 3.7176465E+001, 3.7992931E+001, 3.6091700E+001
 8.0000190E+001, 5.5754527E+001, 5.1856310E+001, 4.7218839E+001, 5.4641790E+001, 5.8158039E+001, 4.9603831E+001, 5.2180072E+001, 5.2344670E+001, 4.8255104E+001, 4.6597076E+001, 4.6216342E+001, 4.4196063E+001
 9.0017015E+001, 5.8349468E+001, 5.4928879E+001, 5.0245576E+001, 5.8935453E+001, 6.0797637E+001, 5.1547988E+001, 5.4745361E+001, 5.4539338E+001, 5.2491275E+001, 4.9727001E+001, 4.8961990E+001, 4.7494194E+001
 1.0000116E+002, 6.0237452E+001, 5.7834736E+001, 5.3589769E+001, 5.8781363E+001, 6.1068577E+001, 5.7501207E+001, 5.7534374E+001, 5.7312373E+001, 5.4588873E+001, 5.2741069E+001, 5.2401143E+001, 5.1361372E+001
 1.1000635E+002, 6.2290715E+001, 5.8032906E+001, 5.5543952E+001, 5.9373521E+001, 6.4690516E+001, 5.7839259E+001, 5.7602141E+001, 5.9310173E+001, 5.7720132E+001, 5.5430863E+001, 5.4846151E+001, 5.3742341E+001
 1.2001517E+002, 6.3134458E+001, 6.0259267E+001, 5.5501732E+001, 6.1134767E+001, 6.6806719E+001, 6.1797938E+001, 5.8405574E+001, 5.9877186E+001, 5.9098441E+001, 5.5616354E+001, 5.5845408E+001, 5.4738268E+001
 1.3000746E+002, 6.9014941E+001, 6.3414599E+001, 5.8504970E+001, 6.4081804E+001, 7.3716397E+001, 5.9997092E+001, 6.2227226E+001, 6.3126208E+001, 6.0433084E+001, 5.7200624E+001, 5.7103481E+001, 5.5929984E+001
 1.4000386E+002, 7.3027699E+001, 6.7933565E+001, 6.1045748E+001, 6.9047590E+001, 7.8471755E+001, 6.5106672E+001, 6.6387766E+001, 6.6875168E+001, 6.3441621E+001, 6.0440945E+001, 5.9774128E+001, 5.8080393E+001
 1.5000417E+002, 7.9244293E+001, 7.1526924E+001, 6.5184161E+001, 7.3620896E+001, 8.1009342E+001, 7.2869109E+001, 6.8966606E+001, 7.1588847E+001, 6.9484293E+001, 6.3662987E+001, 6.3744397E+001, 6.2347787E+001
 1.6001437E+002, 8.0826599E+001, 7.6952908E+001, 6.9569381E+001, 7.8450347E+001, 8.3762763E+001, 7.7570464E+001, 7.4434675E+001, 7.6068244E+001, 7.4445218E+001, 6.7466530E+001, 6.8144052E+001, 6.6559507E+001
 1.7000224E+002, 8.7851286E+001, 8.2232788E+001, 7.4348376E+001, 8.2761888E+001, 8.8610347E+001, 8.4542675E+001, 8.0017487E+001, 8.0792409E+001, 7.8625692E+001, 7.2546288E+001, 7.2252257E+001, 7.0951897E+001
 1.8000249E+002, 8.9624880E+001, 8.4915911E+001, 7.8427984E+001, 8.6836394E+001, 9.2734549E+001, 8.8719912E+001, 8.3592923E+001, 8.5500668E+001, 8.2337318E+001, 7.7459527E+001, 7.7301014E+001, 7.5566016E+001
 1.9001074E+002, 9.8913016E+001, 9.1286271E+001, 8.1567691E+001, 9.0159883E+001, 9.8765305E+001, 9.5817007E+001, 8.6804059E+001, 8.9776673E+001, 8.6620844E+001, 8.0431411E+001, 8.1298675E+001, 7.8716118E+001
 2.0000593E+002, 1.0441235E+002, 9.5168350E+001, 8.8210640E+001, 9.6126969E+001, 1.0775252E+002, 9.8364634E+001, 9.2070964E+001, 9.6061722E+001, 9.3056553E+001, 8.6120556E+001, 8.7362701E+001, 8.4186597E+001
 2.1000393E+002, 1.0935582E+002, 1.0251151E+002, 9.2989814E+001, 1.0582826E+002, 1.1561203E+002, 9.8531095E+001, 1.0065369E+002, 1.0061880E+002, 9.6406781E+001, 9.0655371E+001, 9.1371052E+001, 8.8742070E+001
 2.2000451E+002, 1.1473241E+002, 1.0746814E+002, 9.9239829E+001, 1.0787313E+002, 1.2055270E+002, 1.0733986E+002, 1.0563044E+002, 1.0752732E+002, 1.0196245E+002, 9.8300463E+001, 9.7624413E+001, 9.2955298E+001
 2.3000264E+002, 1.2307425E+002, 1.1689764E+002, 1.0493339E+002, 1.1578719E+002, 1.2493552E+002, 1.1907752E+002, 1.1051962E+002, 1.1460340E+002, 1.0998798E+002, 1.0308920E+002, 1.0295465E+002, 9.9754949E+001
 2.4000511E+002, 1.3456160E+002, 1.1923341E+002, 1.1048924E+002, 1.2299400E+002, 1.3186978E+002, 1.2345863E+002, 1.1773671E+002, 1.1977471E+002, 1.1623367E+002, 1.0903172E+002, 1.0979916E+002, 1.0678565E+002
 2.5000734E+002, 1.3758241E+002, 1.2590731E+002, 1.1565038E+002, 1.2876006E+002, 1.3938712E+002, 1.3352161E+002, 1.2261089E+002, 1.2512643E+002, 1.2034944E+002, 1.1317561E+002, 1.1382395E+002, 1.1104312E+002
 2.6000673E+002, 1.4781844E+002, 1.3560391E+002, 1.2182645E+002, 1.3943120E+002, 1.4998001E+002, 1.4107537E+002, 1.3069548E+002, 1.3109878E+002, 1.2711523E+002, 1.1836944E+002, 1.1899627E+002, 1.1701984E+002
 2.7000653E+002, 1.5258591E+002, 1.4139380E+002, 1.3032455E+002, 1.4709919E+002, 1.5463004E+002, 1.4382688E+002, 1.4090147E+002, 1.4011644E+002, 1.3441699E+002, 1.2795998E+002, 1.2699798E+002, 1.2447346E+002
 2.8000438E+002, 1.6165020E+002, 1.4724289E+002, 1.3485726E+002, 1.5006580E+002, 1.6485616E+002, 1.5723824E+002, 1.4446458E+002, 1.4796492E+002, 1.3785020E+002, 1.3500549E+002, 1.3363512E+002, 1.2881560E+002
 2.9000856E+002, 1.6802832E+002, 1.5637955E+002, 1.4491723E+002, 1.5525626E+002, 1.8581429E+002, 1.5569351E+002, 1.5598314E+002, 1.5772338E+002, 1.4899241E+002, 1.4049926E+002, 1.4097511E+002, 1.3531843E+002
 3.0000861E+002, 1.7719323E+002, 1.6379465E+002, 1.4862827E+002, 1.6050460E+002, 1.9374859E+002, 1.6472856E+002, 1.6145503E+002, 1.6363539E+002, 1.5254900E+002, 1.4980027E+002, 1.4812144E+002, 1.4217568E+002
 3.1000685E+002, 1.8191750E+002, 1.6878176E+002, 1.5400031E+002, 1.6716862E+002, 1.9121028E+002, 1.7399674E+002, 1.6842682E+002, 1.6798747E+002, 1.6189417E+002, 1.5538220E+002, 1.5374471E+002, 1.4884327E+002
 3.2000584E+002, 1.9443864E+002, 1.8284330E+002, 1.6413994E+002, 1.7861369E+002, 2.0954640E+002, 1.8327717E+002, 1.7735243E+002, 1.7892299E+002, 1.7091954E+002, 1.6173066E+002, 1.5933648E+002, 1.5417036E+002
 3.3000317E+002, 2.0659470E+002, 1.8801492E+002, 1.7248513E+002, 1.8462921E+002, 2.1670817E+002, 1.9813660E+002, 1.8606035E+002, 1.8802825E+002, 1.8056198E+002, 1.7136463E+002, 1.6946512E+002, 1.6551912E+002
 3.4000245E+002, 2.1879728E+002, 2.0004894E+002, 1.8283713E+002, 1.9686146E+002, 2.3259067E+002, 2.1127887E+002, 1.9621943E+002, 1.9847138E+002, 1.8972333E+002, 1.7933170E+002, 1.7914234E+002, 1.7314892E+002
 3.5000336E+002, 2.3151207E+002, 2.1206846E+002, 1.9103399E+002, 2.0857548E+002, 2.5201031E+002, 2.2256185E+002, 2.0807874E+002, 2.0987739E+002, 2.0128075E+002, 1.9037785E+002, 1.8901722E+002, 1.8278328E+002
 3.6000783E+002, 2.4706224E+002, 2.2442573E+002, 2.0395100E+002, 2.2391603E+002, 2.6332837E+002, 2.3879227E+002, 2.2019440E+002, 2.2148974E+002, 2.1367216E+002, 2.0143928E+002, 1.9742895E+002, 1.9235450E+002
 3.7000855E+002, 2.5970302E+002, 2.4044820E+002, 2.1462852E+002, 2.3412429E+002, 2.8215977E+002, 2.5520020E+002, 2.3547040E+002, 2.3649578E+002, 2.2696359E+002, 2.1154407E+002, 2.1057661E+002, 2.0402198E+002
 3.8000058E+002, 2.7602010E+002, 2.4829850E+002, 2.2485134E+002, 2.5110094E+002, 2.8267181E+002, 2.6273679E+002, 2.4496118E+002, 2.4738245E+002, 2.4056437E+002, 2.2380008E+002, 2.2207892E+002, 2.1546890E+002
 3.9000139E+002, 3.0384380E+002, 2.6304015E+002, 2.3729890E+002, 2.6544554E+002, 3.1166805E+002, 2.8501470E+002, 2.5669195E+002, 2.6065598E+002, 2.5241945E+002, 2.3370448E+002, 2.3165650E+002, 2.2489077E+002
