s,,,,C,C,C,C,C,C,C,C,C
Time,"C02_ave","C06_ave","C10_ave","C2-1","C2-2","C2-3","C6-1","C6-2","C6-3","C10-1","C10-2","C10-3"
 0.0000000E+000, 1.9980000E+001, 1.9980000E+001, 1.9980000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 1.0004358E+001, 1.9982313E+001, 1.9959246E+001, 1.9956947E+001, 2.0001722E+001, 2.0003131E+001, 2.0003892E+001, 1.9997556E+001, 1.9997065E+001, 1.9997878E+001, 1.9997678E+001, 1.9997215E+001, 1.9997466E+001
 2.0000082E+001, 2.0833732E+001, 1.9854028E+001, 1.9854468E+001, 2.0041475E+001, 2.0053011E+001, 2.0456695E+001, 1.9927958E+001, 1.9924590E+001, 1.9924671E+001, 1.9925946E+001, 1.9930202E+001, 1.9926447E+001
 3.0003278E+001, 2.7697148E+001, 1.9783615E+001, 1.9788903E+001, 2.2585499E+001, 2.2699690E+001, 2.4374292E+001, 1.9855439E+001, 1.9837442E+001, 1.9838690E+001, 1.9852810E+001, 1.9824779E+001, 1.9847857E+001
 4.0008188E+001, 3.9161578E+001, 2.3049673E+001, 1.9730683E+001, 3.3367405E+001, 3.8016904E+001, 3.3446948E+001, 2.0332857E+001, 1.9927076E+001, 1.9832481E+001, 1.9813196E+001, 1.9747162E+001, 1.9763632E+001
 5.0001924E+001, 4.5727381E+001, 3.8598931E+001, 1.9701179E+001, 4.1704052E+001, 4.5585479E+001, 4.1638969E+001, 3.3869326E+001, 3.2826315E+001, 3.0780306E+001, 1.9742348E+001, 1.9738473E+001, 1.9736534E+001
 6.0019898E+001, 4.8079907E+001, 4.4107907E+001, 3.2503215E+001, 4.7119875E+001, 4.9070008E+001, 4.4508434E+001, 4.2345220E+001, 4.2236402E+001, 4.0784599E+001, 2.3533526E+001, 2.3817466E+001, 2.2087391E+001
 7.0015979E+001, 5.2569310E+001, 4.8254714E+001, 4.2149395E+001, 4.9871327E+001, 5.4092119E+001, 4.7825005E+001, 4.6606146E+001, 4.6444959E+001, 4.4936303E+001, 3.9423358E+001, 3.8876585E+001, 3.6828229E+001
 8.0002703E+001, 5.5371639E+001, 5.1729004E+001, 4.6822811E+001, 5.3103897E+001, 5.6749275E+001, 5.1575753E+001, 5.0822898E+001, 5.0836562E+001, 4.9684102E+001, 4.5000478E+001, 4.4965032E+001, 4.3274138E+001
