s,,,,C,C,C,C,C,C,C,C,C
Time,"C02_ave","C06_ave","C10_ave","C2-1","C2-2","C2-3","C6-1","C6-2","C6-3","C10-1","C10-2","C10-3"
 0.0000000E+000, 1.9980000E+001, 1.9980000E+001, 1.9980000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 1.0000857E+001, 1.9939547E+001, 1.9930592E+001, 1.9931561E+001, 1.9993067E+001, 1.9993126E+001, 1.9995458E+001, 1.9991255E+001, 1.9990844E+001, 1.9992584E+001, 1.9991534E+001, 1.9990855E+001, 1.9992711E+001
 2.0028808E+001, 2.0093247E+001, 1.9796932E+001, 1.9823945E+001, 1.9921406E+001, 1.9931722E+001, 1.9981695E+001, 1.9867791E+001, 1.9874613E+001, 1.9872496E+001, 1.9873134E+001, 1.9884708E+001, 1.9902760E+001
 3.0010315E+001, 2.5880556E+001, 1.9698475E+001, 1.9713124E+001, 2.1276309E+001, 2.1564968E+001, 2.3272880E+001, 1.9809189E+001, 1.9755258E+001, 1.9788192E+001, 1.9834482E+001, 1.9759446E+001, 1.9806918E+001
 4.0022298E+001, 3.5359678E+001, 1.9682854E+001, 1.9632201E+001, 2.7626278E+001, 2.8629197E+001, 3.1963231E+001, 1.9643962E+001, 1.9612449E+001, 1.9642639E+001, 1.9631152E+001, 1.9708750E+001, 1.9646687E+001
 5.0018466E+001, 4.3242857E+001, 3.2803961E+001, 1.9581378E+001, 3.7864220E+001, 4.0271876E+001, 4.1807455E+001, 2.5516903E+001, 2.6867262E+001, 2.4137548E+001, 1.9591421E+001, 1.9664452E+001, 1.9652281E+001
 6.0016054E+001, 4.7613298E+001, 4.4041295E+001, 2.5023162E+001, 4.4880189E+001, 4.6827323E+001, 4.6806662E+001, 4.0383984E+001, 4.0559595E+001, 3.7079095E+001, 2.0476767E+001, 2.0226654E+001, 1.9742699E+001
 7.0015435E+001, 5.0810901E+001, 4.9055231E+001, 4.0608107E+001, 4.8439621E+001, 5.1931481E+001, 4.8115281E+001, 4.7551873E+001, 4.8053887E+001, 4.5227755E+001, 3.5534609E+001, 3.4790856E+001, 3.3131122E+001
 8.0004337E+001, 5.4700449E+001, 5.0432050E+001, 4.6023116E+001, 5.3335404E+001, 5.4736044E+001, 5.1626953E+001, 5.1482231E+001, 5.0306396E+001, 4.7856228E+001, 4.4836532E+001, 4.4483225E+001, 4.2957006E+001
