s,,,,C,C,C,C,C,C,C,C,C
Time,"C02_ave","C06_ave","C10_ave","C2-1","C2-2","C2-3","C6-1","C6-2","C6-3","C10-1","C10-2","C10-3"
 0.0000000E+000, 1.9980000E+001, 1.9980000E+001, 1.9980000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 1.0004169E+001, 1.9982264E+001, 1.9959058E+001, 1.9956488E+001, 2.0001711E+001, 2.0003121E+001, 2.0003885E+001, 1.9997497E+001, 1.9997020E+001, 1.9997858E+001, 1.9997562E+001, 1.9997143E+001, 1.9997405E+001
 2.0017423E+001, 2.0712571E+001, 1.9857001E+001, 1.9857388E+001, 2.0033691E+001, 2.0048531E+001, 2.0456053E+001, 1.9928126E+001, 1.9924962E+001, 1.9926144E+001, 1.9925465E+001, 1.9930043E+001, 1.9925414E+001
 3.0021766E+001, 2.8425706E+001, 1.9808414E+001, 1.9795132E+001, 2.2536847E+001, 2.2650618E+001, 2.4425252E+001, 1.9866900E+001, 1.9846840E+001, 1.9849173E+001, 1.9857130E+001, 1.9828845E+001, 1.9861810E+001
 4.0018737E+001, 3.9486019E+001, 2.4014466E+001, 1.9744248E+001, 3.3364955E+001, 3.8130687E+001, 3.4664539E+001, 2.0454655E+001, 2.0402418E+001, 1.9814300E+001, 1.9779676E+001, 1.9755906E+001, 1.9813022E+001
 5.0000018E+001, 4.6460721E+001, 3.8844997E+001, 1.9764978E+001, 4.2010030E+001, 4.6981386E+001, 4.1105415E+001, 3.4092602E+001, 3.4288116E+001, 3.0256579E+001, 1.9749251E+001, 1.9759171E+001, 1.9801822E+001
 6.0016010E+001, 4.7927832E+001, 4.4428824E+001, 3.3625057E+001, 4.8134702E+001, 4.9291435E+001, 4.3836245E+001, 4.2654637E+001, 4.2030345E+001, 4.0811890E+001, 2.5663185E+001, 2.4910990E+001, 2.4158869E+001
 7.0004699E+001, 5.3107478E+001, 4.8135904E+001, 4.2665140E+001, 5.0807515E+001, 5.3069251E+001, 4.8071165E+001, 4.7087810E+001, 4.6803045E+001, 4.4558252E+001, 4.0393850E+001, 3.8713371E+001, 3.7699242E+001
 8.0004678E+001, 5.4419576E+001, 5.1823228E+001, 4.6897329E+001, 5.2236047E+001, 5.6350011E+001, 5.3141913E+001, 5.0115667E+001, 5.1967075E+001, 4.9631390E+001, 4.5328771E+001, 4.5087550E+001, 4.3561061E+001
