s,,,,C,C,C,C,C,C,C,C,C
Time,"C02_ave","C06_ave","C10_ave","C2-1","C2-2","C2-3","C6-1","C6-2","C6-3","C10-1","C10-2","C10-3"
 0.0000000E+000, 1.9979941E+001, 1.9979928E+001, 1.9979953E+001, 1.9999946E+001, 1.9999939E+001, 1.9999937E+001, 1.9999935E+001, 1.9999923E+001, 1.9999927E+001, 1.9999957E+001, 1.9999948E+001, 1.9999955E+001
 1.0002345E+001, 1.9948466E+001, 1.9939181E+001, 1.9940704E+001, 1.9994430E+001, 1.9994603E+001, 1.9996673E+001, 1.9992581E+001, 1.9992238E+001, 1.9993681E+001, 1.9992980E+001, 1.9992399E+001, 1.9993900E+001
 2.0016046E+001, 2.0543973E+001, 1.9829959E+001, 1.9851504E+001, 1.9943321E+001, 1.9956744E+001, 2.0570769E+001, 1.9892636E+001, 1.9897825E+001, 1.9897197E+001, 1.9899616E+001, 1.9907715E+001, 1.9919954E+001
 3.0025255E+001, 2.6144019E+001, 1.9734666E+001, 1.9752668E+001, 2.3117148E+001, 2.2378311E+001, 2.3769879E+001, 1.9850062E+001, 1.9789906E+001, 1.9818687E+001, 1.9858936E+001, 1.9790033E+001, 1.9848151E+001
 4.0018122E+001, 3.5549359E+001, 1.9673684E+001, 1.9716290E+001, 2.8765018E+001, 3.0644175E+001, 3.0606217E+001, 1.9733842E+001, 1.9692856E+001, 1.9685507E+001, 1.9733201E+001, 1.9752706E+001, 1.9732729E+001
 5.0016255E+001, 4.4677626E+001, 3.5517829E+001, 1.9692965E+001, 4.0680205E+001, 4.0791117E+001, 4.1750305E+001, 2.6184972E+001, 2.6713788E+001, 2.5584827E+001, 1.9717248E+001, 1.9730963E+001, 1.9723735E+001
 6.0017981E+001, 4.9558291E+001, 4.5802519E+001, 2.8830373E+001, 4.6541536E+001, 4.7872023E+001, 4.6902033E+001, 4.2636311E+001, 4.1704605E+001, 4.0454543E+001, 2.1487341E+001, 2.1402793E+001, 2.0577624E+001
 7.0003701E+001, 5.2796949E+001, 4.9440531E+001, 4.2556490E+001, 5.0741162E+001, 5.4125626E+001, 4.8746497E+001, 4.8881397E+001, 4.8601621E+001, 4.6142917E+001, 3.7217503E+001, 3.7487534E+001, 3.6279854E+001
 8.0000086E+001, 5.4946693E+001, 5.2850160E+001, 4.7221929E+001, 5.3849374E+001, 5.6424184E+001, 5.0116484E+001, 5.2737510E+001, 5.1975154E+001, 4.8998674E+001, 4.6245008E+001, 4.4954023E+001, 4.3941383E+001
 9.0014343E+001, 5.8786750E+001, 5.5148904E+001, 5.0333345E+001, 5.7000607E+001, 5.9425513E+001, 5.6670736E+001, 5.4708276E+001, 5.5096933E+001, 5.1982212E+001, 4.9863069E+001, 4.9544560E+001, 4.7622327E+001
 1.0000208E+002, 6.0779324E+001, 5.6890533E+001, 5.2572490E+001, 5.8918211E+001, 6.2445413E+001, 5.6255615E+001, 5.6669881E+001, 5.6721195E+001, 5.5038222E+001, 5.2348141E+001, 5.2341145E+001, 5.0721552E+001
 1.1001070E+002, 6.0218469E+001, 5.7697085E+001, 5.4135513E+001, 5.9824684E+001, 6.3800804E+001, 5.7510382E+001, 5.8147374E+001, 5.8548934E+001, 5.5773285E+001, 5.4664738E+001, 5.4057952E+001, 5.2850002E+001
 1.2001117E+002, 6.1659626E+001, 6.1105025E+001, 5.5796412E+001, 6.2125755E+001, 6.3946431E+001, 6.0608655E+001, 5.9247474E+001, 6.0764964E+001, 5.8052190E+001, 5.5682554E+001, 5.5682769E+001, 5.3957064E+001
 1.3001128E+002, 6.6517991E+001, 6.1417812E+001, 5.7567097E+001, 6.5652240E+001, 6.9043728E+001, 5.7562925E+001, 6.1226633E+001, 6.1573755E+001, 5.8415383E+001, 5.7962488E+001, 5.7379900E+001, 5.5777692E+001
 1.4000992E+002, 7.0978131E+001, 6.5918642E+001, 5.9445835E+001, 6.9144756E+001, 7.0476107E+001, 6.4626724E+001, 6.4724574E+001, 6.4083407E+001, 6.1693763E+001, 5.8941114E+001, 5.8521069E+001, 5.6701840E+001
 1.5000009E+002, 7.4503631E+001, 6.9437540E+001, 6.2555187E+001, 7.3289600E+001, 7.4939150E+001, 7.2647329E+001, 6.7802038E+001, 6.7753083E+001, 6.7174862E+001, 6.2477630E+001, 6.0822981E+001, 6.0579004E+001
 1.6001459E+002, 7.7694262E+001, 7.3249274E+001, 6.6369848E+001, 7.4333431E+001, 8.0065813E+001, 7.3788697E+001, 7.1201240E+001, 7.1702505E+001, 7.0460837E+001, 6.5268454E+001, 6.5541036E+001, 6.4723911E+001
 1.7000916E+002, 8.4267123E+001, 7.7035985E+001, 7.0314923E+001, 7.9397448E+001, 8.3757915E+001, 8.0121681E+001, 7.4959810E+001, 7.6398316E+001, 7.4909051E+001, 6.9315356E+001, 6.8733262E+001, 6.7976080E+001
 1.8000184E+002, 8.8181229E+001, 7.9799621E+001, 7.3706763E+001, 8.5399795E+001, 8.8318617E+001, 8.3796172E+001, 7.8821866E+001, 7.9693727E+001, 7.6877872E+001, 7.3006369E+001, 7.2862345E+001, 7.0620914E+001
 1.9000416E+002, 9.1314466E+001, 8.5477728E+001, 7.7325655E+001, 8.6953671E+001, 9.2776483E+001, 9.0419581E+001, 8.2489606E+001, 8.3738647E+001, 8.1227529E+001, 7.6400068E+001, 7.6604017E+001, 7.3867687E+001
 2.0001090E+002, 9.5720671E+001, 8.6839607E+001, 8.2129557E+001, 8.5891828E+001, 9.5776931E+001, 9.4484862E+001, 8.5474782E+001, 8.8436618E+001, 8.7064163E+001, 7.9726341E+001, 8.1192804E+001, 7.9303332E+001
 2.1000675E+002, 1.0033554E+002, 9.4418169E+001, 8.6006225E+001, 9.0389617E+001, 1.0452878E+002, 1.0057706E+002, 8.8166816E+001, 9.2974077E+001, 9.0733936E+001, 8.3465166E+001, 8.4302956E+001, 8.2538666E+001
 2.2000482E+002, 1.0868122E+002, 9.9074398E+001, 8.9788867E+001, 1.0120916E+002, 1.0841308E+002, 1.0383311E+002, 9.5220551E+001, 9.8340818E+001, 9.4257240E+001, 8.8050336E+001, 8.9071976E+001, 8.7525081E+001
 2.3000223E+002, 1.1702435E+002, 1.0314076E+002, 9.6042329E+001, 1.1157789E+002, 1.1741692E+002, 1.0848340E+002, 1.0309589E+002, 1.0227758E+002, 9.9573236E+001, 9.3305413E+001, 9.2863366E+001, 9.1971356E+001
