s,,,,C,C,C,C,C,C,C,C,C
Time,"C02_ave","C06_ave","C10_ave","C2-1","C2-2","C2-3","C6-1","C6-2","C6-3","C10-1","C10-2","C10-3"
 0.0000000E+000, 1.9980000E+001, 1.9980000E+001, 1.9980000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 1.0009240E+001, 1.9939435E+001, 1.9930515E+001, 1.9931843E+001, 1.9993031E+001, 1.9993096E+001, 1.9995431E+001, 1.9991234E+001, 1.9990844E+001, 1.9992570E+001, 1.9991560E+001, 1.9990899E+001, 1.9992747E+001
 2.0016508E+001, 2.0162475E+001, 1.9796883E+001, 1.9824500E+001, 1.9921268E+001, 1.9931631E+001, 1.9999082E+001, 1.9868229E+001, 1.9874375E+001, 1.9872590E+001, 1.9874035E+001, 1.9883933E+001, 1.9901677E+001
 3.0011308E+001, 2.5797347E+001, 1.9680057E+001, 1.9689336E+001, 2.1949666E+001, 2.1726230E+001, 2.3743980E+001, 1.9815993E+001, 1.9741737E+001, 1.9774902E+001, 1.9820142E+001, 1.9748729E+001, 1.9795422E+001
 4.0008095E+001, 3.3777717E+001, 1.9579481E+001, 1.9643868E+001, 2.7743355E+001, 2.7602897E+001, 3.1998460E+001, 1.9650960E+001, 1.9587757E+001, 1.9619460E+001, 1.9635483E+001, 1.9683901E+001, 1.9683856E+001
 5.0011594E+001, 4.2747117E+001, 3.2970723E+001, 1.9617998E+001, 3.7800478E+001, 3.8314500E+001, 4.1387777E+001, 2.4783084E+001, 2.4082789E+001, 2.4554787E+001, 1.9618250E+001, 1.9683985E+001, 1.9672302E+001
 6.0019318E+001, 4.7570298E+001, 4.4762775E+001, 2.4527519E+001, 4.5220240E+001, 4.6373256E+001, 4.5609202E+001, 4.0446051E+001, 3.9937992E+001, 3.9404957E+001, 2.0456655E+001, 2.0467325E+001, 1.9632365E+001
 7.0001757E+001, 5.1420078E+001, 4.9297129E+001, 4.1579205E+001, 4.9807443E+001, 5.1146283E+001, 4.8912003E+001, 4.7482277E+001, 4.8277175E+001, 4.6078890E+001, 3.6171200E+001, 3.5718168E+001, 3.2771735E+001
 8.0006212E+001, 5.4292401E+001, 5.0459056E+001, 4.5843358E+001, 5.3567474E+001, 5.4609982E+001, 4.8361563E+001, 5.1283735E+001, 4.9993908E+001, 4.8075793E+001, 4.5393351E+001, 4.5006951E+001, 4.2886342E+001
