s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,HF1,HF2,HF3,HF4,HF5,HF6
 0.0000000E+000, 7.4115749E-002, 7.4115749E-002, 7.4115749E-002, 7.4115749E-002, 7.4115749E-002, 7.4115749E-002
 1.0091446E+000, 1.9224002E-002,-1.9004355E-004,-8.0273258E-005,-5.6392694E-004,-4.1136569E-005,-4.0696165E-004
 2.0003872E+000, 7.6143729E-001, 2.1568268E-001, 1.9186159E-001, 1.0482145E-001, 7.8466788E-002, 8.2081235E-002
 3.0063576E+000, 8.8681650E-001, 3.9444473E-001, 3.3071513E-001, 2.5307505E-001, 1.6703060E-001, 1.7882471E-001
 4.0019464E+000, 8.9748304E-001, 4.1862262E-001, 3.2843264E-001, 2.6389666E-001, 1.6909540E-001, 1.8468595E-001
 5.0052937E+000, 8.8899688E-001, 4.0717605E-001, 3.1530628E-001, 2.5005036E-001, 1.6308468E-001, 1.8140542E-001
 6.0054450E+000, 8.9372301E-001, 3.9752805E-001, 3.1677883E-001, 2.5031864E-001, 1.6265869E-001, 1.8113353E-001
 7.0044708E+000, 9.0278837E-001, 4.0371749E-001, 3.1998701E-001, 2.5321580E-001, 1.6066333E-001, 1.7830935E-001
 8.0052269E+000, 9.0267964E-001, 4.0036751E-001, 3.1654304E-001, 2.4905135E-001, 1.5905830E-001, 1.7993517E-001
 9.0013234E+000, 8.9420481E-001, 4.0137594E-001, 3.1693232E-001, 2.4990755E-001, 1.6293564E-001, 1.8196333E-001
 1.0001444E+001, 8.9129882E-001, 3.9683174E-001, 3.1401174E-001, 2.4598582E-001, 1.5914628E-001, 1.7908787E-001
 1.1003233E+001, 8.9741538E-001, 4.0225838E-001, 3.1496231E-001, 2.4701249E-001, 1.6006173E-001, 1.7915738E-001
 1.2004359E+001, 9.0146597E-001, 3.9913520E-001, 3.1822112E-001, 2.5252866E-001, 1.5632889E-001, 1.8200816E-001
 1.3000055E+001, 9.0428998E-001, 3.9708027E-001, 3.1839571E-001, 2.5131745E-001, 1.5951399E-001, 1.8031449E-001
 1.4000129E+001, 9.0100286E-001, 4.0221199E-001, 3.2200870E-001, 2.5373976E-001, 1.6421283E-001, 1.8170703E-001
 1.5004748E+001, 9.0296163E-001, 3.9843571E-001, 3.2100016E-001, 2.5180961E-001, 1.5822087E-001, 1.7913421E-001
 1.6000397E+001, 9.0358349E-001, 4.0284466E-001, 3.2192016E-001, 2.5268352E-001, 1.6230948E-001, 1.8199136E-001
 1.7001866E+001, 8.9583511E-001, 3.9767258E-001, 3.1968518E-001, 2.5261433E-001, 1.6261133E-001, 1.8328693E-001
 1.8003336E+001, 8.9549527E-001, 4.0222854E-001, 3.1897460E-001, 2.5346814E-001, 1.5658538E-001, 1.8054084E-001
 1.9001002E+001, 9.0622184E-001, 4.0670823E-001, 3.2083884E-001, 2.5480964E-001, 1.5896214E-001, 1.7906480E-001
 2.0003446E+001, 9.0150725E-001, 3.9996439E-001, 3.2624189E-001, 2.5613013E-001, 1.6017993E-001, 1.8062162E-001
 2.1001118E+001, 9.0206470E-001, 4.0161377E-001, 3.2361104E-001, 2.5495344E-001, 1.6114224E-001, 1.8064617E-001
 2.2003129E+001, 9.1074758E-001, 4.0244093E-001, 3.2688599E-001, 2.5480643E-001, 1.6115381E-001, 1.8041639E-001
 2.3000403E+001, 9.0907469E-001, 4.0405334E-001, 3.2903049E-001, 2.5819239E-001, 1.5740869E-001, 1.7753026E-001
 2.4000262E+001, 9.0579796E-001, 4.0361046E-001, 3.3008955E-001, 2.6053362E-001, 1.6036734E-001, 1.8238072E-001
 2.5000055E+001, 9.0588388E-001, 4.0736151E-001, 3.2841988E-001, 2.6199819E-001, 1.6059599E-001, 1.8135631E-001
 2.6000439E+001, 9.0285957E-001, 4.0161677E-001, 3.2831374E-001, 2.5955729E-001, 1.6339324E-001, 1.8202612E-001
 2.7005135E+001, 9.0639236E-001, 4.0267321E-001, 3.2402595E-001, 2.5285266E-001, 1.6423650E-001, 1.8116410E-001
 2.8003130E+001, 9.0687159E-001, 4.0758985E-001, 3.2770921E-001, 2.5531521E-001, 1.6490319E-001, 1.8263884E-001
 2.9004174E+001, 9.0955699E-001, 4.0746776E-001, 3.2995430E-001, 2.6108691E-001, 1.6223401E-001, 1.8092051E-001
 3.0004789E+001, 1.1545734E+000, 4.8658357E-001, 3.8665114E-001, 2.9822667E-001, 1.9116138E-001, 2.1677013E-001
 3.1003153E+001, 1.6527970E+000, 7.8878742E-001, 5.9907872E-001, 4.8165592E-001, 3.0368074E-001, 3.4529011E-001
 3.2000277E+001, 1.6531088E+000, 8.2077708E-001, 6.1614752E-001, 5.0571861E-001, 3.0480841E-001, 3.4408157E-001
 3.3000744E+001, 1.6554036E+000, 8.1928529E-001, 6.2442943E-001, 5.0367005E-001, 3.2147154E-001, 3.4614876E-001
 3.4000276E+001, 1.6585856E+000, 8.1668298E-001, 6.2787766E-001, 5.0991444E-001, 3.1612805E-001, 3.4636614E-001
 3.5001820E+001, 1.6315333E+000, 8.2180087E-001, 6.2129929E-001, 5.1158066E-001, 3.2012414E-001, 3.5091624E-001
 3.6004438E+001, 1.6520771E+000, 8.2220831E-001, 6.1323497E-001, 5.0208509E-001, 3.1678913E-001, 3.4768939E-001
 3.7002767E+001, 1.6491776E+000, 8.3523299E-001, 6.2821872E-001, 5.1655940E-001, 3.1552196E-001, 3.5115054E-001
 3.8002932E+001, 1.6255020E+000, 8.2330513E-001, 6.2215610E-001, 5.1630392E-001, 3.0977438E-001, 3.4558882E-001
 3.9003525E+001, 1.6609364E+000, 8.1164658E-001, 6.0429516E-001, 4.9060943E-001, 3.1704658E-001, 3.4733743E-001
 4.0000036E+001, 1.6520613E+000, 7.9947860E-001, 6.1970146E-001, 4.9088936E-001, 3.2808949E-001, 3.5106988E-001
 4.1003886E+001, 1.6410629E+000, 8.2582800E-001, 6.1441175E-001, 5.0002252E-001, 3.2152251E-001, 3.5059812E-001
 4.2003386E+001, 1.6385214E+000, 8.3362713E-001, 6.0891650E-001, 5.0600930E-001, 3.1514278E-001, 3.5509662E-001
 4.3002049E+001, 1.6544163E+000, 8.1963173E-001, 6.1441124E-001, 5.0239750E-001, 3.1495022E-001, 3.4859754E-001
 4.4003022E+001, 1.6461179E+000, 8.0924989E-001, 6.2393940E-001, 5.0425165E-001, 3.1571122E-001, 3.4513850E-001
 4.5002566E+001, 1.6567081E+000, 8.1581224E-001, 6.2097245E-001, 5.0513166E-001, 3.2119147E-001, 3.5078450E-001
 4.6004797E+001, 1.6464348E+000, 8.1958768E-001, 6.1791259E-001, 5.0839212E-001, 3.0733104E-001, 3.4040216E-001
 4.7002327E+001, 1.6730719E+000, 8.1218236E-001, 6.1277450E-001, 4.9451242E-001, 3.1189571E-001, 3.4276579E-001
 4.8002987E+001, 1.6588910E+000, 8.2413849E-001, 6.1195131E-001, 4.9900750E-001, 3.1650370E-001, 3.4777691E-001
 4.9003436E+001, 1.6479664E+000, 8.1725411E-001, 6.1645313E-001, 5.0381202E-001, 3.2388882E-001, 3.5041189E-001
 5.0002535E+001, 1.6623120E+000, 8.2298175E-001, 6.2421484E-001, 5.0879376E-001, 3.1664787E-001, 3.4298768E-001
 5.1002282E+001, 1.6533267E+000, 8.4123802E-001, 6.1824804E-001, 5.0667023E-001, 3.2113857E-001, 3.4627044E-001
 5.2001780E+001, 1.6377591E+000, 8.3150595E-001, 6.2271045E-001, 5.1851001E-001, 3.0479579E-001, 3.4158008E-001
 5.3000869E+001, 1.6427507E+000, 8.0110211E-001, 6.1205259E-001, 4.9806107E-001, 3.2381907E-001, 3.5035052E-001
 5.4003517E+001, 1.6533665E+000, 8.0519545E-001, 6.1430099E-001, 4.9480772E-001, 3.1484483E-001, 3.4573820E-001
 5.5001472E+001, 1.6368581E+000, 8.1677369E-001, 6.2011292E-001, 5.0266195E-001, 3.2827426E-001, 3.5216186E-001
 5.6002659E+001, 1.6422196E+000, 8.2027448E-001, 6.1551781E-001, 5.0314161E-001, 3.1873391E-001, 3.4767499E-001
 5.7004029E+001, 2.6741759E+000, 1.2109903E+000, 8.9768814E-001, 6.9555382E-001, 4.5125746E-001, 4.9914598E-001
 5.8001208E+001, 4.2690243E+000, 2.2967489E+000, 1.6470434E+000, 1.3645179E+000, 8.8814020E-001, 9.3253006E-001
 5.9002057E+001, 4.2554969E+000, 2.3298706E+000, 1.7008849E+000, 1.3663267E+000, 9.6667820E-001, 9.3660512E-001
 6.0000217E+001, 4.2158967E+000, 2.3352654E+000, 1.6541478E+000, 1.3745756E+000, 9.3129535E-001, 9.5721854E-001
 6.1003095E+001, 4.2671548E+000, 2.3097348E+000, 1.6944638E+000, 1.3644786E+000, 9.4362187E-001, 9.2854437E-001
 6.2001771E+001, 4.1625422E+000, 2.3815673E+000, 1.6617591E+000, 1.4085054E+000, 9.0691600E-001, 9.3405347E-001
 6.3000293E+001, 4.2816414E+000, 2.3148141E+000, 1.6831186E+000, 1.3533181E+000, 9.3077906E-001, 9.2165282E-001
 6.4002753E+001, 4.2011630E+000, 2.3614281E+000, 1.6885117E+000, 1.4043891E+000, 9.2638092E-001, 9.3834840E-001
 6.5001348E+001, 4.2313542E+000, 2.3221748E+000, 1.6977719E+000, 1.3966974E+000, 9.5423544E-001, 9.6162752E-001
 6.6002634E+001, 4.2119881E+000, 2.3267028E+000, 1.6778624E+000, 1.3812707E+000, 9.2421388E-001, 9.4425640E-001
 6.7001760E+001, 4.2854448E+000, 2.2939874E+000, 1.6706341E+000, 1.3524131E+000, 9.2739802E-001, 9.3375722E-001
 6.8002585E+001, 4.2201500E+000, 2.4019464E+000, 1.6748159E+000, 1.4001451E+000, 9.4098247E-001, 9.5775888E-001
 6.9001854E+001, 4.2578773E+000, 2.3633977E+000, 1.6914904E+000, 1.3909269E+000, 9.6736356E-001, 9.6387969E-001
 7.0001675E+001, 4.2127384E+000, 2.3868965E+000, 1.6938859E+000, 1.4091710E+000, 9.4895203E-001, 9.5294549E-001
 7.1001665E+001, 4.2605788E+000, 2.3457179E+000, 1.6857551E+000, 1.3883818E+000, 9.2105652E-001, 9.2944712E-001
 7.2003229E+001, 4.2012828E+000, 2.3978375E+000, 1.7019689E+000, 1.4363833E+000, 8.8076355E-001, 9.1037677E-001
 7.3002048E+001, 4.3016839E+000, 2.3194002E+000, 1.7212095E+000, 1.3768626E+000, 9.4807322E-001, 9.3060457E-001
