s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"HF1","HF2","HF3","HF4","HF5","HF6"
 0.0000000E+000, 7.3123086E-002, 7.3123086E-002, 7.3123086E-002, 7.3123086E-002, 7.3123086E-002, 7.3123086E-002
 1.0161017E+000, 1.8199033E-005,-4.6737996E-004,-3.2685491E-004,-7.0070579E-004,-2.0398034E-004,-5.5687272E-004
 2.0159163E+000, 4.4649697E-001, 2.8552527E-002, 2.0363085E-002, 2.1550068E-004, 7.9352283E-003,-9.7632214E-006
 3.0087169E+000, 1.8659689E+000, 5.3831514E-001, 5.6448358E-001, 3.0066209E-001, 2.7566768E-001, 2.1843732E-001
 4.0072340E+000, 2.9608747E+000, 1.2610866E+000, 1.2339223E+000, 9.3163856E-001, 6.0807527E-001, 5.7950546E-001
 5.0062260E+000, 3.8213231E+000, 1.8473090E+000, 1.6948310E+000, 1.3803461E+000, 8.6497835E-001, 8.4250978E-001
 6.0049242E+000, 4.4618154E+000, 2.1652239E+000, 2.0324296E+000, 1.6340589E+000, 1.0907985E+000, 1.0352665E+000
 7.0020492E+000, 4.4315838E+000, 2.2624898E+000, 2.0606870E+000, 1.7107614E+000, 1.1024279E+000, 1.0928401E+000
 8.0004217E+000, 4.5123029E+000, 2.1996413E+000, 2.0223891E+000, 1.6788833E+000, 1.0488178E+000, 1.0412713E+000
 9.0019625E+000, 4.4980715E+000, 2.1739455E+000, 2.0665397E+000, 1.6778634E+000, 1.0980933E+000, 1.0645578E+000
 1.0004149E+001, 4.4939746E+000, 2.2133492E+000, 2.0022005E+000, 1.6374113E+000, 1.0557133E+000, 1.0519056E+000
 1.1005819E+001, 4.4534080E+000, 2.1975793E+000, 2.0322717E+000, 1.6630629E+000, 1.0771833E+000, 1.0682648E+000
 1.2002078E+001, 4.4695180E+000, 2.2522721E+000, 2.0189620E+000, 1.6705562E+000, 1.0634835E+000, 1.0483677E+000
 1.3005482E+001, 4.4260811E+000, 2.2720942E+000, 2.0504367E+000, 1.6901797E+000, 1.0954448E+000, 1.0749247E+000
 1.4000009E+001, 4.4924071E+000, 2.1933490E+000, 2.0355008E+000, 1.6685042E+000, 1.0704537E+000, 1.0544169E+000
 1.5003465E+001, 4.5042339E+000, 2.3194375E+000, 2.0430144E+000, 1.7013590E+000, 1.0674352E+000, 1.0667285E+000
 1.6006818E+001, 4.4788847E+000, 2.2382812E+000, 2.0484120E+000, 1.6854326E+000, 1.0708924E+000, 1.0503067E+000
 1.7003691E+001, 4.3778945E+000, 2.3131283E+000, 2.0310705E+000, 1.7035172E+000, 1.0805957E+000, 1.0514964E+000
 1.8002642E+001, 4.4547985E+000, 2.2662690E+000, 2.0906249E+000, 1.7105545E+000, 1.0995867E+000, 1.0585352E+000
 1.9002438E+001, 4.4525090E+000, 2.3063664E+000, 2.0950456E+000, 1.7105669E+000, 1.1030735E+000, 1.0634573E+000
 2.0001106E+001, 4.4513531E+000, 2.3202356E+000, 2.0242246E+000, 1.6941084E+000, 1.0774830E+000, 1.0642676E+000
 2.1006463E+001, 4.4730498E+000, 2.2822061E+000, 2.0598225E+000, 1.7187824E+000, 1.0795611E+000, 1.0622656E+000
 2.2005175E+001, 4.5218625E+000, 2.2681397E+000, 2.0853621E+000, 1.7291667E+000, 1.0474125E+000, 1.0277964E+000
 2.3002796E+001, 4.5394496E+000, 2.2818063E+000, 2.0878223E+000, 1.6985371E+000, 1.1063062E+000, 1.0639440E+000
 2.4003061E+001, 4.5715841E+000, 2.2759818E+000, 2.0865511E+000, 1.6908455E+000, 1.0909769E+000, 1.0697311E+000
 2.5004053E+001, 4.5596658E+000, 2.2452592E+000, 2.0650571E+000, 1.7005741E+000, 1.0723062E+000, 1.0522271E+000
 2.6006497E+001, 4.5517726E+000, 2.2647517E+000, 2.0361469E+000, 1.6756339E+000, 1.0496290E+000, 1.0398692E+000
 2.7001560E+001, 4.5322535E+000, 2.2849256E+000, 2.0446291E+000, 1.6550131E+000, 1.0679122E+000, 1.0375594E+000
 2.8006553E+001, 4.5300502E+000, 2.2607650E+000, 2.0568801E+000, 1.7163910E+000, 1.0404180E+000, 1.0405520E+000
 2.9003116E+001, 5.8259811E+000, 2.7695779E+000, 2.4582930E+000, 1.9463809E+000, 1.2568551E+000, 1.2054672E+000
 3.0002282E+001, 8.2709782E+000, 4.9040829E+000, 3.9702272E+000, 3.3781965E+000, 2.1152173E+000, 2.0242816E+000
 3.1000876E+001, 8.3932699E+000, 4.8678307E+000, 3.9868403E+000, 3.3714801E+000, 2.1414608E+000, 2.0327651E+000
 3.2004949E+001, 8.4529417E+000, 5.0092033E+000, 4.0008007E+000, 3.3991209E+000, 2.1079643E+000, 1.9958509E+000
 3.3004228E+001, 8.3155995E+000, 4.9858745E+000, 4.0387187E+000, 3.4949420E+000, 2.1227792E+000, 2.0742509E+000
 3.4004947E+001, 8.4085921E+000, 4.8173098E+000, 4.0613426E+000, 3.3822913E+000, 2.1884393E+000, 2.0240885E+000
 3.5003613E+001, 8.4998434E+000, 4.8503782E+000, 4.0735934E+000, 3.4585781E+000, 2.2083167E+000, 2.1255602E+000
 3.6003587E+001, 8.7730842E+000, 4.6761082E+000, 4.0836370E+000, 3.3704322E+000, 2.0884221E+000, 1.9890192E+000
 3.7004610E+001, 8.4703425E+000, 4.7738931E+000, 4.0070545E+000, 3.3507458E+000, 2.1391066E+000, 2.0663911E+000
 3.8005036E+001, 8.4505104E+000, 4.8541512E+000, 4.0292048E+000, 3.3977277E+000, 2.0932903E+000, 1.9727905E+000
 3.9003979E+001, 8.3572905E+000, 4.9726795E+000, 4.0836742E+000, 3.5099595E+000, 2.1811562E+000, 2.1051051E+000
 4.0003546E+001, 8.3701402E+000, 4.9250773E+000, 3.9848905E+000, 3.4213676E+000, 2.1203211E+000, 2.0451696E+000
 4.1000074E+001, 8.4690254E+000, 5.0078186E+000, 4.0668995E+000, 3.4439139E+000, 2.1357742E+000, 2.0444097E+000
 4.2005450E+001, 8.4116122E+000, 4.9821617E+000, 4.0243476E+000, 3.4199297E+000, 2.0879201E+000, 1.9979501E+000
 4.3001278E+001, 8.6245171E+000, 4.7430677E+000, 4.0880922E+000, 3.3676894E+000, 2.1134101E+000, 1.9683064E+000
 4.4003918E+001, 8.3962339E+000, 5.1470216E+000, 4.0247865E+000, 3.4663054E+000, 2.1528604E+000, 2.0968083E+000
 4.5001325E+001, 8.3674067E+000, 4.9715172E+000, 4.0092750E+000, 3.4272913E+000, 2.1560372E+000, 2.0674429E+000
 4.6003327E+001, 8.5386749E+000, 5.0707164E+000, 4.0029130E+000, 3.4148271E+000, 2.1451888E+000, 2.0793745E+000
 4.7001953E+001, 8.4877360E+000, 4.9248022E+000, 4.1504391E+000, 3.5000672E+000, 2.1734612E+000, 2.0567544E+000
 4.8001744E+001, 8.5717395E+000, 4.8769793E+000, 4.0996928E+000, 3.4294100E+000, 2.1434728E+000, 2.0055998E+000
