s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"HF1","HF2","HF3","HF4","HF5","HF6"
 0.0000000E+000, 7.3123086E-002, 7.3123086E-002, 7.3123086E-002, 7.3123086E-002, 7.3123086E-002, 7.3123086E-002
 1.0102658E+000, 2.5253535E-002,-1.2620048E-004,-3.2965966E-005,-5.5692038E-004,-2.9671151E-005,-4.0167333E-004
 2.0009201E+000, 8.6779665E-001, 2.4204855E-001, 1.6915225E-001, 1.0996991E-001, 5.9356860E-002, 8.9208324E-002
 3.0009247E+000, 2.0641712E+000, 8.4625065E-001, 6.9161076E-001, 5.1298853E-001, 3.2953324E-001, 3.6966162E-001
 4.0018824E+000, 3.0087564E+000, 1.3829009E+000, 1.0790803E+000, 8.4555566E-001, 5.6266900E-001, 6.0082714E-001
 5.0020045E+000, 3.9434908E+000, 1.8229333E+000, 1.4148967E+000, 1.0849317E+000, 7.6098788E-001, 7.9787379E-001
 6.0000948E+000, 4.5703645E+000, 2.1653827E+000, 1.7238615E+000, 1.2999325E+000, 9.8103344E-001, 9.5613158E-001
 7.0003005E+000, 4.5345855E+000, 2.2234774E+000, 1.7469861E+000, 1.3394791E+000, 9.7510719E-001, 9.6206510E-001
 8.0001057E+000, 4.5674144E+000, 2.1816150E+000, 1.7511864E+000, 1.3278241E+000, 9.9639534E-001, 9.6254427E-001
 9.0016061E+000, 4.5502241E+000, 2.2072756E+000, 1.7324247E+000, 1.3199496E+000, 9.7677036E-001, 9.5480560E-001
 1.0000870E+001, 4.5312598E+000, 2.2258360E+000, 1.7446976E+000, 1.3511021E+000, 9.8353443E-001, 9.6142027E-001
 1.1002582E+001, 4.5606323E+000, 2.2030927E+000, 1.7766802E+000, 1.3446400E+000, 1.0092229E+000, 9.5424073E-001
 1.2001998E+001, 4.5316107E+000, 2.2495555E+000, 1.7697234E+000, 1.3679137E+000, 9.8763886E-001, 9.6503199E-001
 1.3002737E+001, 4.5853209E+000, 2.2135898E+000, 1.7729260E+000, 1.3567944E+000, 9.7850216E-001, 9.4937811E-001
 1.4002436E+001, 4.5856033E+000, 2.2680338E+000, 1.8108149E+000, 1.3915912E+000, 1.0029315E+000, 9.4752503E-001
 1.5001237E+001, 4.5390266E+000, 2.2503122E+000, 1.8121689E+000, 1.4052001E+000, 9.8311545E-001, 9.4328203E-001
 1.6000900E+001, 4.5849304E+000, 2.2346361E+000, 1.7896652E+000, 1.3791757E+000, 9.9870738E-001, 9.6751078E-001
 1.7000934E+001, 4.5585992E+000, 2.2751382E+000, 1.7704810E+000, 1.3701686E+000, 9.7136866E-001, 9.5175411E-001
 1.8002113E+001, 4.6466181E+000, 2.2604804E+000, 1.8247502E+000, 1.3842422E+000, 9.8677552E-001, 9.3996799E-001
 1.9001416E+001, 4.5918731E+000, 2.2538415E+000, 1.8290654E+000, 1.4196033E+000, 9.8220354E-001, 9.4930578E-001
 2.0002959E+001, 4.6166066E+000, 2.2477103E+000, 1.8170322E+000, 1.4003918E+000, 9.9697131E-001, 9.5918586E-001
 2.1002093E+001, 4.6554608E+000, 2.2787150E+000, 1.8230290E+000, 1.4129168E+000, 9.5991328E-001, 9.4174430E-001
 2.2000105E+001, 4.6284567E+000, 2.2698384E+000, 1.7872626E+000, 1.3738073E+000, 9.8019111E-001, 9.4920837E-001
 2.3002504E+001, 4.6888491E+000, 2.2804483E+000, 1.8287536E+000, 1.3940544E+000, 9.8777233E-001, 9.4064328E-001
 2.4002253E+001, 4.6530734E+000, 2.2601629E+000, 1.7971876E+000, 1.3843189E+000, 9.7595931E-001, 9.4194422E-001
 2.5002953E+001, 4.6624630E+000, 2.2475162E+000, 1.8099392E+000, 1.3849444E+000, 9.8820089E-001, 9.6552369E-001
 2.6002242E+001, 4.6633173E+000, 2.2663021E+000, 1.7822667E+000, 1.3625608E+000, 9.8761347E-001, 9.5960461E-001
 2.7000153E+001, 4.5904346E+000, 2.2639463E+000, 1.8000129E+000, 1.3970864E+000, 9.7440056E-001, 9.5271182E-001
 2.8000239E+001, 4.6524918E+000, 2.2589826E+000, 1.7859980E+000, 1.3557388E+000, 1.0009701E+000, 9.5819316E-001
 2.9002007E+001, 6.0880017E+000, 2.9987572E+000, 2.3213634E+000, 1.7475056E+000, 1.3144500E+000, 1.2045291E+000
 3.0000033E+001, 8.5619660E+000, 4.9865930E+000, 3.8267874E+000, 3.0461412E+000, 2.0769792E+000, 1.8310228E+000
 3.1001472E+001, 8.5621795E+000, 5.2762382E+000, 3.8060957E+000, 3.1362706E+000, 2.0803875E+000, 1.8960345E+000
 3.2001875E+001, 8.4101822E+000, 5.5221652E+000, 3.7895928E+000, 3.2027125E+000, 2.1980891E+000, 2.0516497E+000
 3.3001888E+001, 8.6115005E+000, 5.1865237E+000, 3.8397054E+000, 3.0648533E+000, 2.1831258E+000, 1.9037674E+000
 3.4001355E+001, 8.4252444E+000, 5.2073381E+000, 3.7578789E+000, 3.1023365E+000, 2.1495016E+000, 1.9616887E+000
 3.5000634E+001, 8.4693648E+000, 5.3639982E+000, 3.7620322E+000, 3.1034576E+000, 2.1462346E+000, 1.9661620E+000
 3.6000550E+001, 8.6323171E+000, 5.0467916E+000, 3.8481197E+000, 3.0399336E+000, 2.1322225E+000, 1.8768121E+000
 3.7002157E+001, 8.5561750E+000, 5.2468400E+000, 3.7986600E+000, 3.0962754E+000, 2.1278747E+000, 1.9043345E+000
 3.8001071E+001, 8.5188763E+000, 5.3311345E+000, 3.7871720E+000, 3.1136532E+000, 2.1627918E+000, 1.9705987E+000
 3.9001732E+001, 8.5827512E+000, 5.1023277E+000, 3.8089481E+000, 3.0355356E+000, 2.1325547E+000, 1.9127973E+000
 4.0000870E+001, 8.6166160E+000, 5.4346445E+000, 3.8146054E+000, 3.1500104E+000, 2.1611992E+000, 1.9505897E+000
 4.1000970E+001, 8.5756792E+000, 5.2376727E+000, 3.8204614E+000, 3.1236660E+000, 2.1256783E+000, 1.9130211E+000
 4.2002223E+001, 8.4403938E+000, 5.3533420E+000, 3.8551994E+000, 3.2153377E+000, 2.0945736E+000, 1.9042894E+000
 4.3001074E+001, 8.5532220E+000, 5.1953785E+000, 3.8605319E+000, 3.1519685E+000, 2.1874015E+000, 1.9464272E+000
 4.4001061E+001, 8.4400261E+000, 5.2944273E+000, 3.7967275E+000, 3.1448531E+000, 2.1787363E+000, 1.9903905E+000
 4.5000163E+001, 8.6079262E+000, 5.2066494E+000, 3.8926363E+000, 3.1500256E+000, 2.2010951E+000, 1.9839907E+000
 4.6000941E+001, 8.4920199E+000, 5.1872301E+000, 3.8019358E+000, 3.1220916E+000, 2.1736525E+000, 1.9585651E+000
 4.7000480E+001, 8.2946091E+000, 5.4410829E+000, 3.7926939E+000, 3.1987187E+000, 2.1786492E+000, 2.0264957E+000
 4.8001192E+001, 8.5212715E+000, 5.4331286E+000, 3.8018743E+000, 3.1390724E+000, 2.1474128E+000, 1.9480527E+000
