s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,"HF1","HF2","HF3","HF4","HF5","HF6"
 0.0000000E+000, 7.4115749E-002, 7.4115749E-002, 7.4115749E-002, 7.4115749E-002, 7.4115749E-002, 7.4115749E-002
 1.0062306E+000,-7.2414040E-005,-4.7118456E-004,-3.2967010E-004,-7.0670237E-004,-2.0546509E-004,-5.6138254E-004
 2.0249672E+000, 3.5490944E-001, 1.9712882E-002, 1.4631691E-002,-6.7127805E-005, 5.6777908E-003,-1.2615899E-004
 3.0053569E+000, 7.3150356E-001, 2.4043437E-001, 2.3443075E-001, 1.4690002E-001, 1.0316730E-001, 1.0906217E-001
 4.0105804E+000, 8.3736926E-001, 2.6959583E-001, 2.9987943E-001, 2.1238518E-001, 1.2670819E-001, 1.4182218E-001
 5.0022929E+000, 8.9073789E-001, 3.0185191E-001, 3.3589481E-001, 2.5511216E-001, 1.3938524E-001, 1.6347687E-001
 6.0058114E+000, 9.0064120E-001, 2.9899641E-001, 3.3543623E-001, 2.5686906E-001, 1.4494280E-001, 1.7102702E-001
 7.0137441E+000, 8.6597504E-001, 2.8624704E-001, 3.2606877E-001, 2.4754656E-001, 1.3842383E-001, 1.6181569E-001
 8.0052087E+000, 8.7818309E-001, 2.9112446E-001, 3.2696209E-001, 2.5032212E-001, 1.4128893E-001, 1.6696018E-001
 9.0031530E+000, 8.6978144E-001, 2.8984164E-001, 3.2101060E-001, 2.4586101E-001, 1.4138594E-001, 1.6862153E-001
 1.0006146E+001, 8.8778003E-001, 2.9274967E-001, 3.2638084E-001, 2.5079355E-001, 1.4444672E-001, 1.6868493E-001
 1.1007716E+001, 8.6671500E-001, 2.9275492E-001, 3.3052645E-001, 2.5350442E-001, 1.4201126E-001, 1.6749139E-001
 1.2009414E+001, 8.8860128E-001, 2.9169082E-001, 3.2530232E-001, 2.5034408E-001, 1.4383981E-001, 1.6971023E-001
 1.3005161E+001, 8.6249478E-001, 2.9371729E-001, 3.3505431E-001, 2.5655359E-001, 1.4368932E-001, 1.6709369E-001
 1.4009664E+001, 8.9442948E-001, 2.9896524E-001, 3.3859777E-001, 2.5557247E-001, 1.4286983E-001, 1.6636985E-001
 1.5000407E+001, 9.0027555E-001, 2.9203149E-001, 3.2577793E-001, 2.4599471E-001, 1.3993239E-001, 1.6351274E-001
 1.6003401E+001, 8.9574991E-001, 2.9961056E-001, 3.4076508E-001, 2.5940271E-001, 1.4682066E-001, 1.7158220E-001
 1.7004767E+001, 8.7307116E-001, 2.9136927E-001, 3.2354857E-001, 2.5013096E-001, 1.3795490E-001, 1.6275709E-001
 1.8001857E+001, 8.6979460E-001, 2.9020239E-001, 3.2528063E-001, 2.4825334E-001, 1.3746254E-001, 1.6531460E-001
 1.9012067E+001, 8.8919669E-001, 2.8883744E-001, 3.1943799E-001, 2.4085868E-001, 1.4479299E-001, 1.6709185E-001
 2.0005383E+001, 8.6061641E-001, 2.9175327E-001, 3.2738610E-001, 2.5041120E-001, 1.4290924E-001, 1.6651863E-001
 2.1009852E+001, 8.7378217E-001, 2.8995948E-001, 3.2262643E-001, 2.4197776E-001, 1.3621375E-001, 1.5973915E-001
 2.2005931E+001, 8.8282655E-001, 2.9137884E-001, 3.3077377E-001, 2.4757933E-001, 1.4347864E-001, 1.6573489E-001
 2.3003655E+001, 8.8117836E-001, 2.9013200E-001, 3.3014082E-001, 2.5127213E-001, 1.4050576E-001, 1.6580676E-001
 2.4013524E+001, 8.9690544E-001, 2.9173515E-001, 3.2717769E-001, 2.4669556E-001, 1.3747441E-001, 1.6418760E-001
 2.5008074E+001, 8.7175000E-001, 2.8739601E-001, 3.2550017E-001, 2.4524693E-001, 1.3862682E-001, 1.6403445E-001
 2.6009492E+001, 8.8136399E-001, 2.9146480E-001, 3.2839795E-001, 2.5008872E-001, 1.4119814E-001, 1.6594680E-001
 2.7008674E+001, 8.8202138E-001, 2.8878914E-001, 3.3252426E-001, 2.4952620E-001, 1.4315926E-001, 1.6732554E-001
 2.8007595E+001, 8.7266975E-001, 2.8688495E-001, 3.2548469E-001, 2.4532686E-001, 1.4608504E-001, 1.6843207E-001
 2.9013475E+001, 8.7424795E-001, 2.9148483E-001, 3.3178868E-001, 2.4704311E-001, 1.4108719E-001, 1.6320495E-001
 3.0002643E+001, 1.0099253E+000, 2.9912117E-001, 3.3388111E-001, 2.4289512E-001, 1.4090075E-001, 1.6081049E-001
 3.1002508E+001, 1.7151002E+000, 5.8383156E-001, 6.4168249E-001, 4.4089541E-001, 3.0002256E-001, 2.9033164E-001
 3.2000073E+001, 1.7464123E+000, 6.8010965E-001, 7.3545841E-001, 5.5822353E-001, 3.5583535E-001, 3.5006601E-001
 3.3003506E+001, 1.7586687E+000, 6.6059089E-001, 7.2704727E-001, 5.3689582E-001, 3.4628988E-001, 3.4010596E-001
 3.4004005E+001, 1.7885636E+000, 6.6431419E-001, 7.3473103E-001, 5.5387151E-001, 3.5609403E-001, 3.4956676E-001
 3.5002959E+001, 1.7671549E+000, 6.7387046E-001, 7.2714420E-001, 5.5069385E-001, 3.5715382E-001, 3.5350376E-001
 3.6005429E+001, 1.7596460E+000, 6.7054908E-001, 7.3568976E-001, 5.5439790E-001, 3.5516378E-001, 3.4934583E-001
 3.7005811E+001, 1.8011478E+000, 6.7010462E-001, 7.3154656E-001, 5.4552280E-001, 3.4685455E-001, 3.4582753E-001
 3.8002320E+001, 1.7617143E+000, 6.8513483E-001, 7.4607511E-001, 5.6306092E-001, 3.5846646E-001, 3.5064796E-001
 3.9002319E+001, 1.7688307E+000, 6.7416588E-001, 7.3143154E-001, 5.5121270E-001, 3.4768319E-001, 3.4162915E-001
 4.0005141E+001, 1.7695689E+000, 6.6904640E-001, 7.3825046E-001, 5.5555127E-001, 3.6322017E-001, 3.5452572E-001
 4.1008450E+001, 1.7611053E+000, 6.7815508E-001, 7.3297632E-001, 5.5540985E-001, 3.5117219E-001, 3.5022961E-001
 4.2007226E+001, 1.7831473E+000, 6.7498633E-001, 7.3101560E-001, 5.4684666E-001, 3.4929842E-001, 3.4564964E-001
 4.3007516E+001, 1.7635187E+000, 6.6669124E-001, 7.2243642E-001, 5.3783497E-001, 3.6111937E-001, 3.5574711E-001
 4.4007631E+001, 1.7802857E+000, 6.7796638E-001, 7.3070585E-001, 5.4992264E-001, 3.4653813E-001, 3.4178070E-001
 4.5001105E+001, 1.7707040E+000, 6.8088252E-001, 7.3897443E-001, 5.5634527E-001, 3.5621791E-001, 3.5129934E-001
 4.6001721E+001, 1.7768568E+000, 6.7086472E-001, 7.2569499E-001, 5.5009657E-001, 3.4597824E-001, 3.5059136E-001
 4.7003265E+001, 1.7674488E+000, 6.7855724E-001, 7.3501022E-001, 5.5391958E-001, 3.5643762E-001, 3.5263647E-001
 4.8009017E+001, 1.7646061E+000, 6.7674316E-001, 7.2565670E-001, 5.5063343E-001, 3.4471315E-001, 3.4876434E-001
 4.9007639E+001, 1.7713890E+000, 6.8264975E-001, 7.3888394E-001, 5.5051099E-001, 3.5404968E-001, 3.4510584E-001
 5.0008576E+001, 1.7693430E+000, 6.7317073E-001, 7.4044170E-001, 5.5758726E-001, 3.5422571E-001, 3.4691135E-001
 5.1007063E+001, 1.7583319E+000, 6.8080606E-001, 7.4011864E-001, 5.5660088E-001, 3.5347277E-001, 3.4494480E-001
 5.2007407E+001, 1.7527625E+000, 6.7141235E-001, 7.2841695E-001, 5.3870315E-001, 3.5702486E-001, 3.4713257E-001
 5.3004948E+001, 1.7787997E+000, 6.7677285E-001, 7.3423286E-001, 5.4958605E-001, 3.5692817E-001, 3.5113235E-001
 5.4000138E+001, 1.7902175E+000, 6.7573247E-001, 7.3303621E-001, 5.5408781E-001, 3.5152546E-001, 3.4837428E-001
 5.5006386E+001, 1.7645680E+000, 6.7004507E-001, 7.3097681E-001, 5.4985271E-001, 3.6209241E-001, 3.5456215E-001
 5.6009286E+001, 1.7610079E+000, 6.8513110E-001, 7.3203410E-001, 5.5100030E-001, 3.4769898E-001, 3.4405045E-001
 5.7005632E+001, 2.4346767E+000, 8.4092303E-001, 8.8395706E-001, 6.3180960E-001, 4.2561088E-001, 4.0063167E-001
 5.8005193E+001, 4.2858177E+000, 1.9777384E+000, 1.8440535E+000, 1.4573267E+000, 9.3518772E-001, 9.0090893E-001
 5.9006246E+001, 4.3127264E+000, 2.1827509E+000, 1.9628681E+000, 1.6057718E+000, 1.0006090E+000, 9.8695227E-001
 6.0000227E+001, 4.2991927E+000, 2.1746232E+000, 1.9346594E+000, 1.5811707E+000, 1.0013806E+000, 9.8427089E-001
 6.1001476E+001, 4.3152325E+000, 2.1591170E+000, 1.9540359E+000, 1.5967123E+000, 1.0330892E+000, 1.0057590E+000
 6.2000386E+001, 4.3791428E+000, 2.1247468E+000, 1.9650321E+000, 1.5821968E+000, 1.0015179E+000, 9.7821635E-001
 6.3004369E+001, 4.3354558E+000, 2.1466442E+000, 1.9354716E+000, 1.5881093E+000, 9.9092654E-001, 9.7892625E-001
 6.4002660E+001, 4.3380020E+000, 2.1580530E+000, 1.9745482E+000, 1.6062484E+000, 1.0446461E+000, 1.0211672E+000
 6.5001669E+001, 4.3862227E+000, 2.2167062E+000, 1.9722375E+000, 1.5750532E+000, 1.0148224E+000, 9.8216781E-001
 6.6002087E+001, 4.3010272E+000, 2.1730520E+000, 1.9500322E+000, 1.6197151E+000, 1.0216970E+000, 1.0059483E+000
 6.7004527E+001, 4.2922170E+000, 2.1437574E+000, 1.9773553E+000, 1.5896476E+000, 1.0190538E+000, 9.9018898E-001
 6.8007476E+001, 4.3111276E+000, 2.1914194E+000, 1.9734730E+000, 1.6225648E+000, 1.0161142E+000, 9.9748559E-001
 6.9007406E+001, 4.3549884E+000, 2.1364373E+000, 1.9884456E+000, 1.6027239E+000, 1.0323494E+000, 9.9786287E-001
 7.0004483E+001, 4.3100912E+000, 2.1955280E+000, 1.9521048E+000, 1.6048827E+000, 9.7019363E-001, 9.6513250E-001
 7.1001405E+001, 4.3208749E+000, 2.1659025E+000, 1.9250341E+000, 1.5609880E+000, 1.0248726E+000, 9.9531613E-001
 7.2001628E+001, 4.2512776E+000, 2.2000608E+000, 1.9848954E+000, 1.6525475E+000, 1.0092269E+000, 9.7992511E-001
 7.3005549E+001, 4.2860508E+000, 2.2001506E+000, 1.9794233E+000, 1.6314505E+000, 1.0411470E+000, 1.0090982E+000
