m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s*m/s,m,m/s*m/s,m,m/s*m/s,m,m/s*m/s,m,m/s*m/s,m,m/s*m/s,m,m/s*m/s,m,m/s*m/s,m,m/s*m/s,m,m/s*m/s,m,m/s*m/s,m,m/s*m/s,m,m/s*m/s,m,m/s*m/s,m,m/s*m/s,m,kg/m3,m,m/s,m,m/s,m,m/s,m,kg/m/s,m,m/s,m,m/s,m,,m,,m,
U-VEL -3-z,U-VEL -3,U-VEL 4-z,U-VEL 4,U-VEL 6-z,U-VEL 6,U-VEL 10-z,U-VEL 10,U-VEL 19-z,U-VEL 19,W-VEL -3-z,W-VEL -3,W-VEL 4-z,W-VEL 4,W-VEL 6-z,W-VEL 6,W-VEL 10-z,W-VEL 10,W-VEL 19-z,W-VEL 19,uu -3-z,uu -3,uu 4-z,uu 4,uu 6-z,uu 6,uu 10-z,uu 10,uu 19-z,uu 19,ww -3-z,ww -3,ww 4-z,ww 4,ww 6-z,ww 6,ww 10-z,ww 10,ww 19-z,ww 19,uw -3-z,uw -3,uw 4-z,uw 4,uw 6-z,uw 6,uw 10-z,uw 10,uw 19-z,uw 19,rho-x,rho,u_5dz/2-x,u_5dz/2,u_3dz/2-x,u_3dz/2,u_dz/2-x,u_dz/2,nu_T-x,nu_T,u_wall-x,u_wall,u_tau-x,u_tau,cp-x,cp,cp test-x,cp test,yp-x,yp
 1.0045000E-002, 2.4808340E+000, 2.4500000E-004,-9.8919141E-001, 2.4500000E-004, 1.1456282E-001, 2.4500000E-004, 1.3804466E+000, 2.4500000E-004, 1.6064462E+000, 1.0045000E-002, 2.7014512E-002, 2.4500000E-004,-1.9395142E-002, 2.4500000E-004,-2.5024010E-002, 2.4500000E-004,-5.2756766E-003, 2.4500000E-004,-2.2973949E-003, 1.0045000E-002, 1.2821155E-001, 2.4500000E-004, 5.3031177E-001, 2.4500000E-004, 6.7578884E-001, 2.4500000E-004, 5.3044923E-001, 2.4500000E-004, 3.5092505E-001, 1.0045000E-002, 1.1331650E-002, 2.4500000E-004, 1.5624125E-001, 2.4500000E-004, 1.7419876E-001, 2.4500000E-004, 8.9597678E-002, 2.4500000E-004, 3.0200034E-002, 1.0045000E-002,-1.6363248E-002, 2.4500000E-004,-6.7063479E-002, 2.4500000E-004,-9.2984569E-002, 2.4500000E-004,-8.0066118E-002, 2.4500000E-004,-4.2435172E-002, 2.4500000E-004, 1.1645493E+000, 2.4500000E-004, 1.0014827E-002, 2.4500000E-004, 6.4540366E-003, 2.4500000E-004, 4.9012412E-004, 2.4500000E-004, 1.7802324E-005, 2.4500000E-004, 4.9012412E-004, 2.4500000E-004, 3.5988259E-002, 2.4500000E-004,-1.4816220E+001, 2.4500000E-004,-1.5010879E+001, 2.4500000E-004, 5.7681978E-001
 1.0535000E-002, 4.0829538E+000, 7.3500000E-004,-1.0705340E+000, 7.3500000E-004, 3.4061167E-001, 7.3500000E-004, 2.1457004E+000, 7.3500000E-004, 2.8151985E+000, 1.0535000E-002, 3.5569762E-002, 7.3500000E-004,-4.2103168E-002, 7.3500000E-004,-5.6646142E-002, 7.3500000E-004,-2.0714520E-002, 7.3500000E-004,-2.5798302E-003, 1.0535000E-002, 1.7693940E-001, 7.3500000E-004, 6.8087667E-001, 7.3500000E-004, 8.7391240E-001, 7.3500000E-004, 8.0194072E-001, 7.3500000E-004, 6.7956149E-001, 1.0535000E-002, 1.7705295E-002, 7.3500000E-004, 3.3638953E-001, 7.3500000E-004, 3.8325254E-001, 7.3500000E-004, 1.9781975E-001, 7.3500000E-004, 7.0222134E-002, 1.0535000E-002,-2.7893645E-002, 7.3500000E-004,-1.4166239E-001, 7.3500000E-004,-1.8023078E-001, 7.3500000E-004,-1.4057982E-001, 7.3500000E-004,-1.0123291E-001, 7.3500000E-004, 1.1645493E+000, 7.3500000E-004, 3.0253814E-002, 7.3500000E-004, 2.6804673E-002, 7.3500000E-004, 1.4244381E-002, 7.3500000E-004, 1.7804488E-005, 7.3500000E-004, 1.4244381E-002, 7.3500000E-004, 4.8585165E-002, 7.3500000E-004,-1.4815239E+001, 7.3500000E-004,-1.5009945E+001, 7.3500000E-004, 7.7872281E-001
 1.1025000E-002, 4.8639775E+000, 1.2250000E-003,-9.9678847E-001, 1.2250000E-003, 4.5060218E-001, 1.2250000E-003, 2.3699533E+000, 1.2250000E-003, 3.2318148E+000, 1.1025000E-002, 3.8930863E-002, 1.2250000E-003,-5.9521414E-002, 1.2250000E-003,-9.7649708E-002, 1.2250000E-003,-3.8455006E-002, 1.2250000E-003,-3.7710441E-003, 1.1025000E-002, 1.3915205E-001, 1.2250000E-003, 7.6246881E-001, 1.2250000E-003, 9.1560274E-001, 1.2250000E-003, 8.0832069E-001, 1.2250000E-003, 6.6852784E-001, 1.1025000E-002, 2.7719287E-002, 1.2250000E-003, 4.8585952E-001, 1.2250000E-003, 5.6568102E-001, 1.2250000E-003, 3.0756897E-001, 1.2250000E-003, 1.1735582E-001, 1.1025000E-002,-2.5412980E-002, 1.2250000E-003,-2.0964957E-001, 1.2250000E-003,-2.4759408E-001, 1.2250000E-003,-1.5940372E-001, 1.2250000E-003,-1.1294202E-001, 1.2250000E-003, 1.1645493E+000, 1.2250000E-003, 5.1865814E-002, 1.2250000E-003, 5.2298399E-002, 1.2250000E-003, 3.4063308E-002, 1.2250000E-003, 1.7806740E-005, 1.2250000E-003, 3.4063308E-002, 1.2250000E-003, 5.7071613E-002, 1.2250000E-003,-1.4816879E+001, 1.2250000E-003,-1.5011635E+001, 1.2250000E-003, 9.1474344E-001
 1.1515000E-002, 5.3436141E+000, 1.7150000E-003,-8.7401707E-001, 1.7150000E-003, 5.8348062E-001, 1.7150000E-003, 2.5335025E+000, 1.7150000E-003, 3.5039036E+000, 1.1515000E-002, 3.9291796E-002, 1.7150000E-003,-8.6941390E-002, 1.7150000E-003,-1.4178909E-001, 1.7150000E-003,-5.1791405E-002, 1.7150000E-003,-7.3037161E-003, 1.1515000E-002, 1.1490238E-001, 1.7150000E-003, 8.5676726E-001, 1.7150000E-003, 1.0046861E+000, 1.7150000E-003, 8.3778386E-001, 1.7150000E-003, 6.4550301E-001, 1.1515000E-002, 4.2695037E-002, 1.7150000E-003, 6.1461044E-001, 1.7150000E-003, 7.1337461E-001, 1.7150000E-003, 4.0489509E-001, 1.7150000E-003, 1.6119319E-001, 1.1515000E-002,-2.0815641E-002, 1.7150000E-003,-2.7121126E-001, 1.7150000E-003,-3.2220776E-001, 1.7150000E-003,-1.9716744E-001, 1.7150000E-003,-1.2670851E-001, 1.7150000E-003, 1.1645493E+000, 1.7150000E-003, 7.1514718E-002, 1.7150000E-003, 7.6655460E-002, 1.7150000E-003, 5.2463663E-002, 1.7150000E-003, 1.7808819E-005, 1.7150000E-003, 5.2463663E-002, 1.7150000E-003, 6.4218702E-002, 1.7150000E-003,-1.4822045E+001, 1.7150000E-003,-1.5016846E+001, 1.7150000E-003, 1.0292968E+000
 1.2005000E-002, 5.6669325E+000, 2.2050000E-003,-7.1696586E-001, 2.2050000E-003, 6.9766148E-001, 2.2050000E-003, 2.6343879E+000, 2.2050000E-003, 3.6781101E+000, 1.2005000E-002, 3.7934261E-002, 2.2050000E-003,-1.1636856E-001, 2.2050000E-003,-1.8128382E-001, 2.2050000E-003,-6.1895938E-002, 2.2050000E-003,-1.3706670E-002, 1.2005000E-002, 1.0448356E-001, 2.2050000E-003, 9.7654611E-001, 2.2050000E-003, 1.0690129E+000, 2.2050000E-003, 8.5300599E-001, 2.2050000E-003, 6.2158704E-001, 1.2005000E-002, 5.9080201E-002, 2.2050000E-003, 7.1494967E-001, 2.2050000E-003, 8.2526902E-001, 2.2050000E-003, 4.8968417E-001, 2.2050000E-003, 2.0217925E-001, 1.2005000E-002,-1.6320033E-002, 2.2050000E-003,-3.4094157E-001, 2.2050000E-003,-3.8014047E-001, 2.2050000E-003,-2.2844611E-001, 2.2050000E-003,-1.3472854E-001, 2.2050000E-003, 1.1645493E+000, 2.2050000E-003, 8.7399597E-002, 2.2050000E-003, 9.6171110E-002, 2.2050000E-003, 6.5568821E-002, 2.2050000E-003, 1.7810437E-005, 2.2050000E-003, 6.5568821E-002, 2.2050000E-003, 6.9441175E-002, 2.2050000E-003,-1.4829349E+001, 2.2050000E-003,-1.5024186E+001, 2.2050000E-003, 1.1130025E+000
 1.2495000E-002, 5.9009397E+000, 2.6950000E-003,-5.4895165E-001, 2.6950000E-003, 8.2817003E-001, 2.6950000E-003, 2.7434941E+000, 2.6950000E-003, 3.8117580E+000, 1.2495000E-002, 3.5256226E-002, 2.6950000E-003,-1.4398992E-001, 2.6950000E-003,-2.1348029E-001, 2.6950000E-003,-7.7773360E-002, 2.6950000E-003,-1.9993034E-002, 1.2495000E-002, 1.0193363E-001, 2.6950000E-003, 1.0848408E+000, 2.6950000E-003, 1.1520270E+000, 2.6950000E-003, 8.8775191E-001, 2.6950000E-003, 6.1143063E-001, 1.2495000E-002, 7.4377535E-002, 2.6950000E-003, 7.9384382E-001, 2.6950000E-003, 9.0639191E-001, 2.6950000E-003, 5.6093586E-001, 2.6950000E-003, 2.3691573E-001, 1.2495000E-002,-1.3976297E-002, 2.6950000E-003,-4.0389440E-001, 2.6950000E-003,-4.3684369E-001, 2.6950000E-003,-2.6788302E-001, 2.6950000E-003,-1.4204006E-001, 2.6950000E-003, 1.1645493E+000, 2.6950000E-003, 9.8992022E-002, 2.6950000E-003, 1.0925419E-001, 2.6950000E-003, 7.2402162E-002, 2.6950000E-003, 1.7811316E-005, 2.6950000E-003, 7.2402162E-002, 2.6950000E-003, 7.2402216E-002, 2.6950000E-003,-1.4837109E+001, 2.6950000E-003,-1.5031965E+001, 2.6950000E-003, 1.1604620E+000
 1.2985000E-002, 6.0952472E+000, 3.1850000E-003,-3.7548693E-001, 3.1850000E-003, 9.8269442E-001, 3.1850000E-003, 2.8449969E+000, 3.1850000E-003, 3.9174704E+000, 1.2985000E-002, 3.1968668E-002, 3.1850000E-003,-1.7022059E-001, 3.1850000E-003,-2.4433628E-001, 3.1850000E-003,-9.7666831E-002, 3.1850000E-003,-2.5128082E-002, 1.2985000E-002, 1.0385527E-001, 3.1850000E-003, 1.1952609E+000, 3.1850000E-003, 1.2560328E+000, 3.1850000E-003, 9.1942731E-001, 3.1850000E-003, 6.0945866E-001, 1.2985000E-002, 8.6908598E-002, 3.1850000E-003, 8.6832348E-001, 3.1850000E-003, 9.7743813E-001, 3.1850000E-003, 6.1717253E-001, 3.1850000E-003, 2.6371789E-001, 1.2985000E-002,-1.3857876E-002, 3.1850000E-003,-4.6658534E-001, 3.1850000E-003,-4.8849207E-001, 3.1850000E-003,-3.0108692E-001, 3.1850000E-003,-1.4881050E-001, 3.1850000E-003, 1.1645493E+000, 3.1850000E-003, 1.0638723E-001, 3.1850000E-003, 1.1615301E-001, 3.1850000E-003, 7.4019265E-002, 3.1850000E-003, 1.7811440E-005, 3.1850000E-003, 7.4019265E-002, 3.1850000E-003, 7.3529508E-002, 3.1850000E-003,-1.4844440E+001, 3.1850000E-003,-1.5039299E+001, 3.1850000E-003, 1.1785303E+000
 1.3475000E-002, 6.2658589E+000, 3.6750000E-003,-1.7954151E-001, 3.6750000E-003, 1.1432107E+000, 3.6750000E-003, 2.9479482E+000, 3.6750000E-003, 4.0094297E+000, 1.3475000E-002, 2.8574968E-002, 3.6750000E-003,-1.8896714E-001, 3.6750000E-003,-2.6946806E-001, 3.6750000E-003,-1.1179457E-001, 3.6750000E-003,-2.8614860E-002, 1.3475000E-002, 1.0731991E-001, 3.6750000E-003, 1.3127165E+000, 3.6750000E-003, 1.3587901E+000, 3.6750000E-003, 9.7006228E-001, 3.6750000E-003, 6.2042096E-001, 1.3475000E-002, 9.6242198E-002, 3.6750000E-003, 9.3124644E-001, 3.6750000E-003, 1.0511275E+000, 3.6750000E-003, 6.6068794E-001, 3.6750000E-003, 2.8552745E-001, 1.3475000E-002,-1.2730090E-002, 3.6750000E-003,-5.3777771E-001, 3.6750000E-003,-5.4892871E-001, 3.6750000E-003,-3.3300256E-001, 3.6750000E-003,-1.5789512E-001, 3.6750000E-003, 1.1645493E+000, 3.6750000E-003, 1.1023409E-001, 3.6750000E-003, 1.1807517E-001, 3.6750000E-003, 7.2187932E-002, 3.6750000E-003, 1.7811065E-005, 3.6750000E-003, 7.2187932E-002, 3.6750000E-003, 7.3372226E-002, 3.6750000E-003,-1.4851088E+001, 3.6750000E-003,-1.5045938E+001, 3.6750000E-003, 1.1760094E+000
 1.3965000E-002, 6.4088499E+000, 4.1650000E-003, 3.9126139E-002, 4.1650000E-003, 1.3258984E+000, 4.1650000E-003, 3.0452583E+000, 4.1650000E-003, 4.0891757E+000, 1.3965000E-002, 2.5186104E-002, 4.1650000E-003,-2.1763126E-001, 4.1650000E-003,-3.0021413E-001, 4.1650000E-003,-1.2477021E-001, 4.1650000E-003,-2.8575480E-002, 1.3965000E-002, 1.1089958E-001, 4.1650000E-003, 1.4290844E+000, 4.1650000E-003, 1.4691316E+000, 4.1650000E-003, 1.0086184E+000, 4.1650000E-003, 6.3298966E-001, 1.3965000E-002, 1.0298661E-001, 4.1650000E-003, 9.9247905E-001, 4.1650000E-003, 1.1120659E+000, 4.1650000E-003, 6.9335909E-001, 4.1650000E-003, 3.0655008E-001, 1.3965000E-002,-1.0088995E-002, 4.1650000E-003,-6.0990268E-001, 4.1650000E-003,-6.2134133E-001, 4.1650000E-003,-3.6188429E-001, 4.1650000E-003,-1.6742274E-001, 4.1650000E-003, 1.1645493E+000, 4.1650000E-003, 1.1124395E-001, 4.1650000E-003, 1.1609648E-001, 4.1650000E-003, 6.8526078E-002, 4.1650000E-003, 1.7810534E-005, 4.1650000E-003, 6.8526078E-002, 4.1650000E-003, 7.2755901E-002, 4.1650000E-003,-1.4857067E+001, 4.1650000E-003,-1.5051906E+001, 4.1650000E-003, 1.1661309E+000
