m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s*m/s,m,m/s*m/s,m,m/s*m/s,m,m/s*m/s,m,m/s*m/s,m,m/s*m/s,m,m/s*m/s,m,m/s*m/s,m,m/s*m/s,m,m/s*m/s,m,m/s*m/s,m,m/s*m/s,m,m/s*m/s,m,m/s*m/s,m,m/s*m/s,m,kg/m3,m,m/s,m,m/s,m,m/s,m,kg/m/s,m,m/s,m,m/s,m,,m,,m,
U-VEL -3-z,U-VEL -3,U-VEL 4-z,U-VEL 4,U-VEL 6-z,U-VEL 6,U-VEL 10-z,U-VEL 10,U-VEL 19-z,U-VEL 19,W-VEL -3-z,W-VEL -3,W-VEL 4-z,W-VEL 4,W-VEL 6-z,W-VEL 6,W-VEL 10-z,W-VEL 10,W-VEL 19-z,W-VEL 19,uu -3-z,uu -3,uu 4-z,uu 4,uu 6-z,uu 6,uu 10-z,uu 10,uu 19-z,uu 19,ww -3-z,ww -3,ww 4-z,ww 4,ww 6-z,ww 6,ww 10-z,ww 10,ww 19-z,ww 19,uw -3-z,uw -3,uw 4-z,uw 4,uw 6-z,uw 6,uw 10-z,uw 10,uw 19-z,uw 19,rho-x,rho,u_dz/2-x,u_dz/2,u_3dz/2-x,u_3dz/2,u_5dz/2-x,u_5dz/2,nu_T-x,nu_T,u_wall-x,u_wall,u_tau-x,u_tau,cp-x,cp,cp test-x,cp test,yp-x,yp
 1.0290000E-002, 4.3150111E+000, 4.9000000E-004,-1.3812525E+000, 4.9000000E-004, 1.9464074E-001, 4.9000000E-004, 2.1843512E+000, 4.9000000E-004, 2.7427081E+000, 1.0290000E-002,-1.4421512E-003, 4.9000000E-004,-3.2304534E-002, 4.9000000E-004,-1.0389675E-001, 4.9000000E-004,-1.8629032E-002, 4.9000000E-004, 1.8518232E-003, 1.0290000E-002, 4.3433735E-001, 4.9000000E-004, 7.3403431E-001, 4.9000000E-004, 9.0884735E-001, 4.9000000E-004, 7.4403346E-001, 4.9000000E-004, 4.2178050E-001, 1.0290000E-002, 1.2496124E-001, 4.9000000E-004, 2.5611991E-001, 4.9000000E-004, 3.5212077E-001, 4.9000000E-004, 1.9444735E-001, 4.9000000E-004, 7.3348559E-002, 1.0290000E-002,-1.0519984E-001, 4.9000000E-004,-1.2095479E-001, 4.9000000E-004,-1.6173394E-001, 4.9000000E-004,-1.2945648E-001, 4.9000000E-004,-6.9463110E-002, 4.9000000E-004, 1.1645493E+000, 4.9000000E-004, 8.0821978E-002, 4.9000000E-004, 3.9392372E-002, 4.9000000E-004,-9.7778919E-003, 4.9000000E-004, 1.7900014E-005, 4.9000000E-004, 8.0821978E-002, 4.9000000E-004, 5.5114041E-002, 4.9000000E-004,-1.4589201E+001, 4.9000000E-004,-1.4638405E+001, 4.9000000E-004, 1.7667350E+000
 1.1270000E-002, 5.1577471E+000, 1.4700000E-003,-1.1380925E+000, 1.4700000E-003, 4.8867338E-001, 1.4700000E-003, 2.6100382E+000, 1.4700000E-003, 3.5164244E+000, 1.1270000E-002, 6.9926968E-004, 1.4700000E-003,-7.2596702E-002, 1.4700000E-003,-1.6227296E-001, 1.4700000E-003,-3.9841733E-002, 1.4700000E-003,-2.5639498E-003, 1.1270000E-002, 4.2558844E-001, 1.4700000E-003, 8.9916606E-001, 1.4700000E-003, 1.0412130E+000, 1.4700000E-003, 8.3344100E-001, 1.4700000E-003, 5.3020004E-001, 1.1270000E-002, 1.9070955E-001, 1.4700000E-003, 4.4472857E-001, 1.4700000E-003, 6.3335962E-001, 1.4700000E-003, 3.4453763E-001, 1.4700000E-003, 1.2604840E-001, 1.1270000E-002,-1.0569736E-001, 1.4700000E-003,-2.6598793E-001, 1.4700000E-003,-2.9658429E-001, 1.4700000E-003,-1.8784322E-001, 1.4700000E-003,-1.0101265E-001, 1.4700000E-003, 1.1645493E+000, 1.4700000E-003, 1.2899261E-001, 1.4700000E-003, 5.7714946E-002, 1.4700000E-003,-2.3310917E-002, 1.4700000E-003, 1.7914398E-005, 1.4700000E-003, 1.2899261E-001, 1.4700000E-003, 6.8221700E-002, 1.4700000E-003,-1.4621822E+001, 1.4700000E-003,-1.4671106E+001, 1.4700000E-003, 2.1869137E+000
 1.2250000E-002, 5.6606954E+000, 2.4500000E-003,-8.0476386E-001, 2.4500000E-003, 7.6755908E-001, 2.4500000E-003, 2.8121798E+000, 2.4500000E-003, 3.7785021E+000, 1.2250000E-002, 7.3673919E-003, 2.4500000E-003,-1.1083360E-001, 2.4500000E-003,-2.2024801E-001, 2.4500000E-003,-5.9919426E-002, 2.4500000E-003,-1.1397099E-002, 1.2250000E-002, 3.4273332E-001, 2.4500000E-003, 1.1009518E+000, 2.4500000E-003, 1.2266239E+000, 2.4500000E-003, 8.6434986E-001, 2.4500000E-003, 5.3263544E-001, 1.2250000E-002, 2.1159994E-001, 2.4500000E-003, 6.2647154E-001, 2.4500000E-003, 8.8095584E-001, 2.4500000E-003, 4.6985489E-001, 2.4500000E-003, 1.7761402E-001, 1.2250000E-002,-4.9023270E-002, 2.4500000E-003,-4.2933584E-001, 2.4500000E-003,-4.6690743E-001, 2.4500000E-003,-2.3518645E-001, 2.4500000E-003,-1.1057581E-001, 2.4500000E-003, 1.1645493E+000, 2.4500000E-003, 1.4131571E-001, 2.4500000E-003, 5.6576038E-002, 2.4500000E-003,-4.0556417E-002, 2.4500000E-003, 1.7919214E-005, 2.4500000E-003, 1.4131571E-001, 2.4500000E-003, 7.2699266E-002, 2.4500000E-003,-1.4652319E+001, 2.4500000E-003,-1.4701630E+001, 2.4500000E-003, 2.3304463E+000
 1.3230000E-002, 6.0541603E+000, 3.4300000E-003,-4.2076444E-001, 3.4300000E-003, 1.0822165E+000, 3.4300000E-003, 3.0137218E+000, 3.4300000E-003, 3.9841947E+000, 1.3230000E-002, 8.1949985E-003, 3.4300000E-003,-1.5142964E-001, 3.4300000E-003,-2.7423291E-001, 3.4300000E-003,-8.4894364E-002, 3.4300000E-003,-1.6070224E-002, 1.3230000E-002, 2.8797475E-001, 3.4300000E-003, 1.3213213E+000, 3.4300000E-003, 1.4800681E+000, 3.4300000E-003, 9.4584742E-001, 3.4300000E-003, 5.5282939E-001, 1.3230000E-002, 2.0104711E-001, 3.4300000E-003, 7.6257396E-001, 3.4300000E-003, 1.0487644E+000, 3.4300000E-003, 5.5566801E-001, 3.4300000E-003, 2.2321482E-001, 1.3230000E-002, 4.7242081E-003, 3.4300000E-003,-5.2500208E-001, 3.4300000E-003,-6.2284818E-001, 3.4300000E-003,-2.9433548E-001, 3.4300000E-003,-1.2597932E-001, 3.4300000E-003, 1.1645493E+000, 3.4300000E-003, 1.3267766E-001, 3.4300000E-003, 4.2760196E-002, 3.4300000E-003,-5.8587109E-002, 3.4300000E-003, 1.7918580E-005, 3.4300000E-003, 1.3267766E-001, 3.4300000E-003, 7.3616784E-002, 3.4300000E-003,-1.4670643E+001, 3.4300000E-003,-1.4719950E+001, 3.4300000E-003, 2.3598582E+000
 1.4210000E-002, 6.4919871E+000, 4.4100000E-003, 5.1131695E-002, 4.4100000E-003, 1.4709176E+000, 4.4100000E-003, 3.2116464E+000, 4.4100000E-003, 4.1444701E+000, 1.4210000E-002, 1.2440776E-003, 4.4100000E-003,-2.0791979E-001, 4.4100000E-003,-3.2974733E-001, 4.4100000E-003,-1.0806234E-001, 4.4100000E-003,-2.0427409E-002, 1.4210000E-002, 2.8438508E-001, 4.4100000E-003, 1.5103504E+000, 4.4100000E-003, 1.6754233E+000, 4.4100000E-003, 9.8837475E-001, 4.4100000E-003, 5.5826959E-001, 1.4210000E-002, 1.6042555E-001, 4.4100000E-003, 8.7889433E-001, 4.4100000E-003, 1.1366424E+000, 4.4100000E-003, 6.2059898E-001, 4.4100000E-003, 2.6657036E-001, 1.4210000E-002, 2.5694779E-002, 4.4100000E-003,-5.8435897E-001, 4.4100000E-003,-7.2055256E-001, 4.4100000E-003,-3.4504097E-001, 4.4100000E-003,-1.4591182E-001, 4.4100000E-003, 1.1645493E+000, 4.4100000E-003, 1.1166661E-001, 4.4100000E-003, 2.4369649E-002, 4.4100000E-003,-7.5879392E-002, 4.4100000E-003, 1.7914087E-005, 4.4100000E-003, 1.1166661E-001, 4.4100000E-003, 7.2560590E-002, 4.4100000E-003,-1.4680133E+001, 4.4100000E-003,-1.4729414E+001, 4.4100000E-003, 2.3260010E+000
 1.5190000E-002, 6.7503575E+000, 5.3900000E-003, 6.2050974E-001, 5.3900000E-003, 1.9208228E+000, 5.3900000E-003, 3.4514024E+000, 5.3900000E-003, 4.3018557E+000, 1.5190000E-002,-3.2027373E-003, 5.3900000E-003,-2.6653330E-001, 5.3900000E-003,-3.9656490E-001, 5.3900000E-003,-1.3374017E-001, 5.3900000E-003,-2.2606173E-002, 1.5190000E-002, 1.7669151E-001, 5.3900000E-003, 1.7046427E+000, 5.3900000E-003, 1.8267011E+000, 5.3900000E-003, 1.1015072E+000, 5.3900000E-003, 5.7808694E-001, 1.5190000E-002, 1.2976121E-001, 5.3900000E-003, 9.6400903E-001, 5.3900000E-003, 1.1519029E+000, 5.3900000E-003, 6.6241387E-001, 5.3900000E-003, 2.9533596E-001, 1.5190000E-002,-2.1798547E-002, 5.3900000E-003,-6.6168207E-001, 5.3900000E-003,-8.0259398E-001, 5.3900000E-003,-4.0222054E-001, 5.3900000E-003,-1.6657127E-001, 5.3900000E-003, 1.1645493E+000, 5.3900000E-003, 8.4729921E-002, 5.3900000E-003, 6.1913620E-003, 5.3900000E-003,-9.4384228E-002, 5.3900000E-003, 1.7915193E-005, 5.3900000E-003, 8.4729921E-002, 5.3900000E-003, 7.1474297E-002, 5.3900000E-003,-1.4688031E+001, 5.3900000E-003,-1.4737319E+001, 5.3900000E-003, 2.2911788E+000
 1.6170000E-002, 6.8678054E+000, 6.3700000E-003, 1.2858842E+000, 6.3700000E-003, 2.4506186E+000, 6.3700000E-003, 3.7054818E+000, 6.3700000E-003, 4.4607408E+000, 1.6170000E-002,-5.1888346E-003, 6.3700000E-003,-3.2664302E-001, 6.3700000E-003,-4.6626276E-001, 6.3700000E-003,-1.5113955E-001, 6.3700000E-003,-2.6844607E-002, 1.6170000E-002, 1.2634828E-001, 6.3700000E-003, 1.7955745E+000, 6.3700000E-003, 1.9402727E+000, 6.3700000E-003, 1.1758595E+000, 6.3700000E-003, 6.0945950E-001, 1.6170000E-002, 1.3263789E-001, 6.3700000E-003, 9.8568057E-001, 6.3700000E-003, 1.1341886E+000, 6.3700000E-003, 6.7176237E-001, 6.3700000E-003, 3.1302520E-001, 1.6170000E-002,-1.7470925E-002, 6.3700000E-003,-7.2228552E-001, 6.3700000E-003,-8.2718138E-001, 6.3700000E-003,-4.4435986E-001, 6.3700000E-003,-1.7960140E-001, 6.3700000E-003, 1.1645493E+000, 6.3700000E-003, 6.0964907E-002, 6.3700000E-003,-1.2691333E-002, 6.3700000E-003,-1.1302719E-001, 6.3700000E-003, 1.7919336E-005, 6.3700000E-003, 6.0964907E-002, 6.3700000E-003, 7.1375484E-002, 6.3700000E-003,-1.4699745E+001, 6.3700000E-003,-1.4749056E+001, 6.3700000E-003, 2.2880113E+000
 1.7150000E-002, 7.0506270E+000, 7.3500000E-003, 2.1146406E+000, 7.3500000E-003, 3.0488104E+000, 7.3500000E-003, 3.9801202E+000, 7.3500000E-003, 4.6343942E+000, 1.7150000E-002,-4.8631061E-003, 7.3500000E-003,-3.9289976E-001, 7.3500000E-003,-5.1302579E-001, 7.3500000E-003,-1.6864363E-001, 7.3500000E-003,-3.2666389E-002, 1.7150000E-002, 1.2983231E-001, 7.3500000E-003, 1.7369736E+000, 7.3500000E-003, 1.9946118E+000, 7.3500000E-003, 1.1940204E+000, 7.3500000E-003, 6.3162734E-001, 1.7150000E-002, 1.2859103E-001, 7.3500000E-003, 9.5037505E-001, 7.3500000E-003, 1.0493371E+000, 7.3500000E-003, 6.6049303E-001, 7.3500000E-003, 3.2722854E-001, 1.7150000E-002,-2.2267104E-003, 7.3500000E-003,-7.0773921E-001, 7.3500000E-003,-8.1639401E-001, 7.3500000E-003,-4.6136370E-001, 7.3500000E-003,-1.8840065E-001, 7.3500000E-003, 1.1645493E+000, 7.3500000E-003, 3.9376264E-002, 7.3500000E-003,-3.6033432E-002, 7.3500000E-003,-1.3064367E-001, 7.3500000E-003, 1.7932027E-005, 7.3500000E-003, 3.9376264E-002, 7.3500000E-003, 7.1774865E-002, 7.3500000E-003,-1.4713602E+001, 7.3500000E-003,-1.4762986E+001, 7.3500000E-003, 2.3008138E+000
 1.8130000E-002, 7.2096998E+000, 8.3300000E-003, 3.0245947E+000, 8.3300000E-003, 3.6406735E+000, 8.3300000E-003, 4.2601031E+000, 8.3300000E-003, 4.8060961E+000, 1.8130000E-002,-4.6842490E-003, 8.3300000E-003,-4.3649020E-001, 8.3300000E-003,-5.4569826E-001, 8.3300000E-003,-1.8692737E-001, 8.3300000E-003,-3.3617887E-002, 1.8130000E-002, 1.3330683E-001, 8.3300000E-003, 1.6988981E+000, 8.3300000E-003, 1.8540517E+000, 8.3300000E-003, 1.1956820E+000, 8.3300000E-003, 6.2246844E-001, 1.8130000E-002, 1.3260850E-001, 8.3300000E-003, 8.6383317E-001, 8.3300000E-003, 9.3463794E-001, 8.3300000E-003, 6.3296841E-001, 8.3300000E-003, 3.4142311E-001, 1.8130000E-002, 1.4007504E-002, 8.3300000E-003,-6.8127778E-001, 8.3300000E-003,-7.3708210E-001, 8.3300000E-003,-4.6763148E-001, 8.3300000E-003,-1.9501297E-001, 8.3300000E-003, 1.1645493E+000, 8.3300000E-003, 1.9838640E-002, 8.3300000E-003,-5.7807616E-002, 8.3300000E-003,-1.4771000E-001, 8.3300000E-003, 1.7950684E-005, 8.3300000E-003, 1.9838640E-002, 8.3300000E-003, 7.3243164E-002, 8.3300000E-003,-1.4729073E+001, 8.3300000E-003,-1.4778562E+001, 8.3300000E-003, 2.3478815E+000
