m,kW/m2,m,kW/m2,m,kW/m2
Tot_Flux-z,Tot_Flux,Con_Flux-z,Con_Flux,Rad_Flux-z,Rad_Flux
 9.250E+00, 1.922E+01, 9.250E+00, 2.785E+00, 9.250E+00, 7.552E+00
 9.350E+00, 1.846E+01, 9.350E+00, 2.792E+00, 9.350E+00, 7.204E+00
 9.450E+00, 1.773E+01, 9.450E+00, 2.799E+00, 9.450E+00, 6.870E+00
 9.550E+00, 1.702E+01, 9.550E+00, 2.803E+00, 9.550E+00, 6.541E+00
 9.650E+00, 1.633E+01, 9.650E+00, 2.811E+00, 9.650E+00, 6.220E+00
 9.750E+00, 1.566E+01, 9.750E+00, 2.816E+00, 9.750E+00, 5.903E+00
 9.850E+00, 1.501E+01, 9.850E+00, 2.828E+00, 9.850E+00, 5.587E+00
 9.950E+00, 1.436E+01, 9.950E+00, 2.836E+00, 9.950E+00, 5.276E+00
 1.005E+01, 1.373E+01, 1.005E+01, 2.854E+00, 1.005E+01, 4.965E+00
 1.015E+01, 1.306E+01, 1.015E+01, 2.859E+00, 1.015E+01, 4.653E+00
 1.025E+01, 1.245E+01, 1.025E+01, 2.924E+00, 1.025E+01, 4.317E+00
