m,kW/m2,m,kW/m2,m,kW/m2
Tot_Flux-z,Tot_Flux,Con_Flux-z,Con_Flux,Rad_Flux-z,Rad_Flux
 2.750E+00, 4.431E+01, 2.750E+00,-7.017E-01, 2.750E+00, 1.581E+01
 2.850E+00, 3.532E+01, 2.850E+00,-1.248E+00, 2.850E+00, 1.624E+01
 2.950E+00, 2.968E+01, 2.950E+00,-1.575E+00, 2.950E+00, 1.515E+01
 3.050E+00, 2.563E+01, 3.050E+00,-1.549E+00, 3.050E+00, 1.398E+01
 3.150E+00, 2.248E+01, 3.150E+00,-1.518E+00, 3.150E+00, 1.293E+01
 3.250E+00, 1.994E+01, 3.250E+00,-1.430E+00, 3.250E+00, 1.195E+01
 3.350E+00, 1.784E+01, 3.350E+00,-1.333E+00, 3.350E+00, 1.104E+01
 3.450E+00, 1.605E+01, 3.450E+00,-1.249E+00, 3.450E+00, 1.023E+01
 3.550E+00, 1.453E+01, 3.550E+00,-1.153E+00, 3.550E+00, 9.477E+00
 3.650E+00, 1.322E+01, 3.650E+00,-1.058E+00, 3.650E+00, 8.788E+00
 3.750E+00, 1.208E+01, 3.750E+00,-9.676E-01, 3.750E+00, 8.157E+00
 3.850E+00, 1.108E+01, 3.850E+00,-8.847E-01, 3.850E+00, 7.581E+00
 3.950E+00, 1.020E+01, 3.950E+00,-8.056E-01, 3.950E+00, 7.053E+00
 4.050E+00, 9.422E+00, 4.050E+00,-7.356E-01, 4.050E+00, 6.572E+00
 4.150E+00, 8.725E+00, 4.150E+00,-6.696E-01, 4.150E+00, 6.131E+00
 4.250E+00, 8.097E+00, 4.250E+00,-6.077E-01, 4.250E+00, 5.728E+00
 4.350E+00, 7.534E+00, 4.350E+00,-5.545E-01, 4.350E+00, 5.359E+00
 4.450E+00, 7.028E+00, 4.450E+00,-5.096E-01, 4.450E+00, 5.020E+00
 4.550E+00, 6.570E+00, 4.550E+00,-4.651E-01, 4.550E+00, 4.708E+00
 4.650E+00, 6.153E+00, 4.650E+00,-4.258E-01, 4.650E+00, 4.420E+00
 4.750E+00, 5.772E+00, 4.750E+00,-3.893E-01, 4.750E+00, 4.154E+00
 4.850E+00, 5.424E+00, 4.850E+00,-3.569E-01, 4.850E+00, 3.908E+00
 4.950E+00, 5.108E+00, 4.950E+00,-3.246E-01, 4.950E+00, 3.680E+00
 5.050E+00, 4.820E+00, 5.050E+00,-2.913E-01, 5.050E+00, 3.467E+00
 5.150E+00, 4.555E+00, 5.150E+00,-2.588E-01, 5.150E+00, 3.268E+00
