m,kW/m2,m,kW/m2,m,kW/m2
Tot_Flux-z,Tot_Flux,Con_Flux-z,Con_Flux,Rad_Flux-z,Rad_Flux
 2.750E+00, 3.428E+01, 2.750E+00, 5.406E-02, 2.750E+00, 1.380E+01
 2.850E+00, 2.695E+01, 2.850E+00,-4.737E-01, 2.850E+00, 1.366E+01
 2.950E+00, 2.240E+01, 2.950E+00,-7.852E-01, 2.950E+00, 1.245E+01
 3.050E+00, 1.915E+01, 3.050E+00,-8.691E-01, 3.050E+00, 1.130E+01
 3.150E+00, 1.663E+01, 3.150E+00,-8.853E-01, 3.150E+00, 1.028E+01
 3.250E+00, 1.463E+01, 3.250E+00,-8.458E-01, 3.250E+00, 9.350E+00
 3.350E+00, 1.298E+01, 3.350E+00,-8.072E-01, 3.350E+00, 8.525E+00
 3.450E+00, 1.160E+01, 3.450E+00,-7.392E-01, 3.450E+00, 7.782E+00
 3.550E+00, 1.043E+01, 3.550E+00,-6.711E-01, 3.550E+00, 7.114E+00
 3.650E+00, 9.424E+00, 3.650E+00,-6.098E-01, 3.650E+00, 6.515E+00
 3.750E+00, 8.553E+00, 3.750E+00,-5.520E-01, 3.750E+00, 5.976E+00
 3.850E+00, 7.790E+00, 3.850E+00,-5.021E-01, 3.850E+00, 5.492E+00
 3.950E+00, 7.118E+00, 3.950E+00,-4.588E-01, 3.950E+00, 5.058E+00
 4.050E+00, 6.524E+00, 4.050E+00,-4.171E-01, 4.050E+00, 4.666E+00
 4.150E+00, 5.998E+00, 4.150E+00,-3.755E-01, 4.150E+00, 4.311E+00
 4.250E+00, 5.528E+00, 4.250E+00,-3.413E-01, 4.250E+00, 3.991E+00
 4.350E+00, 5.114E+00, 4.350E+00,-3.041E-01, 4.350E+00, 3.699E+00
 4.450E+00, 4.746E+00, 4.450E+00,-2.679E-01, 4.450E+00, 3.434E+00
 4.550E+00, 4.416E+00, 4.550E+00,-2.349E-01, 4.550E+00, 3.193E+00
 4.650E+00, 4.118E+00, 4.650E+00,-2.060E-01, 4.650E+00, 2.974E+00
 4.750E+00, 3.850E+00, 4.750E+00,-1.799E-01, 4.750E+00, 2.774E+00
 4.850E+00, 3.604E+00, 4.850E+00,-1.565E-01, 4.850E+00, 2.593E+00
 4.950E+00, 3.384E+00, 4.950E+00,-1.351E-01, 4.950E+00, 2.426E+00
 5.050E+00, 3.183E+00, 5.050E+00,-1.131E-01, 5.050E+00, 2.274E+00
 5.150E+00, 3.001E+00, 5.150E+00,-9.477E-02, 5.150E+00, 2.133E+00
 5.250E+00, 2.836E+00, 5.250E+00,-7.777E-02, 5.250E+00, 2.004E+00
 5.350E+00, 2.686E+00, 5.350E+00,-6.095E-02, 5.350E+00, 1.885E+00
 5.450E+00, 2.549E+00, 5.450E+00,-4.368E-02, 5.450E+00, 1.774E+00
 5.550E+00, 2.425E+00, 5.550E+00,-2.657E-02, 5.550E+00, 1.672E+00
 5.650E+00, 2.312E+00, 5.650E+00,-8.631E-03, 5.650E+00, 1.577E+00
 5.750E+00, 2.210E+00, 5.750E+00, 8.916E-03, 5.750E+00, 1.489E+00
 5.850E+00, 2.114E+00, 5.850E+00, 2.555E-02, 5.850E+00, 1.407E+00
 5.950E+00, 2.026E+00, 5.950E+00, 4.113E-02, 5.950E+00, 1.331E+00
 6.050E+00, 1.944E+00, 6.050E+00, 5.515E-02, 6.050E+00, 1.261E+00
 6.150E+00, 1.867E+00, 6.150E+00, 6.821E-02, 6.150E+00, 1.195E+00
 6.250E+00, 1.795E+00, 6.250E+00, 7.993E-02, 6.250E+00, 1.134E+00
 6.350E+00, 1.731E+00, 6.350E+00, 9.161E-02, 6.350E+00, 1.077E+00
 6.450E+00, 1.670E+00, 6.450E+00, 1.025E-01, 6.450E+00, 1.024E+00
 6.550E+00, 1.617E+00, 6.550E+00, 1.154E-01, 6.550E+00, 9.741E-01
 6.650E+00, 1.568E+00, 6.650E+00, 1.277E-01, 6.650E+00, 9.275E-01
 6.750E+00, 1.524E+00, 6.750E+00, 1.413E-01, 6.750E+00, 8.835E-01
 6.850E+00, 1.484E+00, 6.850E+00, 1.539E-01, 6.850E+00, 8.420E-01
 6.950E+00, 1.447E+00, 6.950E+00, 1.676E-01, 6.950E+00, 8.029E-01
 7.050E+00, 1.415E+00, 7.050E+00, 1.828E-01, 7.050E+00, 7.660E-01
 7.150E+00, 1.385E+00, 7.150E+00, 1.966E-01, 7.150E+00, 7.312E-01
 7.250E+00, 1.356E+00, 7.250E+00, 2.093E-01, 7.250E+00, 6.985E-01
 7.350E+00, 1.329E+00, 7.350E+00, 2.214E-01, 7.350E+00, 6.678E-01
 7.450E+00, 1.301E+00, 7.450E+00, 2.311E-01, 7.450E+00, 6.390E-01
 7.550E+00, 1.275E+00, 7.550E+00, 2.408E-01, 7.550E+00, 6.118E-01
 7.650E+00, 1.252E+00, 7.650E+00, 2.498E-01, 7.650E+00, 5.862E-01
 7.750E+00, 1.229E+00, 7.750E+00, 2.590E-01, 7.750E+00, 5.621E-01
 7.850E+00, 1.207E+00, 7.850E+00, 2.669E-01, 7.850E+00, 5.392E-01
 7.950E+00, 1.185E+00, 7.950E+00, 2.742E-01, 7.950E+00, 5.175E-01
 8.050E+00, 1.164E+00, 8.050E+00, 2.803E-01, 8.050E+00, 4.970E-01
 8.150E+00, 1.144E+00, 8.150E+00, 2.863E-01, 8.150E+00, 4.773E-01
 8.250E+00, 1.125E+00, 8.250E+00, 2.919E-01, 8.250E+00, 4.586E-01
 8.350E+00, 1.110E+00, 8.350E+00, 2.994E-01, 8.350E+00, 4.407E-01
 8.450E+00, 1.094E+00, 8.450E+00, 3.061E-01, 8.450E+00, 4.237E-01
 8.550E+00, 1.083E+00, 8.550E+00, 3.146E-01, 8.550E+00, 4.072E-01
 8.650E+00, 1.072E+00, 8.650E+00, 3.229E-01, 8.650E+00, 3.914E-01
 8.750E+00, 1.063E+00, 8.750E+00, 3.320E-01, 8.750E+00, 3.760E-01
 8.850E+00, 1.053E+00, 8.850E+00, 3.403E-01, 8.850E+00, 3.614E-01
 8.950E+00, 1.046E+00, 8.950E+00, 3.494E-01, 8.950E+00, 3.470E-01
 9.050E+00, 1.036E+00, 9.050E+00, 3.568E-01, 9.050E+00, 3.334E-01
 9.150E+00, 1.028E+00, 9.150E+00, 3.640E-01, 9.150E+00, 3.201E-01
 9.250E+00, 1.015E+00, 9.250E+00, 3.689E-01, 9.250E+00, 3.075E-01
 9.350E+00, 1.006E+00, 9.350E+00, 3.747E-01, 9.350E+00, 2.953E-01
 9.450E+00, 9.969E-01, 9.450E+00, 3.815E-01, 9.450E+00, 2.835E-01
 9.550E+00, 9.908E-01, 9.550E+00, 3.891E-01, 9.550E+00, 2.717E-01
 9.650E+00, 9.800E-01, 9.650E+00, 3.944E-01, 9.650E+00, 2.605E-01
 9.750E+00, 9.697E-01, 9.750E+00, 3.990E-01, 9.750E+00, 2.493E-01
 9.850E+00, 9.593E-01, 9.850E+00, 4.042E-01, 9.850E+00, 2.381E-01
 9.950E+00, 9.435E-01, 9.950E+00, 4.060E-01, 9.950E+00, 2.270E-01
 1.005E+01, 9.340E-01, 1.005E+01, 4.120E-01, 1.005E+01, 2.149E-01
 1.015E+01, 9.024E-01, 1.015E+01, 4.060E-01, 1.015E+01, 2.035E-01
 1.025E+01, 8.900E-01, 1.025E+01, 4.144E-01, 1.025E+01, 1.890E-01
