m,kW/m2,m,kW/m2,m,kW/m2
Tot_Flux-z,Tot_Flux,Con_Flux-z,Con_Flux,Rad_Flux-z,Rad_Flux
 2.750E+00, 4.047E+01, 2.750E+00, 5.254E-01, 2.750E+00, 1.462E+01
 2.850E+00, 3.256E+01, 2.850E+00,-2.679E-01, 2.850E+00, 1.515E+01
 2.950E+00, 2.755E+01, 2.950E+00,-7.356E-01, 2.950E+00, 1.418E+01
 3.050E+00, 2.400E+01, 3.050E+00,-9.144E-01, 3.050E+00, 1.322E+01
 3.150E+00, 2.123E+01, 3.150E+00,-9.462E-01, 3.150E+00, 1.226E+01
 3.250E+00, 1.899E+01, 3.250E+00,-9.198E-01, 3.250E+00, 1.137E+01
 3.350E+00, 1.714E+01, 3.350E+00,-8.627E-01, 3.350E+00, 1.055E+01
 3.450E+00, 1.555E+01, 3.450E+00,-8.242E-01, 3.450E+00, 9.809E+00
 3.550E+00, 1.417E+01, 3.550E+00,-7.874E-01, 3.550E+00, 9.133E+00
 3.650E+00, 1.300E+01, 3.650E+00,-7.405E-01, 3.650E+00, 8.513E+00
 3.750E+00, 1.197E+01, 3.750E+00,-6.814E-01, 3.750E+00, 7.938E+00
 3.850E+00, 1.107E+01, 3.850E+00,-6.204E-01, 3.850E+00, 7.409E+00
 3.950E+00, 1.028E+01, 3.950E+00,-5.562E-01, 3.950E+00, 6.922E+00
 4.050E+00, 9.572E+00, 4.050E+00,-4.994E-01, 4.050E+00, 6.473E+00
 4.150E+00, 8.931E+00, 4.150E+00,-4.478E-01, 4.150E+00, 6.061E+00
 4.250E+00, 8.353E+00, 4.250E+00,-4.003E-01, 4.250E+00, 5.685E+00
 4.350E+00, 7.841E+00, 4.350E+00,-3.527E-01, 4.350E+00, 5.340E+00
 4.450E+00, 7.383E+00, 4.450E+00,-3.031E-01, 4.450E+00, 5.022E+00
 4.550E+00, 6.976E+00, 4.550E+00,-2.555E-01, 4.550E+00, 4.730E+00
 4.650E+00, 6.599E+00, 4.650E+00,-2.132E-01, 4.650E+00, 4.460E+00
 4.750E+00, 6.250E+00, 4.750E+00,-1.756E-01, 4.750E+00, 4.212E+00
 4.850E+00, 5.930E+00, 4.850E+00,-1.421E-01, 4.850E+00, 3.984E+00
 4.950E+00, 5.649E+00, 4.950E+00,-1.073E-01, 4.950E+00, 3.774E+00
 5.050E+00, 5.395E+00, 5.050E+00,-7.250E-02, 5.050E+00, 3.579E+00
 5.150E+00, 5.157E+00, 5.150E+00,-4.167E-02, 5.150E+00, 3.399E+00
