m,kW/m2,m,kW/m2,m,kW/m2
Tot_Flux-z,Tot_Flux,Con_Flux-z,Con_Flux,Rad_Flux-z,Rad_Flux
 2.750E+00, 3.855E+01, 2.750E+00, 2.016E+00, 2.750E+00, 1.316E+01
 2.850E+00, 3.519E+01, 2.850E+00, 1.695E+00, 2.850E+00, 1.397E+01
 2.950E+00, 3.057E+01, 2.950E+00, 1.128E+00, 2.950E+00, 1.340E+01
 3.050E+00, 2.677E+01, 3.050E+00, 6.884E-01, 3.050E+00, 1.277E+01
 3.150E+00, 2.403E+01, 3.150E+00, 4.703E-01, 3.150E+00, 1.215E+01
 3.250E+00, 2.205E+01, 3.250E+00, 3.421E-01, 3.250E+00, 1.158E+01
 3.350E+00, 2.052E+01, 3.350E+00, 2.462E-01, 3.350E+00, 1.109E+01
 3.450E+00, 1.932E+01, 3.450E+00, 1.896E-01, 3.450E+00, 1.065E+01
 3.550E+00, 1.836E+01, 3.550E+00, 1.717E-01, 3.550E+00, 1.025E+01
 3.650E+00, 1.752E+01, 3.650E+00, 1.865E-01, 3.650E+00, 9.871E+00
 3.750E+00, 1.676E+01, 3.750E+00, 1.973E-01, 3.750E+00, 9.507E+00
 3.850E+00, 1.608E+01, 3.850E+00, 2.087E-01, 3.850E+00, 9.152E+00
 3.950E+00, 1.543E+01, 3.950E+00, 2.199E-01, 3.950E+00, 8.807E+00
 4.050E+00, 1.483E+01, 4.050E+00, 2.532E-01, 4.050E+00, 8.468E+00
 4.150E+00, 1.426E+01, 4.150E+00, 2.887E-01, 4.150E+00, 8.140E+00
 4.250E+00, 1.373E+01, 4.250E+00, 3.279E-01, 4.250E+00, 7.820E+00
 4.350E+00, 1.322E+01, 4.350E+00, 3.724E-01, 4.350E+00, 7.504E+00
 4.450E+00, 1.274E+01, 4.450E+00, 4.185E-01, 4.450E+00, 7.192E+00
 4.550E+00, 1.228E+01, 4.550E+00, 4.705E-01, 4.550E+00, 6.885E+00
 4.650E+00, 1.183E+01, 4.650E+00, 5.225E-01, 4.650E+00, 6.585E+00
 4.750E+00, 1.140E+01, 4.750E+00, 5.758E-01, 4.750E+00, 6.293E+00
 4.850E+00, 1.099E+01, 4.850E+00, 6.308E-01, 4.850E+00, 6.010E+00
 4.950E+00, 1.060E+01, 4.950E+00, 6.869E-01, 4.950E+00, 5.738E+00
 5.050E+00, 1.024E+01, 5.050E+00, 7.406E-01, 5.050E+00, 5.475E+00
 5.150E+00, 9.898E+00, 5.150E+00, 7.918E-01, 5.150E+00, 5.224E+00
 5.250E+00, 9.578E+00, 5.250E+00, 8.455E-01, 5.250E+00, 4.985E+00
 5.350E+00, 9.279E+00, 5.350E+00, 8.993E-01, 5.350E+00, 4.759E+00
 5.450E+00, 8.990E+00, 5.450E+00, 9.440E-01, 5.450E+00, 4.546E+00
 5.550E+00, 8.712E+00, 5.550E+00, 9.807E-01, 5.550E+00, 4.345E+00
 5.650E+00, 8.453E+00, 5.650E+00, 1.015E+00, 5.650E+00, 4.155E+00
 5.750E+00, 8.208E+00, 5.750E+00, 1.051E+00, 5.750E+00, 3.973E+00
 5.850E+00, 7.981E+00, 5.850E+00, 1.085E+00, 5.850E+00, 3.800E+00
 5.950E+00, 7.770E+00, 5.950E+00, 1.121E+00, 5.950E+00, 3.637E+00
 6.050E+00, 7.576E+00, 6.050E+00, 1.156E+00, 6.050E+00, 3.483E+00
 6.150E+00, 7.395E+00, 6.150E+00, 1.189E+00, 6.150E+00, 3.337E+00
 6.250E+00, 7.219E+00, 6.250E+00, 1.220E+00, 6.250E+00, 3.197E+00
 6.350E+00, 7.049E+00, 6.350E+00, 1.245E+00, 6.350E+00, 3.064E+00
 6.450E+00, 6.879E+00, 6.450E+00, 1.267E+00, 6.450E+00, 2.937E+00
 6.550E+00, 6.724E+00, 6.550E+00, 1.288E+00, 6.550E+00, 2.816E+00
 6.650E+00, 6.572E+00, 6.650E+00, 1.310E+00, 6.650E+00, 2.702E+00
 6.750E+00, 6.436E+00, 6.750E+00, 1.333E+00, 6.750E+00, 2.593E+00
 6.850E+00, 6.301E+00, 6.850E+00, 1.353E+00, 6.850E+00, 2.490E+00
 6.950E+00, 6.174E+00, 6.950E+00, 1.371E+00, 6.950E+00, 2.392E+00
 7.050E+00, 6.060E+00, 7.050E+00, 1.393E+00, 7.050E+00, 2.299E+00
 7.150E+00, 5.954E+00, 7.150E+00, 1.415E+00, 7.150E+00, 2.208E+00
 7.250E+00, 5.854E+00, 7.250E+00, 1.439E+00, 7.250E+00, 2.121E+00
 7.350E+00, 5.756E+00, 7.350E+00, 1.461E+00, 7.350E+00, 2.038E+00
 7.450E+00, 5.657E+00, 7.450E+00, 1.480E+00, 7.450E+00, 1.957E+00
 7.550E+00, 5.555E+00, 7.550E+00, 1.493E+00, 7.550E+00, 1.879E+00
 7.650E+00, 5.450E+00, 7.650E+00, 1.502E+00, 7.650E+00, 1.804E+00
 7.750E+00, 5.347E+00, 7.750E+00, 1.508E+00, 7.750E+00, 1.730E+00
 7.850E+00, 5.239E+00, 7.850E+00, 1.510E+00, 7.850E+00, 1.660E+00
 7.950E+00, 5.135E+00, 7.950E+00, 1.510E+00, 7.950E+00, 1.592E+00
 8.050E+00, 5.033E+00, 8.050E+00, 1.510E+00, 8.050E+00, 1.527E+00
 8.150E+00, 4.936E+00, 8.150E+00, 1.510E+00, 8.150E+00, 1.465E+00
 8.250E+00, 4.840E+00, 8.250E+00, 1.511E+00, 8.250E+00, 1.406E+00
 8.350E+00, 4.757E+00, 8.350E+00, 1.516E+00, 8.350E+00, 1.347E+00
 8.450E+00, 4.669E+00, 8.450E+00, 1.518E+00, 8.450E+00, 1.292E+00
 8.550E+00, 4.588E+00, 8.550E+00, 1.520E+00, 8.550E+00, 1.238E+00
 8.650E+00, 4.502E+00, 8.650E+00, 1.521E+00, 8.650E+00, 1.187E+00
 8.750E+00, 4.429E+00, 8.750E+00, 1.523E+00, 8.750E+00, 1.138E+00
 8.850E+00, 4.353E+00, 8.850E+00, 1.526E+00, 8.850E+00, 1.091E+00
 8.950E+00, 4.282E+00, 8.950E+00, 1.526E+00, 8.950E+00, 1.046E+00
 9.050E+00, 4.206E+00, 9.050E+00, 1.524E+00, 9.050E+00, 1.002E+00
 9.150E+00, 4.136E+00, 9.150E+00, 1.522E+00, 9.150E+00, 9.595E-01
 9.250E+00, 4.057E+00, 9.250E+00, 1.517E+00, 9.250E+00, 9.186E-01
 9.350E+00, 3.989E+00, 9.350E+00, 1.514E+00, 9.350E+00, 8.786E-01
 9.450E+00, 3.908E+00, 9.450E+00, 1.508E+00, 9.450E+00, 8.407E-01
 9.550E+00, 3.837E+00, 9.550E+00, 1.501E+00, 9.550E+00, 8.037E-01
 9.650E+00, 3.756E+00, 9.650E+00, 1.492E+00, 9.650E+00, 7.676E-01
 9.750E+00, 3.675E+00, 9.750E+00, 1.481E+00, 9.750E+00, 7.326E-01
 9.850E+00, 3.591E+00, 9.850E+00, 1.471E+00, 9.850E+00, 6.976E-01
 9.950E+00, 3.498E+00, 9.950E+00, 1.454E+00, 9.950E+00, 6.632E-01
 1.005E+01, 3.404E+00, 1.005E+01, 1.441E+00, 1.005E+01, 6.272E-01
 1.015E+01, 3.262E+00, 1.015E+01, 1.406E+00, 1.015E+01, 5.930E-01
 1.025E+01, 3.131E+00, 1.025E+01, 1.391E+00, 1.025E+01, 5.513E-01
