s,m3/s,m3/s,kg/s,kg/s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,Pa
Time,DADM_L2_MOY,DEXT_L2_MOY,R2_in,R2_out,TG_L2_NE_005,TG_L2_NE_030,TG_L2_NE_055,TG_L2_NE_080,TG_L2_NE_105,TG_L2_NE_130,TG_L2_NE_155,TG_L2_NE_180,TG_L2_NE_205,TG_L2_NE_230,TG_L2_NE_255,TG_L2_NE_280,TG_L2_NE_305,TG_L2_NE_330,TG_L2_NE_355,TG_L2_NE_380,TG_L2_NE_385,TG_L2_NE_390,TP_L2_N030,TP_L2_N155,TP_L2_N260,TP_L2_N355,TP_L2_WC260,TP_L2_NC265,TP_L2_EC260,TP_L2_SC260,TP_L2_P,TP_L2_SOL,FLT_L2_N030,FLT_L2_N155,FLT_L2_N260,FLT_L2_N355,FLR_L2_N030,FLR_L2_N155,FLR_L2_N260,FLR_L2_N355,FLT_L2_WC260,FLT_L2_NC260,FLT_L2_EC260,FLT_L2_SC260,FLR_L2_P,FLT_L2_PM,FLT_L2_SOL,CO2L2_HAUT,COL2_HAUT,O2L2_HAUT,CO2FP,COFP,O2FP,CO2L2_BAS,COL2_BAS,O2L2_BAS,PLOCAL2_MOY
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.3000000E+001, 3.3000000E+001, 3.3000000E+001, 3.3000000E+001, 3.3000000E+001, 3.3000000E+001, 3.3000000E+001, 3.3000000E+001, 3.3000000E+001, 3.3000000E+001, 3.3000000E+001, 3.3000000E+001, 3.3000000E+001, 3.3000000E+001, 3.3000000E+001, 3.3000000E+001, 3.3000000E+001, 3.3000000E+001, 3.3000000E+001, 3.3000000E+001, 3.3000000E+001, 3.3000000E+001, 3.3000000E+001, 3.3000000E+001, 3.3000000E+001, 3.3000000E+001, 3.3000000E+001, 3.3000000E+001,-2.3141012E-004,-1.6353631E-004,-1.2986517E-004,-1.0317869E-004,-2.3141012E-004,-1.6353631E-004,-1.2986517E-004,-1.0317869E-004,-1.0799341E-004,-1.1051920E-004,-1.0541903E-004,-1.1148313E-004,-1.3882575E-004,-1.3882575E-004,-1.5128257E-004, 3.8219854E-004, 0.0000000E+000, 2.0529568E-001, 3.8219854E-004, 0.0000000E+000, 2.0529568E-001, 3.8219854E-004, 0.0000000E+000, 2.0529568E-001,-1.7735176E-005
 1.0003555E+001, 2.6524592E-001, 2.7457565E-001, 3.0236170E-001, 3.1275421E-001, 3.2967475E+001, 3.2966934E+001, 3.2969188E+001, 3.2970418E+001, 3.2971559E+001, 3.2972738E+001, 3.2972972E+001, 3.2972819E+001, 3.2972861E+001, 3.2972493E+001, 3.2972154E+001, 3.2971500E+001, 3.2971307E+001, 3.2970656E+001, 3.2970389E+001, 3.2970067E+001, 3.2970067E+001, 3.2971615E+001, 3.3000174E+001, 3.3002771E+001, 3.3002944E+001, 3.3002206E+001, 3.3004328E+001, 3.3002941E+001, 3.3004327E+001, 3.3002929E+001, 3.3109432E+001, 3.3000498E+001, 2.0873310E-004, 2.8461072E-003, 3.0249636E-003, 2.2794305E-003, 2.2774952E-004, 2.8637567E-003, 3.0424072E-003, 2.2972521E-003, 4.4473804E-003, 3.0290462E-003, 4.4486252E-003, 3.0232118E-003, 6.1846967E-003, 6.1704823E-003, 5.6731127E-004, 3.8219854E-004, 0.0000000E+000, 2.0529568E-001, 3.8219854E-004, 0.0000000E+000, 2.0529568E-001, 3.8219854E-004, 0.0000000E+000, 2.0529568E-001,-3.9894178E+001
 2.0049427E+001, 2.8096272E-001, 2.8702815E-001, 3.2028774E-001, 3.2687034E-001, 3.2969054E+001, 3.2967369E+001, 3.2975173E+001, 3.2980397E+001, 3.2983432E+001, 3.2988089E+001, 3.2988689E+001, 3.2988315E+001, 3.2988703E+001, 3.2987474E+001, 3.2986178E+001, 3.2984723E+001, 3.2983765E+001, 3.2981900E+001, 3.2980883E+001, 3.3160385E+001, 3.3160385E+001, 3.3262657E+001, 3.3000585E+001, 3.3006192E+001, 3.3006612E+001, 3.3005087E+001, 3.3009771E+001, 3.3006668E+001, 3.3009775E+001, 3.3006677E+001, 3.3249042E+001, 3.3001534E+001, 3.9403440E-004, 3.4894978E-003, 3.7405771E-003, 2.9271683E-003, 4.1211103E-004, 3.5023342E-003, 3.7527033E-003, 2.9405412E-003, 5.5511326E-003, 3.7943336E-003, 5.5420895E-003, 3.8024596E-003, 7.5631326E-003, 9.0899081E-003, 9.9189892E-004, 3.8219854E-004, 0.0000000E+000, 2.0529568E-001, 3.8219854E-004, 0.0000000E+000, 2.0529568E-001, 3.8219854E-004, 0.0000000E+000, 2.0529568E-001,-4.3142446E+001
 3.0034550E+001, 2.8109441E-001, 2.8703332E-001, 3.2043764E-001, 3.2676819E-001, 3.2973130E+001, 3.2970908E+001, 3.2982595E+001, 3.2991254E+001, 3.2994858E+001, 3.3004414E+001, 3.3004988E+001, 3.3005259E+001, 3.3004972E+001, 3.3002976E+001, 3.3001225E+001, 3.2998842E+001, 3.2997354E+001, 3.2994624E+001, 3.2994067E+001, 3.3844926E+001, 3.3844926E+001, 3.4192251E+001, 3.3000967E+001, 3.3008440E+001, 3.3009082E+001, 3.3007463E+001, 3.3013444E+001, 3.3009208E+001, 3.3013440E+001, 3.3009202E+001, 3.3355152E+001, 3.3002441E+001, 5.0281603E-004, 3.6651590E-003, 3.9785481E-003, 3.5500396E-003, 5.1836813E-004, 3.6663773E-003, 3.9825227E-003, 3.2929134E-003, 5.9053618E-003, 4.0542214E-003, 5.8913776E-003, 4.0392654E-003, 7.8234012E-003, 1.0471333E-002, 1.2207960E-003, 3.8219854E-004, 0.0000000E+000, 2.0529568E-001, 3.8219854E-004, 0.0000000E+000, 2.0529568E-001, 3.8219854E-004, 0.0000000E+000, 2.0529568E-001,-4.3352279E+001
 4.0000159E+001, 2.6249775E-001, 2.9287913E-001, 2.9926508E-001, 3.3321603E-001, 3.3040426E+001, 3.3046702E+001, 3.3055678E+001, 3.3076444E+001, 3.3074820E+001, 3.3081467E+001, 3.3082143E+001, 3.3076872E+001, 3.3074817E+001, 3.3068284E+001, 3.3064454E+001, 3.3057881E+001, 3.3053930E+001, 3.3048818E+001, 3.3094168E+001, 3.4772554E+001, 3.4772554E+001, 3.6952039E+001, 3.3027844E+001, 3.3033735E+001, 3.3029714E+001, 3.3025725E+001, 3.3035665E+001, 3.3025442E+001, 3.3035881E+001, 3.3025425E+001, 3.4114289E+001, 3.3071231E+001, 2.9472118E-002, 2.9366263E-002, 2.4347821E-002, 2.1560281E-002, 2.9458030E-002, 2.9317763E-002, 2.3937706E-002, 1.7786827E-002, 2.7232386E-002, 1.9910804E-002, 2.7234406E-002, 1.9907978E-002, 3.1556949E-002, 5.8732593E-002, 7.5132384E-002, 3.8219854E-004, 1.5030061E-015, 2.0529568E-001, 3.8573731E-004, 1.0990628E-008, 2.0528975E-001, 3.8219854E-004, 3.2092154E-051, 2.0529568E-001,-1.4750803E+001
 5.0011456E+001, 2.1862119E-001, 3.0581572E-001, 2.4928925E-001, 3.4503500E-001, 3.3313875E+001, 3.3322084E+001, 3.3323239E+001, 3.3380367E+001, 3.3352801E+001, 3.3346569E+001, 3.3338755E+001, 3.3314402E+001, 3.3298448E+001, 3.3309603E+001, 3.3724110E+001, 3.4163713E+001, 3.4249190E+001, 3.4643667E+001, 3.4842553E+001, 4.0522366E+001, 4.0522366E+001, 4.6929740E+001, 3.3126357E+001, 3.3126976E+001, 3.3121170E+001, 3.3127543E+001, 3.3129322E+001, 3.3082370E+001, 3.3124128E+001, 3.3083211E+001, 3.7059757E+001, 3.3330013E+001, 1.0228011E-001, 9.8777151E-002, 9.3589842E-002, 9.3929363E-002, 1.0211087E-001, 9.6884586E-002, 7.9811246E-002, 6.1163926E-002, 9.5781494E-002, 6.0377624E-002, 9.3811043E-002, 6.1863646E-002, 9.3169508E-002, 1.9824149E-001, 2.6825647E-001, 3.8219983E-004, 4.0198856E-012, 2.0529568E-001, 3.8978657E-004, 2.3566804E-008, 2.0528296E-001, 3.8219854E-004, 4.1895153E-032, 2.0529568E-001, 4.4506508E+001
 6.0005025E+001, 1.5274925E-001, 3.2307819E-001, 1.7421701E-001, 3.5593162E-001, 3.3784901E+001, 3.3848159E+001, 3.3958368E+001, 3.4019933E+001, 3.4035583E+001, 3.4077275E+001, 3.4060132E+001, 3.4017256E+001, 3.4061174E+001, 3.4341041E+001, 3.4771839E+001, 3.6888309E+001, 3.7506885E+001, 4.0917624E+001, 4.2793455E+001, 5.0802910E+001, 5.0802910E+001, 5.8608549E+001, 3.3313955E+001, 3.3305758E+001, 3.3329621E+001, 3.3342489E+001, 3.3315090E+001, 3.3202602E+001, 3.3330024E+001, 3.3218782E+001, 4.2659959E+001, 3.3821090E+001, 2.0303509E-001, 1.9243862E-001, 2.0358087E-001, 1.9802299E-001, 2.0202418E-001, 1.9021095E-001, 1.6150127E-001, 1.2728073E-001, 1.9257112E-001, 1.2939784E-001, 2.0420698E-001, 1.3912794E-001, 1.8065116E-001, 4.2061049E-001, 5.3250832E-001, 7.8312649E-004, 1.2451873E-006, 2.0462506E-001, 3.9400008E-004, 3.6653104E-008, 2.0527588E-001, 3.8219854E-004, 1.2343504E-015, 2.0529568E-001, 1.1439213E+002
 7.0001280E+001, 8.7869699E-002, 3.3814489E-001, 1.0023523E-001, 3.5874547E-001, 3.4358205E+001, 3.4515217E+001, 3.4868322E+001, 3.5085520E+001, 3.5240146E+001, 3.5734104E+001, 3.6158327E+001, 3.7578499E+001, 3.8414659E+001, 3.9071210E+001, 3.9840895E+001, 4.0884174E+001, 4.7234028E+001, 5.1203144E+001, 5.3388596E+001, 6.4248989E+001, 6.4248989E+001, 7.2546434E+001, 3.3562721E+001, 3.3542660E+001, 3.3665901E+001, 3.3670530E+001, 3.3694249E+001, 3.3417696E+001, 3.3654797E+001, 3.3434339E+001, 5.0267921E+001, 3.4436584E+001, 3.0305832E-001, 2.9252993E-001, 3.5398377E-001, 3.3627449E-001, 3.0060806E-001, 2.8936045E-001, 2.5620079E-001, 2.0931250E-001, 3.9514110E-001, 2.3696684E-001, 3.4634147E-001, 2.4539850E-001, 3.0270037E-001, 6.8529203E-001, 7.5503716E-001, 1.6048774E-003, 3.7973508E-006, 2.0325054E-001, 4.0113015E-004, 5.8797508E-008, 2.0526394E-001, 3.8220460E-004, 1.8820944E-011, 2.0529567E-001, 1.6006092E+002
 8.0004206E+001, 2.5803326E-002, 3.5076447E-001, 2.9740460E-002, 3.5443111E-001, 3.5322284E+001, 3.6400890E+001, 3.7129474E+001, 3.8140134E+001, 3.8816200E+001, 3.9887607E+001, 4.0241854E+001, 4.2588660E+001, 4.4444712E+001, 4.8214155E+001, 5.3089773E+001, 5.7281382E+001, 5.9351846E+001, 6.4024564E+001, 6.6572886E+001, 8.4093900E+001, 8.4093900E+001, 9.4027866E+001, 3.3865890E+001, 3.3864371E+001, 3.4118043E+001, 3.4152560E+001, 3.4134051E+001, 3.3794634E+001, 3.4100166E+001, 3.3803261E+001, 5.8727701E+001, 3.5168446E+001, 4.1803553E-001, 4.2705007E-001, 5.2873973E-001, 5.3631019E-001, 4.1129517E-001, 4.1353155E-001, 3.7454386E-001, 3.1582922E-001, 5.1802909E-001, 4.2226742E-001, 5.3705338E-001, 4.1326648E-001, 4.2756292E-001, 9.3646024E-001, 1.0301815E+000, 2.8566079E-003, 7.6849294E-006, 2.0115681E-001, 4.0544041E-004, 7.2184310E-008, 2.0525671E-001, 4.0445990E-004, 6.9138534E-008, 2.0525844E-001, 1.8081763E+002
