s,C,C,C,C,C,C,C,C,C
Time,Air Temp,IRSN_1,IRSN_2,TRAC_2,TRAC_3,TRAC_4,VTT_1,GRS_2,NRC_1
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 1.0200000E+001, 2.2365918E+001, 2.0000094E+001, 2.0000097E+001, 2.0000135E+001, 2.0000131E+001, 2.0000137E+001, 2.0000113E+001, 2.0000144E+001, 2.0000221E+001
 2.0200000E+001, 2.6956000E+001, 2.0002787E+001, 2.0002954E+001, 2.0003882E+001, 2.0003719E+001, 2.0003939E+001, 2.0003335E+001, 2.0003713E+001, 2.0005521E+001
 3.0039235E+001, 3.7535404E+001, 2.0015386E+001, 2.0016670E+001, 2.0021117E+001, 2.0020156E+001, 2.0021415E+001, 2.0018437E+001, 2.0018670E+001, 2.0027459E+001
 4.0026226E+001, 5.9589549E+001, 2.0054055E+001, 2.0059339E+001, 2.0074185E+001, 2.0070885E+001, 2.0075194E+001, 2.0065204E+001, 2.0063066E+001, 2.0093357E+001
 5.0045186E+001, 8.2200307E+001, 2.0166886E+001, 2.0185166E+001, 2.0229382E+001, 2.0219438E+001, 2.0232398E+001, 2.0202629E+001, 2.0188770E+001, 2.0280854E+001
 6.0029448E+001, 1.0482016E+002, 2.0408401E+001, 2.0458096E+001, 2.0559300E+001, 2.0534752E+001, 2.0566472E+001, 2.0497465E+001, 2.0443967E+001, 2.0659050E+001
 7.0058420E+001, 1.2743736E+002, 2.0827625E+001, 2.0937323E+001, 2.1129002E+001, 2.1078651E+001, 2.1143180E+001, 2.1010453E+001, 2.0868375E+001, 2.1284958E+001
 8.0001262E+001, 1.5001272E+002, 2.1465773E+001, 2.1673079E+001, 2.1991576E+001, 2.1901037E+001, 2.2016222E+001, 2.1791884E+001, 2.1493988E+001, 2.2199872E+001
 9.0032915E+001, 1.7259705E+002, 2.2355654E+001, 2.2706470E+001, 2.3189499E+001, 2.3041532E+001, 2.3228573E+001, 2.2882303E+001, 2.2344159E+001, 2.3434675E+001
 1.0001868E+002, 1.9523355E+002, 2.3535729E+001, 2.4086864E+001, 2.4776713E+001, 2.4551486E+001, 2.4834699E+001, 2.4332227E+001, 2.3450685E+001, 2.5035483E+001
 1.1000623E+002, 2.1585336E+002, 2.5033689E+001, 2.5848866E+001, 2.6788359E+001, 2.6463384E+001, 2.6870205E+001, 2.6175267E+001, 2.4835244E+001, 2.7027378E+001
 1.2003882E+002, 2.1851740E+002, 2.6875777E+001, 2.8028402E+001, 2.9258809E+001, 2.8809251E+001, 2.9369808E+001, 2.8445584E+001, 2.6510406E+001, 2.9422932E+001
 1.3000978E+002, 2.1687739E+002, 2.8940551E+001, 3.0497875E+001, 3.2018448E+001, 3.1424776E+001, 3.2161688E+001, 3.0997177E+001, 2.8322075E+001, 3.1983680E+001
 1.4000730E+002, 2.1524133E+002, 3.1064094E+001, 3.3076453E+001, 3.4858355E+001, 3.4113014E+001, 3.5034162E+001, 3.3639872E+001, 3.0114018E+001, 3.4496643E+001
 1.5000605E+002, 2.1360224E+002, 3.3162569E+001, 3.5668613E+001, 3.7682026E+001, 3.6785108E+001, 3.7889456E+001, 3.6280704E+001, 3.1829780E+001, 3.6895205E+001
 1.6003514E+002, 2.1195960E+002, 3.5193028E+001, 3.8223729E+001, 4.0444686E+001, 3.9400952E+001, 4.0682253E+001, 3.8873935E+001, 3.3448626E+001, 3.9164075E+001
 1.7000627E+002, 2.1087582E+002, 3.7131365E+001, 4.0709224E+001, 4.3118330E+001, 4.1934770E+001, 4.3384311E+001, 4.1390446E+001, 3.4965603E+001, 4.1298595E+001
 1.8001437E+002, 2.1835249E+002, 3.8986163E+001, 4.3130722E+001, 4.5717619E+001, 4.4402230E+001, 4.6010404E+001, 4.3840937E+001, 3.6400948E+001, 4.3336038E+001
 1.9000726E+002, 2.2876074E+002, 4.0816528E+001, 4.5547501E+001, 4.8318880E+001, 4.6875406E+001, 4.8638063E+001, 4.6291464E+001, 3.7831734E+001, 4.5381521E+001
 2.0001014E+002, 2.3916424E+002, 4.2708344E+001, 4.8049873E+001, 5.1029270E+001, 4.9454904E+001, 5.1376016E+001, 4.8838100E+001, 3.9347562E+001, 4.7556872E+001
 2.1000546E+002, 2.4956826E+002, 4.4731626E+001, 5.0715947E+001, 5.3933061E+001, 5.2220919E+001, 5.4309347E+001, 5.1560476E+001, 4.1002576E+001, 4.9938456E+001
 2.2000171E+002, 2.5996874E+002, 4.6918524E+001, 5.3582866E+001, 5.7063744E+001, 5.5203728E+001, 5.7471919E+001, 5.4492654E+001, 4.2811338E+001, 5.2540489E+001
 2.3003888E+002, 2.7039224E+002, 4.9290441E+001, 5.6675949E+001, 6.0443772E+001, 5.8423971E+001, 6.0886401E+001, 5.7657628E+001, 4.4785264E+001, 5.5375107E+001
 2.4004049E+002, 2.8081238E+002, 5.1864272E+001, 6.0015067E+001, 6.4094218E+001, 6.1902199E+001, 6.4574010E+001, 6.1075495E+001, 4.6937841E+001, 5.8461451E+001
 2.5001285E+002, 2.9120614E+002, 5.4651644E+001, 6.3613772E+001, 6.8028683E+001, 6.5652136E+001, 6.8548321E+001, 6.4759818E+001, 4.9276989E+001, 6.1809834E+001
 2.6001779E+002, 3.0159679E+002, 5.7667019E+001, 6.7491885E+001, 7.2264695E+001, 6.9689616E+001, 7.2827046E+001, 6.8728582E+001, 5.1809715E+001, 6.5423926E+001
 2.7003448E+002, 3.1201504E+002, 6.0913115E+001, 7.1653582E+001, 7.6803059E+001, 7.4016221E+001, 7.7410773E+001, 7.2984523E+001, 5.4532341E+001, 6.9301899E+001
 2.8000868E+002, 3.2240859E+002, 6.4395631E+001, 7.6104951E+001, 8.1652633E+001, 7.8643092E+001, 8.2308018E+001, 7.7536064E+001, 5.7452223E+001, 7.3460013E+001
 2.9003291E+002, 3.3281892E+002, 6.8134162E+001, 8.0870322E+001, 8.6838775E+001, 8.3595165E+001, 8.7544209E+001, 8.2407932E+001, 6.0586502E+001, 7.7919034E+001
 3.0002688E+002, 3.4323321E+002, 7.2132203E+001, 8.5954733E+001, 9.2363725E+001, 8.8873652E+001, 9.3121649E+001, 8.7603390E+001, 6.3935489E+001, 8.2670774E+001
 3.1003293E+002, 3.5363353E+002, 7.6387977E+001, 9.1354056E+001, 9.8222956E+001, 9.4475517E+001, 9.9035586E+001, 9.3118632E+001, 6.7501748E+001, 8.7718115E+001
 3.2001477E+002, 3.6403335E+002, 8.0915415E+001, 9.7082520E+001, 1.0443007E+002, 1.0041720E+002, 1.0529905E+002, 9.8968943E+001, 7.1295745E+001, 9.3076287E+001
 3.3003599E+002, 3.7444036E+002, 8.5717286E+001, 1.0314889E+002, 1.1099381E+002, 1.0670418E+002, 1.1192129E+002, 1.0516169E+002, 7.5318063E+001, 9.8740696E+001
 3.4001309E+002, 3.8484221E+002, 9.0792171E+001, 1.0954897E+002, 1.1790794E+002, 1.1333236E+002, 1.1889563E+002, 1.1169255E+002, 7.9570038E+001, 1.0471071E+002
 3.5002708E+002, 3.9029568E+002, 9.6149207E+001, 1.1629318E+002, 1.2518386E+002, 1.2031472E+002, 1.2623325E+002, 1.1857317E+002, 8.4060610E+001, 1.1099944E+002
 3.6002756E+002, 3.9088512E+002, 1.0172533E+002, 1.2331132E+002, 1.3272335E+002, 1.2755952E+002, 1.3383397E+002, 1.2572254E+002, 8.8700307E+001, 1.1746941E+002
 3.7002616E+002, 3.9147312E+002, 1.0734330E+002, 1.3040270E+002, 1.4028793E+002, 1.3484278E+002, 1.4145584E+002, 1.3292724E+002, 9.3306939E+001, 1.2386487E+002
 3.8001221E+002, 3.9206099E+002, 1.1289163E+002, 1.3744564E+002, 1.4775504E+002, 1.4204744E+002, 1.4897542E+002, 1.4006713E+002, 9.7792535E+001, 1.3008555E+002
 3.9002770E+002, 3.9264920E+002, 1.1832916E+002, 1.4439227E+002, 1.5508341E+002, 1.4913409E+002, 1.5635147E+002, 1.4709842E+002, 1.0214034E+002, 1.3611986E+002
 4.0001195E+002, 3.9323771E+002, 1.2362352E+002, 1.5119373E+002, 1.6222561E+002, 1.5605872E+002, 1.6353605E+002, 1.5397456E+002, 1.0634006E+002, 1.4195089E+002
 4.1001451E+002, 3.9382515E+002, 1.2876948E+002, 1.5783665E+002, 1.6917492E+002, 1.6281475E+002, 1.7052267E+002, 1.6068574E+002, 1.1040195E+002, 1.4759598E+002
 4.2001471E+002, 3.9441384E+002, 1.3377533E+002, 1.6432496E+002, 1.7593936E+002, 1.6940798E+002, 1.7731985E+002, 1.6723708E+002, 1.1433664E+002, 1.5307131E+002
 4.3001064E+002, 3.9500173E+002, 1.3863326E+002, 1.7063826E+002, 1.8249621E+002, 1.7581528E+002, 1.8390489E+002, 1.7360699E+002, 1.1814463E+002, 1.5836816E+002
 4.4000475E+002, 3.9558949E+002, 1.4335441E+002, 1.7678009E+002, 1.8885327E+002, 1.8204492E+002, 1.9028562E+002, 1.7980134E+002, 1.2184157E+002, 1.6351314E+002
 4.5001521E+002, 3.9617814E+002, 1.4795732E+002, 1.8276348E+002, 1.9502463E+002, 1.8810921E+002, 1.9647662E+002, 1.8583297E+002, 1.2544824E+002, 1.6852550E+002
 4.6001081E+002, 3.9676637E+002, 1.5245114E+002, 1.8860020E+002, 2.0102951E+002, 1.9402413E+002, 2.0249781E+002, 1.9171574E+002, 1.2896692E+002, 1.7342616E+002
 4.7001051E+002, 3.9735484E+002, 1.5685129E+002, 1.9431125E+002, 2.0689358E+002, 1.9981308E+002, 2.0837526E+002, 1.9747213E+002, 1.3240385E+002, 1.7823650E+002
 4.8002704E+002, 3.9794312E+002, 1.6117343E+002, 1.9990768E+002, 2.1262407E+002, 2.0548283E+002, 2.1411633E+002, 2.0311115E+002, 1.3577566E+002, 1.8296539E+002
 4.9001813E+002, 3.9853182E+002, 1.6540648E+002, 2.0536738E+002, 2.1819382E+002, 2.1100708E+002, 2.1969351E+002, 2.0860851E+002, 1.3907200E+002, 1.8759052E+002
