s,C,C
Time,"Air Temp","NRC_1"
 0.0000000E+000, 3.0000000E+001, 3.0000000E+001
 1.0052446E+001, 4.0380777E+001, 3.0001068E+001
 2.0054587E+001, 6.0149600E+001, 3.0031004E+001
 3.0084962E+001, 8.0103748E+001, 3.0178831E+001
 4.0060588E+001, 1.0004878E+002, 3.0520805E+001
 5.0023241E+001, 1.1993112E+002, 3.1092973E+001
 6.0020942E+001, 1.3983307E+002, 3.1925336E+001
 7.0012970E+001, 1.5976123E+002, 3.3049394E+001
 8.0040011E+001, 1.7973626E+002, 3.4485556E+001
 9.0036986E+001, 1.9969037E+002, 3.6254783E+001
 1.0001034E+002, 2.1963142E+002, 3.8377651E+001
 1.1001676E+002, 2.3208373E+002, 4.0901737E+001
 1.2003152E+002, 2.3721747E+002, 4.3747533E+001
 1.3003115E+002, 2.4235099E+002, 4.6733260E+001
 1.4002230E+002, 2.4747963E+002, 4.9773557E+001
 1.5001522E+002, 2.5260464E+002, 5.2830093E+001
 1.6002574E+002, 2.5773698E+002, 5.5912863E+001
 1.7001658E+002, 2.6286670E+002, 5.9029600E+001
 1.8000254E+002, 2.6799012E+002, 6.2189870E+001
 1.9000226E+002, 2.7311900E+002, 6.5390531E+001
 2.0003945E+002, 2.7825575E+002, 6.8642995E+001
 2.1003529E+002, 2.8685949E+002, 7.1957846E+001
 2.2000288E+002, 2.9879921E+002, 7.5389039E+001
 2.3000473E+002, 3.1075139E+002, 7.9087947E+001
 2.4001515E+002, 3.2273145E+002, 8.3119484E+001
 2.5002481E+002, 3.3470987E+002, 8.7491623E+001
 2.6001695E+002, 3.4668377E+002, 9.2214211E+001
 2.7001148E+002, 3.5864264E+002, 9.7305982E+001
 2.8000537E+002, 3.7060621E+002, 1.0277551E+002
 2.9003363E+002, 3.8258482E+002, 1.0863673E+002
 3.0002478E+002, 3.9457163E+002, 1.1491644E+002
 3.1001444E+002, 4.0250912E+002, 1.2159597E+002
 3.2001603E+002, 4.0649758E+002, 1.2852950E+002
 3.3002297E+002, 4.1049021E+002, 1.3548337E+002
 3.4003337E+002, 4.1448316E+002, 1.4238099E+002
 3.5002978E+002, 4.1847557E+002, 1.4920734E+002
 3.6002359E+002, 4.2246384E+002, 1.5597679E+002
 3.7002216E+002, 4.2645155E+002, 1.6270248E+002
 3.8000288E+002, 4.3043714E+002, 1.6937263E+002
 3.9001539E+002, 4.3442548E+002, 1.7595366E+002
 4.0003562E+002, 4.3842055E+002, 1.8252546E+002
 4.1001005E+002, 4.4154847E+002, 1.8909297E+002
 4.2001244E+002, 4.4382677E+002, 1.9558915E+002
 4.3001486E+002, 4.4610696E+002, 2.0195410E+002
 4.4000935E+002, 4.4838679E+002, 2.0817625E+002
 4.5002785E+002, 4.5066776E+002, 2.1430542E+002
 4.6001641E+002, 4.5294881E+002, 2.2033026E+002
 4.7000842E+002, 4.5522620E+002, 2.2627109E+002
 4.8001027E+002, 4.5750607E+002, 2.3213536E+002
 4.9003187E+002, 4.5978840E+002, 2.3793728E+002
 5.0002228E+002, 4.6206961E+002, 2.4367911E+002
 5.1002142E+002, 4.6492333E+002, 2.4929568E+002
 5.2001433E+002, 4.6834143E+002, 2.5484969E+002
 5.3000425E+002, 4.7175958E+002, 2.6040429E+002
 5.4002788E+002, 4.7518081E+002, 2.6594832E+002
 5.5000228E+002, 4.7860149E+002, 2.7147529E+002
 5.6003356E+002, 4.8202237E+002, 2.7699456E+002
 5.7002829E+002, 4.8544621E+002, 2.8253422E+002
 5.8001966E+002, 4.8886371E+002, 2.8806238E+002
 5.9000722E+002, 4.9228117E+002, 2.9357340E+002
 6.0002436E+002, 4.9570137E+002, 2.9904077E+002
 6.1002526E+002, 4.9912335E+002, 3.0455653E+002
 6.2002096E+002, 5.0254372E+002, 3.1005716E+002
 6.3000493E+002, 5.0595980E+002, 3.1551600E+002
 6.4000723E+002, 5.0937786E+002, 3.2090550E+002
 6.5001611E+002, 5.1279949E+002, 3.2628333E+002
 6.6002676E+002, 5.1622245E+002, 3.3169759E+002
 6.7002702E+002, 5.1964448E+002, 3.3707751E+002
 6.8000021E+002, 5.2306014E+002, 3.4238638E+002
 6.9001233E+002, 5.2647723E+002, 3.4770666E+002
 7.0000465E+002, 5.2989758E+002, 3.5304853E+002
 7.1001449E+002, 5.3417780E+002, 3.5833206E+002
 7.2002281E+002, 5.3931097E+002, 3.6364500E+002
 7.3001490E+002, 5.4444307E+002, 3.6905694E+002
 7.4001474E+002, 5.4957054E+002, 3.7452545E+002
 7.5002296E+002, 5.5470228E+002, 3.8003520E+002
 7.6000882E+002, 5.5983020E+002, 3.8553769E+002
