s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_DODECANE,MLR_PRODUCTS,ZONE_1
-3.0000000E+001, 0.0000000E+000, 0.0000000E+000,-2.9360759E-002, 2.2370392E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9360535E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.1561776E-001
-1.4954854E+001, 0.0000000E+000, 0.0000000E+000, 5.8475592E-001, 1.1305753E-001, 1.3273768E+000,-1.1606962E-017,-1.7101226E+000, 0.0000000E+000, 3.0600948E-001, 3.1506763E-001,-1.7983892E-002, 0.0000000E+000, 0.0000000E+000,-7.2150310E+001
 2.5105791E-002, 0.0000000E+000, 0.0000000E+000, 6.3985198E-001,-1.1044523E-002, 1.3478427E+000,-3.6659988E-017,-1.8466371E-002, 0.0000000E+000, 1.9581844E+000, 1.9581838E+000,-6.6697831E-003, 0.0000000E+000, 0.0000000E+000,-7.2923824E+001
 1.5003220E+001, 4.7818105E+001, 0.0000000E+000,-1.5638934E+001, 1.0307698E-001,-1.2996483E+000, 2.1548371E-001, 3.3917150E+000, 0.0000000E+000, 3.4457521E+001, 3.4589799E+001,-7.5338905E-002, 1.2138009E-003,-2.0767538E-004, 6.8088891E+001
 3.0002230E+001, 1.8342069E+002, 0.0000000E+000,-6.1728656E+001,-1.4412135E+000,-1.0155616E+001, 7.7963065E-001, 6.3054263E+000, 0.0000000E+000, 1.1699398E+002, 1.1718026E+002,-3.1400155E-001, 4.6219661E-003,-2.2918746E-003, 3.3089958E+002
 4.5007744E+001, 4.4309600E+002, 0.0000000E+000,-1.4662049E+002,-1.1098933E+001,-3.1610035E+001, 1.7494442E+000, 3.8260794E+000, 0.0000000E+000, 2.5892727E+002, 2.5934206E+002,-8.0409282E-001, 1.1250177E-002,-1.1143384E-002, 4.9052024E+002
 6.0005276E+001, 7.1823998E+002, 0.0000000E+000,-2.3776321E+002,-3.9452163E+001,-6.9538927E+001, 2.5995194E+000, 7.8907028E+000, 0.0000000E+000, 3.8116833E+002, 3.8197590E+002,-1.1321518E+000, 1.8125864E-002,-3.2460724E-002, 8.1854349E+002
 7.5004440E+001, 9.8538886E+002, 0.0000000E+000,-3.6423070E+002,-8.4378437E+001,-1.2266897E+002, 3.2973436E+000, 2.6718647E+000, 0.0000000E+000, 4.1891821E+002, 4.2007996E+002,-1.2641759E+000, 2.4983330E-002,-6.7034911E-002, 9.2927083E+002
 9.0002365E+001, 1.1035955E+003, 0.0000000E+000,-5.1697344E+002,-1.0439669E+002,-1.6794968E+002, 3.4995099E+000,-1.1460426E+001, 0.0000000E+000, 3.0487739E+002, 3.0631476E+002,-1.0360764E+000, 2.7742049E-002,-8.5659882E-002, 4.5014756E+002
 1.0500356E+002, 1.1119975E+003, 0.0000000E+000,-6.1359682E+002,-9.0049885E+001,-1.8938656E+002, 3.4872201E+000,-2.2543368E+000, 0.0000000E+000, 2.1859253E+002, 2.2019711E+002,-6.6232310E-001, 2.7906004E-002,-8.0315695E-002, 3.5353330E+002
 1.2000401E+002, 1.1888677E+003, 0.0000000E+000,-6.9752018E+002,-9.1575522E+001,-2.0777175E+002, 3.6466545E+000,-1.0690487E+000, 0.0000000E+000, 1.9295186E+002, 1.9457781E+002,-5.5204208E-001, 2.9934427E-002,-9.1671241E-002, 3.0840292E+002
 1.3500369E+002, 1.2710077E+003, 0.0000000E+000,-7.8831081E+002,-9.3164197E+001,-2.2323322E+002, 3.7600015E+000, 6.1086349E-003, 0.0000000E+000, 1.6812151E+002, 1.7006554E+002,-4.4506340E-001, 3.2105941E-002,-1.0210929E-001, 3.0601383E+002
 1.5000249E+002, 1.3650307E+003, 0.0000000E+000,-8.7948570E+002,-9.9707815E+001,-2.3491356E+002, 3.8717061E+000,-4.8494769E-001, 0.0000000E+000, 1.5240324E+002, 1.5431042E+002,-3.9026037E-001, 3.4277073E-002,-1.1839118E-001, 2.8568948E+002
 1.6500720E+002, 1.4336170E+003, 0.0000000E+000,-9.6020105E+002,-1.0367650E+002,-2.4544289E+002, 3.8781278E+000, 3.7401133E-001, 0.0000000E+000, 1.2626872E+002, 1.2854871E+002,-2.7856134E-001, 3.6245877E-002,-1.3226201E-001, 2.9970499E+002
 1.8000783E+002, 1.4834331E+003, 0.0000000E+000,-1.0230753E+003,-1.0539280E+002,-2.5192920E+002, 3.9337189E+000, 8.3564448E-001, 0.0000000E+000, 1.0599770E+002, 1.0780514E+002,-2.0558200E-001, 3.7149804E-002,-1.4525696E-001, 3.3482821E+002
 1.9500189E+002, 1.5037500E+003, 0.0000000E+000,-1.0628562E+003,-1.0545010E+002,-2.5593635E+002, 3.8978969E+000,-1.6469319E+000, 0.0000000E+000, 7.9609878E+001, 8.1758352E+001,-1.3911915E-001, 3.7899705E-002,-1.5715830E-001, 2.6457669E+002
 2.1000160E+002, 1.5264922E+003, 0.0000000E+000,-1.0993007E+003,-1.0785849E+002,-2.5530469E+002, 3.8417472E+000,-4.0256192E+000, 0.0000000E+000, 6.2029606E+001, 6.3844450E+001,-1.0213292E-001, 3.8648392E-002,-1.7081200E-001, 9.7314415E+001
 2.2500670E+002, 1.5633786E+003, 0.0000000E+000,-1.1315354E+003,-1.0726278E+002,-2.5985841E+002, 3.7951276E+000,-3.0984372E-002, 0.0000000E+000, 6.6032082E+001, 6.8486177E+001,-5.3424764E-002, 3.9399247E-002,-1.8134972E-001, 9.5245898E+001
 2.4000201E+002, 1.5708711E+003, 0.0000000E+000,-1.1370519E+003,-1.0819448E+002,-2.5762165E+002, 3.5839714E+000, 5.8942599E+000, 0.0000000E+000, 7.4542448E+001, 7.7481333E+001,-1.8155028E-003, 3.9563883E-002,-1.9255415E-001, 3.4012080E+002
 2.5500162E+002, 1.5633210E+003, 0.0000000E+000,-1.1569428E+003,-1.0757349E+002,-2.6193666E+002, 3.5615825E+000,-4.3543241E+000, 0.0000000E+000, 3.3856551E+001, 3.6075291E+001, 1.1293968E-002, 3.8786905E-002,-2.0373096E-001, 1.5677410E+002
 2.7000024E+002, 1.5004744E+003, 0.0000000E+000,-1.1249777E+003,-1.0502726E+002,-2.5843214E+002, 3.5707194E+000,-1.5101545E+000, 0.0000000E+000, 1.2521666E+001, 1.4097919E+001, 1.0168040E-001, 3.7992001E-002,-2.0558938E-001, 9.4107276E+001
 2.8500125E+002, 1.4857963E+003, 0.0000000E+000,-1.1063605E+003,-1.0472524E+002,-2.5534965E+002, 3.5069747E+000,-1.2682360E+000, 0.0000000E+000, 1.9911871E+001, 2.1599699E+001, 9.8849062E-002, 3.7197598E-002,-2.1458581E-001, 4.0641475E+001
 3.0000714E+002, 1.4319105E+003, 0.0000000E+000,-1.0637544E+003,-1.0342996E+002,-2.5252307E+002, 3.2573850E+000,-6.1769654E-001, 0.0000000E+000, 1.3536848E+001, 1.4842792E+001, 1.3268625E-001, 3.6403273E-002,-2.2043425E-001, 1.5649583E+001
 3.1500403E+002, 1.4261376E+003, 0.0000000E+000,-1.0523272E+003,-1.0376459E+002,-2.4914277E+002, 3.0144669E+000,-2.3236740E+000, 0.0000000E+000, 2.0140364E+001, 2.1593848E+001, 1.1028628E-001, 3.5608548E-002,-2.2980635E-001,-8.0958080E+001
 3.3000208E+002, 1.3829738E+003, 0.0000000E+000,-1.0314122E+003,-1.0110846E+002,-2.4597635E+002, 2.9574359E+000, 2.1352520E+000, 0.0000000E+000, 7.9288478E+000, 9.5695530E+000, 1.8921313E-001, 3.4811371E-002,-2.2584034E-001, 7.6009674E+000
 3.4500070E+002, 1.3318282E+003, 0.0000000E+000,-1.0041858E+003,-9.9961050E+001,-2.4221984E+002, 2.8335541E+000,-3.7657884E+000, 0.0000000E+000,-1.6879856E+001,-1.5470704E+001, 2.0079291E-001, 3.4019051E-002,-2.3143626E-001,-1.4959931E+002
 3.6000162E+002, 1.3528030E+003, 0.0000000E+000,-9.8719556E+002,-1.0055051E+002,-2.4028060E+002, 2.6897172E+000, 4.2410406E+000, 0.0000000E+000, 3.0237971E+001, 3.1707098E+001, 1.7101611E-001, 3.3224794E-002,-2.4361370E-001, 2.6765385E+001
 3.7500604E+002, 1.3135207E+003, 0.0000000E+000,-9.7929177E+002,-1.0021218E+002,-2.3781831E+002, 2.8847685E+000, 5.5152864E-001, 0.0000000E+000,-1.6158917E+000,-3.6524001E-001, 2.1654195E-001, 3.2391774E-002,-2.4162827E-001, 4.9256252E+001
 3.9000745E+002, 1.2347743E+003, 0.0000000E+000,-9.2855978E+002,-9.5726117E+001,-2.3124386E+002, 2.8236515E+000, 3.4559246E-001, 0.0000000E+000,-1.8491974E+001,-1.7586239E+001, 2.6100835E-001, 3.0805734E-002,-2.4023042E-001, 6.4679937E+001
 4.0500198E+002, 1.1876550E+003, 0.0000000E+000,-8.8238626E+002,-9.7272866E+001,-2.2338207E+002, 2.7340949E+000,-1.1423484E+000, 0.0000000E+000,-1.4969615E+001,-1.3794464E+001, 2.4571356E-001, 2.8930797E-002,-2.4684364E-001, 1.6124836E+001
 4.2000946E+002, 1.0513778E+003, 0.0000000E+000,-8.1526145E+002,-8.9435489E+001,-2.1426671E+002, 2.7793381E+000,-6.3245783E+000, 0.0000000E+000,-7.2014480E+001,-7.1131076E+001, 3.2735604E-001, 2.5109807E-002,-2.3446991E-001,-2.4734818E+002
 4.3500864E+002, 6.7124876E+002, 0.0000000E+000,-5.8960248E+002,-6.3159139E+001,-1.7973220E+002, 2.1195050E+000,-5.1691046E+000, 0.0000000E+000,-1.6484805E+002,-1.6429466E+002, 5.5006952E-001, 1.6270848E-002,-1.7156425E-001,-4.6316531E+002
 4.5001941E+002, 2.9418050E+002, 0.0000000E+000,-3.5863991E+002,-3.4055318E+001,-1.3838506E+002, 1.0858296E+000,-5.6749973E+000, 0.0000000E+000,-2.4181330E+002,-2.4148896E+002, 7.2586940E-001, 7.1756324E-003,-9.4961191E-002,-7.0055192E+002
 4.6500436E+002, 3.3591922E+001, 0.0000000E+000,-1.7440741E+002,-1.5325289E+001,-1.0019182E+002, 1.2386554E-001, 1.2246961E+000, 0.0000000E+000,-2.5526459E+002,-2.5498403E+002, 8.2551081E-001, 7.2359067E-004,-3.8143117E-002,-6.4974001E+002
 4.8001059E+002, 4.5462197E+001, 0.0000000E+000,-1.1282945E+002,-3.1441110E+001,-7.7858893E+001, 1.8148560E-001, 4.0959948E+000, 0.0000000E+000,-1.7266511E+002,-1.7238977E+002, 6.8673025E-001, 1.0552339E-003,-1.0779952E-001,-4.7880021E+002
 4.9501196E+002, 7.1758298E+001, 0.0000000E+000,-8.8422716E+001,-3.9664703E+001,-6.5083403E+001, 2.9732603E-001, 3.3902821E+000, 0.0000000E+000,-1.1797890E+002,-1.1772492E+002, 5.5791379E-001, 1.7316286E-003,-1.5364442E-001,-3.3742217E+002
