s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_DODECANE,MLR_PRODUCTS,ZONE_1
-3.0000000E+001, 0.0000000E+000, 0.0000000E+000,-2.1244195E-002,-7.9262820E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1244203E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.0447792E-001
-1.4991492E+001, 0.0000000E+000, 0.0000000E+000, 2.2982189E-001, 5.7049773E-003, 4.5072079E-001, 8.3761939E-018,-1.0970765E+000, 0.0000000E+000,-4.1447034E-001,-4.1082880E-001,-9.4494924E-003, 0.0000000E+000, 0.0000000E+000,-6.9294344E+001
 1.5951296E-002, 0.0000000E+000, 0.0000000E+000, 2.5033533E-001,-3.1151424E-003, 4.6182058E-001, 1.4269780E-017,-8.3420119E-003, 0.0000000E+000, 7.0098266E-001, 7.0069876E-001,-2.3989149E-003, 0.0000000E+000, 0.0000000E+000,-6.9819288E+001
 1.5001965E+001, 4.7926879E+001, 0.0000000E+000,-1.6437082E+001,-2.4809146E-001,-1.9695529E+000, 2.0507890E-001, 3.1068333E+000, 0.0000000E+000, 3.2447362E+001, 3.2584064E+001,-7.1589659E-002, 1.2183168E-003,-2.5210696E-004, 1.2392632E+002
 3.0001152E+001, 1.3959560E+002, 0.0000000E+000,-4.6330208E+001,-3.0819300E+000,-9.1199725E+000, 5.4610193E-001, 2.6589818E+000, 0.0000000E+000, 8.4150788E+001, 8.4268577E+001,-2.4702612E-001, 3.5134953E-003,-2.3716275E-003, 2.9039324E+002
 4.5000103E+001, 2.0708936E+002, 0.0000000E+000,-6.8949520E+001,-8.2614393E+000,-1.8098662E+001, 7.5635728E-001, 8.9307003E-001, 0.0000000E+000, 1.1324872E+002, 1.1342916E+002,-3.6017040E-001, 5.2733129E-003,-6.2716445E-003, 3.4605938E+002
 6.0011219E+001, 2.7383938E+002, 0.0000000E+000,-9.2350692E+001,-1.4894266E+001,-2.9930677E+001, 9.1595317E-001, 3.3546149E-002, 0.0000000E+000, 1.3736892E+002, 1.3761325E+002,-4.4465975E-001, 6.9758314E-003,-1.1343794E-002, 3.4758057E+002
 7.5000008E+001, 3.4757583E+002, 0.0000000E+000,-1.2072996E+002,-2.4824376E+001,-4.5460064E+001, 1.0658203E+000, 6.6947702E-001, 0.0000000E+000, 1.5804591E+002, 1.5829673E+002,-4.9713418E-001, 8.6778978E-003,-1.9332194E-002, 3.8980766E+002
 9.0002182E+001, 4.0858988E+002, 0.0000000E+000,-1.5123110E+002,-3.5713989E+001,-6.2124489E+001, 1.2222562E+000,-5.6820734E-001, 0.0000000E+000, 1.5974527E+002, 1.6017434E+002,-5.0678577E-001, 1.0324516E-002,-2.8274934E-002, 3.5346846E+002
 1.0500575E+002, 4.3675813E+002, 0.0000000E+000,-1.7814717E+002,-4.0525675E+001,-7.7273874E+001, 1.2483309E+000,-1.6581144E-001, 0.0000000E+000, 1.4147342E+002, 1.4189393E+002,-4.3743623E-001, 1.0900889E-002,-3.3612387E-002, 3.4240280E+002
 1.2000976E+002, 4.4278252E+002, 0.0000000E+000,-1.9942870E+002,-4.2468374E+001,-8.7616338E+001, 1.2863535E+000,-1.1337866E-001, 0.0000000E+000, 1.1394353E+002, 1.1444209E+002,-3.4547731E-001, 1.1063862E-002,-3.6173790E-002, 3.3498090E+002
 1.3500081E+002, 4.4677665E+002, 0.0000000E+000,-2.1365403E+002,-4.4311210E+001,-9.4559573E+001, 1.2710612E+000,-4.5596059E-002, 0.0000000E+000, 9.4783920E+001, 9.5477298E+001,-2.7774596E-001, 1.1226788E-002,-4.0197521E-002, 3.3029673E+002
 1.5000737E+002, 4.5461765E+002, 0.0000000E+000,-2.2599542E+002,-4.6674694E+001,-1.0076315E+002, 1.2913988E+000,-9.3006508E-002, 0.0000000E+000, 8.1846647E+001, 8.2382771E+001,-2.3332014E-001, 1.1389713E-002,-4.4130199E-002, 3.2489446E+002
 1.6500455E+002, 4.6111324E+002, 0.0000000E+000,-2.3652226E+002,-4.8556083E+001,-1.0533268E+002, 1.2858569E+000,-1.9895426E-001, 0.0000000E+000, 7.1159612E+001, 7.1789112E+001,-1.9532058E-001, 1.1552695E-002,-4.8211457E-002, 3.1172713E+002
 1.8000620E+002, 4.6131720E+002, 0.0000000E+000,-2.4447844E+002,-4.9155340E+001,-1.0977780E+002, 1.3043157E+000,-9.6505286E-001, 0.0000000E+000, 5.7550414E+001, 5.8244881E+001,-1.5692466E-001, 1.1715619E-002,-5.0859741E-002, 2.5022739E+002
 1.9500781E+002, 4.7490045E+002, 0.0000000E+000,-2.5430012E+002,-5.0101876E+001,-1.1238366E+002, 1.2922686E+000,-4.3910113E-002, 0.0000000E+000, 5.8623030E+001, 5.9363161E+001,-1.4736745E-001, 1.1878574E-002,-5.4744060E-002, 2.4671683E+002
 2.1000140E+002, 4.7784201E+002, 0.0000000E+000,-2.6041870E+002,-5.0774419E+001,-1.1667373E+002, 1.2372416E+000,-1.2896883E+000, 0.0000000E+000, 4.9130140E+001, 4.9922718E+001,-1.2565407E-001, 1.2041503E-002,-5.8435731E-002, 1.6377265E+002
 2.2500246E+002, 4.9328948E+002, 0.0000000E+000,-2.7049259E+002,-5.1694883E+001,-1.2111528E+002, 1.2895985E+000,-1.0035924E-001, 0.0000000E+000, 5.0684960E+001, 5.1175963E+001,-1.1473560E-001, 1.2204418E-002,-6.2159169E-002, 1.5826365E+002
 2.4000827E+002, 4.8950942E+002, 0.0000000E+000,-2.7662683E+002,-5.1648945E+001,-1.2258237E+002, 1.3057479E+000, 2.8102438E-002, 0.0000000E+000, 3.9130150E+001, 3.9985120E+001,-7.1315527E-002, 1.2342336E-002,-6.5048316E-002, 1.5805720E+002
 2.5500157E+002, 4.9592491E+002, 0.0000000E+000,-2.7924032E+002,-5.2062165E+001,-1.2381003E+002, 1.2509274E+000, 1.8089519E+000, 0.0000000E+000, 4.3197298E+001, 4.3872276E+001,-6.0594679E-002, 1.2377539E-002,-6.8335346E-002, 2.7184606E+002
 2.7000903E+002, 4.8926757E+002, 0.0000000E+000,-2.8274395E+002,-5.2754446E+001,-1.2751719E+002, 1.2328435E+000,-2.1541064E+000, 0.0000000E+000, 2.4534875E+001, 2.5330721E+001,-4.5240238E-002, 1.2401666E-002,-7.1144963E-002, 1.3526400E+002
 2.8500494E+002, 4.9709062E+002, 0.0000000E+000,-2.8688995E+002,-5.2609843E+001,-1.2948464E+002, 1.2664793E+000, 7.0489618E-001, 0.0000000E+000, 2.9461036E+001, 3.0077566E+001,-2.4729315E-002, 1.2425794E-002,-7.1825679E-002, 1.7867629E+002
 3.0000757E+002, 4.9622423E+002, 0.0000000E+000,-2.8719763E+002,-5.3629149E+001,-1.3142263E+002, 1.1865815E+000,-2.8337711E-001, 0.0000000E+000, 2.4235083E+001, 2.4878034E+001,-1.8296022E-002, 1.2449918E-002,-7.3784622E-002, 1.6002133E+002
 3.1500797E+002, 5.0102014E+002, 0.0000000E+000,-2.9290131E+002,-5.3916033E+001,-1.3185168E+002, 1.2492411E+000,-4.1084386E-001, 0.0000000E+000, 2.2499776E+001, 2.3189517E+001,-1.2513900E-002, 1.2474045E-002,-7.6709057E-002, 1.3324086E+002
