s,m3/s,m3/s,kg/s,kg/s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,Pa
Time,"DADM_L2_MOY","DEXT_L2_MOY","R2_in","R2_out","TG_L2_NE_005","TG_L2_NE_030","TG_L2_NE_055","TG_L2_NE_080","TG_L2_NE_105","TG_L2_NE_130","TG_L2_NE_155","TG_L2_NE_180","TG_L2_NE_205","TG_L2_NE_230","TG_L2_NE_255","TG_L2_NE_280","TG_L2_NE_305","TG_L2_NE_330","TG_L2_NE_355","TG_L2_NE_380","TG_L2_NE_385","TG_L2_NE_390","TP_L2_N030","TP_L2_N155","TP_L2_N260","TP_L2_N355","TP_L2_WC260","TP_L2_NC265","TP_L2_EC260","TP_L2_SC260","TP_L2_P","TP_L2_SOL","FLT_L2_N030","FLT_L2_N155","FLT_L2_N260","FLT_L2_N355","FLR_L2_N030","FLR_L2_N155","FLR_L2_N260","FLR_L2_N355","FLT_L2_WC260","FLT_L2_NC260","FLT_L2_EC260","FLT_L2_SC260","FLR_L2_P","FLT_L2_PM","FLT_L2_SOL","CO2L2_HAUT","COL2_HAUT","O2L2_HAUT","CO2FP","COFP","O2FP","CO2L2_BAS","COL2_BAS","O2L2_BAS","PLOCAL2_MOY"
 9.0002295E+001,-1.4284176E-001, 2.0619961E-001,-1.6120940E-001, 2.0091365E-001, 3.3922169E+001, 3.5527959E+001, 3.5831290E+001, 3.6567221E+001, 3.7820248E+001, 3.9779374E+001, 4.1306281E+001, 4.7640618E+001, 5.4456437E+001, 5.9711417E+001, 6.3905415E+001, 7.0546633E+001, 7.7381811E+001, 8.0868952E+001, 8.2226668E+001, 9.1558914E+001, 9.1558914E+001, 1.0612827E+002, 3.0964733E+001, 3.1026616E+001, 3.1666930E+001, 3.1884192E+001, 3.1855006E+001, 3.0736609E+001, 3.1829645E+001, 3.1354123E+001, 6.6987781E+001, 3.2488599E+001, 3.6593270E-001, 4.1395174E-001, 6.3794188E-001, 7.0086595E-001, 3.5775840E-001, 3.8615313E-001, 3.9114455E-001, 3.5408727E-001, 7.7961398E-001, 3.2059991E-001, 7.6556589E-001, 5.7843767E-001, 4.8544997E-001, 1.3117723E+000, 9.7957874E-001, 4.2068477E-003, 1.1872661E-005, 1.9956119E-001, 4.2043233E-004, 1.1490503E-007, 2.0589463E-001, 3.8985579E-004, 1.9956452E-008, 2.0594592E-001, 3.4940402E+002
 1.0000813E+002,-1.7286979E-001, 2.1716408E-001,-1.9309153E-001, 2.0097984E-001, 3.5383164E+001, 3.7423734E+001, 3.8298156E+001, 4.0758064E+001, 4.2395478E+001, 4.5776663E+001, 5.1248303E+001, 6.1505442E+001, 6.7552938E+001, 7.4945825E+001, 7.9421854E+001, 8.7793319E+001, 9.3244847E+001, 9.7363863E+001, 1.0018367E+002, 1.1354148E+002, 1.1354148E+002, 1.3148447E+002, 3.1278935E+001, 3.1484167E+001, 3.2517083E+001, 3.2831041E+001, 3.2643046E+001, 3.1234950E+001, 3.2682414E+001, 3.2112843E+001, 8.0275824E+001, 3.3266865E+001, 4.5803993E-001, 5.7257004E-001, 9.5839507E-001, 1.0346456E+000, 4.4410060E-001, 4.9900149E-001, 5.3772899E-001, 5.0344025E-001, 9.6542539E-001, 4.8888333E-001, 9.8182510E-001, 8.2305458E-001, 6.4461308E-001, 1.7508759E+000, 1.1833426E+000, 5.6167608E-003, 1.6250790E-005, 1.9720281E-001, 4.6319966E-004, 2.4770835E-007, 2.0582306E-001, 4.2627724E-004, 1.3305405E-007, 2.0588500E-001, 4.0811649E+002
 1.1000698E+002,-1.9340796E-001, 2.2559645E-001,-2.1181988E-001, 2.0043960E-001, 3.6834401E+001, 4.0130614E+001, 4.2140557E+001, 4.5679785E+001, 4.8365409E+001, 5.6839817E+001, 6.4240770E+001, 7.6618935E+001, 8.6262612E+001, 9.0859940E+001, 9.5982287E+001, 1.0512783E+002, 1.1152998E+002, 1.1497807E+002, 1.1840412E+002, 1.3808880E+002, 1.3808880E+002, 1.5493180E+002, 3.1649134E+001, 3.2051830E+001, 3.3498652E+001, 3.3881378E+001, 3.3762671E+001, 3.1915982E+001, 3.3923461E+001, 3.3006216E+001, 9.4087940E+001, 3.4149731E+001, 5.5610236E-001, 7.4020810E-001, 1.1868921E+000, 1.3036624E+000, 5.3058707E-001, 6.0597429E-001, 6.8285810E-001, 6.6689720E-001, 1.3180188E+000, 6.9468778E-001, 1.4398335E+000, 1.0794804E+000, 8.7445320E-001, 2.1776997E+000, 1.4125026E+000, 7.4524583E-003, 2.1951085E-005, 1.9413222E-001, 5.1312768E-004, 4.0274756E-007, 2.0573948E-001, 4.3667324E-004, 1.6533622E-007, 2.0586761E-001, 4.4933330E+002
 1.2001121E+002,-1.6047549E-001, 2.2327553E-001,-1.7192581E-001, 1.9030578E-001, 3.8094659E+001, 4.4148237E+001, 4.7157792E+001, 5.2179351E+001, 5.8678556E+001, 7.3168230E+001, 8.0438418E+001, 9.3981288E+001, 1.0266457E+002, 1.0657586E+002, 1.1066327E+002, 1.1911430E+002, 1.2539554E+002, 1.3265700E+002, 1.3519097E+002, 1.5616504E+002, 1.5616504E+002, 1.6732752E+002, 3.2000657E+001, 3.2707983E+001, 3.4567018E+001, 3.5060751E+001, 3.4898814E+001, 3.2708901E+001, 3.5163267E+001, 3.4044698E+001, 1.0568985E+002, 3.4930343E+001, 6.0745617E-001, 9.2366259E-001, 1.4547670E+000, 1.5683111E+000, 5.6643656E-001, 6.6931419E-001, 8.1867836E-001, 8.2055731E-001, 1.5906134E+000, 9.0917889E-001, 1.6707630E+000, 1.3413136E+000, 1.0273404E+000, 2.4252418E+000, 1.4928124E+000, 8.7963726E-003, 2.6124271E-005, 1.9188424E-001, 5.9644633E-004, 6.6147288E-007, 2.0560006E-001, 4.2823189E-004, 1.3912373E-007, 2.0588173E-001, 3.7048544E+002
 1.3000639E+002,-1.0877439E-001, 2.1773052E-001,-1.1326790E-001, 1.8036143E-001, 3.9684955E+001, 4.7497680E+001, 5.1059835E+001, 5.9220207E+001, 6.9376064E+001, 8.6052728E+001, 9.8230096E+001, 1.1179468E+002, 1.1538683E+002, 1.2021110E+002, 1.2319301E+002, 1.3464071E+002, 1.3881343E+002, 1.3989330E+002, 1.4295937E+002, 1.6507260E+002, 1.6507260E+002, 1.7443985E+002, 3.2346787E+001, 3.3460383E+001, 3.5654657E+001, 3.6228321E+001, 3.6157260E+001, 3.3536712E+001, 3.6320642E+001, 3.5131554E+001, 1.1345288E+002, 3.5693142E+001, 6.6157072E-001, 1.0873798E+000, 1.6267148E+000, 1.7488912E+000, 6.1077975E-001, 7.4252273E-001, 9.1023700E-001, 9.1679456E-001, 1.8322729E+000, 1.0600835E+000, 1.8335545E+000, 1.5627332E+000, 1.1288345E+000, 2.5377010E+000, 1.6088389E+000, 1.0484575E-002, 3.1366557E-005, 1.8906036E-001, 5.9368642E-004, 6.5290263E-007, 2.0560469E-001, 7.4393447E-004, 1.1194583E-006, 2.0535365E-001, 2.7844237E+002
 1.4001051E+002,-5.5445328E-002, 2.1479249E-001,-5.5853177E-002, 1.7466938E-001, 4.2265579E+001, 5.0893427E+001, 5.5320291E+001, 6.7214430E+001, 8.1373380E+001, 1.0229374E+002, 1.1195491E+002, 1.2079149E+002, 1.2301847E+002, 1.3069300E+002, 1.3503726E+002, 1.4283133E+002, 1.4598150E+002, 1.4929487E+002, 1.5289483E+002, 1.7151871E+002, 1.7151871E+002, 1.9247491E+002, 3.2666467E+001, 3.4501196E+001, 3.6768278E+001, 3.7465794E+001, 3.7324902E+001, 3.4347370E+001, 3.7466941E+001, 3.6143315E+001, 1.2288131E+002, 3.6344413E+001, 6.9105153E-001, 1.3576061E+000, 1.8499720E+000, 2.0346326E+000, 6.2290385E-001, 8.2425219E-001, 1.0309253E+000, 1.0646310E+000, 1.9749520E+000, 1.2064676E+000, 2.0006308E+000, 1.7092077E+000, 1.2712804E+000, 2.7860317E+000, 1.6330011E+000, 1.1393022E-002, 3.4187510E-005, 1.8754079E-001, 7.0924716E-004, 1.0117475E-006, 2.0541136E-001, 1.3132404E-003, 2.8872940E-006, 2.0440136E-001, 2.2807623E+002
 1.5000992E+002,-4.9515499E-003, 2.1442298E-001,-2.0586698E-003, 1.7093409E-001, 4.4045910E+001, 5.5367053E+001, 6.2530206E+001, 8.0601816E+001, 9.3999294E+001, 1.0928166E+002, 1.2203301E+002, 1.2935958E+002, 1.3156193E+002, 1.3567877E+002, 1.3901253E+002, 1.4822499E+002, 1.5568884E+002, 1.5741078E+002, 1.6014780E+002, 1.8430338E+002, 1.8430338E+002, 1.9660777E+002, 3.2973119E+001, 3.5317799E+001, 3.7892022E+001, 3.8659303E+001, 3.8388139E+001, 3.5131381E+001, 3.8575808E+001, 3.7179256E+001, 1.3048681E+002, 3.6979839E+001, 7.1109440E-001, 1.4537512E+000, 1.9979616E+000, 2.1645815E+000, 6.2602191E-001, 8.7083005E-001, 1.1159838E+000, 1.1537830E+000, 2.1168826E+000, 1.3058628E+000, 2.1581838E+000, 1.8392027E+000, 1.3695508E+000, 2.9708240E+000, 1.6842236E+000, 1.2254579E-002, 3.6862857E-005, 1.8609965E-001, 7.0121129E-004, 9.8679409E-007, 2.0542480E-001, 2.2700932E-003, 5.8585588E-006, 2.0280083E-001, 2.0283465E+002
 1.6000060E+002, 2.1517772E-002, 2.1470051E-001, 2.7867366E-002, 1.6921530E-001, 4.5377944E+001, 5.7828490E+001, 6.6232092E+001, 9.1592771E+001, 1.0502242E+002, 1.1647454E+002, 1.2532330E+002, 1.3254771E+002, 1.3744464E+002, 1.4093767E+002, 1.4426828E+002, 1.5250281E+002, 1.5799243E+002, 1.6061115E+002, 1.6255585E+002, 1.8372245E+002, 1.8372245E+002, 2.0577584E+002, 3.3255465E+001, 3.6175315E+001, 3.8859907E+001, 3.9746912E+001, 3.9515817E+001, 3.5862531E+001, 3.9717943E+001, 3.8087808E+001, 1.3784974E+002, 3.7573305E+001, 7.2565322E-001, 1.5153682E+000, 2.0539245E+000, 2.2486937E+000, 6.2660960E-001, 9.1911773E-001, 1.1758253E+000, 1.2284048E+000, 2.2385530E+000, 1.3830718E+000, 2.2844489E+000, 1.9281014E+000, 1.4640620E+000, 3.0969498E+000, 1.6999896E+000, 1.3791571E-002, 4.1635599E-005, 1.8352871E-001, 8.6652162E-004, 1.5001233E-006, 2.0514834E-001, 3.5221559E-003, 9.7465233E-006, 2.0070649E-001, 1.9298650E+002
 1.7000681E+002, 5.1855667E-002, 2.1444718E-001, 6.0519051E-002, 1.6767955E-001, 4.7399069E+001, 5.9370416E+001, 7.2853861E+001, 9.8564165E+001, 1.1171884E+002, 1.2449170E+002, 1.3238859E+002, 1.4003670E+002, 1.4203301E+002, 1.4593815E+002, 1.5146911E+002, 1.5865198E+002, 1.6285935E+002, 1.6583688E+002, 1.7032983E+002, 1.9445746E+002, 1.9445746E+002, 2.0498133E+002, 3.3499972E+001, 3.6945029E+001, 3.9782549E+001, 4.0734812E+001, 4.0434849E+001, 3.6595555E+001, 4.0662312E+001, 3.8883770E+001, 1.4089797E+002, 3.8139335E+001, 7.2819107E-001, 1.6551266E+000, 2.1340373E+000, 2.3232748E+000, 6.2798082E-001, 9.7905039E-001, 1.2301337E+000, 1.2924690E+000, 2.2669296E+000, 1.4685171E+000, 2.3141309E+000, 1.9687038E+000, 1.4881377E+000, 3.0039269E+000, 1.7386660E+000, 1.4402168E-002, 4.3531654E-005, 1.8250736E-001, 1.0392460E-003, 2.0364754E-006, 2.0485938E-001, 6.1517890E-003, 1.7912185E-005, 1.9630787E-001, 1.8211784E+002
 1.8001043E+002, 7.6414383E-002, 2.1400509E-001, 8.8153917E-002, 1.6564116E-001, 5.2827300E+001, 6.2661726E+001, 7.8095081E+001, 1.0622465E+002, 1.1667832E+002, 1.2743833E+002, 1.3495506E+002, 1.4296867E+002, 1.4400550E+002, 1.5082436E+002, 1.5768799E+002, 1.6226243E+002, 1.6465745E+002, 1.6632884E+002, 1.7019706E+002, 1.9174769E+002, 1.9174769E+002, 2.0737940E+002, 3.3747476E+001, 3.7782908E+001, 4.0650625E+001, 4.1678545E+001, 4.1311315E+001, 3.7295240E+001, 4.1677149E+001, 3.9821051E+001, 1.4508074E+002, 3.8615418E+001, 7.3906266E-001, 1.7344944E+000, 2.2072085E+000, 2.4076441E+000, 6.2598635E-001, 1.0245679E+000, 1.2690296E+000, 1.3349463E+000, 2.3250402E+000, 1.5370595E+000, 2.4509318E+000, 2.0973810E+000, 1.5408853E+000, 3.1088064E+000, 1.7350306E+000, 1.5319417E-002, 4.6379939E-005, 1.8097306E-001, 1.5359640E-003, 3.5789078E-006, 2.0402849E-001, 7.6175921E-003, 2.2463866E-005, 1.9385600E-001, 1.6726097E+002
