s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_DODECANE,MLR_PRODUCTS,ZONE_1
-3.0000000E+001, 0.0000000E+000, 0.0000000E+000,-2.0353476E-002, 1.5435710E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0353461E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9057244E-001
-1.4956962E+001, 0.0000000E+000, 0.0000000E+000, 3.4980075E-001, 1.6099746E-001, 5.8079425E-001,-3.5673354E-018,-8.0946342E+000, 0.0000000E+000,-7.0065869E+000,-7.0030417E+000,-7.0593894E-002, 0.0000000E+000, 0.0000000E+000,-5.0859709E+002
 1.1198528E-002, 0.0000000E+000, 0.0000000E+000, 3.6950898E-001, 8.9069620E-003, 5.7790233E-001,-2.7436521E-018, 1.0233766E-003, 0.0000000E+000, 9.5773123E-001, 9.5734164E-001,-3.1462446E-003, 0.0000000E+000, 0.0000000E+000,-5.0853307E+002
 1.5021268E+001, 7.4450730E+000, 0.0000000E+000,-2.1562577E+000, 8.5589295E-002, 6.5575916E-002, 3.4069101E-002, 3.0228581E-002, 0.0000000E+000, 5.4748845E+000, 5.5042782E+000,-1.7823874E-002, 1.8863230E-004,-3.8179322E-129,-5.0665725E+002
 3.0008125E+001, 4.6404530E+001, 0.0000000E+000,-1.5819415E+001, 4.5116988E-001,-2.2520840E+000, 1.9920343E-001, 5.9585836E-001, 0.0000000E+000, 2.9514875E+001, 2.9579263E+001,-9.1315526E-002, 1.1710363E-003,-4.9141841E-060,-4.6938447E+002
 4.5007946E+001, 1.1615200E+002, 0.0000000E+000,-3.9561036E+001, 1.1219053E+000,-7.8630984E+000, 4.6672292E-001, 1.3976876E+000, 0.0000000E+000, 7.1608561E+001, 7.1714184E+001,-2.2247731E-001, 2.9320509E-003,-1.2609641E-031,-3.8210408E+002
 6.0007233E+001, 1.8447338E+002, 0.0000000E+000,-6.2424743E+001, 1.7120288E+000,-1.6142271E+001, 6.8342836E-001, 1.8999681E+000, 0.0000000E+000, 1.1005471E+002, 1.1020179E+002,-3.4433831E-001, 4.6971256E-003,-3.8491097E-005,-2.6352376E+002
 7.5000900E+001, 2.5669867E+002, 0.0000000E+000,-8.7341774E+001, 1.7096529E+000,-2.8022232E+001, 8.7121788E-001, 2.2592115E+000, 0.0000000E+000, 1.4603367E+002, 1.4617475E+002,-4.5880267E-001, 6.4582492E-003,-4.6839121E-004,-1.2201608E+002
 9.0001610E+001, 2.9171628E+002, 0.0000000E+000,-1.0542644E+002,-9.3173309E-002,-4.2480217E+001, 9.5403002E-001,-1.1056825E+000, 0.0000000E+000, 1.4334753E+002, 1.4356479E+002,-4.8731577E-001, 7.3415629E-003,-1.9521364E-003,-1.9188074E+002
 1.0500430E+002, 3.0225038E+002, 0.0000000E+000,-1.1967933E+002,-3.1079610E+000,-5.4069415E+001, 9.9297635E-001,-5.8608350E-001, 0.0000000E+000, 1.2559961E+002, 1.2580057E+002,-4.2032480E-001, 7.5461714E-003,-4.4552984E-003,-2.2857894E+002
 1.2000641E+002, 3.0858783E+002, 0.0000000E+000,-1.3242741E+002,-5.6444229E+000,-6.3992805E+001, 9.9454860E-001,-9.7204012E-001, 0.0000000E+000, 1.0624783E+002, 1.0654570E+002,-3.5858781E-001, 7.7507848E-003,-7.0472070E-003,-2.9012177E+002
 1.3500226E+002, 3.1930686E+002, 0.0000000E+000,-1.4651294E+002,-7.6291224E+000,-7.0959918E+001, 1.0293588E+000,-1.9325222E-002, 0.0000000E+000, 9.4998813E+001, 9.5214909E+001,-3.0842004E-001, 7.9553235E-003,-9.5515820E-003,-2.9135446E+002
