s,m3/s,m3/s,kg/s,kg/s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,Pa
Time,DADM_L2_MOY,DEXT_L2_MOY,R2_in,R2_out,TG_L2_NE_005,TG_L2_NE_030,TG_L2_NE_055,TG_L2_NE_080,TG_L2_NE_105,TG_L2_NE_130,TG_L2_NE_155,TG_L2_NE_180,TG_L2_NE_205,TG_L2_NE_230,TG_L2_NE_255,TG_L2_NE_280,TG_L2_NE_305,TG_L2_NE_330,TG_L2_NE_355,TG_L2_NE_380,TG_L2_NE_385,TG_L2_NE_390,TP_L2_N030,TP_L2_N155,TP_L2_N260,TP_L2_N355,TP_L2_WC260,TP_L2_NC265,TP_L2_EC260,TP_L2_SC260,TP_L2_P,TP_L2_SOL,FLT_L2_N030,FLT_L2_N155,FLT_L2_N260,FLT_L2_N355,FLR_L2_N030,FLR_L2_N155,FLR_L2_N260,FLR_L2_N355,FLT_L2_WC260,FLT_L2_NC260,FLT_L2_EC260,FLT_L2_SC260,FLR_L2_P,FLT_L2_PM,FLT_L2_SOL,CO2L2_HAUT,COL2_HAUT,O2L2_HAUT,CO2FP,COFP,O2FP,CO2L2_BAS,COL2_BAS,O2L2_BAS,PLOCAL2_MOY
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.9000000E+001, 2.9000000E+001, 2.9000000E+001, 2.9000000E+001, 2.9000000E+001, 2.9000000E+001, 2.9000000E+001, 2.9000000E+001, 2.9000000E+001, 2.9000000E+001, 2.9000000E+001, 2.9000000E+001, 2.9000000E+001, 2.9000000E+001, 2.9000000E+001, 2.9000000E+001, 2.9000000E+001, 2.9000000E+001, 2.9000000E+001, 2.9000000E+001, 2.9000000E+001, 2.9000000E+001, 2.9000000E+001, 2.9000000E+001, 2.9000000E+001, 2.9000000E+001, 2.9000000E+001, 2.9000000E+001,-2.5454553E-004,-1.8622029E-004,-1.4955317E-004,-1.1857305E-004,-2.5454553E-004,-1.8622029E-004,-1.4955317E-004,-1.1857305E-004,-1.2723513E-004,-1.2975308E-004,-1.2473526E-004,-1.3132321E-004,-1.6230916E-004,-1.6230916E-004,-1.7486783E-004, 3.8380020E-004, 0.0000000E+000, 2.0615600E-001, 3.8380020E-004, 0.0000000E+000, 2.0615600E-001, 3.8380020E-004, 0.0000000E+000, 2.0615600E-001,-1.7997852E-005
 1.0025414E+001, 6.3699835E-002, 5.1400050E-002, 7.3728353E-002, 5.9463725E-002, 2.9061292E+001, 2.9062488E+001, 2.9063351E+001, 2.9063764E+001, 2.9064388E+001, 2.9064806E+001, 2.9064905E+001, 2.9064854E+001, 2.9064883E+001, 2.9064789E+001, 2.9064635E+001, 2.9064294E+001, 2.9064283E+001, 2.9063893E+001, 2.9063886E+001, 2.9063697E+001, 2.9063697E+001, 2.9063210E+001, 2.9000296E+001, 2.9001547E+001, 2.9001671E+001, 2.9001293E+001, 2.9001749E+001, 2.9001235E+001, 2.9001746E+001, 2.9001229E+001, 2.9045016E+001, 2.9000466E+001, 3.1204455E-004, 1.5911956E-003, 1.7187879E-003, 1.3331505E-003, 2.6837706E-004, 1.5469201E-003, 1.6744348E-003, 1.2889857E-003, 1.8070099E-003, 1.2772002E-003, 1.8059769E-003, 1.2741247E-003, 2.5222716E-003, 2.5560251E-003, 5.0510086E-004, 3.8380020E-004, 0.0000000E+000, 2.0615600E-001, 3.8380020E-004, 0.0000000E+000, 2.0615600E-001, 3.8380020E-004, 0.0000000E+000, 2.0615600E-001, 7.3817465E+001
 2.0012702E+001, 5.9315365E-002, 5.4526241E-002, 6.8664199E-002, 6.3092959E-002, 2.9084548E+001, 2.9089351E+001, 2.9092365E+001, 2.9094302E+001, 2.9095978E+001, 2.9097738E+001, 2.9097928E+001, 2.9097761E+001, 2.9098177E+001, 2.9097948E+001, 2.9097048E+001, 2.9096476E+001, 2.9096160E+001, 2.9095109E+001, 2.9094902E+001, 2.9111138E+001, 2.9111138E+001, 2.9128464E+001, 2.9000855E+001, 2.9003595E+001, 2.9003882E+001, 2.9003078E+001, 2.9004144E+001, 2.9002969E+001, 2.9004141E+001, 2.9002968E+001, 2.9101600E+001, 2.9001351E+001, 4.9693843E-004, 2.0166715E-003, 2.1835617E-003, 1.7491719E-003, 4.3503741E-004, 1.9521031E-003, 2.1185431E-003, 1.6848419E-003, 2.3597908E-003, 1.6902472E-003, 2.3581107E-003, 1.6926022E-003, 3.1466210E-003, 3.5794818E-003, 8.1696894E-004, 3.8380020E-004, 0.0000000E+000, 2.0615600E-001, 3.8380020E-004, 0.0000000E+000, 2.0615600E-001, 3.8380020E-004, 0.0000000E+000, 2.0615600E-001, 1.0573248E+002
 3.0038116E+001, 5.9207627E-002, 5.4541609E-002, 6.8539550E-002, 6.3101538E-002, 2.9081640E+001, 2.9089821E+001, 2.9094781E+001, 2.9098239E+001, 2.9100228E+001, 2.9103805E+001, 2.9104156E+001, 2.9104083E+001, 2.9104705E+001, 2.9103876E+001, 2.9102598E+001, 2.9101864E+001, 2.9101390E+001, 2.9099958E+001, 2.9099475E+001, 2.9486761E+001, 2.9486761E+001, 2.9732847E+001, 2.9001233E+001, 2.9004886E+001, 2.9005302E+001, 2.9004283E+001, 2.9005742E+001, 2.9004116E+001, 2.9005734E+001, 2.9004121E+001, 2.9166317E+001, 2.9002006E+001, 5.4151336E-004, 2.0877986E-003, 2.2805674E-003, 1.8763851E-003, 4.8374617E-004, 2.0250050E-003, 2.2160565E-003, 1.8133534E-003, 2.5034239E-003, 1.7914787E-003, 2.5002371E-003, 1.7965838E-003, 3.3163798E-003, 5.3329527E-003, 9.2626832E-004, 3.8380020E-004, 0.0000000E+000, 2.0615600E-001, 3.8380020E-004, 0.0000000E+000, 2.0615600E-001, 3.8380020E-004, 0.0000000E+000, 2.0615600E-001, 1.0608414E+002
 4.0014993E+001, 3.4142152E-002, 5.6495517E-002, 3.9529390E-002, 6.5293761E-002, 2.9175686E+001, 2.9198887E+001, 2.9205068E+001, 2.9215415E+001, 2.9212632E+001, 2.9213007E+001, 2.9210898E+001, 2.9205714E+001, 2.9202091E+001, 2.9196103E+001, 2.9192192E+001, 2.9187227E+001, 2.9184103E+001, 2.9179485E+001, 2.9177459E+001, 3.1219794E+001, 3.1219794E+001, 3.3461505E+001, 2.9038411E+001, 2.9038791E+001, 2.9031808E+001, 2.9026199E+001, 2.9030307E+001, 2.9021978E+001, 2.9030085E+001, 2.9021887E+001, 3.0080422E+001, 2.9100401E+001, 3.9781403E-002, 3.7198259E-002, 2.9544010E-002, 2.5342745E-002, 3.9655142E-002, 3.7061926E-002, 2.9359367E-002, 2.1480311E-002, 2.7847518E-002, 2.0188620E-002, 2.7641360E-002, 2.0115453E-002, 3.2640435E-002, 6.6395537E-002, 1.0480970E-001, 3.8380020E-004, 3.5478228E-016, 2.0615600E-001, 3.9355283E-004, 3.0289419E-008, 2.0613968E-001, 3.8380020E-004, 2.8016393E-056, 2.0615600E-001, 1.6793613E+002
 5.0015597E+001, 6.1023896E-004, 5.7953395E-002, 7.5164295E-004, 6.6326000E-002, 2.9355745E+001, 2.9414293E+001, 2.9430675E+001, 2.9457461E+001, 2.9444175E+001, 2.9433604E+001, 2.9422977E+001, 2.9399752E+001, 2.9381340E+001, 2.9654893E+001, 2.9607767E+001, 2.9498856E+001, 2.9873059E+001, 3.0561544E+001, 3.0907423E+001, 3.5324483E+001, 3.5324483E+001, 4.1746263E+001, 2.9117292E+001, 2.9113208E+001, 2.9101348E+001, 2.9112458E+001, 2.9093712E+001, 2.9065403E+001, 2.9099159E+001, 2.9064198E+001, 3.2615596E+001, 2.9304590E+001, 7.9710036E-002, 7.5738700E-002, 6.8808985E-002, 7.6043921E-002, 7.9460707E-002, 7.3699543E-002, 6.1478297E-002, 4.8496660E-002, 6.1369671E-002, 4.4763158E-002, 6.4728700E-002, 4.3337387E-002, 6.4591327E-002, 1.5639979E-001, 2.0583675E-001, 4.1490590E-004, 9.6607030E-008, 2.0610396E-001, 3.9500584E-004, 3.4802168E-008, 2.0613724E-001, 3.8380020E-004, 2.9896410E-032, 2.0615600E-001, 2.0572321E+002
 6.0000472E+001,-2.5408842E-002, 5.9247782E-002,-2.8357069E-002, 6.6181005E-002, 2.9579356E+001, 2.9683234E+001, 2.9762580E+001, 2.9801729E+001, 2.9807870E+001, 2.9830196E+001, 2.9831326E+001, 2.9777164E+001, 2.9786766E+001, 3.0709180E+001, 3.1275162E+001, 3.1602176E+001, 3.2474784E+001, 3.4388367E+001, 3.6180038E+001, 4.2529523E+001, 4.2529523E+001, 4.7567975E+001, 2.9216439E+001, 2.9205170E+001, 2.9215151E+001, 2.9238974E+001, 2.9183924E+001, 2.9139077E+001, 2.9184934E+001, 2.9130034E+001, 3.5711521E+001, 2.9553518E+001, 1.1999582E-001, 1.1133138E-001, 1.1910259E-001, 1.2362021E-001, 1.1951034E-001, 1.1064780E-001, 9.5448456E-002, 7.8759913E-002, 1.0043775E-001, 7.8368560E-002, 1.0101682E-001, 7.4878810E-002, 1.0037677E-001, 2.5537763E-001, 3.0584486E-001, 7.4192382E-004, 1.1122481E-006, 2.0555680E-001, 3.8601854E-004, 6.8896782E-009, 2.0615229E-001, 3.8380020E-004, 1.5347980E-024, 2.0615600E-001, 2.2337252E+002
 7.0003642E+001,-4.7937706E-002, 6.1153195E-002,-5.2388722E-002, 6.6936713E-002, 2.9802461E+001, 2.9988912E+001, 3.0100679E+001, 3.0202245E+001, 3.0267310E+001, 3.0534061E+001, 3.0723821E+001, 3.1494067E+001, 3.2084609E+001, 3.2686678E+001, 3.3121559E+001, 3.4887272E+001, 3.7035411E+001, 4.0425465E+001, 4.2076013E+001, 5.2351986E+001, 5.2351986E+001, 5.7224933E+001, 2.9337010E+001, 2.9316331E+001, 2.9367043E+001, 2.9417451E+001, 2.9305318E+001, 2.9218641E+001, 2.9311031E+001, 2.9217045E+001, 3.8985467E+001, 2.9860104E+001, 1.6413019E-001, 1.5270207E-001, 1.8211462E-001, 1.9431382E-001, 1.6318887E-001, 1.5138163E-001, 1.3513067E-001, 1.1449011E-001, 1.5027604E-001, 1.0545926E-001, 1.5059546E-001, 1.0719236E-001, 1.3972244E-001, 3.4121351E-001, 4.1526250E-001, 1.3869613E-003, 3.1155837E-006, 2.0447755E-001, 3.8631418E-004, 7.8078894E-009, 2.0615179E-001, 3.8380020E-004, 1.6413066E-020, 2.0615600E-001, 2.6494940E+002
 8.0008397E+001,-6.8757312E-002, 6.3704170E-002,-7.3486358E-002, 6.8097465E-002, 3.0094488E+001, 3.0386935E+001, 3.0514430E+001, 3.0806766E+001, 3.0999015E+001, 3.1327995E+001, 3.1609388E+001, 3.2894710E+001, 3.4068788E+001, 3.5699884E+001, 3.7750478E+001, 4.0665300E+001, 4.3293107E+001, 4.8654304E+001, 5.0667321E+001, 5.7470309E+001, 5.7470309E+001, 6.6114024E+001, 2.9483993E+001, 2.9457227E+001, 2.9601615E+001, 2.9672669E+001, 2.9476265E+001, 2.9362922E+001, 2.9507194E+001, 2.9361217E+001, 4.2576840E+001, 3.0224343E+001, 2.1559427E-001, 2.0415407E-001, 2.6761153E-001, 2.8607399E-001, 2.1341464E-001, 1.9797269E-001, 1.8159078E-001, 1.5766268E-001, 2.1597729E-001, 1.6696770E-001, 2.3610608E-001, 1.6717043E-001, 1.8582183E-001, 4.5959288E-001, 5.4113416E-001, 1.9419484E-003, 4.8392437E-006, 2.0354896E-001, 3.9001534E-004, 1.9302833E-008, 2.0614559E-001, 3.8380337E-004, 9.8583274E-012, 2.0615600E-001, 3.2433344E+002
