s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_C12H26,MLR_PRODUCTS,ZONE_1
 2.1000267E+002, 1.2158522E+002,-5.0228610E+001,-1.4541379E+001,-3.7914164E+001,-3.5139595E-001,-1.4008512E-001, 0.0000000E+000, 1.8082772E+001, 1.8409584E+001, 0.0000000E+000, 2.8962639E-003, 0.0000000E+000, 1.2683409E+002
 2.2000888E+002, 1.2149635E+002,-5.0838486E+001,-1.4772288E+001,-3.8583637E+001,-3.4799907E-001, 2.4193402E-002, 0.0000000E+000, 1.6711496E+001, 1.6978138E+001, 0.0000000E+000, 2.8890663E-003, 0.0000000E+000, 1.2921290E+002
 2.3001355E+002, 1.2107326E+002,-5.1194840E+001,-1.4892302E+001,-3.9378331E+001,-3.4800013E-001,-6.9838693E-002, 0.0000000E+000, 1.4884760E+001, 1.5189945E+001, 0.0000000E+000, 2.8795468E-003, 0.0000000E+000, 1.2319383E+002
 2.4000267E+002, 1.2001963E+002,-5.1656536E+001,-1.5074268E+001,-4.0274291E+001,-3.4625888E-001,-1.1671279E-001, 0.0000000E+000, 1.2250101E+001, 1.2551567E+001, 0.0000000E+000, 2.8455886E-003, 0.0000000E+000, 1.1329443E+002
 2.5001288E+002, 1.1798652E+002,-5.1601644E+001,-1.5005967E+001,-4.0655285E+001,-3.4125890E-001,-1.2946844E-001, 0.0000000E+000, 9.9723098E+000, 1.0252898E+001, 0.0000000E+000, 2.8051051E-003, 0.0000000E+000, 1.0233153E+002
 2.6001135E+002, 1.1594316E+002,-5.1486420E+001,-1.5219183E+001,-4.0465419E+001,-3.3432976E-001,-1.1298334E-001, 0.0000000E+000, 8.0635778E+000, 8.3248244E+000, 0.0000000E+000, 2.7646079E-003, 0.0000000E+000, 9.3116080E+001
 2.7000446E+002, 1.1517450E+002,-5.1706042E+001,-1.5101890E+001,-4.0766681E+001,-3.3325888E-001,-8.7362862E-002, 0.0000000E+000, 6.8636297E+000, 7.1792640E+000, 0.0000000E+000, 2.7413542E-003, 0.0000000E+000, 8.5060766E+001
 2.8000955E+002, 1.1536667E+002,-5.1748130E+001,-1.5129039E+001,-4.1102893E+001,-3.3137711E-001,-8.3326930E-002, 0.0000000E+000, 6.6721329E+000, 6.9718993E+000, 0.0000000E+000, 2.7484607E-003, 0.0000000E+000, 7.7832363E+001
 2.9000363E+002, 1.1589708E+002,-5.1989451E+001,-1.5198243E+001,-4.1985279E+001,-3.3107430E-001, 8.8576491E-003, 0.0000000E+000, 6.1429307E+000, 6.4018913E+000, 0.0000000E+000, 2.7561726E-003, 0.0000000E+000, 7.8711716E+001
 3.0000516E+002, 1.1617755E+002,-5.2317649E+001,-1.5141815E+001,-4.2427870E+001,-3.3303648E-001, 4.5123893E-002, 0.0000000E+000, 5.7488014E+000, 6.0023039E+000, 0.0000000E+000, 2.7538074E-003, 0.0000000E+000, 8.2772330E+001
 3.1000052E+002, 1.1495132E+002,-5.2182751E+001,-1.5163473E+001,-4.2710100E+001,-3.3010353E-001,-5.6016791E-002, 0.0000000E+000, 4.2166303E+000, 4.5088735E+000, 0.0000000E+000, 2.7273203E-003, 0.0000000E+000, 7.7712435E+001
 3.2001263E+002, 1.1384006E+002,-5.1949448E+001,-1.5484205E+001,-4.2970231E+001,-3.2715407E-001,-8.0000709E-002, 0.0000000E+000, 2.7587515E+000, 3.0290217E+000, 0.0000000E+000, 2.6997955E-003, 0.0000000E+000, 7.0605499E+001
 3.3000668E+002, 1.1219183E+002,-5.1628037E+001,-1.5148661E+001,-4.2483255E+001,-3.2267973E-001,-1.7200473E-002, 0.0000000E+000, 2.3103970E+000, 2.5919950E+000, 0.0000000E+000, 2.6722687E-003, 0.0000000E+000, 6.8789219E+001
 3.4001300E+002, 1.1176381E+002,-5.1428978E+001,-1.5199721E+001,-4.2809303E+001,-3.2147880E-001,-3.2013654E-003, 0.0000000E+000, 1.7657828E+000, 2.0011295E+000, 0.0000000E+000, 2.6447567E-003, 0.0000000E+000, 6.8457358E+001
 3.5000806E+002, 1.0982495E+002,-5.1071375E+001,-1.4984756E+001,-4.2631318E+001,-3.1977466E-001,-1.4410315E-002, 0.0000000E+000, 5.6813165E-001, 8.0331163E-001, 0.0000000E+000, 2.6172310E-003, 0.0000000E+000, 6.7222128E+001
 3.6001233E+002, 1.0908053E+002,-5.0701087E+001,-1.5240150E+001,-4.2854853E+001,-3.1443310E-001,-1.3764855E-001, 0.0000000E+000,-4.2539853E-001,-1.6764189E-001, 0.0000000E+000, 2.5897261E-003, 0.0000000E+000, 5.5367935E+001
 3.7000662E+002, 1.0806016E+002,-5.0371344E+001,-1.5109324E+001,-4.2268270E+001,-3.1065144E-001, 2.4162756E-002, 0.0000000E+000,-1.8999398E-001, 2.4733934E-002, 0.0000000E+000, 2.5621920E-003, 0.0000000E+000, 5.7389877E+001
 3.8000784E+002, 1.0670986E+002,-5.0055290E+001,-1.5002090E+001,-4.1780127E+001,-3.0929359E-001,-3.1907194E-002, 0.0000000E+000,-7.2420180E-001,-4.6884497E-001, 0.0000000E+000, 2.5346712E-003, 0.0000000E+000, 5.4333436E+001
 3.9000082E+002, 1.0563457E+002,-4.9658946E+001,-1.4952844E+001,-4.1605350E+001,-3.0610170E-001, 2.9212246E-002, 0.0000000E+000,-1.0908735E+000,-8.5946362E-001, 0.0000000E+000, 2.5071661E-003, 0.0000000E+000, 5.6490834E+001
 4.0001367E+002, 1.0461632E+002,-4.9317035E+001,-1.4794590E+001,-4.1686403E+001,-3.0367596E-001, 2.6582168E-002, 0.0000000E+000,-1.6820857E+000,-1.4588066E+000, 0.0000000E+000, 2.4796481E-003, 0.0000000E+000, 5.8366339E+001
 4.1001282E+002, 1.0325300E+002,-4.8740451E+001,-1.4792152E+001,-4.0940718E+001,-3.0235799E-001,-2.8492199E-002, 0.0000000E+000,-1.7446670E+000,-1.5511737E+000, 0.0000000E+000, 2.4564006E-003, 0.0000000E+000, 5.6201855E+001
 4.2001004E+002, 1.0329353E+002,-4.8505931E+001,-1.4798694E+001,-4.0917336E+001,-2.9990727E-001,-1.1683459E-001, 0.0000000E+000,-1.5587038E+000,-1.3451699E+000, 0.0000000E+000, 2.4578300E-003, 0.0000000E+000, 4.6366060E+001
 4.3000851E+002, 1.0359862E+002,-4.8366153E+001,-1.4792612E+001,-4.0930343E+001,-3.0272255E-001, 7.6049245E-002, 0.0000000E+000,-9.3496881E-001,-7.1716032E-001, 0.0000000E+000, 2.4632283E-003, 0.0000000E+000, 5.2590930E+001
 4.4000949E+002, 1.0332319E+002,-4.8346639E+001,-1.4862450E+001,-4.0306652E+001,-3.0480888E-001,-8.8959690E-002, 0.0000000E+000,-8.1777955E-001,-5.8631682E-001, 0.0000000E+000, 2.4686265E-003, 0.0000000E+000, 4.5022118E+001
