s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,MLR_WATER VAPOR,ZONE_1
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7869051E-001, 2.4010141E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7869048E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.0836771E-001
 1.0000371E+001, 0.0000000E+000, 0.0000000E+000, 1.1005074E-002, 1.4396419E-001, 1.1895399E-002,-1.6372349E-018,-1.3313685E+000, 0.0000000E+000,-1.1288037E+000,-1.1645038E+000,-8.5933150E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.9386116E+001
 2.0008026E+001, 0.0000000E+000, 0.0000000E+000, 1.5768237E-002, 5.8394597E-002, 1.8831504E-002,-5.2979135E-018,-1.1125302E-002, 0.0000000E+000, 8.1858072E-002, 8.1869036E-002,-3.9150483E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.0066818E+001
 3.0001385E+001, 0.0000000E+000, 0.0000000E+000, 1.4533678E-002, 5.4147545E-002, 1.9594442E-002,-5.3806153E-018,-1.1347271E-003, 0.0000000E+000, 8.7002082E-002, 8.7140938E-002,-2.9007738E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.0151904E+001
 4.0009041E+001, 0.0000000E+000, 0.0000000E+000, 1.3365365E-002, 5.1644576E-002, 1.8556004E-002,-4.8286896E-018,-1.0503148E-003, 0.0000000E+000, 8.2533650E-002, 8.2515629E-002,-2.8534354E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.0215766E+001
 5.0002399E+001, 1.0769624E+001, 0.0000000E+000,-2.6742323E+000, 1.6449384E-001,-1.3521648E-001,-1.2212311E-003, 1.1504088E+000, 0.0000000E+000, 9.2523652E+000, 9.2738566E+000,-1.7517631E-002, 2.4223060E-004,-1.4664455E-033, 0.0000000E+000,-1.0181355E+001
 6.0012367E+001, 3.9275428E+001, 0.0000000E+000,-1.0285568E+001, 5.1262662E-001,-1.7478607E+000,-4.3772710E-003, 1.8923479E+000, 0.0000000E+000, 2.9574899E+001, 2.9642597E+001,-7.6635824E-002, 8.8156745E-004,-4.3618572E-005, 0.0000000E+000, 1.0507585E+002
 7.0000481E+001, 1.1093675E+002, 0.0000000E+000,-3.0284703E+001,-1.2169199E+000,-1.0973311E+001,-1.2006444E-002, 2.0297247E+000, 0.0000000E+000, 7.0314340E+001, 7.0479540E+001,-2.0892254E-001, 2.4812065E-003,-1.7023564E-003, 0.0000000E+000, 2.2813951E+002
 8.0008377E+001, 2.8946780E+002, 0.0000000E+000,-8.1474570E+001,-1.6315590E+001,-3.6218578E+001,-2.9415451E-002, 3.2207333E+000, 0.0000000E+000, 1.5849668E+002, 1.5865038E+002,-4.7990763E-001, 6.3739074E-003,-1.2113089E-002, 0.0000000E+000, 4.2469990E+002
 9.0004692E+001, 2.8718843E+002, 0.0000000E+000,-8.3618058E+001,-3.8980603E+001,-4.3404497E+001,-2.9241178E-002,-2.9007920E-002, 0.0000000E+000, 1.2098126E+002, 1.2112702E+002,-3.7986653E-001, 6.3069760E-003,-2.7021918E-002, 0.0000000E+000, 4.2291577E+002
 1.0000329E+002, 2.9190475E+002, 0.0000000E+000,-8.9512950E+001,-4.7491840E+001,-5.1864810E+001,-2.9648023E-002,-9.4637930E-001, 0.0000000E+000, 1.0188895E+002, 1.0205913E+002,-3.2032955E-001, 6.4152856E-003,-3.3322964E-002, 0.0000000E+000, 3.6529725E+002
 1.1000182E+002, 2.9218161E+002, 0.0000000E+000,-9.3714425E+001,-5.6507447E+001,-5.6256784E+001,-2.9544009E-002,-3.5280970E-001, 0.0000000E+000, 8.5118452E+001, 8.5320597E+001,-2.5020836E-001, 6.4152856E-003,-4.1027206E-002, 0.0000000E+000, 3.4344388E+002
 1.2000712E+002, 2.9159725E+002, 0.0000000E+000,-9.7774968E+001,-5.9838745E+001,-5.9976049E+001,-2.9556847E-002,-7.9747149E-001, 0.0000000E+000, 7.3015092E+001, 7.3180456E+001,-2.1220242E-001, 6.4152856E-003,-4.4380462E-002, 0.0000000E+000, 2.9492814E+002
 1.3000183E+002, 2.9139879E+002, 0.0000000E+000,-1.0115507E+002,-6.6307096E+001,-6.2485278E+001,-2.9475461E-002,-5.3939885E-001, 0.0000000E+000, 6.0721859E+001, 6.0882472E+001,-1.6224665E-001, 6.4152856E-003,-5.0610722E-002, 0.0000000E+000, 2.6242711E+002
 1.4000235E+002, 2.9243228E+002, 0.0000000E+000,-1.0399636E+002,-6.8560858E+001,-6.6495985E+001,-2.9481671E-002,-3.1546994E-001, 0.0000000E+000, 5.2803876E+001, 5.3034127E+001,-1.3227229E-001, 6.4152856E-003,-5.2444378E-002, 0.0000000E+000, 2.4290051E+002
