m,m/s
V_L1_L2-z,V_L1_L2
 5.0000000E-002,-1.3467321E+000
 1.5000000E-001,-1.3217409E+000
 2.5000000E-001,-1.3085212E+000
 3.5000000E-001,-1.2893409E+000
 4.5000000E-001,-1.2574651E+000
 5.5000000E-001,-1.2218245E+000
 6.5000000E-001,-1.1786612E+000
 7.5000000E-001,-1.1296535E+000
 8.5000000E-001,-1.0601650E+000
 9.5000000E-001,-8.5626488E-001
 1.0500000E+000,-6.9666812E-002
 1.1500000E+000, 5.6849305E-001
 1.2500000E+000, 1.0703895E+000
 1.3500000E+000, 1.2976949E+000
 1.4500000E+000, 1.5424726E+000
 1.5500000E+000, 1.7720970E+000
 1.6500000E+000, 1.9350845E+000
 1.7500000E+000, 2.1231543E+000
 1.8500000E+000, 2.5293309E+000
 1.9500000E+000, 3.1576615E+000
 2.0500000E+000, 3.2760756E+000
