m,m/s
V_L1_L2-z,V_L1_L2
 5.0000000E-002,-1.3936306E+000
 1.5000000E-001,-1.3871985E+000
 2.5000000E-001,-1.3711828E+000
 3.5000000E-001,-1.3448458E+000
 4.5000000E-001,-1.3212611E+000
 5.5000000E-001,-1.3016168E+000
 6.5000000E-001,-1.2786333E+000
 7.5000000E-001,-1.1651600E+000
 8.5000000E-001,-6.7377163E-001
 9.5000000E-001,-1.3459095E-001
 1.0500000E+000, 3.0619384E-001
 1.1500000E+000, 6.0961508E-001
 1.2500000E+000, 1.0083372E+000
 1.3500000E+000, 1.1078950E+000
 1.4500000E+000, 1.2346469E+000
 1.5500000E+000, 1.3448077E+000
 1.6500000E+000, 1.5003061E+000
 1.7500000E+000, 1.6630125E+000
 1.8500000E+000, 1.9306090E+000
 1.9500000E+000, 2.2918217E+000
 2.0500000E+000, 2.5863297E+000
