m,m/s
V_L1_L2-z,V_L1_L2
 5.0000000E-002,-1.0207352E+000
 1.5000000E-001,-1.0008052E+000
 2.5000000E-001,-9.9255303E-001
 3.5000000E-001,-9.8565670E-001
 4.5000000E-001,-9.6161147E-001
 5.5000000E-001,-9.3468485E-001
 6.5000000E-001,-8.9819829E-001
 7.5000000E-001,-8.5273723E-001
 8.5000000E-001,-7.9340633E-001
 9.5000000E-001,-7.1603520E-001
 1.0500000E+000,-5.2579578E-001
 1.1500000E+000,-8.6460388E-002
 1.2500000E+000, 5.0921298E-001
 1.3500000E+000, 8.9024585E-001
 1.4500000E+000, 1.1028735E+000
 1.5500000E+000, 1.2601743E+000
 1.6500000E+000, 1.3835690E+000
 1.7500000E+000, 1.5149220E+000
 1.8500000E+000, 1.7005629E+000
 1.9500000E+000, 2.0297385E+000
 2.0500000E+000, 2.1406160E+000
