s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 0.0000000E+000, 0.0000000E+000,-1.0562775E-002, 5.5020533E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0562720E-002, 0.0000000E+000, 0.0000000E+000,-5.7902354E-001
 1.0065245E+001, 0.0000000E+000, 2.6211544E-001, 3.8166279E-002, 3.7591358E-001, 0.0000000E+000, 1.2074120E+000, 0.0000000E+000, 1.8752954E+000, 1.8836073E+000, 0.0000000E+000, 0.0000000E+000, 1.0137481E+002
 2.0054222E+001, 0.0000000E+000, 2.9677331E-001,-1.4662618E-002, 3.7838036E-001, 0.0000000E+000, 4.6345656E-002, 0.0000000E+000, 7.0567137E-001, 7.0683671E-001, 0.0000000E+000, 0.0000000E+000, 1.0531597E+002
 3.0058613E+001, 6.3320784E-003, 2.9034013E-001,-2.3984546E-002, 3.3579795E-001,-1.0391419E-004,-2.8092808E-003, 0.0000000E+000, 5.9638579E-001, 6.0557242E-001, 7.1979586E-007, 7.1979586E-007, 1.0497571E+002
 4.0010792E+001, 2.4034758E+001,-5.5831637E+000,-1.8113183E-001,-9.4109599E-001,-8.4627886E-002, 1.7719375E+000, 0.0000000E+000, 1.8893625E+001, 1.9016676E+001, 5.8491036E-004, 5.8491036E-004, 2.5245824E+002
 5.0003990E+001, 6.7076260E+001,-1.6064435E+001,-8.9504927E-001,-5.6382304E+000,-2.2632367E-001, 2.0377208E+000, 0.0000000E+000, 4.6211509E+001, 4.6289942E+001, 1.6177457E-003, 1.6177457E-003, 4.2324103E+002
 6.0011307E+001, 1.1272727E+002,-2.7535381E+001,-2.4433514E+000,-1.0805194E+001,-3.6613954E-001, 4.1651865E+000, 0.0000000E+000, 7.5623689E+001, 7.5742385E+001, 2.7085214E-003, 2.7085214E-003, 7.7306304E+002
 7.0002869E+001, 1.5807268E+002,-3.9865782E+001,-4.6208103E+000,-1.7680364E+001,-4.9655584E-001, 5.4258222E+000, 0.0000000E+000, 1.0059690E+002, 1.0083499E+002, 3.7995102E-003, 3.7995102E-003, 1.2280236E+003
 8.0006126E+001, 2.0299099E+002,-5.3284524E+001,-7.4788670E+000,-2.4628475E+001,-6.1669829E-001, 6.4100765E+000, 0.0000000E+000, 1.2296299E+002, 1.2339250E+002, 4.8899770E-003, 4.8899770E-003, 1.7665126E+003
 9.0003952E+001, 2.4492183E+002,-6.7676980E+001,-1.1100937E+001,-3.4677107E+001,-7.0938648E-001, 5.4698246E+000, 0.0000000E+000, 1.3542953E+002, 1.3622724E+002, 5.8875796E-003, 5.8875796E-003, 2.2244945E+003
 1.0000735E+002, 2.6781863E+002,-7.9167060E+001,-1.5059699E+001,-4.4730144E+001,-7.5883474E-001, 1.3994228E+000, 0.0000000E+000, 1.2845387E+002, 1.2950231E+002, 6.3801769E-003, 6.3801769E-003, 2.3418254E+003
 1.1000801E+002, 2.8158546E+002,-8.9837449E+001,-1.8331689E+001,-5.2897985E+001,-7.9464602E-001,-1.5461537E+000, 0.0000000E+000, 1.1681302E+002, 1.1817754E+002, 6.7271033E-003, 6.7271033E-003, 2.2108143E+003
