m,m/s
V_L1_L2-z,V_L1_L2
 5.0000000E-002,-1.6861697E+000
 1.5000000E-001,-1.5700953E+000
 2.5000000E-001,-1.4422397E+000
 3.5000000E-001,-1.3562719E+000
 4.5000000E-001,-1.3008885E+000
 5.5000000E-001,-1.2500565E+000
 6.5000000E-001,-1.1679272E+000
 7.5000000E-001,-1.0522138E+000
 8.5000000E-001,-8.5559367E-001
 9.5000000E-001,-3.1704693E-001
 1.0500000E+000, 4.9156433E-001
 1.1500000E+000, 1.0728651E+000
 1.2500000E+000, 1.3197830E+000
 1.3500000E+000, 1.4347044E+000
 1.4500000E+000, 1.6162075E+000
 1.5500000E+000, 1.8172231E+000
 1.6500000E+000, 1.9648948E+000
 1.7500000E+000, 2.1301169E+000
 1.8500000E+000, 2.4234806E+000
 1.9500000E+000, 2.8820863E+000
 2.0500000E+000, 3.0405871E+000
