s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_C12H26,MLR_PRODUCTS,ZONE_1
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1095089E-002, 4.1175474E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1095048E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9629699E-001
 1.0025414E+001, 0.0000000E+000, 0.0000000E+000, 1.1013334E-001, 4.3279429E-002, 1.8857353E-001, 1.2329780E-018, 1.2679426E+000, 0.0000000E+000, 1.6278228E+000, 1.6099289E+000, 9.8518857E-003, 0.0000000E+000, 0.0000000E+000, 1.0557208E+002
 2.0061737E+001, 0.0000000E+000, 0.0000000E+000, 1.2230534E-001,-1.0494087E-002, 1.9089816E-001, 1.2893557E-018, 2.6711827E-002, 0.0000000E+000, 3.5262205E-001, 3.2942124E-001,-8.4608725E-004, 0.0000000E+000, 0.0000000E+000, 1.0785120E+002
 3.0010033E+001, 0.0000000E+000, 0.0000000E+000, 1.1876890E-001,-1.4877474E-002, 1.7405154E-001, 1.4665289E-018,-1.7487973E-003, 0.0000000E+000, 2.9888809E-001, 2.7619417E-001,-1.0001096E-003, 0.0000000E+000, 0.0000000E+000, 1.0770654E+002
 4.0001633E+001, 1.8995992E+001, 0.0000000E+000,-4.3510980E+000,-1.5256164E-001,-6.2100116E-001,-6.3249449E-002, 1.1814181E+000, 0.0000000E+000, 1.4894947E+001, 1.4989500E+001,-3.5825566E-002, 4.5986948E-004,-1.7155398E-005, 2.0571801E+002
 5.0017715E+001, 3.5784069E+001, 0.0000000E+000,-8.3189219E+000,-5.7152847E-001,-2.6065119E+000,-1.1458773E-001, 1.5693298E-001, 0.0000000E+000, 2.4286514E+001, 2.4329452E+001,-7.8621308E-002, 8.5675209E-004,-1.8737264E-004, 2.1885691E+002
 6.0008713E+001, 5.2868673E+001, 0.0000000E+000,-1.2761838E+001,-1.4899021E+000,-4.3254339E+000,-1.6449246E-001, 4.3232461E-001, 0.0000000E+000, 3.4509969E+001, 3.4559331E+001,-1.0881497E-001, 1.2627171E-003,-7.1008249E-004, 2.5492810E+002
 7.0014008E+001, 6.9920491E+001, 0.0000000E+000,-1.7400302E+001,-2.7334878E+000,-6.6667504E+000,-2.1357984E-001, 7.2898427E-001, 0.0000000E+000, 4.3566168E+001, 4.3635356E+001,-1.3474012E-001, 1.6685241E-003,-1.4813939E-003, 3.1585050E+002
 8.0009430E+001, 8.6905060E+001, 0.0000000E+000,-2.2319283E+001,-4.4498662E+000,-8.9951829E+000,-2.6012837E-001, 9.2692166E-001, 0.0000000E+000, 5.1701131E+001, 5.1807521E+001,-1.5841145E-001, 2.0743501E-003,-2.5779106E-003, 3.9313923E+002
 9.0010849E+001, 1.0254342E+002, 0.0000000E+000,-2.7358042E+001,-6.2785730E+000,-1.1451348E+001,-3.0161498E-001, 8.1683752E-001, 0.0000000E+000, 5.7842100E+001, 5.7970683E+001,-1.7880557E-001, 2.4451371E-003,-3.7910961E-003, 4.6157131E+002
 1.0000429E+002, 1.1267769E+002, 0.0000000E+000,-3.1314645E+001,-7.7831987E+000,-1.5362648E+001,-3.2726347E-001, 1.3768591E-001, 0.0000000E+000, 5.7844863E+001, 5.8027616E+001,-1.8554935E-001, 2.6855545E-003,-4.9114171E-003, 4.7301380E+002
 1.1000841E+002, 1.2089507E+002, 0.0000000E+000,-3.4941984E+001,-9.4853370E+000,-1.8219916E+001,-3.4889188E-001, 6.4514840E-002, 0.0000000E+000, 5.7742283E+001, 5.7963453E+001,-1.8505275E-001, 2.8802848E-003,-6.2169064E-003, 4.7840632E+002
