s,C,C,C,C,C,C,C
Time,"Air Temp","VTT_1","IRSN_1","TRAC_2","TRAC_4","GRS_2","NRC_2"
 1.7000389E+003, 1.7921213E+002, 2.6431639E+002, 3.0376454E+002, 2.5798569E+002, 2.5730790E+002, 2.6814765E+002, 2.7023173E+002
 1.7100369E+003, 1.7743277E+002, 2.6146332E+002, 3.0149934E+002, 2.5514421E+002, 2.5446668E+002, 2.6678145E+002, 2.6773421E+002
 1.7200283E+003, 1.7565706E+002, 2.5866098E+002, 2.9926069E+002, 2.5235361E+002, 2.5167657E+002, 2.6543535E+002, 2.6520829E+002
 1.7300485E+003, 1.7387752E+002, 2.5592532E+002, 2.9706361E+002, 2.4963323E+002, 2.4895685E+002, 2.6412993E+002, 2.6283946E+002
 1.7400438E+003, 1.7209818E+002, 2.5324821E+002, 2.9490387E+002, 2.4697137E+002, 2.4629568E+002, 2.6285130E+002, 2.6044200E+002
 1.7500400E+003, 1.7032165E+002, 2.5061901E+002, 2.9277062E+002, 2.4435785E+002, 2.4368296E+002, 2.6159420E+002, 2.5810873E+002
 1.7600446E+003, 1.6854328E+002, 2.4804906E+002, 2.9067136E+002, 2.4180583E+002, 2.4113193E+002, 2.6036605E+002, 2.5579080E+002
 1.7700105E+003, 1.6676865E+002, 2.4551553E+002, 2.8858807E+002, 2.3928979E+002, 2.3861699E+002, 2.5914948E+002, 2.5349139E+002
 1.7800473E+003, 1.6498964E+002, 2.4301378E+002, 2.8651597E+002, 2.3680614E+002, 2.3613457E+002, 2.5794317E+002, 2.5116835E+002
 1.7900229E+003, 1.6321059E+002, 2.4052573E+002, 2.8444122E+002, 2.3433519E+002, 2.3366491E+002, 2.5673561E+002, 2.4884387E+002
 1.8000475E+003, 1.6143372E+002, 2.3808584E+002, 2.8239379E+002, 2.3191534E+002, 2.3124646E+002, 2.5555712E+002, 2.4665863E+002
 1.8100496E+003, 1.5965289E+002, 2.3570393E+002, 2.8038327E+002, 2.2955578E+002, 2.2888840E+002, 2.5440976E+002, 2.4451068E+002
 1.8200147E+003, 1.5787769E+002, 2.3337817E+002, 2.7840838E+002, 2.2725307E+002, 2.2658724E+002, 2.5328754E+002, 2.4238597E+002
 1.8300454E+003, 1.5610135E+002, 2.3107899E+002, 2.7644225E+002, 2.2497668E+002, 2.2431252E+002, 2.5216991E+002, 2.4024677E+002
 1.8400261E+003, 1.5432174E+002, 2.2881524E+002, 2.7449168E+002, 2.2273724E+002, 2.2207491E+002, 2.5106692E+002, 2.3816993E+002
 1.8500312E+003, 1.5254612E+002, 2.2658911E+002, 2.7256169E+002, 2.2053544E+002, 2.1987502E+002, 2.4997774E+002, 2.3608346E+002
 1.8600008E+003, 1.5077026E+002, 2.2439464E+002, 2.7064786E+002, 2.1836555E+002, 2.1770709E+002, 2.4890071E+002, 2.3402723E+002
 1.8700356E+003, 1.4899220E+002, 2.2221873E+002, 2.6873836E+002, 2.1621388E+002, 2.1555739E+002, 2.4782581E+002, 2.3196874E+002
 1.8800264E+003, 1.4721175E+002, 2.2006884E+002, 2.6684048E+002, 2.1408886E+002, 2.1343440E+002, 2.4676119E+002, 2.2994874E+002
 1.8900401E+003, 1.4543329E+002, 2.1795988E+002, 2.6496932E+002, 2.1200574E+002, 2.1135332E+002, 2.4571811E+002, 2.2798526E+002
 1.9000517E+003, 1.4365371E+002, 2.1587406E+002, 2.6311016E+002, 2.0994492E+002, 2.0929448E+002, 2.4468048E+002, 2.2599723E+002
 1.9100132E+003, 1.4187856E+002, 2.1380989E+002, 2.6125908E+002, 2.0790538E+002, 2.0725700E+002, 2.4364520E+002, 2.2401645E+002
 1.9200556E+003, 1.4009909E+002, 2.1177251E+002, 2.5942160E+002, 2.0589382E+002, 2.0524756E+002, 2.4262286E+002, 2.2209632E+002
 1.9300050E+003, 1.3832273E+002, 2.0976372E+002, 2.5760272E+002, 2.0391040E+002, 2.0326623E+002, 2.4161212E+002, 2.2017301E+002
 1.9400483E+003, 1.3654453E+002, 2.0776612E+002, 2.5578737E+002, 2.0193664E+002, 2.0129448E+002, 2.4059972E+002, 2.1823512E+002
 1.9500053E+003, 1.3476695E+002, 2.0578212E+002, 2.5397618E+002, 1.9997629E+002, 1.9933617E+002, 2.3958877E+002, 2.1630350E+002
 1.9600507E+003, 1.3298960E+002, 2.0381425E+002, 2.5216978E+002, 1.9803256E+002, 1.9739456E+002, 2.3858061E+002, 2.1440183E+002
 1.9700450E+003, 1.3120929E+002, 2.0186529E+002, 2.5037303E+002, 1.9610814E+002, 1.9547225E+002, 2.3757977E+002, 2.1252498E+002
 1.9800122E+003, 1.2943403E+002, 1.9995092E+002, 2.4860257E+002, 1.9421854E+002, 1.9358468E+002, 2.3659668E+002, 2.1069809E+002
 1.9900333E+003, 1.2765721E+002, 1.9806336E+002, 2.4684997E+002, 1.9235633E+002, 1.9172452E+002, 2.3562670E+002, 2.0891275E+002
 2.0000000E+003, 1.2588054E+002, 1.9621660E+002, 2.4512846E+002, 1.9053607E+002, 1.8990632E+002, 2.3468007E+002, 2.0717380E+002
