s,C,C,C,C,C,C,C
Time,"Air Temp","VTT_1","IRSN_1","TRAC_2","TRAC_4","GRS_2","NRC_2"
 5.9002034E+002, 5.1207368E+002, 3.0425768E+002, 2.4552538E+002, 3.1608801E+002, 3.1780729E+002, 2.0936565E+002, 3.0649026E+002
 6.0002518E+002, 5.1725178E+002, 3.1242350E+002, 2.5247716E+002, 3.2428761E+002, 3.2600138E+002, 2.1532519E+002, 3.1445759E+002
 6.1001109E+002, 5.2242858E+002, 3.2056664E+002, 2.5946089E+002, 3.3245131E+002, 3.3415746E+002, 2.2133015E+002, 3.2244914E+002
 6.2000982E+002, 5.2500000E+002, 3.2864341E+002, 2.6645177E+002, 3.4052674E+002, 3.4222236E+002, 2.2736369E+002, 3.3025509E+002
 6.3001509E+002, 5.2500000E+002, 3.3658891E+002, 2.7339066E+002, 3.4844469E+002, 3.5012653E+002, 2.3334836E+002, 3.3777006E+002
 6.4002730E+002, 5.2500000E+002, 3.4431632E+002, 2.8017587E+002, 3.5611652E+002, 3.5778129E+002, 2.3915238E+002, 3.4483426E+002
 6.5001296E+002, 5.2500000E+002, 3.5173129E+002, 2.8671901E+002, 3.6344533E+002, 3.6508946E+002, 2.4470301E+002, 3.5141186E+002
 6.6000830E+002, 5.2500000E+002, 3.5877916E+002, 2.9298402E+002, 3.7037452E+002, 3.7199412E+002, 2.4999407E+002, 3.5750197E+002
 6.7002154E+002, 5.3142623E+002, 3.6549122E+002, 2.9899061E+002, 3.7694694E+002, 3.7853931E+002, 2.5505443E+002, 3.6337587E+002
 6.8002542E+002, 5.4421671E+002, 3.7205974E+002, 3.0490496E+002, 3.8338366E+002, 3.8494894E+002, 2.6011118E+002, 3.6979752E+002
 6.9001463E+002, 5.5699199E+002, 3.7883276E+002, 3.1105356E+002, 3.9006425E+002, 3.9160587E+002, 2.6554247E+002, 3.7728126E+002
 7.0001679E+002, 5.6975957E+002, 3.8607368E+002, 3.1767806E+002, 3.9726068E+002, 3.9878330E+002, 2.7154591E+002, 3.8581584E+002
 7.1000278E+002, 5.8253357E+002, 3.9386447E+002, 3.2486537E+002, 4.0504308E+002, 4.0655050E+002, 2.7816086E+002, 3.9516880E+002
 7.2001619E+002, 5.9530851E+002, 4.0221756E+002, 3.3263223E+002, 4.1341281E+002, 4.1490776E+002, 2.8537552E+002, 4.0525021E+002
 7.3001198E+002, 6.0808867E+002, 4.1109395E+002, 3.4094889E+002, 4.2231841E+002, 4.2380231E+002, 2.9314694E+002, 4.1581121E+002
 7.4000306E+002, 6.2086003E+002, 4.2042836E+002, 3.4975555E+002, 4.3169026E+002, 4.3316399E+002, 3.0141820E+002, 4.2691769E+002
 7.5000135E+002, 6.3362978E+002, 4.3025268E+002, 3.5906396E+002, 4.4156272E+002, 4.4302687E+002, 3.1020259E+002, 4.3858517E+002
 7.6001588E+002, 6.4055815E+002, 4.4050420E+002, 3.6882163E+002, 4.5186050E+002, 4.5331450E+002, 3.1943912E+002, 4.5044940E+002
 7.7001940E+002, 6.4167055E+002, 4.5091584E+002, 3.7878364E+002, 4.6228651E+002, 4.6372713E+002, 3.2882151E+002, 4.6164390E+002
