s,C,C,C,C
Time,"Air Temp","IRSN_2","TRAC_1","TRAC_3"
 0.0000000E+000, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001, 3.0000000E+001
 1.0200000E+001, 3.0174965E+001, 3.0000008E+001, 3.0000010E+001, 3.0000011E+001
 2.0200000E+001, 3.0508464E+001, 3.0000235E+001, 3.0000286E+001, 3.0000295E+001
 3.0200000E+001, 3.0846098E+001, 3.0001267E+001, 3.0001482E+001, 3.0001520E+001
 4.0000000E+001, 3.2914752E+001, 3.0003633E+001, 3.0004146E+001, 3.0004235E+001
 5.0000000E+001, 3.6624914E+001, 3.0009819E+001, 3.0011236E+001, 3.0011485E+001
 6.0000000E+001, 4.0307941E+001, 3.0027643E+001, 3.0031699E+001, 3.0032416E+001
 7.0025713E+001, 4.4716962E+001, 3.0065483E+001, 3.0074463E+001, 3.0076039E+001
 8.0048453E+001, 5.3029145E+001, 3.0130482E+001, 3.0146872E+001, 3.0149718E+001
 9.0026728E+001, 6.1955531E+001, 3.0236812E+001, 3.0264905E+001, 3.0269774E+001
 1.0007388E+002, 7.0934184E+001, 3.0406839E+001, 3.0453130E+001, 3.0461127E+001
 1.1001709E+002, 7.9877108E+001, 3.0652747E+001, 3.0722534E+001, 3.0734477E+001
 1.2000695E+002, 8.8776233E+001, 3.0982296E+001, 3.1080255E+001, 3.1096852E+001
 1.3006448E+002, 9.6982606E+001, 3.1408971E+001, 3.1540824E+001, 3.1562985E+001
 1.4002904E+002, 1.0365498E+002, 3.1935563E+001, 3.2105708E+001, 3.2134090E+001
 1.5001180E+002, 1.1025415E+002, 3.2552522E+001, 3.2762596E+001, 3.2797367E+001
 1.6000883E+002, 1.1685812E+002, 3.3253459E+001, 3.3503725E+001, 3.3544811E+001
 1.7005345E+002, 1.2349743E+002, 3.4038484E+001, 3.4329919E+001, 3.4377410E+001
 1.8001929E+002, 1.3011831E+002, 3.4909921E+001, 3.5245852E+001, 3.5300330E+001
 1.9001362E+002, 1.3672163E+002, 3.5865177E+001, 3.6247499E+001, 3.6309219E+001
 2.0003233E+002, 1.4556231E+002, 3.6909992E+001, 3.7341735E+001, 3.7411193E+001
 2.1003184E+002, 1.5656662E+002, 3.8055153E+001, 3.8541668E+001, 3.8619760E+001
 2.2004713E+002, 1.6757220E+002, 3.9328859E+001, 3.9878506E+001, 3.9966616E+001
 2.3000457E+002, 1.7855462E+002, 4.0749812E+001, 4.1369948E+001, 4.1469186E+001
