m,m/s
V_L1_L2-z,V_L1_L2
 5.0000000E-002,-1.0169362E+000
 1.5000000E-001,-9.9667212E-001
 2.5000000E-001,-9.8880170E-001
 3.5000000E-001,-9.7831818E-001
 4.5000000E-001,-9.4930118E-001
 5.5000000E-001,-9.1498542E-001
 6.5000000E-001,-8.7314718E-001
 7.5000000E-001,-8.2742566E-001
 8.5000000E-001,-7.6430395E-001
 9.5000000E-001,-6.5615481E-001
 1.0500000E+000,-2.8713420E-001
 1.1500000E+000, 2.7560196E-001
 1.2500000E+000, 7.2213628E-001
 1.3500000E+000, 9.5023333E-001
 1.4500000E+000, 1.1085704E+000
 1.5500000E+000, 1.2540249E+000
 1.6500000E+000, 1.3822887E+000
 1.7500000E+000, 1.5079924E+000
 1.8500000E+000, 1.7564298E+000
 1.9500000E+000, 2.1627486E+000
 2.0500000E+000, 2.2407566E+000
