s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
-3.0000000E+001, 0.0000000E+000,-2.0703855E-002,-1.7536080E-022, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0703855E-002, 0.0000000E+000, 0.0000000E+000,-6.4369078E-001
-1.4979181E+001, 0.0000000E+000, 2.8088674E-001, 1.0091660E-002, 4.3071889E-001, 0.0000000E+000,-1.9342560E+000, 0.0000000E+000,-1.2165612E+000,-1.2125587E+000, 0.0000000E+000, 0.0000000E+000,-1.2183099E+002
 3.4374136E-002, 0.0000000E+000, 3.1161324E-001, 5.6032946E-003, 4.1654726E-001, 0.0000000E+000,-4.9701400E-002, 0.0000000E+000, 6.8424443E-001, 6.8406239E-001, 0.0000000E+000, 0.0000000E+000,-1.2497300E+002
 1.5008650E+001, 6.4566511E+001,-1.7728716E+001,-4.4170273E-002,-4.3658143E+000,-2.3313643E-001, 6.7493077E+000, 0.0000000E+000, 4.8782170E+001, 4.8943982E+001, 1.6773493E-003, 1.6773493E-003, 2.9576417E+002
 3.0002522E+001, 1.5520523E+002,-4.2421290E+001,-2.8106642E+000,-1.4640906E+001,-4.9240106E-001, 3.4737413E+000, 0.0000000E+000, 9.8288090E+001, 9.8313710E+001, 3.8548688E-003, 3.8548688E-003, 5.1288018E+002
 4.5001625E+001, 2.0405470E+002,-5.7809120E+001,-7.2280651E+000,-2.5084496E+001,-6.0591245E-001, 2.8582777E+000, 0.0000000E+000, 1.1617020E+002, 1.1618538E+002, 5.1404386E-003, 5.1404386E-003, 6.9135209E+002
 6.0001347E+001, 2.5802378E+002,-7.6871772E+001,-1.3717237E+001,-3.8100485E+001,-7.5283254E-001, 2.1342489E+000, 0.0000000E+000, 1.3061125E+002, 1.3071570E+002, 6.4261671E-003, 6.4261671E-003, 8.2374265E+002
 7.5005402E+001, 2.9605203E+002,-9.4118392E+001,-1.9533509E+001,-5.1812944E+001,-7.9124157E-001, 7.1770877E-001, 0.0000000E+000, 1.3047607E+002, 1.3051366E+002, 7.3233049E-003, 7.3233049E-003, 8.6832372E+002
 9.0004654E+001, 2.9828463E+002,-1.0547094E+002,-2.2559423E+001,-6.3004941E+001,-8.0369186E-001,-3.8008090E+000, 0.0000000E+000, 1.0247240E+002, 1.0264482E+002, 7.4204337E-003, 7.4204337E-003, 6.2846650E+002
 1.0500748E+002, 3.0555511E+002,-1.1607115E+002,-2.2450181E+001,-7.1959266E+001,-8.1547690E-001,-1.8021678E+000, 0.0000000E+000, 9.2277200E+001, 9.2456867E+001, 7.5376401E-003, 7.5376401E-003, 5.1363008E+002
 1.2001329E+002, 3.1845377E+002,-1.2647144E+002,-2.3392694E+001,-8.0406634E+001,-8.5552232E-001,-1.0165408E+000, 0.0000000E+000, 8.6283078E+001, 8.6310941E+001, 8.0626784E-003, 8.0626784E-003, 4.4970260E+002
 1.3500275E+002, 3.5385100E+002,-1.4340664E+002,-2.5701623E+001,-9.0205118E+001,-8.6105326E-001, 1.9081882E+000, 0.0000000E+000, 9.5341577E+001, 9.5584754E+001, 8.6862991E-003, 8.6862991E-003, 5.6697127E+002
 1.5000589E+002, 3.6596867E+002,-1.5688578E+002,-2.7721762E+001,-9.7956162E+001,-8.8382747E-001,-1.0717859E+000, 0.0000000E+000, 8.1126562E+001, 8.1449349E+001, 9.3097763E-003, 9.3097763E-003, 4.9679230E+002
 1.6500523E+002, 4.0142596E+002,-1.7487559E+002,-2.9862203E+001,-1.0887689E+002,-9.4152614E-001, 7.8318622E-001, 0.0000000E+000, 8.7465149E+001, 8.7652936E+001, 9.9336089E-003, 9.9336089E-003, 5.4425980E+002
 1.8000720E+002, 4.2522002E+002,-1.9408849E+002,-3.1563781E+001,-1.2161773E+002,-1.0213123E+000,-2.0919208E+000, 0.0000000E+000, 7.4624011E+001, 7.4836795E+001, 1.0557398E-002, 1.0557398E-002, 4.1148371E+002
 1.9500331E+002, 4.4421837E+002,-2.1015439E+002,-3.1540025E+001,-1.2752228E+002,-1.0131151E+000,-4.7091088E-001, 0.0000000E+000, 7.3082528E+001, 7.3517658E+001, 1.1179747E-002, 1.1179747E-002, 3.7798368E+002
 2.1001054E+002, 4.5763727E+002,-2.2450959E+002,-3.0985544E+001,-1.3452638E+002,-1.0305824E+000,-6.2772067E-001, 0.0000000E+000, 6.5734347E+001, 6.5957454E+001, 1.1468426E-002, 1.1468426E-002, 3.3635156E+002
 2.2500261E+002, 4.6202068E+002,-2.3526164E+002,-2.9490503E+001,-1.4019432E+002,-1.0573405E+000,-1.2385440E+000, 0.0000000E+000, 5.4455266E+001, 5.4778329E+001, 1.1499282E-002, 1.1499282E-002, 2.5581802E+002
 2.4000446E+002, 4.6980867E+002,-2.4367045E+002,-2.8436579E+001,-1.4485477E+002,-1.0428264E+000, 1.5249646E+000, 0.0000000E+000, 5.3103983E+001, 5.3329010E+001, 1.1530136E-002, 1.1530136E-002, 3.4890139E+002
 2.5500404E+002, 4.4860923E+002,-2.4288855E+002,-2.6729687E+001,-1.4587525E+002,-9.8398468E-001,-3.0592628E+000, 0.0000000E+000, 2.8884664E+001, 2.9072502E+001, 1.1560994E-002, 1.1560994E-002, 1.5545232E+002
 2.7000711E+002, 4.6123522E+002,-2.5005913E+002,-2.6604522E+001,-1.4969887E+002,-9.3772083E-001,-7.5177424E-001, 0.0000000E+000, 3.2804775E+001, 3.3183200E+001, 1.1591851E-002, 1.1591851E-002, 1.0405800E+002
 2.8500928E+002, 4.8256694E+002,-2.5750639E+002,-2.6712902E+001,-1.5448900E+002,-1.0199408E+000, 2.9704770E+000, 0.0000000E+000, 4.5740641E+001, 4.5809188E+001, 1.1622713E-002, 1.1622713E-002, 2.8800378E+002
 3.0000305E+002, 4.5902961E+002,-2.5385422E+002,-2.4458884E+001,-1.5606566E+002,-9.2396322E-001,-1.0928945E-001, 0.0000000E+000, 2.3388636E+001, 2.3617595E+001, 1.1653568E-002, 1.1653568E-002, 2.7799576E+002
