s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_TETRA-PROPYLENE,MLR_PRODUCTS,ZONE_1
-3.0000000E+001, 0.0000000E+000,-2.0704443E-002, 1.8155438E-022, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0704443E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.0664139E-001
-1.4954339E+001, 0.0000000E+000, 2.8142765E-001, 4.7793080E-002, 4.7552869E-001, 7.8827080E-036,-1.5765145E+000, 0.0000000E+000,-7.7071045E-001,-7.7176510E-001,-1.2356320E-002, 0.0000000E+000, 0.0000000E+000,-9.9220211E+001
 5.5564787E-002, 0.0000000E+000, 2.9805214E-001, 1.5473217E-002, 4.8337069E-001, 5.9750451E-036,-1.8412101E-003, 0.0000000E+000, 7.9540468E-001, 7.9505483E-001,-2.6366872E-003, 0.0000000E+000, 0.0000000E+000,-9.9335828E+001
 1.5005578E+001, 3.0107592E+001,-8.0127347E+000,-1.2544053E-001,-1.1757799E+000,-1.0979061E-001, 8.2053144E-001, 0.0000000E+000, 2.1418275E+001, 2.1504377E+001,-6.1614074E-002, 7.6199704E-004,-1.3762503E-004,-4.8263870E+001
 3.0008001E+001, 9.0383908E+001,-2.5338185E+001,-2.9055176E+000,-6.2689406E+000,-3.2121657E-001, 6.9184216E-001, 0.0000000E+000, 5.6184622E+001, 5.6241891E+001,-1.7723243E-001, 2.2738911E-003,-1.9632953E-003,-5.0072571E+000
 4.5006771E+001, 1.5003492E+002,-4.3103297E+001,-9.5567022E+000,-1.2921468E+001,-5.1891279E-001, 5.3546327E-001, 0.0000000E+000, 8.4421353E+001, 8.4470004E+001,-2.6889248E-001, 3.7887272E-003,-6.5145423E-003, 2.8462968E+001
 6.0007347E+001, 2.1145505E+002,-6.1700805E+001,-1.6979016E+001,-2.1362772E+001,-6.9885063E-001, 6.3503803E-001, 0.0000000E+000, 1.1129314E+002, 1.1134865E+002,-3.5177174E-001, 5.3035294E-003,-1.1786206E-002, 6.8356534E+001
 7.5008766E+001, 2.7119950E+002,-8.2601669E+001,-2.5822402E+001,-3.3346294E+001,-8.6998667E-001, 6.9296087E-001, 0.0000000E+000, 1.2909859E+002, 1.2925211E+002,-4.0345567E-001, 6.8184379E-003,-1.8136639E-002, 1.1108548E+002
 9.0000046E+001, 3.0544536E+002,-9.9886908E+001,-3.5480220E+001,-4.6197953E+001,-9.4644859E-001,-9.6728177E-001, 0.0000000E+000, 1.2193607E+002, 1.2196655E+002,-3.9212290E-001, 7.7061449E-003,-2.5667665E-002, 5.0413300E+001
 1.0500729E+002, 3.1150219E+002,-1.1211644E+002,-4.3481028E+001,-5.4781017E+001,-9.7329509E-001,-2.5185173E-001, 0.0000000E+000, 9.9715047E+001, 9.9898563E+001,-3.0389017E-001, 7.7868761E-003,-3.2738268E-002, 3.3608545E+001
 1.2000331E+002, 3.1321312E+002,-1.2063626E+002,-4.8694600E+001,-6.1670556E+001,-9.6385030E-001,-1.0667642E-002, 0.0000000E+000, 8.1113140E+001, 8.1237187E+001,-2.3515546E-001, 7.8644766E-003,-3.7925227E-002, 3.2273657E+001
 1.3500426E+002, 3.1589748E+002,-1.2746839E+002,-5.2759941E+001,-6.6803409E+001,-9.7591097E-001,-4.0278889E-001, 0.0000000E+000, 6.7270237E+001, 6.7487039E+001,-1.8973090E-001, 7.9437936E-003,-4.2894973E-002, 5.7468868E+000
 1.5000365E+002, 3.3477803E+002,-1.3705187E+002,-5.6482096E+001,-7.0943066E+001,-1.0339188E+000, 5.1398197E-001, 0.0000000E+000, 6.9637757E+001, 6.9781066E+001,-1.8123808E-001, 8.4467620E-003,-4.7946969E-002, 3.7830237E+001
 1.6500554E+002, 3.6909449E+002,-1.5154439E+002,-6.1899844E+001,-7.7771686E+001,-1.0917136E+000,-3.9444867E-002, 0.0000000E+000, 7.6537106E+001, 7.6747411E+001,-2.0396408E-001, 9.2771688E-003,-5.4489268E-002, 3.4187874E+001
 1.8000200E+002, 3.9925078E+002,-1.6752492E+002,-6.6539795E+001,-8.5669305E+001,-1.1583635E+000,-1.3490575E-001, 0.0000000E+000, 7.8055958E+001, 7.8223487E+001,-2.0472783E-001, 1.0107502E-002,-6.0188350E-002, 2.4959075E+001
