s,m3/s,m3/s,kg/s,kg/s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,Pa
Time,DADM_L2_MOY,DEXT_L2_MOY,R2_in,R2_out,TG_L2_NE_005,TG_L2_NE_030,TG_L2_NE_055,TG_L2_NE_080,TG_L2_NE_105,TG_L2_NE_130,TG_L2_NE_155,TG_L2_NE_180,TG_L2_NE_205,TG_L2_NE_230,TG_L2_NE_255,TG_L2_NE_280,TG_L2_NE_305,TG_L2_NE_330,TG_L2_NE_355,TG_L2_NE_380,TG_L2_NE_385,TG_L2_NE_390,TP_L2_N030,TP_L2_N155,TP_L2_N260,TP_L2_N355,TP_L2_WC260,TP_L2_NC265,TP_L2_EC260,TP_L2_SC260,TP_L2_P,TP_L2_SOL,FLT_L2_N030,FLT_L2_N155,FLT_L2_N260,FLT_L2_N355,FLR_L2_N030,FLR_L2_N155,FLR_L2_N260,FLR_L2_N355,FLT_L2_WC260,FLT_L2_NC260,FLT_L2_EC260,FLT_L2_SC260,FLR_L2_P,FLT_L2_PM,FLT_L2_SOL,CO2L2_HAUT,COL2_HAUT,O2L2_HAUT,CO2FP,COFP,O2FP,CO2L2_BAS,COL2_BAS,O2L2_BAS,PLOCAL2_MOY
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.6000000E+001, 2.6000000E+001, 2.6000000E+001, 2.6000000E+001, 2.6000000E+001, 2.6000000E+001, 2.6000000E+001, 2.6000000E+001, 2.6000000E+001, 2.6000000E+001, 2.6000000E+001, 2.6000000E+001, 2.6000000E+001, 2.6000000E+001, 2.6000000E+001, 2.6000000E+001, 2.6000000E+001, 2.6000000E+001, 2.6000000E+001, 2.6000000E+001, 2.6000000E+001, 2.6000000E+001, 2.6000000E+001, 2.6000000E+001, 2.6000000E+001, 2.6000000E+001, 2.6000000E+001, 2.6000000E+001,-2.5379954E-004,-1.8400460E-004,-1.4753000E-004,-1.1845037E-004,-2.5379954E-004,-1.8400460E-004,-1.4753000E-004,-1.1845037E-004,-1.2793620E-004,-9.9730117E-005,-1.2661249E-004,-1.3639546E-004,-1.6727122E-004,-1.6727122E-004,-1.7539034E-004, 3.8480845E-004, 0.0000000E+000, 2.0669758E-001, 3.8480845E-004, 0.0000000E+000, 2.0669758E-001, 3.8480845E-004, 0.0000000E+000, 2.0669758E-001,-1.8196079E-005
 1.0000491E+001, 6.2013002E-002, 5.1299255E-002, 7.2589904E-002, 5.9997850E-002, 2.6056579E+001, 2.6057691E+001, 2.6059518E+001, 2.6060465E+001, 2.6061504E+001, 2.6062438E+001, 2.6062656E+001, 2.6062562E+001, 2.6062625E+001, 2.6062357E+001, 2.6062051E+001, 2.6061568E+001, 2.6061375E+001, 2.6060810E+001, 2.6060680E+001, 2.6060413E+001, 2.6060413E+001, 2.6060705E+001, 2.6000442E+001, 2.6003361E+001, 2.6003605E+001, 2.6002786E+001, 2.6005089E+001, 2.6000390E+001, 2.6005084E+001, 2.6003590E+001, 2.6128382E+001, 2.6000824E+001, 4.7755019E-004, 3.4626199E-003, 3.7167785E-003, 2.8835345E-003, 4.3781068E-004, 3.4216859E-003, 3.6756452E-003, 2.8426518E-003, 5.2524281E-003, 4.1331490E-004, 5.2519969E-003, 3.7193847E-003, 7.2093492E-003, 7.2414239E-003, 9.0511664E-004, 3.8480845E-004, 0.0000000E+000, 2.0669758E-001, 3.8480845E-004, 0.0000000E+000, 2.0669758E-001, 3.8480845E-004, 0.0000000E+000, 2.0669758E-001, 6.8361282E+001
 2.0048457E+001, 5.8552162E-002, 5.4846678E-002, 6.8549517E-002, 6.4144859E-002, 2.6084608E+001, 2.6089508E+001, 2.6095875E+001, 2.6099759E+001, 2.6102801E+001, 2.6106620E+001, 2.6107201E+001, 2.6106993E+001, 2.6107638E+001, 2.6106685E+001, 2.6105296E+001, 2.6104309E+001, 2.6103431E+001, 2.6101763E+001, 2.6101193E+001, 2.6374878E+001, 2.6374878E+001, 2.6448652E+001, 2.6001301E+001, 2.6007683E+001, 2.6008267E+001, 2.6006547E+001, 2.6011673E+001, 2.6001102E+001, 2.6011674E+001, 2.6008342E+001, 2.6291354E+001, 2.6002405E+001, 7.8098600E-004, 4.3132535E-003, 4.6575102E-003, 3.7348381E-003, 7.1911292E-004, 4.2456014E-003, 4.5886469E-003, 3.6674198E-003, 6.5923671E-003, 6.5039768E-004, 6.5952302E-003, 4.7254796E-003, 8.7781490E-003, 1.0670606E-002, 1.4789813E-003, 3.8480845E-004, 0.0000000E+000, 2.0669758E-001, 3.8480845E-004, 0.0000000E+000, 2.0669758E-001, 3.8480845E-004, 0.0000000E+000, 2.0669758E-001, 1.0472043E+002
 3.0025301E+001, 5.8375630E-002, 5.4890887E-002, 6.8342964E-002, 6.4169604E-002, 2.6083105E+001, 2.6092263E+001, 2.6101949E+001, 2.6108735E+001, 2.6112986E+001, 2.6120394E+001, 2.6121315E+001, 2.6121799E+001, 2.6121888E+001, 2.6119846E+001, 2.6118145E+001, 2.6116425E+001, 2.6114881E+001, 2.6112541E+001, 2.6119173E+001, 2.6890202E+001, 2.6890202E+001, 2.7554703E+001, 2.6001929E+001, 2.6010425E+001, 2.6011296E+001, 2.6010015E+001, 2.6016257E+001, 2.6001647E+001, 2.6015944E+001, 2.6011430E+001, 2.6421559E+001, 2.6003629E+001, 8.8140889E-004, 4.4691790E-003, 4.8856097E-003, 4.8942456E-003, 8.2240238E-004, 4.3988747E-003, 4.8125944E-003, 4.0714347E-003, 7.2716496E-003, 7.5705167E-004, 6.8911931E-003, 4.9529726E-003, 8.9837781E-003, 1.2177610E-002, 1.7107279E-003, 3.8480845E-004, 0.0000000E+000, 2.0669758E-001, 3.8480845E-004, 0.0000000E+000, 2.0669758E-001, 3.8480845E-004, 0.0000000E+000, 2.0669758E-001, 1.0552303E+002
 4.0016974E+001, 3.0751105E-002, 5.8040175E-002, 3.6005283E-002, 6.7746545E-002, 2.6190353E+001, 2.6215502E+001, 2.6227300E+001, 2.6241983E+001, 2.6244539E+001, 2.6248609E+001, 2.6248243E+001, 2.6244122E+001, 2.6239385E+001, 2.6232621E+001, 2.6228226E+001, 2.6222074E+001, 2.6218013E+001, 2.6212276E+001, 2.6211264E+001, 2.7871255E+001, 2.7871255E+001, 3.0935915E+001, 2.6045278E+001, 2.6051040E+001, 2.6044095E+001, 2.6037143E+001, 2.6052461E+001, 2.6005727E+001, 2.6050969E+001, 2.6036316E+001, 2.7571401E+001, 2.6109980E+001, 5.0283680E-002, 4.8983980E-002, 4.0078674E-002, 3.2857936E-002, 5.0137399E-002, 4.8814985E-002, 3.9525409E-002, 2.9193481E-002, 4.4272967E-002, 5.0950083E-003, 4.3875325E-002, 3.1062568E-002, 4.9645407E-002, 8.8698410E-002, 1.2278671E-001, 3.8480845E-004, 6.7085669E-015, 2.0669758E-001, 3.9195214E-004, 2.2186700E-008, 2.0668561E-001, 3.8480845E-004, 5.2286290E-052, 2.0669758E-001, 1.8687923E+002
 5.0000860E+001,-3.8156905E-002, 6.3024913E-002,-4.4678624E-002, 7.2437974E-002, 2.6506027E+001, 2.6588763E+001, 2.6625453E+001, 2.6654298E+001, 2.6641516E+001, 2.6633200E+001, 2.6618407E+001, 2.6587500E+001, 2.6560110E+001, 2.6542098E+001, 2.6827656E+001, 2.7954829E+001, 2.8201926E+001, 2.8439852E+001, 2.8882353E+001, 3.6150802E+001, 3.6150802E+001, 4.4799865E+001, 2.6197457E+001, 2.6199896E+001, 2.6183959E+001, 2.6181166E+001, 2.6186559E+001, 2.6025285E+001, 2.6188684E+001, 2.6125151E+001, 3.1884829E+001, 2.6476682E+001, 1.5025837E-001, 1.4828987E-001, 1.3736579E-001, 1.3237872E-001, 1.4984316E-001, 1.4274661E-001, 1.1716759E-001, 8.9656367E-002, 1.3003449E-001, 1.9553080E-002, 1.3407562E-001, 8.9758606E-002, 1.3327478E-001, 2.7297368E-001, 3.6137364E-001, 5.3334419E-004, 4.6131751E-007, 2.0644901E-001, 3.9880736E-004, 4.3477540E-008, 2.0667412E-001, 3.8480845E-004, 2.6682491E-030, 2.0669758E-001, 3.1044027E+002
 6.0008598E+001,-8.8729728E-002, 7.2804360E-002,-1.0386570E-001, 8.0248081E-002, 2.7084006E+001, 2.7264975E+001, 2.7402760E+001, 2.7486952E+001, 2.7518152E+001, 2.7587693E+001, 2.7644755E+001, 2.8048658E+001, 2.8268964E+001, 2.8426549E+001, 2.8641464E+001, 3.0890205E+001, 3.3633982E+001, 3.9518327E+001, 4.1123458E+001, 4.8596343E+001, 4.8596343E+001, 5.7328471E+001, 2.6429099E+001, 2.6418489E+001, 2.6451376E+001, 2.6467784E+001, 2.6407969E+001, 2.6103508E+001, 2.6431458E+001, 2.6292738E+001, 3.8397586E+001, 2.7018557E+001, 2.6094918E-001, 2.4700525E-001, 2.6699709E-001, 2.6147585E-001, 2.5973360E-001, 2.4517407E-001, 2.0792050E-001, 1.6461978E-001, 2.4279203E-001, 6.2898853E-002, 2.5468257E-001, 1.7755370E-001, 2.2507878E-001, 5.2932748E-001, 6.1358453E-001, 1.1114198E-003, 2.2566859E-006, 2.0548161E-001, 3.9950813E-004, 4.5654103E-008, 2.0667292E-001, 3.8480845E-004, 1.3325011E-021, 2.0669758E-001, 5.6018296E+002
 7.0004779E+001,-1.3371132E-001, 8.5956506E-002,-1.5645365E-001, 9.1105127E-002, 2.7735012E+001, 2.8135767E+001, 2.8320766E+001, 2.8542304E+001, 2.8731084E+001, 2.9692048E+001, 3.0925340E+001, 3.2475858E+001, 3.3279710E+001, 3.5318236E+001, 3.9229905E+001, 4.1339644E+001, 4.5417804E+001, 5.1506266E+001, 5.3577314E+001, 6.6425345E+001, 6.6425345E+001, 7.5749053E+001, 2.6724973E+001, 2.6707998E+001, 2.6842536E+001, 2.6860177E+001, 2.6777519E+001, 2.6238106E+001, 2.6778619E+001, 2.6593686E+001, 4.6337345E+001, 2.7730075E+001, 3.7609941E-001, 3.6993279E-001, 4.2829248E-001, 4.2069125E-001, 3.7268850E-001, 3.6346052E-001, 3.1270541E-001, 2.5316199E-001, 4.1586262E-001, 1.3440077E-001, 4.0306153E-001, 3.2587470E-001, 3.4502466E-001, 7.7791312E-001, 9.0387569E-001, 2.2881354E-003, 5.9112915E-006, 2.0351241E-001, 4.0081506E-004, 4.9713224E-008, 2.0667072E-001, 3.8480962E-004, 3.6204101E-012, 2.0669758E-001, 9.4891278E+002
 8.0002660E+001,-1.7473597E-001, 1.0066471E-001,-2.0359603E-001, 1.0255256E-001, 2.8886842E+001, 2.9921992E+001, 3.0414477E+001, 3.1274853E+001, 3.1799449E+001, 3.2999677E+001, 3.3686523E+001, 3.7601253E+001, 4.0330911E+001, 4.7661564E+001, 5.1346063E+001, 5.5532886E+001, 6.0461323E+001, 6.6667738E+001, 6.9815709E+001, 8.2508182E+001, 8.2508182E+001, 9.1227826E+001, 2.7076652E+001, 2.7078374E+001, 2.7411264E+001, 2.7435907E+001, 2.7367536E+001, 2.6507959E+001, 2.7339865E+001, 2.7099876E+001, 5.5534317E+001, 2.8534856E+001, 4.9549639E-001, 5.0401146E-001, 6.4116345E-001, 6.2631909E-001, 4.8481959E-001, 4.8396833E-001, 4.3068688E-001, 3.6099726E-001, 6.4617501E-001, 2.5470415E-001, 6.3084629E-001, 5.5306923E-001, 4.8360623E-001, 1.0289890E+000, 1.1502153E+000, 3.5556677E-003, 9.8479523E-006, 2.0139123E-001, 4.0655969E-004, 6.7554939E-008, 2.0666107E-001, 3.8854598E-004, 1.1607899E-008, 2.0669132E-001, 1.4359670E+003
