s,C,C,C
Time,"Air Temp","VTT_1","GRS_1"
 0.0000000E+000, 3.5000000E+001, 3.5000000E+001, 3.5000000E+001
 1.0200000E+001, 3.8607059E+001, 3.5000202E+001, 3.5000423E+001
 2.0200000E+001, 4.5402500E+001, 3.5005871E+001, 3.5010398E+001
 3.0047493E+001, 5.2227420E+001, 3.5032320E+001, 3.5051168E+001
 4.0003354E+001, 5.9021555E+001, 3.5095814E+001, 3.5140042E+001
 5.0093566E+001, 6.5888231E+001, 3.5211663E+001, 3.5291312E+001
 6.0126965E+001, 7.2770431E+001, 3.5389736E+001, 3.5511644E+001
 7.0029713E+001, 7.9578748E+001, 3.5632001E+001, 3.5798670E+001
 8.0033461E+001, 8.6383403E+001, 3.5944940E+001, 3.6157546E+001
 9.0015220E+001, 9.3220689E+001, 3.6334525E+001, 3.6592334E+001
 1.0002035E+002, 1.0006248E+002, 3.6804846E+001, 3.7105691E+001
 1.1007674E+002, 1.0692656E+002, 3.7356772E+001, 3.7693683E+001
 1.2006109E+002, 1.1378425E+002, 3.7985931E+001, 3.8351548E+001
 1.3000850E+002, 1.2060341E+002, 3.8694372E+001, 3.9082712E+001
 1.4006017E+002, 1.2744313E+002, 3.9488679E+001, 3.9890674E+001
 1.5007199E+002, 1.3431126E+002, 4.0370112E+001, 4.0777281E+001
 1.6008693E+002, 1.4116276E+002, 4.1337421E+001, 4.1740856E+001
 1.7000613E+002, 1.4798453E+002, 4.2389719E+001, 4.2780351E+001
 1.8006502E+002, 1.5481565E+002, 4.3540612E+001, 4.3910182E+001
 1.9004254E+002, 1.6166969E+002, 4.4796733E+001, 4.5137569E+001
 2.0005905E+002, 1.6850916E+002, 4.6154468E+001, 4.6454538E+001
 2.1001418E+002, 1.7488345E+002, 4.7605806E+001, 4.7848373E+001
 2.2006643E+002, 1.8081454E+002, 4.9159393E+001, 4.9334852E+001
 2.3002254E+002, 1.8675097E+002, 5.0814075E+001, 5.0906100E+001
 2.4007378E+002, 1.9268414E+002, 5.2550890E+001, 5.2537570E+001
 2.5000877E+002, 1.9860943E+002, 5.4382435E+001, 5.4256264E+001
 2.6005546E+002, 2.0453316E+002, 5.6320731E+001, 5.6072597E+001
 2.7002654E+002, 2.1047712E+002, 5.8367915E+001, 5.7984691E+001
 2.8002339E+002, 2.1639649E+002, 6.0517166E+001, 5.9987402E+001
 2.9005713E+002, 2.2233052E+002, 6.2776370E+001, 6.2082983E+001
 3.0000644E+002, 2.2826037E+002, 6.5125803E+001, 6.4251478E+001
 3.1000411E+002, 2.3417338E+002, 6.7573564E+001, 6.6507671E+001
 3.2005815E+002, 2.4011969E+002, 7.0148813E+001, 6.8882595E+001
 3.3000948E+002, 2.4605682E+002, 7.2821610E+001, 7.1337444E+001
