s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_C12H26,MLR_TOTAL,ZONE_1
 0.0000000E+000, 0.0000000E+000,-1.1024401E-002, 3.0063112E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1024371E-002, 0.0000000E+000, 0.0000000E+000,-5.9629712E-001
 1.0021596E+001, 0.0000000E+000, 2.8787804E-001, 1.8215948E-003, 3.7931303E-001, 0.0000000E+000, 3.8127604E-001, 0.0000000E+000, 1.0444925E+000, 1.0502887E+000, 0.0000000E+000, 0.0000000E+000, 3.1352643E+001
 2.0041037E+001, 0.0000000E+000, 3.2986984E-001,-2.0176350E-002, 3.8847405E-001, 0.0000000E+000,-2.4139638E-003, 0.0000000E+000, 6.9614502E-001, 6.9575357E-001, 0.0000000E+000, 0.0000000E+000, 3.1151775E+001
 3.0028786E+001, 0.0000000E+000, 3.2203305E-001,-3.5905306E-002, 3.5027076E-001, 0.0000000E+000,-2.9855302E-003, 0.0000000E+000, 6.3354326E-001, 6.3341297E-001, 0.0000000E+000, 0.0000000E+000, 3.0902605E+001
 4.0006763E+001, 2.7151405E+001,-6.1942096E+000,-3.3469169E-001,-1.0921696E+000,-9.2692515E-002, 1.3069095E+000, 0.0000000E+000, 2.0601436E+001, 2.0744551E+001, 6.5622413E-004, 6.5622413E-004, 1.3906738E+002
 5.0000462E+001, 6.1151891E+001,-1.4293463E+001,-1.4035836E+000,-4.7543411E+000,-2.0183271E-001, 7.4225773E-001, 0.0000000E+000, 4.1172108E+001, 4.1240928E+001, 1.4700968E-003, 1.4700968E-003, 2.0109194E+002
 6.0009190E+001, 9.9131565E+001,-2.3769855E+001,-4.1081074E+000,-8.7571205E+000,-3.1665983E-001, 8.1123806E-002, 0.0000000E+000, 6.2187459E+001, 6.2260947E+001, 2.3852724E-003, 2.3852724E-003, 2.0812205E+002
 7.0011208E+001, 1.3768721E+002,-3.3988286E+001,-8.0728181E+000,-1.4076087E+001,-4.2841927E-001, 4.4930687E-001, 0.0000000E+000, 8.1414960E+001, 8.1570908E+001, 3.3011859E-003, 3.3011859E-003, 2.4516040E+002
 8.0009712E+001, 1.7532966E+002,-4.4548716E+001,-1.3969145E+001,-1.9573847E+001,-5.2750439E-001, 6.9525592E-001, 0.0000000E+000, 9.7241147E+001, 9.7405701E+001, 4.2166014E-003, 4.2166014E-003, 3.0347558E+002
