s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_DODECANE,MLR_PRODUCTS,ZONE_1
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1824461E-002, 4.7133124E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1824414E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.8974974E-001
 1.0037109E+001, 0.0000000E+000, 0.0000000E+000, 2.4582932E-001, 6.1056918E-002, 4.1173189E-001, 4.2114794E-018, 1.2681925E+000, 0.0000000E+000, 2.0257147E+000, 1.9868107E+000, 8.5451961E-003, 0.0000000E+000, 0.0000000E+000, 1.0578862E+002
 2.0001680E+001, 0.0000000E+000, 0.0000000E+000, 2.7848057E-001,-2.7571009E-002, 4.1872221E-001, 3.3444573E-018, 1.4854259E-002, 0.0000000E+000, 7.3427839E-001, 6.8448603E-001,-2.2319908E-003, 0.0000000E+000, 0.0000000E+000, 1.0705380E+002
 3.0002602E+001, 0.0000000E+000, 0.0000000E+000, 2.7083317E-001,-3.6396590E-002, 3.7389413E-001, 3.0322606E-018,-4.1844193E-003, 0.0000000E+000, 6.5299275E-001, 6.0414628E-001,-2.1873915E-003, 0.0000000E+000, 0.0000000E+000, 1.0670370E+002
 4.0006668E+001, 3.5833531E+001, 0.0000000E+000,-1.0091736E+001,-4.8311016E-001,-1.1060394E+000, 1.4646470E-001, 1.4891686E+000, 0.0000000E+000, 2.5643566E+001, 2.5788279E+001,-6.7642125E-002, 8.6906240E-004,-4.6992610E-005, 2.3048012E+002
 5.0008801E+001, 8.1601652E+001, 0.0000000E+000,-2.3094417E+001,-2.2176590E+000,-5.1801441E+000, 3.1150054E-001, 2.0701063E+000, 0.0000000E+000, 5.3393742E+001, 5.3491039E+001,-1.5186631E-001, 1.9550423E-003,-8.6727601E-004, 4.0345419E+002
 6.0005180E+001, 1.2638987E+002, 0.0000000E+000,-3.6573737E+001,-5.8108672E+000,-9.1564826E+000, 4.5887168E-001, 3.4175957E+000, 0.0000000E+000, 7.8572144E+001, 7.8725253E+001,-2.1735087E-001, 3.0264545E-003,-3.0868577E-003, 6.8902594E+002
 7.0006470E+001, 1.7123368E+002, 0.0000000E+000,-5.0478352E+001,-1.1389404E+001,-1.5583574E+001, 6.0911202E-001, 3.9906521E+000, 0.0000000E+000, 9.8127260E+001, 9.8382111E+001,-2.7179689E-001, 4.0982771E-003,-6.7172626E-003, 1.0227548E+003
 8.0001411E+001, 2.1615347E+002, 0.0000000E+000,-6.5712821E+001,-1.8880352E+001,-2.1984524E+001, 7.4912812E-001, 4.4606924E+000, 0.0000000E+000, 1.1432504E+002, 1.1478559E+002,-3.1426290E-001, 5.1697568E-003,-1.1999564E-002, 1.3955091E+003
 9.0008804E+001, 2.5514300E+002, 0.0000000E+000,-8.0468373E+001,-2.6720886E+001,-2.9346962E+001, 8.6604987E-001, 3.2140432E+000, 0.0000000E+000, 1.2197597E+002, 1.2268687E+002,-3.4804686E-001, 6.0963383E-003,-1.7744371E-002, 1.6644505E+003
 1.0000538E+002, 2.6750087E+002, 0.0000000E+000,-8.9624049E+001,-3.2038370E+001,-3.6408555E+001, 8.9181943E-001,-9.0036720E-001, 0.0000000E+000, 1.0850153E+002, 1.0942135E+002,-3.4689246E-001, 6.3576472E-003,-2.2189545E-002, 1.5889516E+003
 1.1000294E+002, 2.6981413E+002, 0.0000000E+000,-9.6559593E+001,-3.4146809E+001,-4.1519714E+001, 8.9803013E-001,-2.7822384E+000, 0.0000000E+000, 9.4713386E+001, 9.5703801E+001,-3.2110973E-001, 6.4228392E-003,-2.4471457E-002, 1.3569645E+003
 1.2000813E+002, 2.6358454E+002, 0.0000000E+000,-1.0123461E+002,-3.3066256E+001,-4.6111539E+001, 8.8416406E-001,-3.7398142E+000, 0.0000000E+000, 7.9251016E+001, 8.0316488E+001,-2.8139430E-001, 6.2786251E-003,-2.4430531E-002, 1.0439506E+003
